date_string,time_string,player_name,pokemon,trainer_name, trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,level,game_time,battle_duration,move1,move2,move3,move4,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam
11-18,18:21:39,NINTEN,Articuno,Rival5-Silph,6,Silph Co - 7F,5,12.08,12,0h0m12s,0,0,41,1:54,10.752,ICE BEAM,PECK,FLY,,3,5209,612,53,31,231,203,106,19,14952,Flareon
11-18,18:21:47,NINTEN,Articuno,Rocket,45,Silph Co - 11F,3,19.83,19,0h0m19s,0,0,41,1:56,2.955,ICE BEAM,PECK,FLY,,4,5217,612,54,31,234,206,106,18,17552,Flareon
11-18,18:21:53,NINTEN,Articuno,Giovanni-Silph,2,Silph Co - 11F,4,25.79,25,0h0m25s,0,0,42,1:57,3.86,ICE BEAM,PECK,FLY,,4,5232,617,55,31,238,210,106,18,18482,Flareon
11-18,18:22:02,NINTEN,Articuno,Juggler,3,Fuchsia City - Gym,4,35.45,35,0h0m35s,0,0,42,2:00,4.641,ICE BEAM,PECK,FLY,,4,5272,618,56,31,246,214,110,18,22541,Flareon
11-18,18:22:06,NINTEN,Articuno,Tamer,2,Fuchsia City - Gym,3,39.57,39,0h0m39s,0,0,43,2:00,2.938,ICE BEAM,PECK,FLY,,4,5279,620,57,31,249,217,110,18,23626,Flareon
11-18,18:22:11,NINTEN,Articuno,Tamer,1,Fuchsia City - Gym,2,44.04,44,0h0m44s,0,0,43,2:01,3.173,ICE BEAM,PECK,FLY,,4,5292,621,58,31,251,219,110,18,24946,Flareon
11-18,18:22:16,NINTEN,Articuno,Juggler,4,Fuchsia City - Gym,2,49.17,49,0h0m49s,0,0,43,2:03,4.046,ICE BEAM,PECK,FLY,,4,5298,622,59,31,256,222,111,18,26306,Flareon
11-18,18:22:25,NINTEN,Articuno,Koga,1,Fuchsia City - Gym,4,58.43,58,0h0m58s,0,0,44,2:05,7.127,ICE BEAM,PECK,FLY,,5,5303,626,60,31,264,230,115,18,27496,Flareon
11-18,18:22:43,NINTEN,Articuno,Fisher,7,Route 21,4,1:16.52,1:16,0h1m16s,0,0,44,2:09,4.735,ICE BEAM,PECK,FLY,,5,5460,681,61,31,274,235,121,19,32446,Flareon
11-18,18:23:11,NINTEN,Articuno,Sabrina,1,Saffron City - Gym,3,1:44.34,1:44,0h1m44s,0,0,45,2:16,7.267,ICE BEAM,PECK,FLY,BLIZZARD,6,5922,706,61,31,288,244,130,19,33426,Flareon
11-18,18:23:31,NINTEN,Articuno,Blaine,1,Cinnabar Island - Gym,3,2:04.15,2:04,0h2m4s,0,0,46,2:20,4.36,ICE BEAM,PECK,FLY,BLIZZARD,7,6095,724,63,31,294,250,134,20,38376,Flareon
11-18,18:23:39,NINTEN,Articuno,Cooltrainer M,10,Viridian City - Gym,1,2:11.96,2:11,0h2m11s,0,0,46,2:22,1.709,ICE BEAM,PECK,FLY,BLIZZARD,7,6182,740,64,31,296,252,134,20,43722,Flareon
11-18,18:23:44,NINTEN,Articuno,Blackbelt,8,Viridian City - Gym,3,2:17.04,2:17,0h2m17s,0,0,46,2:23,3.969,ICE BEAM,FLY,PECK,BLIZZARD,7,6190,742,65,31,302,255,136,20,45227,Flareon
11-18,18:23:53,NINTEN,Articuno,Giovanni,3,Viridian City - Gym,5,2:26.56,2:26,0h2m26s,0,0,47,2:25,6.047,ICE BEAM,FLY,PECK,BLIZZARD,8,6258,751,66,31,308,261,139,20,46177,Flareon
11-18,18:24:22,NINTEN,Articuno,Rival6-Route 22,9,Route 22,6,2:55.01,2:55,0h2m55s,1,1,49,2:29,10.047,ICE BEAM,FLY,PECK,BLIZZARD,9,6399,758,67,31,323,273,146,20,51622,Flareon
11-18,18:24:52,NINTEN,Articuno,Blackbelt,9,Victory Road,3,3:24.88,3:24,0h3m24s,1,1,49,2:37,3.627,ICE BEAM,FLY,PECK,BLIZZARD,9,6797,846,68,32,329,276,149,20,55067,Flareon
11-18,18:25:05,NINTEN,Articuno,Cooltrainer F,2,Victory Road,3,3:37.79,3:37,0h3m37s,1,1,49,2:40,2.703,ICE BEAM,FLY,PECK,BLIZZARD,9,6962,894,69,33,332,279,149,20,56142,Flareon
11-18,18:25:17,NINTEN,Articuno,Juggler,2,Victory Road,4,3:49.95,3:49,0h3m49s,1,1,50,2:43,6.407,ICE BEAM,FLY,PECK,BLIZZARD,9,7018,925,70,33,344,285,154,20,57647,Flareon
11-18,18:27:46,NINTEN,Articuno,Lorelei,1,Lorelei's Room,5,6:19.19,6:19,0h6m19s,6,7,55,3:02,17.251,ICE BEAM,FLY,SKY ATTACK,AGILITY,12,7855,1060,72,33,401,316,198,18,19341,Flareon
11-18,18:27:55,NINTEN,Articuno,Bruno,1,Bruno's Room,5,6:28.66,6:28,0h6m28s,6,7,56,3:04,4.968,ICE BEAM,FLY,SKY ATTACK,AGILITY,13,7870,1062,73,33,407,322,199,18,24885,Flareon
11-18,18:28:07,NINTEN,Articuno,Agatha,1,Agatha's Room,5,6:39.82,6:39,0h6m39s,6,7,57,3:06,6.844,ICE BEAM,FLY,SKY ATTACK,AGILITY,14,7881,1064,74,33,417,331,203,18,30627,Flareon
11-18,18:28:17,NINTEN,Articuno,Lance,1,Lance's Room,5,6:50.27,6:50,0h6m50s,6,7,58,3:09,6.078,ICE BEAM,FLY,SKY ATTACK,AGILITY,15,7931,1065,75,33,424,338,205,18,36567,Flareon
