date_string,time_string,player_name,pokemon,trainer_name,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,level,game_time,battle_duration,move1,move2,move3,move4,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam
11-18,17:18:26,NINTEN,Articuno,Surge,1,11.18,11,0h0m11s,0,0,24,1:00,2.295,ICE BEAM,PECK,,,2,2567,272,31,26,123,116,56,11,10412,Flareon
11-18,17:18:43,NINTEN,Articuno,Wrapping Lass,4,28.09,28,0h0m28s,0,0,24,1:04,3.453,ICE BEAM,PECK,,,2,2756,288,32,26,127,120,56,13,13184,Flareon
11-18,17:18:47,NINTEN,Articuno,Bug Catcher,3,31.95,31,0h0m31s,0,0,24,1:04,2.471,ICE BEAM,PECK,,,2,2796,290,33,26,130,123,56,13,13544,Flareon
11-18,17:18:55,NINTEN,Articuno,Pokemaniac,2,40.23,40,0h0m40s,0,0,25,1:06,3.596,ICE BEAM,PECK,,,2,2916,305,34,26,135,128,59,13,13744,Flareon
11-18,17:19:04,NINTEN,Articuno,Pokemaniac,1,49.08,49,0h0m49s,0,0,25,1:08,3.361,ICE BEAM,PECK,,,2,2955,308,35,27,140,133,63,13,14894,Flareon
11-18,17:19:09,NINTEN,Articuno,Jr Trainer F,2,54.11,54,0h0m54s,0,0,25,1:10,3.173,ICE BEAM,PECK,,,2,2968,308,36,27,144,137,65,13,16144,Flareon
11-18,17:19:19,NINTEN,Articuno,Selfdestructing Hiker,3,1:03.56,1:03,0h1m3s,0,0,26,1:12,2.875,ICE BEAM,PECK,,,2,3081,318,37,27,147,140,65,13,16584,Flareon
11-18,17:19:24,NINTEN,Articuno,Jr Trainer F,3,1:08.86,1:08,0h1m8s,0,0,26,1:13,2.814,ICE BEAM,PECK,,,2,3135,340,38,27,150,143,66,13,17319,Flareon
11-18,17:19:30,NINTEN,Articuno,Gambler,2,1:14.83,1:14,0h1m14s,0,0,26,1:15,1.892,ICE BEAM,PECK,,,2,3219,359,39,28,152,145,66,14,17719,Flareon
11-18,17:19:45,NINTEN,Articuno,Rocket,2,1:30.12,1:30,0h1m30s,0,0,27,1:18,1700353185.752,ICE BEAM,PECK,,,2,3494,423,40,28,154,147,66,13,19399,Flareon
11-18,17:20:09,NINTEN,Articuno,Cooltrainer F,3,1:54.27,1:54,0h1m54s,0,0,28,1:24,2.796,ICE BEAM,PECK,FLY,,2,3891,458,41,28,157,150,66,17,2999,Flareon
11-18,17:20:14,NINTEN,Articuno,Erika,3,1:58.45,1:58,0h1m58s,0,0,28,1:25,2.705,ICE BEAM,PECK,FLY,,2,3894,458,42,28,160,153,66,17,3839,Flareon
11-18,17:20:27,NINTEN,Articuno,Rival4-Pkmn Tower,5,2:11.97,2:11,0h2m11s,0,0,29,1:28,8.858,ICE BEAM,PECK,FLY,,2,3944,461,43,28,180,164,81,18,7007,Flareon
11-18,17:20:34,NINTEN,Articuno,Channeler,2,2:18.72,2:18,0h2m18s,0,0,30,1:30,2.749,ICE BEAM,PECK,FLY,,2,3994,467,44,28,184,166,83,18,8632,Flareon
11-18,17:20:39,NINTEN,Articuno,Channeler,1,2:23.64,2:23,0h2m23s,0,0,30,1:31,1.284,ICE BEAM,PECK,FLY,,2,4065,486,45,28,185,167,83,18,9322,Flareon
11-18,17:20:41,NINTEN,Articuno,Channeler,1,2:25.56,2:25,0h2m25s,0,0,30,1:31,1700353241.189,ICE BEAM,PECK,FLY,,2,4073,487,46,28,186,168,83,18,10042,Flareon
11-18,17:20:48,NINTEN,Articuno,Rocket,3,2:32.56,2:32,0h2m32s,0,0,31,1:33,3.002,ICE BEAM,PECK,FLY,,2,4098,488,47,29,190,172,84,18,10762,Flareon
11-18,17:21:03,NINTEN,Articuno,Biker,3,2:47.75,2:47,0h2m47s,0,0,31,1:37,2.968,ICE BEAM,PECK,FLY,,2,4241,509,48,30,194,176,85,19,11572,Flareon
11-18,17:21:13,NINTEN,Articuno,Biker,5,2:58.01,2:58,0h2m58s,0,0,32,1:39,4.046,ICE BEAM,PECK,FLY,,2,4366,524,49,30,199,181,85,18,12132,Flareon
11-18,17:21:44,NINTEN,Articuno,Rocket,1,3:28.78,3:28,0h3m28s,0,0,32,1:47,2.486,ICE BEAM,PECK,FLY,,2,5010,571,50,31,202,184,87,18,12132,Flareon
11-18,17:21:51,NINTEN,Articuno,Rocket,1,3:35.51,3:35,0h3m35s,0,0,33,1:48,2.218,ICE BEAM,PECK,FLY,,2,5109,594,51,31,204,186,88,19,13122,Flareon
11-18,17:21:59,NINTEN,Articuno,Rocket,3,3:44.18,3:44,0h3m44s,0,0,33,1:50,4.015,ICE BEAM,PECK,FLY,,2,5174,608,52,31,210,190,92,19,14112,Flareon
