ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Articuno7,Articuno,Rival (Lab),00:00:33.87,00:00:39.56,00:02:02.54,5,0,0,0,39,56,ICE BEAM,PECK,,,15,16,19,19,15,0,0,0,0,0,0,0,15,16,19,19,15,9355,4748,2598,0,2009,0,0,0,71,71,0,0,2,2,1,1,0,0,38,21,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,7,0,Jolteon
Articuno7,Articuno,Brock,00:02:06.49,00:02:14.97,00:08:19.50,8,0,0,2,14,97,ICE BEAM,PECK,,,21,23,27,27,21,0,0,0,0,0,0,0,21,23,27,27,21,31971,21777,8185,0,2009,0,0,0,693,693,0,0,18,5,3,2,0,0,155,112,7,7,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,669,0,0,0,0,1,0,0,0,0,0,0,7,0,Flareon
Articuno7,Articuno,Rival (Nugget Bridge),00:04:50.79,00:05:04.52,00:19:29.17,15,0,0,5,4,52,ICE BEAM,PECK,,,36,40,48,48,36,0,0,0,0,0,-1,0,45,40,48,48,36,72138,39765,30364,0,2009,0,0,0,1342,1342,0,0,37,12,10,2,0,0,1304,827,29,29,33,2,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,4610,0,0,0,0,3,0,0,0,0,0,0,7,0,Flareon
Articuno7,Articuno,Oddish Lass,00:07:08.38,00:07:17.45,00:28:13.28,19,0,0,7,17,45,ICE BEAM,PECK,,,45,50,60,60,45,0,0,0,0,0,0,0,50,50,60,60,45,103589,46638,54488,454,2009,0,0,0,1464,1464,0,0,60,22,20,2,0,0,3659,1643,58,58,60,3,17,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,8710,0,0,0,0,4,0,0,0,0,0,0,7,0,Flareon
Articuno7,Articuno,Rocket,00:07:44.03,00:07:51.35,00:30:27.22,19,0,0,7,51,35,ICE BEAM,PECK,,,45,50,60,60,45,0,0,0,0,0,0,0,50,50,60,60,45,111623,52460,56700,454,2009,0,0,0,1608,1608,0,0,75,23,21,2,0,0,3814,1746,58,58,63,4,17,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,9399,0,0,0,0,5,0,0,0,0,0,0,7,0,Flareon
Articuno7,Articuno,Misty,00:08:15.98,00:08:27.87,00:32:51.33,20,0,0,8,27,87,ICE BEAM,PECK,,,47,53,63,63,47,0,0,0,0,0,0,0,52,53,63,63,47,120274,55799,62012,454,2009,0,0,0,1684,1684,0,0,89,25,23,2,0,0,3976,1895,83,83,70,4,20,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,11189,0,0,0,0,5,0,0,0,0,0,0,7,0,Flareon
Articuno7,Articuno,Rival (SS Anne),00:10:18.20,00:10:29.50,00:40:50.30,23,0,0,10,29,50,ICE BEAM,PECK,,,54,61,72,72,54,0,0,0,0,0,0,0,60,61,72,72,54,149011,69804,75230,1968,2009,0,0,0,2166,2166,0,0,115,30,28,2,0,0,5934,2473,112,112,85,4,25,0,0,0,0,0,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,15223,0,0,0,0,9,5,0,0,0,0,0,7,0,Flareon
Articuno7,Articuno,Lt. Surge,00:11:21.26,00:11:28.10,00:44:41.51,23,0,0,11,28,10,ICE BEAM,PECK,BUBBLEBEAM,,54,61,72,72,54,0,0,0,0,0,0,0,60,61,72,72,54,162892,76456,77367,7060,2009,1,0,0,2345,2345,0,0,125,31,29,2,0,0,6035,2549,169,169,87,4,26,0,0,0,0,0,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,15955,0,0,0,0,9,5,0,0,0,3,0,7,0,Flareon
Articuno7,Articuno,RTG1 - Wrapping Lass,00:12:13.25,00:12:25.71,00:48:28.45,24,0,0,12,25,71,ICE BEAM,PECK,BUBBLEBEAM,,56,63,75,75,56,0,0,0,0,0,0,0,63,70,75,75,56,176506,84412,80914,9171,2009,1,0,0,2532,2482,50,0,136,32,30,2,0,0,6272,2739,169,169,91,4,26,0,0,0,0,0,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,17203,0,0,0,0,9,5,0,0,0,3,0,7,0,Flareon
Articuno7,Articuno,RTG4 - Status Jr Trainer,00:13:18.13,00:13:24.49,00:52:20.39,25,0,0,13,24,49,ICE BEAM,PECK,BUBBLEBEAM,,59,66,78,78,59,0,0,0,0,0,0,0,66,74,78,78,59,190420,87358,91061,9992,2009,1,0,0,2730,2482,248,0,146,36,34,2,0,0,7166,3227,175,175,103,5,30,0,0,0,0,0,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,20083,0,0,0,0,9,5,0,0,0,3,0,7,0,Flareon
