ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Golem6,Golem,Rival (Lab),00:00:36.89,00:00:46.48,00:02:29.33,6,0,0,0,46,48,TACKLE,DEFENSE CURL,,,20,22,13,13,12,0,-3,0,0,0,0,0,20,8,13,13,12,11009,5431,3514,0,2064,0,0,0,72,72,0,0,10,2,1,1,0,0,22,21,0,0,4,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,6,0,Jolteon
Golem6,Golem,Rival (Lab),00:00:33.72,00:00:43.27,00:02:18.00,6,0,0,0,43,27,TACKLE,DEFENSE CURL,,,20,22,13,13,12,0,0,0,0,0,0,0,20,22,13,13,12,10243,4748,3504,0,1991,0,0,0,71,71,0,0,1,2,1,1,0,0,23,21,4,4,4,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,6,0,Jolteon
Golem6,Golem,Brock,00:04:13.56,00:05:29.71,00:21:11.51,14,0,0,5,29,71,TACKLE,DEFENSE CURL,,,40,46,25,25,22,0,4,0,0,0,0,0,40,138,25,25,22,78274,29486,46797,0,1991,0,0,0,889,889,0,0,51,10,7,3,0,0,360,335,60,60,70,17,49,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1561,0,0,0,0,1,13,0,1,1,0,1,6,1,Flareon
Golem6,Golem,Rival (Nugget Bridge),00:09:22.12,00:09:44.29,00:37:56.54,21,0,0,9,44,29,MEGA PUNCH,DEFENSE CURL,ROCK THROW,TACKLE,59,68,36,36,32,-1,-1,0,0,0,0,0,47,44,36,36,32,138577,50232,85612,742,1991,0,0,0,1600,1600,0,0,79,22,19,3,0,0,2189,1382,84,84,114,28,69,0,0,0,0,0,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,7111,0,0,0,0,4,13,0,1,1,2,1,6,1,Flareon
Golem6,Golem,Oddish Lass,00:11:57.77,00:12:06.32,00:47:17.18,24,0,0,12,6,32,MEGA PUNCH,DEFENSE CURL,ROCK THROW,TACKLE,68,77,41,41,36,0,0,0,0,0,0,0,76,77,41,41,36,172201,57908,110825,1477,1991,0,0,0,1722,1722,0,0,112,32,29,3,0,0,3605,2198,105,105,139,33,79,0,0,0,0,0,9,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,65,11211,0,0,0,0,5,13,0,1,1,2,1,6,1,Flareon
Golem6,Golem,Rocket,00:12:31.97,00:12:40.74,00:49:33.19,25,0,0,12,40,74,MEGA PUNCH,DEFENSE CURL,ROCK THROW,TACKLE,71,81,43,43,38,0,0,0,0,0,0,0,79,81,43,43,38,180362,63508,113386,1477,1991,0,0,0,1864,1864,0,0,116,33,30,3,0,0,3752,2301,108,108,141,34,80,0,0,0,0,0,10,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,67,11900,0,0,0,0,6,13,0,1,1,2,1,6,1,Flareon
Golem6,Golem,Misty,00:13:17.94,00:13:26.92,00:52:35.46,26,0,0,13,26,92,DIG,ROCK THROW,DEFENSE CURL,MEGA PUNCH,73,84,44,44,39,0,0,0,0,0,0,0,82,84,44,44,39,191309,66939,118194,4185,1991,1,0,0,1940,1940,0,0,124,35,32,3,0,0,4010,2450,167,167,144,37,81,0,0,0,0,0,10,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,70,13690,0,0,0,0,6,13,0,1,1,3,1,6,1,Flareon
Golem6,Golem,Rival (SS Anne),00:15:11.12,00:15:23.27,01:00:14.24,28,0,0,15,23,27,DIG,ROCK THROW,DEFENSE CURL,BODY SLAM,79,90,47,47,43,0,0,0,0,0,0,0,88,90,47,47,43,218827,79758,131205,5873,1991,1,0,0,2355,2355,0,0,158,40,37,3,0,0,5719,2995,169,169,156,42,83,0,0,0,0,0,13,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,82,17181,0,0,0,0,9,16,0,1,1,4,1,6,1,Flareon
Golem6,Golem,Lt. Surge,00:16:00.65,00:16:09.92,01:03:18.43,29,0,0,16,9,92,DIG,ROCK THROW,DEFENSE CURL,BODY SLAM,82,93,49,49,44,-1,0,0,0,0,0,0,60,93,49,49,44,229886,86692,133970,7233,1991,1,0,0,2542,2542,0,0,168,41,38,3,0,0,5817,3071,169,169,157,42,84,0,0,0,0,0,13,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,83,17913,0,0,0,0,9,16,0,1,1,5,1,6,1,Flareon
Golem6,Golem,RTG1 - Wrapping Lass,00:16:54.87,00:17:05.82,01:06:58.45,29,0,0,17,5,82,DIG,ROCK THROW,DEFENSE CURL,BODY SLAM,82,93,49,49,44,0,0,0,0,0,0,0,92,104,49,49,44,243088,94774,137144,9179,1991,1,0,0,2731,2679,52,0,181,42,39,3,0,0,6275,3261,169,169,161,42,84,0,0,0,0,0,15,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,87,19161,0,0,0,0,9,16,0,1,1,5,1,6,1,Flareon
