date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
12-13,12:58:02,NINTEN,Golem,Rival1-Lab,1,Pallet Town - Oak's Lab,1,46.48,46,0h0m46s,0,0,0,6,0:02,9.594,TACKLE,DEFENSE CURL,,,0,72,10,1,1,4,4,3,0,3000,Jolteon, ,Rock,Ground,232,Golem6,Golem,Rival (Lab),00:00:36.89,00:00:46.48,00:02:29.33,6,0,0,0,46,48,TACKLE,DEFENSE CURL,,,31,40,0,0,0,0,0,0,27,27,20,22,13,13,12,55,55,50,65,65,55,15,15,15,15,0,-3,0,0,0,0,0,20,8,13,13,12,11009,5431,3514,0,2064,0,0,0,72,72,0,0,10,2,1,1,0,0,22,21,0,0,4,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,6,0,Jolteon
12-13,12:59:28,NINTEN,Golem,Bug Catcher,1,Viridian Forest,2,2:13.17,2:13,0h2m13s,0,0,0,8,0:08,18.453,TACKLE,DEFENSE CURL,,,0,515,29,2,2,12,12,11,4,75,Flareon, ,Rock,Ground,390,Golem6,Golem,,00:01:54.72,00:02:13.17,00:08:12.08,8,0,0,2,13,17,TACKLE,DEFENSE CURL,,,27,40,0,0,0,0,0,0,29,33,25,28,16,16,14,145,115,120,105,105,145,15,15,15,15,0,0,0,0,-3,0,0,25,28,16,16,5,31564,20236,9264,0,2064,0,0,0,515,515,0,0,29,4,2,2,0,0,71,69,4,4,11,2,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,255,0,0,0,0,0,13,0,0,0,0,0,6,0,Flareon
12-13,12:59:54,NINTEN,Golem,Bug Catcher,2,Viridian Forest,3,2:39.02,2:39,0h2m39s,0,0,0,10,0:09,21.813,TACKLE,DEFENSE CURL,,,0,533,31,3,2,23,23,19,4,145,Flareon, ,Rock,Ground,639,Golem6,Golem,,00:02:17.21,00:02:39.02,00:09:54.26,10,0,0,2,39,2,TACKLE,DEFENSE CURL,,,16,40,0,0,0,0,0,0,33,39,30,34,19,19,17,290,185,265,175,175,250,15,15,15,15,0,0,0,0,0,0,0,30,34,19,19,17,37702,20761,14877,0,2064,0,0,0,533,533,0,0,31,5,3,2,0,0,147,135,6,6,21,4,12,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,504,0,0,0,0,0,13,0,0,0,0,0,6,0,Flareon
12-13,13:00:21,NINTEN,Golem,Bug Catcher,15,Viridian Forest,2,3:05.87,3:05,0h3m5s,0,0,0,11,0:11,15.14,TACKLE,DEFENSE CURL,,,0,570,34,4,4,30,30,24,4,205,Flareon, ,Rock,Ground,852,Golem6,Golem,,00:02:50.74,00:03:05.87,00:11:40.26,11,0,0,3,5,87,TACKLE,DEFENSE CURL,,,9,40,0,0,0,0,0,0,34,42,32,37,20,20,18,385,235,355,220,220,325,15,15,15,15,0,0,0,0,-1,0,0,32,37,20,20,11,44062,21684,20314,0,2064,0,0,0,570,570,0,0,34,8,4,4,2,0,223,188,8,8,28,6,15,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,717,0,0,0,0,1,13,0,0,0,0,0,6,0,Flareon
12-13,13:00:43,NINTEN,Golem,Bug Catcher,3,Viridian Forest,1,3:28.16,3:28,0h3m28s,0,0,0,11,0:13,7.282,TACKLE,DEFENSE CURL,,,0,620,41,5,7,33,33,26,4,285,Flareon, ,Rock,Ground,964,Golem6,Golem,,00:03:20.87,00:03:28.16,00:13:08.05,11,0,0,3,28,16,TACKLE,DEFENSE CURL,,,6,40,0,0,0,0,0,0,32,42,32,37,20,20,18,430,265,390,240,240,370,15,15,15,15,0,0,0,0,0,0,0,32,37,20,20,18,49321,22724,24533,0,2064,0,0,0,620,620,0,0,41,12,5,7,5,0,256,218,10,10,31,6,17,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,829,0,0,0,0,1,13,0,0,0,0,0,6,0,Flareon
12-13,13:03:40,NINTEN,Golem,Rival1-Lab,1,Pallet Town - Oak's Lab,1,43.27,43,0h0m43s,0,0,0,6,0:02,9.546,TACKLE,DEFENSE CURL,,,0,71,1,1,1,4,4,3,0,3000,Jolteon, ,Rock,Ground,232,Golem6,Golem,Rival (Lab),00:00:33.72,00:00:43.27,00:02:18.00,6,0,0,0,43,27,TACKLE,DEFENSE CURL,,,31,40,0,0,0,0,0,0,23,27,20,22,13,13,12,55,55,50,65,65,55,15,15,15,15,0,0,0,0,0,0,0,20,22,13,13,12,10243,4748,3504,0,1991,0,0,0,71,71,0,0,1,2,1,1,0,0,23,21,4,4,4,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,6,0,Jolteon
12-13,13:05:20,NINTEN,Golem,Lass,19,Viridian Forest,2,2:23.43,2:23,0h2m23s,0,1,1,8,0:08,20.859,TACKLE,DEFENSE CURL,,,0,518,43,2,3,17,17,14,3,75,Flareon, ,Rock,Ground,383,Golem6,Golem,,00:02:02.58,00:02:23.43,00:08:53.50,8,0,0,2,23,43,TACKLE,DEFENSE CURL,,,22,40,0,0,0,0,0,0,28,33,25,28,16,16,14,156,159,142,145,145,146,15,15,15,15,-1,-3,0,0,0,0,0,16,11,16,16,14,33993,19577,12425,0,1991,0,0,0,518,518,0,0,43,5,2,3,0,0,85,79,9,9,17,2,12,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,248,0,0,0,0,0,13,0,1,1,0,1,6,1,Flareon
12-13,13:05:42,NINTEN,Golem,Bug Catcher,1,Viridian Forest,2,2:44.70,2:44,0h2m44s,0,1,1,9,0:10,15.748,TACKLE,DEFENSE CURL,,,0,556,45,3,3,24,24,21,3,165,Flareon, ,Rock,Ground,541,Golem6,Golem,,00:02:28.95,00:02:44.70,00:10:18.03,9,0,0,2,44,70,TACKLE,DEFENSE CURL,,,15,40,0,0,0,0,0,0,28,36,27,31,17,17,16,246,219,212,185,185,236,15,15,15,15,0,0,0,0,-3,0,0,27,31,17,17,6,39046,20503,16552,0,1991,0,0,0,556,556,0,0,45,6,3,3,0,0,137,127,12,12,23,4,18,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,406,0,0,0,0,0,13,0,1,1,0,1,6,1,Flareon
12-13,13:06:06,NINTEN,Golem,Bug Catcher,2,Viridian Forest,3,3:08.60,3:08,0h3m8s,0,1,1,11,0:11,20.204,TACKLE,DEFENSE CURL,,,0,574,46,4,3,34,34,28,3,235,Flareon, ,Rock,Ground,790,Golem6,Golem,,00:02:48.40,00:03:08.60,00:11:52.33,11,0,0,3,8,60,TACKLE,DEFENSE CURL,,,5,40,0,0,0,0,0,0,33,42,32,37,20,20,18,391,289,357,255,255,341,15,15,15,15,0,0,0,0,0,0,0,32,37,20,20,18,44716,20950,21775,0,1991,0,0,0,574,574,0,0,46,7,4,3,0,0,209,193,13,13,33,4,19,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,655,0,0,0,0,0,13,0,1,1,0,1,6,1,Flareon
12-13,13:06:22,NINTEN,Golem,Bug Catcher,3,Viridian Forest,1,3:24.93,3:24,0h3m24s,0,1,1,11,0:12,6.796,TACKLE,DEFENSE CURL,,,0,661,46,5,3,37,37,30,3,295,Flareon, ,Rock,Ground,902,Golem6,Golem,,00:03:18.15,00:03:24.93,00:12:57.15,11,0,0,3,24,93,TACKLE,DEFENSE CURL,,,2,40,0,0,0,0,0,0,32,42,32,37,20,20,18,436,319,392,275,275,386,15,15,15,15,0,0,0,0,0,0,0,32,37,20,20,18,48598,22786,23821,0,1991,0,0,0,661,661,0,0,46,8,5,3,0,0,240,223,14,14,36,5,20,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,767,0,0,0,0,1,13,0,1,1,0,1,6,1,Flareon
