ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Moltres11,Moltres,Rival (Lab),00:00:33.32,00:00:39.78,00:02:04.32,5,0,0,0,39,78,PECK,FIRE SPIN,,,16,15,19,19,15,0,0,0,0,0,0,0,16,15,19,19,15,9410,4659,2785,0,1966,0,0,0,71,71,0,0,2,2,1,1,0,0,26,21,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,11,0,Jolteon
Moltres11,Moltres,Brock,00:03:02.11,00:03:21.15,00:12:41.36,11,0,0,3,21,15,PECK,FIRE SPIN,,,30,28,36,36,28,0,0,0,0,0,0,0,30,28,36,36,28,47634,23626,22042,0,1966,0,0,0,699,699,0,0,35,9,7,2,0,0,382,330,3,3,22,4,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1623,0,0,0,0,2,0,0,0,0,0,0,11,0,Flareon
Moltres11,Moltres,Rival (Nugget Bridge),00:06:43.26,00:07:08.54,00:27:39.39,17,0,0,7,8,54,PECK,FIRE SPIN,,,45,42,54,54,42,0,-1,0,0,0,0,0,56,27,54,54,42,101517,42290,56524,737,1966,0,0,0,1340,1340,0,0,57,18,16,2,0,0,1543,1201,87,87,65,12,15,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,6322,0,0,0,0,4,4,0,0,0,0,0,11,0,Flareon
Moltres11,Moltres,Oddish Lass,00:09:32.14,00:09:42.31,00:37:45.54,20,0,0,9,42,31,PECK,FIRE SPIN,BIDE,,53,49,63,63,49,0,0,0,0,0,0,0,59,49,63,63,49,137892,48789,85152,1985,1966,0,0,0,1460,1460,0,0,69,28,26,2,0,0,2675,2017,127,127,99,18,26,0,0,0,0,0,15,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,10422,0,0,0,0,5,4,0,0,0,1,0,11,0,Flareon
Moltres11,Moltres,Rocket,00:10:16.61,00:10:26.81,00:40:41.50,20,0,0,10,26,81,PECK,FIRE SPIN,BIDE,,53,49,63,63,49,0,0,0,0,0,0,0,59,49,63,63,49,148448,56449,88048,1985,1966,0,0,0,1658,1658,0,0,85,29,27,2,0,0,2846,2120,131,131,103,18,28,0,0,0,0,0,17,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,11111,0,0,0,0,6,4,0,0,0,1,0,11,0,Flareon
Moltres11,Moltres,Rival (SS Anne),00:12:54.35,00:13:10.92,00:51:28.55,23,0,0,13,10,92,PECK,FIRE SPIN,BIDE,,61,56,72,72,56,0,0,0,0,0,-1,0,76,56,72,72,56,187273,68951,113331,3025,1966,0,0,0,2074,2074,0,0,116,36,34,2,0,0,3847,2888,193,193,135,20,41,0,0,0,0,0,19,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,79,17018,0,0,0,0,11,10,0,0,0,1,0,11,0,Flareon
Moltres11,Moltres,Misty,00:14:13.35,00:14:25.35,00:56:22.45,24,0,0,14,25,35,PECK,FIRE SPIN,BIDE,REST,64,59,75,75,59,0,0,0,0,0,0,0,72,59,75,75,59,204903,77253,118730,6954,1966,1,0,0,2267,2267,0,0,123,38,36,2,0,0,4069,3037,239,239,139,20,44,0,0,0,0,0,20,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,82,18808,0,0,0,0,11,10,0,0,0,4,0,11,0,Flareon
Moltres11,Moltres,RTG1 - Wrapping Lass,00:14:49.62,00:15:01.95,00:58:46.43,25,0,0,15,1,95,PECK,FIRE SPIN,BIDE,REST,66,61,78,78,61,0,0,0,0,0,0,0,74,61,78,78,61,213541,81601,122264,7710,1966,1,0,0,2393,2393,0,0,132,39,37,2,0,0,4376,3227,239,239,143,20,44,0,0,0,0,0,20,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,86,20056,0,0,0,0,11,10,0,0,0,4,0,11,0,Flareon
Moltres11,Moltres,RTG4 - Status Jr Trainer,00:16:16.77,00:16:23.55,01:04:09.12,26,0,0,16,23,55,PECK,FIRE SPIN,BIDE,REST,69,64,81,81,64,0,0,0,0,0,0,0,77,64,81,81,64,232890,86242,135232,9450,1966,1,0,0,2587,2587,0,0,157,43,41,2,0,0,5002,3715,299,299,156,23,52,0,0,0,0,0,21,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,94,22936,0,0,0,0,11,10,0,0,0,4,0,11,0,Flareon
Moltres11,Moltres,RTG6 - Finisher,00:17:14.18,00:17:25.02,01:08:12.03,27,0,0,17,25,2,PECK,FIRE SPIN,BIDE,REST,71,66,84,84,66,0,0,0,0,0,0,0,79,66,84,84,66,247461,90794,144072,10629,1966,2,0,0,2755,2755,0,0,172,45,43,2,0,0,5397,4023,309,309,166,29,53,0,0,0,0,0,25,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100,25176,0,0,0,0,11,10,0,0,0,4,0,11,0,Flareon
