ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Rhydon9,Rhydon,Rival (Lab),00:00:33.92,00:00:41.97,00:02:12.50,5,0,0,0,41,97,HORN ATTACK,STOMP,TAIL WHIP,FURY ATTACK,19,18,11,11,10,0,-1,0,0,0,0,0,19,11,11,11,10,9933,4774,3168,0,1991,0,0,0,71,71,0,0,2,2,1,1,0,0,27,21,2,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,Jolteon
Rhydon9,Rhydon,Brock,00:03:05.86,00:03:38.15,00:13:49.20,9,0,0,3,38,15,HORN ATTACK,STOMP,TAIL WHIP,FURY ATTACK,31,29,16,16,15,0,-6,0,0,0,0,0,31,7,16,16,15,51723,24211,25194,327,1991,0,0,0,721,721,0,0,24,8,5,3,0,0,288,244,21,21,38,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1076,0,0,0,0,1,9,0,1,1,0,0,9,0,Flareon
Rhydon9,Rhydon,Rival (Nugget Bridge),00:09:18.42,00:09:37.42,00:37:28.04,19,0,0,9,37,42,HORN ATTACK,MEGA PUNCH,STOMP,WATER GUN,62,58,29,29,28,0,0,0,0,0,-1,0,69,58,29,29,28,136847,46396,85790,2670,1991,0,0,0,1440,1440,0,0,82,26,23,3,0,0,2370,1709,79,79,113,15,51,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,8749,0,0,0,0,6,9,0,1,1,2,0,9,0,Flareon
Rhydon9,Rhydon,Oddish Lass,00:12:07.60,00:12:17.06,00:47:57.30,22,0,0,12,17,6,HORN ATTACK,MEGA PUNCH,STOMP,WATER GUN,72,67,34,34,32,0,0,0,0,0,0,0,81,67,34,34,32,174613,53815,116137,2670,1991,0,0,0,1562,1562,0,0,102,39,36,3,0,0,3859,2790,100,100,143,15,55,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,14665,0,0,0,0,7,9,0,1,1,2,0,9,0,Flareon
Rhydon9,Rhydon,Rocket,00:12:43.12,00:12:53.92,00:50:23.21,23,0,0,12,53,92,HORN ATTACK,MEGA PUNCH,STOMP,WATER GUN,75,70,35,35,33,0,0,0,0,0,0,0,84,70,35,35,33,183364,59523,119180,2670,1991,0,0,0,1703,1703,0,0,109,40,37,3,0,0,3971,2893,101,101,146,15,56,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,15354,0,0,0,0,8,9,0,1,1,2,0,9,0,Flareon
Rhydon9,Rhydon,Rival (SS Anne),00:15:10.12,00:15:21.75,01:00:06.18,25,0,0,15,21,75,BODY SLAM,WATER GUN,STOMP,DIG,81,77,38,38,36,0,0,0,0,0,0,0,91,77,38,38,36,218341,71383,138568,6399,1991,0,0,0,2040,2040,0,0,137,47,44,3,0,0,5760,3670,140,140,166,17,63,0,0,0,0,0,6,0,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,20935,0,0,0,0,11,12,0,1,1,4,0,9,0,Flareon
Rhydon9,Rhydon,Misty,00:17:10.92,00:17:19.63,01:07:51.35,27,0,0,17,19,63,BODY SLAM,WATER GUN,STOMP,DIG,88,83,41,41,39,0,0,0,0,0,0,0,99,83,41,41,39,246258,84557,152178,7532,1991,1,0,0,2385,2385,0,0,155,53,50,3,0,0,7213,4172,195,195,177,22,65,0,0,0,0,0,7,0,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,25853,0,0,0,0,11,12,0,1,1,4,0,9,0,Flareon
Rhydon9,Rhydon,Lt. Surge,00:18:03.23,00:18:09.61,01:11:08.07,27,0,0,18,9,61,BODY SLAM,WATER GUN,STOMP,DIG,88,83,41,41,39,0,0,0,0,0,0,0,99,83,41,41,39,258050,90497,154312,11250,1991,1,0,0,2613,2613,0,0,173,54,51,3,0,0,7392,4248,209,209,178,22,66,0,0,0,0,0,7,0,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,26585,0,0,0,0,11,12,0,1,1,5,0,9,0,Flareon
Rhydon9,Rhydon,RTG1 - Wrapping Lass,00:18:54.22,00:19:06.05,01:14:50.20,28,0,0,19,6,5,BODY SLAM,WATER GUN,STOMP,DIG,91,85,43,43,41,0,0,0,0,0,0,0,102,95,43,43,41,271383,98514,157701,13177,1991,1,0,0,2802,2750,52,0,194,55,52,3,0,0,7708,4438,209,209,182,22,66,0,0,0,0,0,8,0,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,27833,0,0,0,0,11,12,0,1,1,5,0,9,0,Flareon
Rhydon9,Rhydon,RTG4 - Status Jr Trainer,00:19:52.81,00:19:59.68,01:18:21.47,29,0,0,19,59,68,BODY SLAM,WATER GUN,STOMP,DIG,94,89,45,45,42,0,0,0,0,0,0,0,105,100,45,45,42,284070,101817,166156,14106,1991,1,0,0,3001,2750,251,0,213,59,56,3,0,0,8337,4926,209,209,190,25,66,0,0,0,0,0,8,0,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,30713,0,0,0,0,11,12,0,1,1,5,0,9,0,Flareon
Rhydon9,Rhydon,RTG6 - Finisher,00:20:33.91,00:20:42.76,01:21:11.54,29,0,0,20,42,76,BODY SLAM,WATER GUN,STOMP,DIG,94,89,45,45,42,0,0,0,0,0,0,0,105,100,45,45,42,294277,106144,171364,14778,1991,1,0,0,3168,2750,418,0,239,61,58,3,0,0,8857,5234,211,211,196,25,67,0,0,0,0,0,8,0,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,32953,0,0,0,0,11,12,0,1,1,5,0,9,0,Flareon
Rhydon9,Rhydon,Rival (Pokemon Tower),00:23:23.94,00:23:42.11,01:32:59.18,31,0,0,23,42,11,BODY SLAM,ROCK SLIDE,STOMP,DIG,101,95,48,48,48,0,-1,0,0,0,0,0,113,69,48,48,48,336721,131860,183625,19245,1991,1,0,0,3833,3261,572,0,298,65,62,3,0,0,10410,5965,217,217,208,27,70,0,0,0,0,0,10,0,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,38707,0,0,0,0,14,29,7,1,1,7,0,9,0,Flareon
Rhydon9,Rhydon,Rival (Silph Co.),00:31:51.22,00:32:14.77,02:06:41.49,40,0,0,32,14,77,EARTHQUAKE,ROCK SLIDE,DIG,BODY SLAM,132,123,63,63,64,0,0,0,0,0,0,0,148,138,63,63,64,458072,172706,250409,32966,1991,3,0,0,5263,4148,1115,0,417,87,82,5,1,0,22423,10191,449,449,269,50,85,0,0,0,0,0,13,0,8,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,201,84516,0,0,0,0,29,29,7,1,1,9,0,9,0,Flareon
