date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
11-24,10:39:58,NINTEN,Slowbro,Rival1-Lab,1,Pallet Town - Oak's Lab,1,41.33,41,0h0m41s,0,0,0,6,0:02,7.751,CONFUSION,DISABLE,HEADBUTT,,0,71,1,1,1,3,3,3,0,3000,Jolteon, ,Water,Psychic,222,Slowbro8,Slowbro,Rival (Lab),00:00:33.58,00:00:41.33,00:02:10.20,6,0,0,0,41,33,CONFUSION,DISABLE,HEADBUTT,,22,20,15,0,0,0,0,0,19,29,15,20,16,16,10,55,55,50,65,65,55,15,15,15,15,0,-1,0,0,0,0,0,15,13,16,16,10,9779,4701,3091,0,1987,0,0,0,71,71,0,0,1,2,1,1,0,0,23,21,10,10,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,8,0,Jolteon
11-24,10:41:30,NINTEN,Slowbro,Bug Catcher,3,Viridian Forest,1,2:13.32,2:13,0h2m13s,0,0,0,6,0:08,6.75,CONFUSION,DISABLE,HEADBUTT,,0,621,23,2,3,7,7,7,3,75,Flareon, ,Water,Psychic,334,Slowbro8,Slowbro,,00:02:06.57,00:02:13.32,00:08:13.46,6,0,0,2,13,32,CONFUSION,DISABLE,HEADBUTT,,21,20,15,0,0,0,0,0,24,29,15,20,16,16,10,100,85,85,85,85,100,15,15,15,15,0,0,0,0,-1,0,0,15,20,16,16,6,31585,21585,8013,0,1987,0,0,0,621,621,0,0,23,5,2,3,0,0,71,66,15,15,7,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,97,0,0,0,0,1,13,0,1,1,0,0,8,0,Flareon
11-24,10:41:57,NINTEN,Slowbro,Brock,1,Pewter City - Gym,2,2:40.74,2:40,0h2m40s,0,0,0,9,0:10,14.967,CONFUSION,DISABLE,HEADBUTT,,0,727,28,3,3,14,14,12,3,175,Flareon, ,Water,Psychic,794,Slowbro8,Slowbro,Brock,00:02:25.77,00:02:40.74,00:10:02.04,9,0,0,2,40,74,CONFUSION,DISABLE,HEADBUTT,,14,20,15,0,0,0,0,0,13,39,21,27,22,22,13,175,210,345,145,145,190,15,15,15,15,0,0,0,0,0,0,0,21,27,22,22,13,38083,24035,12061,0,1987,0,0,0,727,727,0,0,28,6,3,3,0,0,143,127,36,36,14,1,11,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,669,0,0,0,0,1,13,0,1,1,0,0,8,0,Flareon
11-24,10:42:26,NINTEN,Slowbro,Bug Catcher,4,Route 3,3,3:09.32,3:09,0h3m9s,0,0,0,10,0:11,13.702,CONFUSION,DISABLE,HEADBUTT,,0,800,28,4,3,19,19,17,4,1363,Flareon, ,Water,Psychic,1129,Slowbro8,Slowbro,,00:02:55.61,00:03:09.32,00:11:54.52,10,0,0,3,9,32,CONFUSION,DISABLE,HEADBUTT,,9,20,15,0,0,0,0,0,30,42,23,30,24,24,14,305,305,445,205,205,330,15,15,15,15,0,0,0,0,-1,0,0,25,30,24,24,9,44851,26170,16314,380,1987,0,0,0,800,800,0,0,28,7,4,3,0,0,256,216,42,42,19,2,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,7,1004,0,0,0,0,1,13,0,1,1,0,0,8,0,Flareon
11-24,10:42:42,NINTEN,Slowbro,Youngster,1,Route 3,2,3:25.30,3:25,0h3m25s,0,0,0,11,0:12,12.749,CONFUSION,DISABLE,HEADBUTT,,0,804,28,5,3,25,23,22,4,1463,Flareon, ,Water,Psychic,1407,Slowbro8,Slowbro,,00:03:12.56,00:03:25.30,00:12:58.00,11,0,0,3,25,30,CONFUSION,DISABLE,HEADBUTT,,5,20,15,0,0,0,0,0,13,45,25,33,26,26,15,370,421,524,270,270,457,15,15,15,15,0,-1,0,0,0,0,0,28,21,26,26,15,48639,26433,19839,380,1987,0,0,0,804,804,0,0,28,8,5,3,0,0,352,275,62,62,23,2,20,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,9,1282,0,0,0,0,1,13,0,1,1,0,0,8,0,Flareon
11-24,10:42:56,NINTEN,Slowbro,Lass,2,Route 3,2,3:40.12,3:40,0h3m40s,0,0,0,11,0:13,8.282,CONFUSION,DISABLE,HEADBUTT,,0,810,31,6,3,28,26,25,4,1628,Flareon, ,Water,Psychic,1655,Slowbro8,Slowbro,,00:03:31.82,00:03:40.12,00:13:56.05,11,0,0,3,40,12,CONFUSION,DISABLE,HEADBUTT,,2,20,15,0,0,0,0,0,36,45,25,33,26,26,15,446,534,599,335,335,579,15,15,15,15,0,0,0,0,0,0,0,28,33,26,26,15,52124,26921,22282,934,1987,0,0,0,810,810,0,0,31,9,6,3,0,0,427,332,71,71,26,3,22,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,11,1530,0,0,0,0,1,13,0,1,1,0,0,8,0,Flareon
11-24,10:43:13,NINTEN,Slowbro,Bug Catcher,6,Route 3,2,3:57.09,3:57,0h3m57s,0,0,0,12,0:15,9.674,CONFUSION,DISABLE,HEADBUTT,,0,866,33,7,3,31,29,28,4,1778,Flareon, ,Water,Psychic,1948,Slowbro8,Slowbro,,00:03:47.40,00:03:57.09,00:15:03.02,12,0,0,3,57,9,CONFUSION,DISABLE,HEADBUTT,,1,20,13,0,0,0,0,0,40,49,27,35,28,28,16,541,584,689,380,380,654,15,15,15,15,0,0,0,0,-1,0,0,30,35,28,28,10,56141,28173,25047,934,1987,0,0,0,866,866,0,0,33,10,7,3,0,0,501,397,71,71,29,4,23,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,13,1823,0,0,0,0,1,13,0,1,1,0,0,8,0,Flareon
11-24,10:43:57,NINTEN,Slowbro,Hiker,1,Mt Moon - 1,3,4:41.12,4:41,0h4m41s,0,0,0,13,0:17,11.516,CONFUSION,DISABLE,HEADBUTT,WATER GUN,0,1133,44,8,3,34,32,29,5,1888,Flareon, ,Water,Psychic,2545,Slowbro8,Slowbro,,00:04:29.60,00:04:41.12,00:17:57.04,13,0,0,4,41,12,CONFUSION,DISABLE,HEADBUTT,WATER GUN,25,20,15,22,0,0,0,0,52,52,29,38,30,30,17,656,789,1049,470,470,764,15,15,15,15,0,-2,0,0,0,0,0,36,19,30,30,17,66583,34790,28183,1623,1987,0,0,0,1133,1133,0,0,44,11,8,3,0,0,846,483,71,71,32,4,24,0,0,0,0,0,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,16,2420,0,0,0,0,3,13,0,1,1,1,0,8,0,Flareon
11-24,10:44:25,NINTEN,Slowbro,Super Nerd,2,Mt Moon - 3,3,5:08.82,5:08,0h5m8s,0,0,0,14,0:19,14.563,CONFUSION,DISABLE,HEADBUTT,WATER GUN,0,1254,45,9,3,39,37,32,5,2238,Flareon, ,Water,Psychic,3332,Slowbro8,Slowbro,,00:04:54.25,00:05:08.82,00:19:46.35,14,0,0,5,8,82,CONFUSION,DISABLE,HEADBUTT,WATER GUN,23,20,13,21,0,0,0,0,53,55,31,41,32,32,18,816,964,1244,625,625,924,15,15,15,15,0,-2,0,0,0,0,0,38,20,32,32,18,73154,37512,32032,1623,1987,0,0,0,1254,1254,0,0,45,12,9,3,0,0,972,592,73,73,37,4,27,0,0,0,0,0,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,19,3207,0,0,0,0,3,13,0,1,1,1,0,8,0,Flareon
11-24,10:44:46,NINTEN,Slowbro,Rocket,42,Mt Moon - 3,3,5:29.74,5:29,0h5m29s,0,0,0,15,0:21,13.328,CONFUSION,DISABLE,HEADBUTT,WATER GUN,0,1270,46,10,3,43,41,35,6,2538,Flareon, ,Water,Psychic,4067,Slowbro8,Slowbro,,00:05:16.40,00:05:29.74,00:21:09.19,15,0,0,5,29,74,CONFUSION,DISABLE,HEADBUTT,WATER GUN,19,20,13,21,0,0,0,0,41,59,33,43,34,34,19,931,1134,1418,765,765,1104,15,15,15,15,-1,0,0,0,0,0,0,23,43,34,34,19,78118,38912,35596,1623,1987,0,0,0,1270,1270,0,0,46,13,10,3,0,0,1098,702,89,89,41,4,30,0,0,0,0,0,4,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,22,3942,0,0,0,0,3,13,0,1,1,1,0,8,0,Flareon
