date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
12-15,14:27:45,NINTEN,Zapdos,Rival1-Lab,1,Pallet Town - Oak's Lab,1,39.77,39,0h0m39s,0,0,0,5,0:02,6.046,DRILL PECK,THUNDERSHOCK,,,0,71,1,1,1,2,2,1,0,3000,Jolteon, ,Electric,Flying,253,Zapdos20,Zapdos,Rival (Lab),00:00:33.72,00:00:39.77,00:02:04.17,5,0,0,0,39,77,DRILL PECK,THUNDERSHOCK,,,18,30,0,0,0,0,0,0,20,25,15,15,19,19,16,55,55,50,65,65,55,15,15,15,15,0,0,0,0,0,0,0,15,15,19,19,16,9405,4764,2665,0,1976,0,0,0,71,71,0,0,1,2,1,1,0,0,31,21,5,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,Jolteon
12-15,14:29:05,NINTEN,Zapdos,Bug Catcher,1,Viridian Forest,2,2:00.69,2:00,0h2m0s,0,0,0,6,0:07,7.36,DRILL PECK,THUNDERSHOCK,,,0,536,41,2,3,5,5,2,0,2975,Flareon, ,Electric,Flying,411,Zapdos20,Zapdos,,00:01:53.34,00:02:00.69,00:07:23.36,6,0,0,2,0,69,DRILL PECK,THUNDERSHOCK,,,17,30,0,0,0,0,0,0,25,28,17,17,21,21,18,145,115,120,105,105,145,15,15,15,15,0,0,0,0,0,0,0,17,17,21,21,18,28564,18933,7655,0,1976,0,0,0,536,536,0,0,41,5,2,3,0,0,112,84,8,8,5,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,255,0,0,0,0,0,1,0,1,1,0,0,20,0,Flareon
12-15,14:29:21,NINTEN,Zapdos,Bug Catcher,2,Viridian Forest,3,2:15.82,2:15,0h2m15s,0,0,0,8,0:08,10.858,DRILL PECK,THUNDERSHOCK,,,0,554,45,3,3,8,8,2,0,3045,Flareon, ,Electric,Flying,660,Zapdos20,Zapdos,,00:02:04.95,00:02:15.82,00:08:23.18,8,0,0,2,15,82,DRILL PECK,THUNDERSHOCK,,,14,30,0,0,0,0,0,0,32,35,22,21,27,27,23,290,185,265,175,175,250,15,15,15,15,0,0,0,0,0,0,0,22,21,27,27,23,32146,19518,10652,0,1976,0,0,0,554,554,0,0,45,6,3,3,0,0,243,150,8,8,8,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,504,0,0,0,0,0,1,0,1,1,0,0,20,0,Flareon
12-15,14:29:33,NINTEN,Zapdos,Bug Catcher,15,Viridian Forest,2,2:28.23,2:28,0h2m28s,0,0,0,8,0:09,6.702,DRILL PECK,THUNDERSHOCK,,,0,589,48,4,3,10,10,2,1,3105,Flareon, ,Electric,Flying,873,Zapdos20,Zapdos,,00:02:21.53,00:02:28.23,00:09:12.20,8,0,0,2,28,23,DRILL PECK,THUNDERSHOCK,,,12,30,0,0,0,0,0,0,32,35,22,21,27,27,23,385,235,355,220,220,325,15,15,15,15,0,0,0,0,0,0,0,22,21,27,27,23,35088,20444,12668,0,1976,0,0,0,589,589,0,0,48,7,4,3,0,0,322,203,8,8,10,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,717,0,0,0,0,1,1,0,1,1,0,0,20,0,Flareon
12-15,14:29:44,NINTEN,Zapdos,Bug Catcher,3,Viridian Forest,1,2:38.82,2:38,0h2m38s,0,0,0,9,0:09,4.809,DRILL PECK,THUNDERSHOCK,,,0,637,48,5,3,11,11,2,1,3185,Flareon, ,Electric,Flying,985,Zapdos20,Zapdos,,00:02:34.00,00:02:38.82,00:09:54.07,9,0,0,2,38,82,DRILL PECK,THUNDERSHOCK,,,11,30,0,0,0,0,0,0,35,38,24,23,30,30,26,430,265,390,240,240,370,15,15,15,15,0,0,0,0,0,0,0,24,23,30,30,26,37595,21408,14211,0,1976,0,0,0,637,637,0,0,48,8,5,3,0,0,360,233,8,8,11,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,829,0,0,0,0,1,1,0,1,1,0,0,20,0,Flareon
12-15,14:30:08,NINTEN,Zapdos,Jr Trainer M,1,Pewter City - Gym,2,3:03.65,3:03,0h3m3s,0,0,0,10,0:11,8.672,DRILL PECK,THUNDERSHOCK,,,0,751,48,6,3,14,14,3,1,3285,Flareon, ,Electric,Flying,1319,Zapdos20,Zapdos,,00:02:54.98,00:03:03.65,00:11:31.58,10,0,0,3,3,65,DRILL PECK,THUNDERSHOCK,,,17,30,0,0,0,0,0,0,36,41,26,25,33,33,28,490,395,500,315,315,505,15,15,15,15,0,0,0,0,0,0,0,26,25,33,33,28,43466,24706,16784,0,1976,0,0,0,751,751,0,0,48,9,6,3,0,0,420,284,13,13,14,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1163,0,0,0,0,1,1,0,1,1,0,0,20,0,Flareon
12-15,14:30:42,NINTEN,Zapdos,Brock,1,Pewter City - Gym,2,3:36.98,3:36,0h3m36s,0,0,0,11,0:13,29.001,DRILL PECK,THUNDERSHOCK,,,0,755,49,7,3,31,29,13,1,3465,Flareon, ,Electric,Flying,1779,Zapdos20,Zapdos,Brock,00:03:07.98,00:03:36.98,00:13:44.09,11,0,0,3,36,98,DRILL PECK,THUNDERSHOCK,,,5,27,0,0,0,0,0,0,14,44,28,27,36,36,30,565,520,760,375,375,595,15,15,15,15,0,-2,0,0,0,0,0,28,13,36,36,30,51397,25172,24249,0,1976,0,0,0,755,755,0,0,49,10,7,3,0,0,486,345,38,38,29,4,9,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1623,0,0,0,0,1,1,0,1,1,0,0,20,0,Flareon
12-15,14:31:12,NINTEN,Zapdos,Bug Catcher,4,Route 3,3,4:06.82,4:06,0h4m6s,0,0,0,11,0:15,9.108,DRILL PECK,THUNDERSHOCK,,,0,882,50,8,3,34,32,13,2,4653,Flareon, ,Electric,Flying,2114,Zapdos20,Zapdos,,00:03:57.70,00:04:06.82,00:15:41.58,11,0,0,4,6,82,DRILL PECK,THUNDERSHOCK,,,17,30,0,0,0,0,0,0,44,44,28,27,36,36,30,695,615,860,435,435,735,15,15,15,15,0,0,0,0,0,0,0,31,27,36,36,30,58466,29080,27410,0,1976,0,0,0,882,882,0,0,50,11,8,3,0,0,683,434,38,38,32,4,9,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1958,0,0,0,0,1,1,0,1,1,0,0,20,0,Flareon
12-15,14:31:25,NINTEN,Zapdos,Youngster,1,Route 3,2,4:20.27,4:20,0h4m20s,0,0,0,12,0:16,9.609,DRILL PECK,THUNDERSHOCK,,,0,886,50,9,3,37,35,15,2,4753,Flareon, ,Electric,Flying,2392,Zapdos20,Zapdos,,00:04:10.67,00:04:20.27,00:16:35.03,12,0,0,4,20,27,DRILL PECK,THUNDERSHOCK,,,15,29,0,0,0,0,0,0,41,47,30,29,39,39,33,760,731,939,500,500,862,15,15,15,15,0,-1,0,0,0,0,0,37,19,39,39,33,61651,29494,30181,0,1976,0,0,0,886,886,0,0,50,12,9,3,0,0,776,493,44,44,35,4,11,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2236,0,0,0,0,1,1,0,1,1,0,0,20,0,Flareon
12-15,14:31:40,NINTEN,Zapdos,Bug Catcher,5,Route 3,4,4:35.52,4:35,0h4m35s,0,0,0,13,0:17,12.437,DRILL PECK,THUNDERSHOCK,,,0,890,51,10,3,41,39,15,2,4918,Flareon, ,Electric,Flying,2867,Zapdos20,Zapdos,,00:04:23.08,00:04:35.52,00:17:35.06,13,0,0,4,35,52,DRILL PECK,THUNDERSHOCK,,,11,29,0,0,0,0,0,0,45,51,33,32,42,42,35,940,841,1109,590,590,1022,15,15,15,15,0,0,0,0,0,0,0,37,32,42,42,35,65254,29668,33610,0,1976,0,0,0,890,890,0,0,51,13,10,3,0,0,1057,605,44,44,39,4,11,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2711,0,0,0,0,1,1,0,1,1,0,0,20,0,Flareon
12-15,14:31:51,NINTEN,Zapdos,Bug Catcher,6,Route 3,2,4:46.27,4:46,0h4m46s,0,0,0,13,0:18,6.762,DRILL PECK,THUNDERSHOCK,,,0,898,52,11,3,43,41,15,2,5008,Flareon, ,Electric,Flying,3160,Zapdos20,Zapdos,,00:04:39.50,00:04:46.27,00:18:17.27,13,0,0,4,46,27,DRILL PECK,THUNDERSHOCK,,,9,29,0,0,0,0,0,0,45,51,33,32,42,42,35,1035,891,1199,635,635,1097,15,15,15,15,0,0,0,0,0,0,0,37,32,42,42,35,67795,30084,35735,0,1976,0,0,0,898,898,0,0,52,14,11,3,0,0,1201,670,44,44,41,4,11,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3004,0,0,0,0,1,1,0,1,1,0,0,20,0,Flareon
12-15,14:32:35,NINTEN,Zapdos,Super Nerd,2,Mt Moon - 3,3,5:30.33,5:30,0h5m30s,0,0,0,14,0:21,13.751,DRILL PECK,THUNDERSHOCK,,,0,1256,60,12,3,48,46,17,3,5118,Flareon, ,Electric,Flying,3947,Zapdos20,Zapdos,,00:05:16.60,00:05:30.33,00:21:11.59,14,0,0,5,30,33,DRILL PECK,THUNDERSHOCK,,,5,28,0,0,0,0,0,0,44,54,35,34,45,45,38,1195,1066,1394,790,790,1257,15,15,15,15,0,-2,0,0,0,0,0,39,17,45,45,38,78267,36894,39397,0,1976,0,0,0,1256,1256,0,0,60,15,12,3,0,0,1324,779,48,48,46,4,13,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,3791,0,0,0,0,2,1,0,1,1,0,0,20,0,Flareon
12-15,14:32:57,NINTEN,Zapdos,Rocket,42,Mt Moon - 3,3,5:52.56,5:52,0h5m52s,0,0,0,15,0:22,11.685,DRILL PECK,THUNDERSHOCK,,,0,1280,71,13,3,53,51,19,4,5418,Flareon, ,Electric,Flying,4682,Zapdos20,Zapdos,,00:05:40.88,00:05:52.56,00:22:39.53,15,0,0,5,52,56,DRILL PECK,THUNDERSHOCK,,,0,28,0,0,0,0,0,0,47,57,37,36,48,48,40,1310,1236,1568,930,930,1437,15,15,15,15,0,0,0,0,0,0,0,41,36,48,48,40,83541,38999,42566,0,1976,0,0,0,1280,1280,0,0,71,16,13,3,0,0,1465,889,48,48,50,7,13,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,4526,0,0,0,0,2,1,0,1,1,0,0,20,0,Flareon
12-15,14:33:19,NINTEN,Zapdos,Jr Trainer F,1,Cerulean City - Gym,1,6:14.13,6:14,0h6m14s,0,0,0,16,0:24,6.375,DRILL PECK,THUNDERSHOCK,,,0,1420,74,14,3,55,53,20,4,5838,Flareon, ,Electric,Flying,5133,Zapdos20,Zapdos,,00:06:07.75,00:06:14.13,00:24:05.00,16,0,0,6,14,13,DRILL PECK,THUNDERSHOCK,,,0,26,0,0,0,0,0,0,49,61,40,38,51,51,43,1355,1303,1628,980,980,1500,15,15,15,15,0,0,0,0,0,0,0,45,38,51,51,43,88648,42137,44535,0,1976,0,0,0,1420,1420,0,0,74,17,14,3,0,0,1554,938,50,50,52,7,14,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,4977,0,0,0,0,2,1,0,1,1,0,0,20,0,Flareon
12-15,14:33:35,NINTEN,Zapdos,Misty,1,Cerulean City - Gym,2,6:30.18,6:30,0h6m30s,0,0,0,17,0:25,12.265,DRILL PECK,THUNDERSHOCK,,,0,1421,77,15,3,60,58,22,4,6218,Flareon, ,Electric,Flying,6472,Zapdos20,Zapdos,Misty,00:06:17.93,00:06:30.18,00:25:08.28,17,0,0,6,30,18,DRILL PECK,THUNDERSHOCK,,,0,21,0,0,0,0,0,0,44,64,42,40,53,53,45,1445,1423,1768,1150,1150,1700,15,15,15,15,0,0,0,0,0,0,0,47,40,53,53,45,92456,42578,47902,0,1976,0,0,0,1421,1421,0,0,77,18,15,3,0,0,1698,1038,58,58,57,7,15,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,6316,0,0,0,0,2,1,0,1,1,0,0,20,0,Flareon
12-15,14:34:12,NINTEN,Zapdos,Rival2-Nugget Bridge,3,Cerulean City,4,7:07.23,7:07,0h7m7s,0,0,0,18,0:27,16.218,DRILL PECK,THUNDERSHOCK,,,0,1523,83,16,3,66,64,25,5,8297,Flareon, ,Electric,Flying,7510,Zapdos20,Zapdos,Rival (Nugget Bridge),00:06:51.01,00:07:07.23,00:27:34.27,18,0,0,7,7,23,DRILL PECK,THUNDERSHOCK,,,15,29,0,0,0,0,0,0,56,67,44,42,57,57,48,1620,1669,1968,1301,1301,1937,15,15,15,15,0,-1,0,0,0,0,0,49,27,57,57,48,101215,46881,52358,0,1976,0,0,0,1523,1523,0,0,83,19,16,3,0,0,1929,1209,69,69,63,7,18,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,7354,0,0,0,0,3,1,0,1,1,0,0,20,0,Flareon
12-15,14:34:26,NINTEN,Zapdos,Bug Catcher,9,Route 24,2,7:21.10,7:21,0h7m21s,0,0,0,18,0:28,6.171,DRILL PECK,THUNDERSHOCK,,,0,1534,83,17,3,68,66,25,5,8892,Flareon, ,Electric,Flying,7825,Zapdos20,Zapdos,,00:07:14.93,00:07:21.10,00:28:29.08,18,0,0,7,21,10,DRILL PECK,THUNDERSHOCK,,,15,27,0,0,0,0,0,0,56,67,44,42,57,57,48,1705,1734,2033,1341,1341,2032,15,15,15,15,0,0,0,0,0,0,0,49,42,57,57,48,104496,48186,54334,0,1976,0,0,0,1534,1534,0,0,83,20,17,3,0,0,2031,1284,69,69,65,7,18,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,7669,0,0,0,0,3,1,0,1,1,0,0,20,0,Flareon
12-15,14:34:37,NINTEN,Zapdos,Lass,8,Route 24,2,7:31.78,7:31,0h7m31s,0,0,0,18,0:29,8.064,DRILL PECK,THUNDERSHOCK,,,0,1536,83,18,3,71,69,27,5,9032,Flareon, ,Electric,Flying,8167,Zapdos20,Zapdos,,00:07:23.71,00:07:31.78,00:29:11.14,18,0,0,7,31,78,DRILL PECK,THUNDERSHOCK,,,15,24,0,0,0,0,0,0,48,67,44,42,57,57,48,1800,1826,2125,1416,1416,2129,15,15,15,15,0,0,0,0,0,0,0,49,42,57,57,48,107022,48308,56738,0,1976,0,0,0,1536,1536,0,0,83,21,18,3,0,0,2170,1362,77,77,68,7,20,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,8011,0,0,0,0,3,1,0,1,1,0,0,20,0,Flareon
12-15,14:34:49,NINTEN,Zapdos,Youngster,4,Route 24,3,7:44.46,7:44,0h7m44s,0,0,0,19,0:30,9.859,DRILL PECK,THUNDERSHOCK,,,0,1540,84,19,3,74,72,27,5,9242,Flareon, ,Electric,Flying,8686,Zapdos20,Zapdos,,00:07:34.61,00:07:44.46,00:30:01.12,19,0,0,7,44,46,DRILL PECK,THUNDERSHOCK,,,14,22,0,0,0,0,0,0,51,70,46,45,59,59,50,1905,1987,2239,1521,1521,2311,15,15,15,15,0,0,0,0,0,0,0,51,45,59,59,50,110020,48498,59546,0,1976,0,0,0,1540,1540,0,0,84,22,19,3,0,0,2368,1469,77,77,71,7,20,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,8530,0,0,0,0,3,1,0,1,1,0,0,20,0,Flareon
12-15,14:35:01,NINTEN,Zapdos,Lass,7,Route 24,2,7:55.78,7:55,0h7m55s,0,0,0,19,0:30,8.531,DRILL PECK,THUNDERSHOCK,,,0,1544,85,20,3,77,75,28,5,9452,Flareon, ,Electric,Flying,9074,Zapdos20,Zapdos,,00:07:47.25,00:07:55.78,00:30:45.45,19,0,0,7,55,78,DRILL PECK,THUNDERSHOCK,,,14,19,0,0,0,0,0,0,49,70,46,45,59,59,50,2000,2079,2331,1596,1596,2408,15,15,15,15,0,0,0,0,0,0,0,51,45,59,59,50,112693,48672,62045,0,1976,0,0,0,1544,1544,0,0,85,23,20,3,0,0,2498,1556,79,79,74,7,21,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,8918,0,0,0,0,3,1,0,1,1,0,0,20,0,Flareon
