ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Zapdos28,Zapdos,Rival (Lab),00:00:33.85,00:00:39.55,00:02:03.32,5,0,0,0,39,55,DRILL PECK,THUNDERSHOCK,,,15,15,19,19,16,0,0,0,0,0,0,0,15,15,19,19,16,9354,4799,2585,0,1970,0,0,0,73,73,0,0,2,2,1,1,0,0,29,21,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,28,0,Jolteon
Zapdos28,Zapdos,Brock,00:03:05.20,00:03:32.83,00:13:27.45,11,0,0,3,32,83,DRILL PECK,THUNDERSHOCK,,,28,27,36,36,30,0,0,0,0,0,0,0,28,27,36,36,30,50407,24686,23751,0,1970,0,0,0,729,729,0,0,42,10,7,3,0,0,455,344,26,26,30,5,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1623,0,0,0,0,1,3,0,1,1,0,0,28,0,Flareon
Zapdos28,Zapdos,Misty,00:06:21.71,00:06:33.79,00:25:22.47,17,0,0,6,33,79,DRILL PECK,THUNDERSHOCK,,,42,40,53,53,45,0,0,0,0,0,0,0,47,40,53,53,45,93309,42808,48531,0,1970,0,0,0,1379,1379,0,0,62,18,15,3,0,0,1918,1037,52,52,62,10,12,0,0,0,0,0,14,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,33,6316,0,0,0,0,2,3,0,1,1,0,0,28,0,Flareon
Zapdos28,Zapdos,Rival (Nugget Bridge),00:06:50.33,00:07:05.28,00:27:26.50,18,0,0,7,5,28,DRILL PECK,THUNDERSHOCK,,,44,42,57,57,48,0,0,0,0,0,-1,0,49,42,57,57,48,100752,46101,52681,0,1970,0,0,0,1473,1473,0,0,69,19,16,3,0,0,2138,1208,57,57,67,11,14,0,0,0,0,0,15,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,37,7354,0,0,0,0,3,3,0,1,1,0,0,28,0,Flareon
Zapdos28,Zapdos,Oddish Lass,00:09:01.29,00:09:12.64,00:35:49.10,21,0,0,9,12,64,DRILL PECK,THUNDERSHOCK,,,51,49,66,66,56,0,0,0,0,0,0,0,57,49,66,66,56,130892,53208,75714,0,1970,0,0,0,1593,1593,0,0,105,29,26,3,0,0,3742,2024,79,79,91,11,19,0,0,0,0,0,19,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,58,11454,0,0,0,0,4,3,0,1,1,0,0,28,0,Flareon
Zapdos28,Zapdos,Rocket,00:09:38.16,00:09:44.94,00:37:56.45,21,0,0,9,44,94,DRILL PECK,THUNDERSHOCK,,,51,49,66,66,56,0,0,0,0,0,0,0,57,49,66,66,56,138547,58784,77793,0,1970,0,0,0,1731,1731,0,0,111,30,27,3,0,0,3915,2127,79,79,93,11,19,0,0,0,0,0,19,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,60,12143,0,0,0,0,5,3,0,1,1,0,0,28,0,Flareon
Zapdos28,Zapdos,Rival (SS Anne),00:11:29.30,00:11:42.95,00:45:40.53,24,0,0,11,42,95,DRILL PECK,THUNDERSHOCK,,,59,56,75,75,64,0,0,0,0,0,0,0,66,56,75,75,64,166395,70580,93187,658,1970,0,0,0,2148,2148,0,0,133,36,33,3,0,0,5186,2858,84,84,110,11,20,0,0,0,0,0,21,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,76,17365,0,0,0,0,10,6,0,1,1,0,0,28,0,Flareon
Zapdos28,Zapdos,Lt. Surge,00:12:32.19,00:12:44.39,00:49:43.27,25,0,0,12,44,39,DRILL PECK,THUNDERSHOCK,REST,,61,58,78,78,66,-1,0,0,0,0,0,0,45,58,78,78,66,180949,77040,96606,5333,1970,0,0,0,2325,2325,0,0,139,37,34,3,0,0,5273,2934,162,162,115,11,24,0,0,0,0,0,23,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,77,18097,0,0,0,0,10,6,0,1,1,3,0,28,0,Flareon
Zapdos28,Zapdos,RTG1 - Wrapping Lass,00:13:29.87,00:13:41.49,00:53:28.13,25,0,0,13,41,49,DRILL PECK,THUNDERSHOCK,REST,THUNDERBOLT,61,58,78,78,66,0,0,0,0,0,0,0,68,65,78,78,66,194435,84974,99951,7540,1970,0,0,0,2512,2463,49,0,154,38,35,3,0,0,5905,3124,162,162,119,11,24,0,0,0,0,0,23,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,81,19345,0,0,0,0,10,6,0,1,1,4,0,28,0,Flareon
Zapdos28,Zapdos,RTG4 - Status Jr Trainer,00:14:27.38,00:14:34.13,00:56:55.43,26,0,0,14,34,13,DRILL PECK,THUNDERSHOCK,REST,THUNDERBOLT,63,61,81,81,69,0,0,0,0,0,0,0,70,68,81,81,69,206885,88297,108295,8323,1970,0,0,0,2719,2463,256,0,175,42,39,3,0,0,7062,3612,162,162,128,11,25,0,0,0,0,0,24,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,89,22225,0,0,0,0,10,6,0,1,1,4,0,28,0,Flareon
