player_name,pokemon,trainer_name,real_time_hmmss,resets,blackouts,level,game_time,battle_duration,move1,move2,move3,move4
NINTEN,Porygon,Rival1-Lab,37,0,0,5,0:01,10.628,TACKLE,SHARPEN,CONVERSION,
NINTEN,Porygon,Brock,8:22,0,5,14,0:32,67.558,TACKLE,SHARPEN,CONVERSION,
NINTEN,Porygon,Misty,15:53,5,5,21,0:53,22.68,TACKLE,SHARPEN,CONVERSION,BIDE
NINTEN,Porygon,Rival2-Nugget Bridge,16:37,5,5,21,0:56,26.307,TACKLE,SHARPEN,CONVERSION,BIDE
NINTEN,Porygon,Cerulean Rocket,19:53,5,5,24,1:08,12.011,PSYBEAM,SHARPEN,CONVERSION,TACKLE
NINTEN,Porygon,Rival3-SS Anne,21:41,5,5,26,1:16,19.785,PSYBEAM,SHARPEN,CONVERSION,TACKLE
NINTEN,Porygon,Surge,22:51,5,5,27,1:20,24.42,PSYBEAM,SHARPEN,CONVERSION,TACKLE
NINTEN,Porygon,Rival4-Pkmn Tower,30:10,5,5,31,1:49,30.209,PSYCHIC,SHARPEN,RECOVER,THUNDERBOLT
NINTEN,Porygon,Erika,33:05,5,5,34,2:01,17.122,PSYCHIC,SHARPEN,TRI ATTACK,THUNDERBOLT
NINTEN,Porygon,Koga,37:00,7,5,38,2:12,19.047,PSYCHIC,SHARPEN,TRI ATTACK,THUNDERBOLT
NINTEN,Porygon,Rival5-Silph,39:41,7,5,40,2:23,31.442,PSYCHIC,SHARPEN,TRI ATTACK,THUNDERBOLT
NINTEN,Porygon,Sabrina,42:12,8,5,42,2:31,27.894,PSYCHIC,SHARPEN,TRI ATTACK,THUNDERBOLT
NINTEN,Porygon,Blaine,44:39,8,5,44,2:41,25.267,PSYCHIC,SHARPEN,TRI ATTACK,THUNDERBOLT
NINTEN,Porygon,Giovanni,46:07,8,5,46,2:47,27.199,PSYCHIC,SHARPEN,TRI ATTACK,THUNDERBOLT
NINTEN,Porygon,Rival6-Route 22,47:13,8,5,48,2:51,31.909,PSYCHIC,SHARPEN,TRI ATTACK,THUNDERBOLT
NINTEN,Porygon,Lorelei,50:58,8,5,55,3:06,30.996,PSYCHIC,SHARPEN,TRI ATTACK,THUNDERBOLT
NINTEN,Porygon,Bruno,51:29,8,5,56,3:08,18.698,PSYCHIC,SHARPEN,TRI ATTACK,THUNDERBOLT
NINTEN,Porygon,Agatha,52:25,8,5,57,3:12,43.246,PSYCHIC,SHARPEN,TRI ATTACK,THUNDERBOLT
NINTEN,Porygon,Lance,53:18,8,5,58,3:15,24.617,ICE BEAM,SHARPEN,TRI ATTACK,THUNDERBOLT
NINTEN,Porygon,Champion,58:13,14,5,59,3:19,46.507,ICE BEAM,SHARPEN,TRI ATTACK,THUNDERBOLT
NINTEN,Porygon,Agatha,58:13,14,5,57,3:10,0.58,PSYCHIC,SHARPEN,TRI ATTACK,THUNDERBOLT
