ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Alakazam12,Alakazam,Rival (Lab),00:00:28.00,00:00:34.33,00:01:43.11,6,0,0,0,34,33,CONFUSION,TELEPORT,DISABLE,,12,12,23,23,21,0,0,0,0,0,0,0,12,12,23,23,21,2008,4448,1718,0,2008,0,0,0,63,63,0,0,3,1,1,0,0,0,27,19,4,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69,0,0,0,0,0,0,0,0,0,0,0,12,0,No Team Selected
Alakazam12,Alakazam,Rival (Lab),00:00:27.98,00:00:34.31,00:01:43.10,6,0,0,0,34,31,CONFUSION,TELEPORT,DISABLE,,12,12,23,23,21,0,0,0,0,0,0,0,12,12,23,23,21,2008,4448,1717,0,2008,0,0,0,63,63,0,0,3,1,1,0,0,0,27,19,4,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69,0,0,0,0,0,0,0,0,0,0,0,12,0,No Team Selected
Alakazam12,Alakazam,Brock,00:01:42.37,00:01:52.58,00:06:53.29,11,0,0,1,52,58,CONFUSION,TELEPORT,DISABLE,,19,18,38,38,35,0,0,0,0,0,0,0,19,18,38,38,35,2008,18383,6197,204,2008,0,0,0,596,596,0,0,13,3,3,0,0,0,147,115,4,4,8,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,712,0,0,0,0,0,0,0,0,0,0,0,12,0,No Team Selected
Alakazam12,Alakazam,Rival (Nugget Bridge),00:04:18.31,00:04:34.20,00:17:34.28,18,0,0,4,34,20,CONFUSION,TELEPORT,DISABLE,,29,28,60,60,55,0,0,0,0,0,0,0,32,28,60,60,55,2008,35913,27126,204,2008,0,0,0,1244,1244,0,0,52,11,10,1,0,0,1440,781,25,25,32,3,3,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,4274,0,0,0,0,2,9,0,1,1,0,0,12,0,No Team Selected
Alakazam12,Alakazam,Oddish Lass,00:06:21.24,00:06:30.06,00:25:14.02,22,0,0,6,30,6,CONFUSION,TELEPORT,DISABLE,BIDE,36,33,72,72,66,0,0,0,0,0,0,0,40,33,72,72,66,2008,41826,47863,1128,2008,0,0,0,1352,1352,0,0,86,21,20,1,0,0,3872,1597,44,44,53,3,6,0,0,0,0,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,45,8374,0,0,0,0,3,9,0,1,1,1,0,12,0,No Team Selected
Alakazam12,Alakazam,Misty,00:07:00.34,00:07:11.34,00:27:57.42,24,0,0,7,11,34,CONFUSION,TELEPORT,DISABLE,BIDE,39,36,79,79,72,0,0,0,0,0,0,0,43,36,79,79,72,2008,46471,52746,1420,2008,0,0,0,1417,1417,0,0,95,23,22,1,0,0,4103,1746,89,89,57,4,10,0,0,0,0,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,48,10164,0,0,0,0,3,9,0,1,1,1,0,12,0,No Team Selected
Alakazam12,Alakazam,Rocket,00:07:28.23,00:07:37.18,00:29:39.53,24,0,0,7,37,18,CONFUSION,TELEPORT,DISABLE,BIDE,39,36,79,79,72,0,0,0,0,0,0,0,43,36,79,79,72,2008,49717,55631,1420,2008,0,0,0,1504,1504,0,0,100,24,23,1,0,0,4303,1849,94,94,61,5,11,0,0,0,0,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,50,10853,0,0,0,0,3,9,0,1,1,1,0,12,0,No Team Selected
Alakazam12,Alakazam,Rival (SS Anne),00:08:57.31,00:09:17.03,00:36:15.51,27,0,0,9,17,3,PSYBEAM,TELEPORT,BODY SLAM,CONFUSION,43,40,89,89,81,0,0,0,0,0,0,0,48,40,89,89,81,2008,58823,69173,2530,2008,0,0,0,1828,1828,0,0,134,29,28,1,0,0,5199,2428,137,137,75,5,16,0,0,0,0,0,19,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,62,15184,0,0,0,0,6,9,0,1,1,2,0,12,0,No Team Selected
Alakazam12,Alakazam,Lt. Surge,00:10:05.30,00:10:14.76,00:40:04.28,27,0,0,10,14,76,PSYBEAM,TELEPORT,BODY SLAM,CONFUSION,43,40,89,89,81,0,0,0,0,0,0,0,48,40,89,89,81,2008,66596,71967,5680,2008,0,0,0,2015,2015,0,0,165,30,29,1,0,0,5425,2588,146,146,79,5,17,0,0,0,0,0,19,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65,16589,0,0,0,0,6,13,0,1,1,5,0,12,0,No Team Selected
Alakazam12,Alakazam,RTG1 - Wrapping Lass,00:10:46.36,00:10:57.58,00:42:54.04,28,0,0,10,57,58,PSYBEAM,TELEPORT,BODY SLAM,CONFUSION,45,42,92,92,84,0,0,0,0,0,0,0,50,47,92,92,84,2008,71832,75224,7363,2008,0,0,0,2147,2095,52,0,172,31,30,1,0,0,5883,2778,146,146,83,5,17,0,0,0,0,0,20,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,69,17837,0,0,0,0,6,13,0,1,1,5,0,12,0,No Team Selected
