ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Blastoise12,Blastoise,Rival (Lab),00:00:28.45,00:00:43.57,00:02:20.25,6,0,0,0,43,57,WATER GUN,TAIL WHIP,BUBBLE,TACKLE,16,18,17,17,16,-2,0,0,0,0,0,0,8,18,17,17,16,1981,4583,3818,0,1981,0,0,0,61,61,0,0,2,1,1,0,0,0,20,20,6,6,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,67,0,0,0,0,0,0,0,0,0,0,0,12,0,No Team Selected
Blastoise12,Blastoise,Brock,00:02:03.30,00:02:12.20,00:08:12.06,11,0,0,2,12,20,WATER GUN,TAIL WHIP,BUBBLE,TACKLE,26,30,27,27,25,0,-2,0,0,0,0,0,26,15,27,27,25,1981,20222,8969,310,1981,0,0,0,696,696,0,0,22,3,3,0,0,0,144,116,12,12,11,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,710,0,0,0,0,1,0,0,0,0,0,0,12,0,No Team Selected
Blastoise12,Blastoise,Misty,00:05:38.15,00:05:54.56,00:22:54.40,19,0,0,5,54,56,BIDE,MEGA PUNCH,BUBBLE,WATER GUN,43,50,44,44,42,0,0,0,0,0,0,0,48,50,44,44,42,1981,40631,37872,3952,1981,1,0,0,1372,1372,0,0,58,12,11,1,0,0,1065,767,90,90,43,4,29,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4975,0,0,0,0,4,20,0,2,1,2,0,12,0,No Team Selected
Blastoise12,Blastoise,Rival (Nugget Bridge),00:06:22.16,00:06:37.10,00:25:43.11,20,0,0,6,37,10,BUBBLEBEAM,MEGA PUNCH,BUBBLE,WATER GUN,45,52,46,46,44,0,0,0,0,0,0,0,50,52,46,46,44,1981,44769,42179,5618,1981,1,0,0,1474,1474,0,0,62,13,12,1,0,0,1321,935,110,110,49,4,31,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,6059,0,0,0,0,5,20,0,2,1,3,0,12,0,No Team Selected
Blastoise12,Blastoise,Oddish Lass,00:08:20.76,00:08:34.86,00:33:30.32,24,0,0,8,34,86,BUBBLEBEAM,MEGA PUNCH,BITE,WATER GUN,54,63,55,55,52,0,0,0,0,0,0,0,60,63,55,55,52,1981,50799,64190,5618,1981,1,0,0,1582,1582,0,0,83,23,22,1,0,0,2595,1751,122,122,71,4,34,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,10159,0,0,0,0,6,20,0,2,1,3,0,12,0,No Team Selected
Blastoise12,Blastoise,Rocket,00:09:06.61,00:09:13.86,00:36:05.04,24,0,0,9,13,86,BUBBLEBEAM,MEGA PUNCH,BITE,WATER GUN,54,63,55,55,52,0,0,0,0,0,0,0,60,63,55,55,52,1981,56232,66394,7253,1981,1,0,0,1664,1664,0,0,88,24,23,1,0,0,2716,1854,125,125,74,4,35,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,10848,0,0,0,0,6,20,0,2,1,4,0,12,0,No Team Selected
Blastoise12,Blastoise,Rival (SS Anne),00:10:18.66,00:10:34.11,00:41:23.16,26,0,0,10,34,11,BUBBLEBEAM,MEGA PUNCH,BITE,WATER GUN,59,68,60,60,57,0,0,0,0,0,0,0,66,68,60,60,57,1981,64253,77465,7253,1981,1,0,0,1960,1960,0,0,100,28,26,2,0,0,3327,2298,148,148,86,5,40,0,0,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,14021,0,0,0,0,7,23,0,3,2,4,0,12,0,No Team Selected
Blastoise12,Blastoise,Lt. Surge,00:11:22.21,00:11:33.73,00:45:19.43,27,0,0,11,33,73,BUBBLEBEAM,MEGA PUNCH,BITE,DIG,61,70,62,62,59,0,0,0,0,0,0,0,68,70,62,62,59,1981,70821,80748,11589,1981,2,0,0,2136,2136,0,0,107,29,27,2,0,0,3673,2458,148,148,89,8,40,0,0,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,15426,0,0,0,0,7,23,0,3,2,6,0,12,0,No Team Selected
Blastoise12,Blastoise,RTG1 - Wrapping Lass,00:12:10.61,00:12:23.89,00:48:38.18,27,0,0,12,23,89,BUBBLEBEAM,MEGA PUNCH,BITE,DIG,61,70,62,62,59,0,0,0,0,0,0,0,68,78,62,62,59,1981,76954,84499,13620,1981,3,0,0,2278,2226,52,0,119,30,28,2,0,0,3939,2648,148,148,93,10,40,0,0,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,16674,0,0,0,0,7,23,0,3,2,6,0,12,0,No Team Selected
Blastoise12,Blastoise,RTG4 - Status Jr Trainer,00:13:11.93,00:13:20.30,00:52:22.13,29,0,0,13,20,30,BUBBLEBEAM,MEGA PUNCH,BITE,DIG,66,76,67,67,63,0,0,0,0,0,0,0,74,85,67,67,63,1981,80057,94080,14371,1981,3,0,0,2480,2226,254,0,142,34,32,2,0,0,4720,3136,156,156,104,12,42,0,0,0,0,0,19,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,19554,0,0,0,0,7,23,0,3,2,6,0,12,0,No Team Selected
