ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Butterfree3,Butterfree,Rival (Lab),00:00:27.42,00:00:33.25,00:01:38.28,5,0,0,0,33,25,CONFUSION,,,,11,11,14,14,13,0,0,0,0,0,0,0,11,11,14,14,13,2037,4283,1600,0,2037,0,0,0,63,63,0,0,4,1,1,0,0,0,21,19,4,4,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,No Team Selected
Butterfree3,Butterfree,Brock,00:02:24.50,00:02:39.81,00:10:00.44,10,0,0,2,39,81,CONFUSION,,,,17,18,24,24,22,0,0,0,0,0,0,0,17,18,24,24,22,2037,22055,13964,0,2037,0,0,0,726,726,0,0,26,5,5,0,0,0,293,228,14,14,21,2,8,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,9,1107,0,0,0,0,1,0,0,0,0,0,0,3,0,No Team Selected
Butterfree3,Butterfree,Rival (Nugget Bridge),00:07:39.38,00:08:08.52,00:30:43.14,18,1,0,8,8,52,CONFUSION,BIDE,POISONPOWDER,SLEEP POWDER,28,30,40,40,37,0,0,0,0,0,0,0,31,30,40,40,37,2188,47918,59134,3371,2188,1,1,0,1562,1562,0,0,60,19,16,3,1,0,1556,1170,114,114,85,9,32,0,0,0,0,0,12,0,1,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,38,6393,0,0,0,0,5,22,0,5,2,4,0,3,1,No Team Selected
Butterfree3,Butterfree,Oddish Lass,00:10:23.19,00:10:34.27,00:40:21.32,21,1,0,10,34,27,CONFUSION,BIDE,POISONPOWDER,SLEEP POWDER,32,35,47,47,43,0,0,0,0,0,-1,0,40,35,47,47,43,2188,56604,82766,5751,2188,1,1,0,1746,1746,0,0,89,29,26,3,1,0,2804,1987,157,157,115,10,40,0,0,0,0,0,18,0,1,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,59,10493,0,0,0,0,6,22,0,5,2,4,0,3,1,No Team Selected
Butterfree3,Butterfree,Misty,00:12:26.24,00:12:48.50,00:44:38.22,23,4,0,12,48,50,CONFUSION,BIDE,POISONPOWDER,SLEEP POWDER,35,38,51,51,47,0,0,0,0,0,0,0,39,38,51,51,47,2335,62449,90861,7079,2335,2,2,0,1812,1812,0,0,103,31,28,3,1,0,2989,2136,222,222,126,10,44,0,0,0,0,0,21,0,1,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,8,0,0,0,0,0,62,12283,0,0,0,0,7,22,0,5,2,4,0,3,4,No Team Selected
Butterfree3,Butterfree,Rocket,00:13:05.16,00:13:38.76,00:47:57.49,23,4,0,13,38,76,CONFUSION,BIDE,POISONPOWDER,SLEEP POWDER,35,38,51,51,47,0,0,0,0,0,0,0,39,38,51,51,47,2335,65765,99512,7079,2335,2,2,0,1899,1899,0,0,111,32,29,3,1,0,3097,2239,246,246,136,13,50,0,0,0,0,0,22,0,1,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,9,0,0,0,0,0,64,12972,0,0,0,0,7,22,0,5,2,4,0,3,4,No Team Selected
Butterfree3,Butterfree,Rival (SS Anne),00:15:34.48,00:16:09.80,00:57:56.43,25,4,0,16,9,80,CONFUSION,BIDE,POISONPOWDER,SLEEP POWDER,38,41,55,55,51,0,0,0,0,0,0,0,42,41,55,55,51,2335,80277,116776,11237,2335,5,2,0,2389,2389,0,0,134,36,33,3,1,0,3733,2745,367,367,171,15,60,0,0,0,0,0,23,0,3,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,9,0,0,0,0,0,75,17033,0,0,0,0,11,30,0,5,2,4,0,3,4,No Team Selected
Butterfree3,Butterfree,RTG1 - Wrapping Lass,00:17:16.08,00:17:34.12,01:03:30.41,26,4,0,17,34,12,CONFUSION,BIDE,POISONPOWDER,SLEEP POWDER,40,42,58,58,53,0,0,0,0,0,0,0,45,42,58,58,53,2335,91495,121612,15221,2335,6,2,0,2662,2610,52,0,147,37,34,3,1,0,4051,2937,369,369,178,15,62,0,0,0,0,0,25,0,3,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,9,0,0,0,0,0,79,18281,0,0,0,0,11,30,0,5,2,6,0,3,4,No Team Selected
Butterfree3,Butterfree,RTG4 - Status Jr Trainer,00:19:19.19,00:19:28.21,01:11:03.55,27,4,0,19,28,21,CONFUSION,BIDE,POISONPOWDER,SLEEP POWDER,41,44,60,60,55,-1,0,0,0,0,0,0,30,44,60,60,55,2335,96257,139281,19984,2335,9,2,0,2876,2627,249,0,169,41,38,3,1,0,4773,3428,515,515,193,18,78,0,0,0,0,0,27,0,4,0,1,14,0,0,0,0,0,0,0,3,0,0,0,0,3,1,0,0,17,12,0,0,0,0,0,87,21161,0,0,0,0,11,30,0,5,2,6,0,3,4,No Team Selected
Butterfree3,Butterfree,RTG6 - Finisher,00:20:19.88,00:20:31.04,01:15:13.26,28,4,0,20,31,4,CONFUSION,BIDE,POISONPOWDER,SLEEP POWDER,43,46,62,62,57,0,0,0,0,0,0,0,48,46,62,62,57,2335,101187,146589,22717,2335,10,2,0,3047,2627,420,0,197,43,40,3,1,0,5254,3736,603,603,207,18,82,0,0,0,0,0,28,0,4,0,1,14,0,0,0,0,0,0,0,3,0,0,0,0,3,1,0,0,17,12,0,0,0,0,0,93,23401,0,0,0,0,11,30,0,5,2,6,0,3,4,No Team Selected
