date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
1-03,13:15:17,NINTEN,Charizard,Rival1-Lab,1,Pallet Town - Oak's Lab,1,41.01,41,0h0m41s,0,0,0,6,0:02,13.479,EMBER,GROWL,LEER,SCRATCH,0,57,4,1,0,5,5,4,0,3000,No Team Selected, ,Fire,Flying,205,Charizard5,Charizard,Rival (Lab),00:00:27.53,00:00:41.01,00:02:10.21,6,0,0,0,41,1,EMBER,GROWL,LEER,SCRATCH,25,40,30,30,0,0,0,0,23,27,16,16,17,17,18,44,48,65,50,50,43,15,15,15,15,0,-2,0,0,0,0,0,16,8,17,17,18,1981,4371,3425,0,1981,0,0,0,57,57,0,0,4,1,1,0,0,0,23,20,4,4,5,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70,0,0,0,0,0,0,0,0,0,0,0,5,0,No Team Selected
1-03,13:16:16,NINTEN,Charizard,Bug Catcher,1,Viridian Forest,2,1:39.70,1:39,0h1m39s,0,0,0,8,0:06,7.277,EMBER,GROWL,LEER,SCRATCH,0,501,30,2,0,7,7,4,0,3175,No Team Selected, ,Fire,Flying,338,Charizard5,Charizard,,00:01:32.42,00:01:39.70,00:06:03.03,8,0,0,1,39,70,EMBER,GROWL,LEER,SCRATCH,23,40,30,35,0,0,0,0,33,33,21,20,21,21,23,129,113,130,90,90,138,15,15,15,15,0,0,0,0,0,0,0,21,20,21,21,23,1981,16159,5599,0,1981,0,0,0,501,501,0,0,30,2,2,0,0,0,71,63,4,4,7,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,203,0,0,0,0,0,0,0,0,0,0,0,5,0,No Team Selected
1-03,13:16:30,NINTEN,Charizard,Bug Catcher,2,Viridian Forest,3,1:53.95,1:53,0h1m53s,0,0,0,10,0:06,10.503,EMBER,GROWL,LEER,SCRATCH,0,519,31,3,0,11,11,5,0,3235,No Team Selected, ,Fire,Flying,600,Charizard5,Charizard,,00:01:43.45,00:01:53.95,00:06:59.40,10,0,0,1,53,95,EMBER,GROWL,LEER,SCRATCH,19,40,30,35,0,0,0,0,39,39,25,24,25,25,28,254,208,240,155,155,273,15,15,15,15,0,0,0,0,0,0,0,25,24,25,25,28,1981,16623,8532,0,1981,0,0,0,519,519,0,0,31,3,3,0,0,0,187,133,4,4,10,2,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,465,0,0,0,0,0,0,0,0,0,0,0,5,0,No Team Selected
1-03,13:16:43,NINTEN,Charizard,Bug Catcher,3,Viridian Forest,1,2:06.86,2:06,0h2m6s,0,0,0,10,0:07,3.867,EMBER,GROWL,LEER,SCRATCH,0,604,34,4,0,12,12,5,1,3305,No Team Selected, ,Fire,Flying,699,Charizard5,Charizard,,00:02:02.99,00:02:06.86,00:07:50.59,10,0,0,2,6,86,EMBER,GROWL,LEER,SCRATCH,18,40,30,35,0,0,0,0,39,39,25,24,25,25,28,294,243,270,175,175,323,15,15,15,15,0,0,0,0,0,0,0,25,24,25,25,28,1981,18343,9891,0,1981,0,0,0,604,604,0,0,34,4,4,0,0,0,244,160,4,4,11,2,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,564,0,0,0,0,1,0,0,0,0,0,0,5,0,No Team Selected
1-03,13:17:19,NINTEN,Charizard,Brock,1,Pewter City - Gym,2,2:42.25,2:42,0h2m42s,0,0,0,12,0:10,23.028,EMBER,GROWL,LEER,SCRATCH,0,710,35,5,0,26,26,13,1,3395,No Team Selected, ,Fire,Flying,1243,Charizard5,Charizard,Brock,00:02:19.22,00:02:42.25,00:10:11.31,12,0,0,2,42,25,EMBER,GROWL,LEER,SCRATCH,6,38,30,35,0,0,0,0,6,44,29,28,29,29,33,369,368,530,235,235,413,15,15,15,15,0,0,0,0,0,0,0,29,28,29,29,33,1981,20792,15874,0,1981,0,0,0,710,710,0,0,35,5,5,0,0,0,317,229,42,42,25,2,8,0,0,0,0,0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1108,0,0,0,0,1,0,0,0,0,0,0,5,0,No Team Selected
1-03,13:17:58,NINTEN,Charizard,Bug Catcher,4,Route 3,3,3:22.02,3:22,0h3m22s,0,0,0,13,0:12,8.67,EMBER,GROWL,LEER,SCRATCH,0,830,38,6,0,29,29,13,5,181,No Team Selected, ,Fire,Flying,1578,Charizard5,Charizard,,00:03:13.35,00:03:22.02,00:12:49.16,13,0,0,3,22,2,EMBER,GROWL,LEER,SCRATCH,22,40,30,35,0,0,0,0,47,47,31,29,31,31,35,499,463,630,295,295,553,15,15,15,15,0,0,0,0,0,0,0,34,29,31,31,35,1981,26999,19132,0,1981,0,0,0,830,830,0,0,38,6,6,0,0,0,458,318,42,42,28,2,8,0,0,0,0,0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1443,0,0,0,0,1,21,0,0,0,0,0,5,0,No Team Selected
1-03,13:18:09,NINTEN,Charizard,Youngster Ben,1,Route 3,2,3:33.08,3:33,0h3m33s,0,0,0,14,0:13,7.697,EMBER,GROWL,LEER,SCRATCH,0,834,38,7,0,32,32,14,5,281,No Team Selected, ,Fire,Flying,1856,Charizard5,Charizard,,00:03:25.39,00:03:33.08,00:13:33.09,14,0,0,3,33,8,EMBER,GROWL,LEER,SCRATCH,19,40,30,35,0,0,0,0,42,50,33,31,33,33,38,564,579,709,360,360,680,15,15,15,15,0,0,0,0,0,0,0,37,31,33,33,38,1981,27301,21463,0,1981,0,0,0,834,834,0,0,38,7,7,0,0,0,531,377,50,50,31,2,9,0,0,0,0,0,4,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1721,0,0,0,0,1,21,0,0,0,0,0,5,0,No Team Selected
1-03,13:18:23,NINTEN,Charizard,Bug Catcher,5,Route 3,4,3:46.98,3:46,0h3m46s,0,0,0,15,0:14,11.075,EMBER,GROWL,LEER,SCRATCH,0,838,39,8,0,36,36,14,5,446,No Team Selected, ,Fire,Flying,2331,Charizard5,Charizard,,00:03:35.90,00:03:46.98,00:14:28.20,15,0,0,3,46,98,EMBER,GROWL,LEER,SCRATCH,15,40,30,35,0,0,0,0,45,53,35,33,35,35,40,744,689,879,450,450,840,15,15,15,15,0,0,0,0,0,0,0,39,33,35,35,40,1981,27472,24603,0,1981,0,0,0,838,838,0,0,39,8,8,0,0,0,825,489,50,50,35,2,9,0,0,0,0,0,5,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2196,0,0,0,0,1,21,0,0,0,0,0,5,0,No Team Selected
1-03,13:18:34,NINTEN,Charizard,Bug Catcher,6,Route 3,2,3:58.10,3:58,0h3m58s,0,0,0,16,0:15,6.736,EMBER,GROWL,LEER,SCRATCH,0,846,40,9,0,38,38,14,5,536,No Team Selected, ,Fire,Flying,2624,Charizard5,Charizard,,00:03:51.37,00:03:58.10,00:15:12.28,16,0,0,3,58,10,EMBER,GROWL,LEER,SCRATCH,13,40,30,35,0,0,0,0,48,56,37,36,37,37,42,839,739,969,495,495,915,15,15,15,15,0,0,0,0,0,0,0,41,36,37,37,42,1981,27986,26737,0,1981,0,0,0,846,846,0,0,40,9,9,0,0,0,975,554,50,50,37,2,9,0,0,0,0,0,6,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2489,0,0,0,0,1,21,0,0,0,0,0,5,0,No Team Selected
1-03,13:19:33,NINTEN,Charizard,Rocket,1,Mt Moon - 3,2,4:56.97,4:56,0h4m56s,0,0,0,16,0:19,6.392,EMBER,MEGA PUNCH,LEER,SCRATCH,0,1239,54,10,1,40,40,14,7,646,No Team Selected, ,Fire,Flying,2931,Charizard5,Charizard,,00:04:50.58,00:04:56.97,00:19:05.47,16,0,0,4,56,97,EMBER,MEGA PUNCH,LEER,SCRATCH,23,20,30,35,0,0,0,0,56,56,37,36,37,37,42,909,840,1039,560,560,1042,15,15,15,15,0,0,0,0,0,0,0,41,36,37,37,42,1981,36925,30390,1407,1981,0,0,0,1239,1239,0,0,54,11,10,1,0,0,1054,621,50,50,39,2,9,0,0,0,0,0,8,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2796,0,0,0,0,4,21,0,1,1,1,0,5,0,No Team Selected
