date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
4-24,15:17:14,NINTEN,Clefable,Rival1-Lab,1,Pallet Town - Oak's Lab,1,35.64,35,0h0m35s,0,0,0,5,0:01,9.125,DOUBLESLAP,SING,MINIMIZE,METRONOME,0,57,3,1,0,4,4,3,0,3000,No Team Selected, ,Normal,Normal,170,Clefable5,Clefable,Rival (Lab),00:00:26.50,00:00:35.64,00:01:49.32,5,0,0,0,35,64,DOUBLESLAP,SING,MINIMIZE,METRONOME,6,15,20,10,0,0,0,0,20,26,13,13,15,15,12,44,48,65,50,50,43,15,15,15,15,0,0,0,0,0,0,0,13,13,15,15,12,1938,4162,2385,0,1938,0,0,0,57,57,0,0,3,1,1,0,0,0,21,20,6,6,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70,0,0,0,0,0,0,0,0,0,0,0,5,0,No Team Selected
4-24,15:18:21,NINTEN,Clefable,Bug Catcher,3,Viridian Forest,1,1:42.46,1:42,0h1m42s,0,0,0,6,0:06,10.62,DOUBLESLAP,SING,MINIMIZE,METRONOME,0,570,27,2,0,8,8,7,1,3175,No Team Selected, ,Normal,Normal,269,Clefable5,Clefable,,00:01:31.84,00:01:42.46,00:06:14.50,6,0,0,1,42,46,DOUBLESLAP,SING,MINIMIZE,METRONOME,6,15,20,10,0,0,0,0,23,29,15,15,17,17,14,84,83,95,70,70,93,15,15,15,15,0,0,0,0,-2,0,0,15,15,17,17,7,1938,17087,5378,0,1938,0,0,0,570,570,0,0,27,2,2,0,0,0,49,47,12,12,7,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,169,0,0,0,0,1,0,0,0,0,0,0,5,0,No Team Selected
4-24,15:18:51,NINTEN,Clefable,Brock,1,Pewter City - Gym,2,2:13.00,2:13,0h2m13s,0,0,0,10,0:08,18.302,DOUBLESLAP,SING,MINIMIZE,METRONOME,0,676,29,3,0,15,22,12,1,3265,No Team Selected, ,Normal,Normal,813,Clefable5,Clefable,Brock,00:01:54.69,00:02:13.00,00:08:16.04,10,0,0,2,13,0,DOUBLESLAP,SING,MINIMIZE,METRONOME,6,15,20,3,0,0,0,0,27,42,22,23,25,25,20,159,208,355,130,130,183,15,15,15,15,0,2,0,0,0,0,0,22,46,25,25,20,1938,19504,10235,0,1938,0,0,0,676,676,0,0,29,3,3,0,0,0,121,116,27,27,13,3,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,713,0,0,0,0,1,0,0,0,0,0,0,5,0,No Team Selected
4-24,15:19:37,NINTEN,Clefable,Bug Catcher,4,Route 3,3,2:58.69,2:58,0h2m58s,0,0,0,11,0:11,16.14,DOUBLESLAP,SING,MINIMIZE,METRONOME,0,795,37,4,0,20,27,17,5,1451,No Team Selected, ,Normal,Normal,1148,Clefable5,Clefable,,00:02:42.54,00:02:58.69,00:11:17.22,11,0,0,2,58,69,DOUBLESLAP,SING,MINIMIZE,METRONOME,5,15,20,10,0,0,0,0,42,45,24,24,27,27,21,289,303,455,190,190,323,15,15,15,15,0,0,0,0,-3,0,0,27,24,27,27,8,1938,25466,15151,0,1938,0,0,0,795,795,0,0,37,4,4,0,0,0,221,205,30,30,17,5,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1048,0,0,0,0,1,16,0,0,0,0,0,5,0,No Team Selected
4-24,15:19:54,NINTEN,Clefable,Youngster Ben,1,Route 3,2,3:15.56,3:15,0h3m15s,0,0,0,12,0:12,13.874,DOUBLESLAP,SING,MINIMIZE,METRONOME,0,799,38,5,0,26,32,21,5,1551,No Team Selected, ,Normal,Normal,1426,Clefable5,Clefable,,00:03:01.68,00:03:15.56,00:12:24.23,12,0,0,3,15,56,DOUBLESLAP,SING,MINIMIZE,METRONOME,2,15,20,9,0,0,0,0,33,48,26,26,29,29,23,354,419,534,255,255,450,15,15,15,15,0,-1,0,0,0,0,0,29,17,29,29,23,1938,25671,18967,0,1938,0,0,0,799,799,0,0,38,5,5,0,0,0,313,264,42,42,21,6,17,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1326,0,0,0,0,1,16,0,0,0,0,0,5,0,No Team Selected
4-24,15:20:09,NINTEN,Clefable,Lass,2,Route 3,2,3:30.67,3:30,0h3m30s,0,0,0,12,0:13,10.847,DOUBLESLAP,SING,MINIMIZE,METRONOME,0,807,38,6,0,30,38,24,5,1716,No Team Selected, ,Normal,Normal,1674,Clefable5,Clefable,,00:03:19.83,00:03:30.67,00:13:24.25,12,0,0,3,30,67,DOUBLESLAP,SING,MINIMIZE,METRONOME,0,15,20,7,0,0,0,0,18,48,26,26,29,29,23,430,532,609,320,320,572,15,15,15,15,0,0,0,0,0,0,0,29,26,29,29,23,1938,26192,22048,0,1938,0,0,0,807,807,0,0,38,6,6,0,0,0,385,321,57,57,25,6,20,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1574,0,0,0,0,1,16,0,0,0,0,0,5,0,No Team Selected
4-24,15:20:35,NINTEN,Clefable,Bug Catcher,6,Route 3,2,3:56.65,3:56,0h3m56s,0,0,0,13,0:15,9.845,DOUBLESLAP,SING,MINIMIZE,METRONOME,0,945,48,7,0,33,41,25,5,1866,No Team Selected, ,Normal,Normal,1967,Clefable5,Clefable,,00:03:46.80,00:03:56.65,00:15:07.29,13,0,0,3,56,65,DOUBLESLAP,SING,MINIMIZE,METRONOME,7,15,20,10,0,0,0,0,52,52,27,28,31,31,25,525,582,699,365,365,647,15,15,15,15,0,0,0,0,0,0,0,30,28,31,31,25,1938,29560,24864,0,1938,0,0,0,945,945,0,0,48,7,7,0,0,0,463,386,57,57,28,6,20,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1867,0,0,0,0,1,16,0,0,0,0,0,5,0,No Team Selected
4-24,15:21:44,NINTEN,Clefable,Rocket,1,Mt Moon - 3,2,5:05.44,5:05,0h5m5s,0,0,0,14,0:19,12.374,MEGA PUNCH,SING,MINIMIZE,METRONOME,0,1326,59,8,2,42,49,29,7,1976,No Team Selected, ,Normal,Normal,2354,Clefable5,Clefable,,00:04:53.06,00:05:05.44,00:19:40.26,14,0,0,5,5,44,MEGA PUNCH,SING,MINIMIZE,METRONOME,14,14,20,10,0,0,0,0,44,55,29,30,33,33,26,630,753,824,485,485,799,15,15,15,15,0,-1,0,0,0,0,0,32,19,33,33,26,1938,37508,31823,1470,1938,0,0,0,1326,1326,0,0,59,10,8,2,0,0,631,477,68,68,34,8,24,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,16,2254,0,0,0,0,4,16,0,2,1,1,0,5,0,No Team Selected
4-24,15:22:01,NINTEN,Clefable,Fossil Nerd,2,Mt Moon - 3,3,5:22.94,5:22,0h5m22s,0,0,0,15,0:20,13.399,MEGA PUNCH,SING,MINIMIZE,METRONOME,0,1339,59,9,2,47,54,32,7,2366,No Team Selected, ,Normal,Normal,3141,Clefable5,Clefable,,00:05:09.54,00:05:22.94,00:20:50.01,15,0,0,5,22,94,MEGA PUNCH,SING,MINIMIZE,METRONOME,9,14,20,10,0,0,0,0,39,59,31,32,35,35,28,790,928,1019,640,640,959,15,15,15,15,0,-4,0,0,0,0,0,34,10,35,35,28,1938,38089,35417,1470,1938,0,0,0,1339,1339,0,0,59,11,9,2,0,0,788,586,77,77,39,8,27,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,19,3041,0,0,0,0,4,16,0,2,1,1,0,5,0,No Team Selected
4-24,15:22:31,NINTEN,Clefable,Pecking Lass,1,Cerulean City - Gym,1,5:52.30,5:52,0h5m52s,0,0,0,16,0:22,8.16,MEGA PUNCH,SING,MINIMIZE,METRONOME,0,1503,63,10,2,51,58,36,8,2666,No Team Selected, ,Normal,Normal,3592,Clefable5,Clefable,,00:05:44.14,00:05:52.30,00:22:46.19,16,0,0,5,52,30,MEGA PUNCH,SING,MINIMIZE,METRONOME,16,15,20,10,0,0,0,0,62,62,33,34,37,37,30,835,995,1079,690,690,1022,15,15,15,15,0,0,0,0,0,0,0,37,34,37,37,30,1938,42671,37813,1470,1938,0,0,0,1503,1503,0,0,63,12,10,2,0,0,851,635,77,77,42,13,27,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,20,3492,0,0,0,0,4,16,0,2,1,1,0,5,0,No Team Selected
