date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
4-25,10:13:19,NINTEN,Clefable,Rival1-Lab,1,Pallet Town - Oak's Lab,1,37.18,37,0h0m37s,0,0,0,5,0:01,10.401,SING,DOUBLESLAP,MINIMIZE,METRONOME,0,57,5,1,0,4,6,1,0,3000,No Team Selected, ,Normal,Normal,170,Clefable79,Clefable,Rival (Lab),00:00:26.78,00:00:37.18,00:01:55.45,5,0,0,0,37,18,SING,DOUBLESLAP,MINIMIZE,METRONOME,15,8,20,8,0,0,0,0,26,26,13,13,15,15,12,44,48,65,50,50,43,15,15,15,15,0,-1,0,0,0,0,0,13,8,15,15,12,1936,4230,2690,0,1936,0,0,0,57,57,0,0,5,1,1,0,0,0,21,20,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70,0,0,0,0,0,0,0,0,0,0,0,79,0,No Team Selected
4-25,10:14:30,NINTEN,Clefable,Bug Catcher,3,Viridian Forest,1,1:47.69,1:47,0h1m47s,0,0,0,6,0:06,15.972,DOUBLESLAP,SING,MINIMIZE,METRONOME,0,566,19,2,0,10,12,7,0,3175,No Team Selected,Poisoned,Normal,Normal,269,Clefable79,Clefable,,00:01:31.72,00:01:47.69,00:06:35.45,6,0,0,1,47,69,DOUBLESLAP,SING,MINIMIZE,METRONOME,4,15,20,10,0,0,0,0,16,29,15,15,17,17,14,84,83,95,70,70,93,15,15,15,15,0,0,0,0,-3,0,0,15,15,17,17,5,1936,16758,6962,0,1936,0,0,0,566,566,0,0,19,2,2,0,0,0,48,47,13,13,8,3,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,169,0,0,0,0,0,0,0,0,0,0,0,79,0,No Team Selected
4-25,10:15:02,NINTEN,Clefable,Brock,1,Pewter City - Gym,2,2:19.50,2:19,0h2m19s,0,0,0,10,0:08,9.973,DOUBLESLAP,SING,MINIMIZE,METRONOME,0,696,24,3,0,13,16,8,0,3265,No Team Selected, ,Normal,Normal,813,Clefable79,Clefable,Brock,00:02:09.53,00:02:19.50,00:08:41.45,10,0,0,2,19,50,DOUBLESLAP,SING,MINIMIZE,METRONOME,10,15,20,8,0,0,0,0,42,42,22,23,25,25,20,159,208,355,130,130,183,15,15,15,15,0,-2,0,0,0,0,0,22,11,25,25,20,1936,21111,9822,347,1936,0,0,0,696,696,0,0,24,3,3,0,0,0,146,116,13,13,10,3,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,713,0,0,0,0,1,0,0,0,0,0,0,79,0,No Team Selected
4-25,10:15:47,NINTEN,Clefable,Bug Catcher,4,Route 3,3,3:05.13,3:05,0h3m5s,0,0,0,11,0:11,17.419,DOUBLESLAP,SING,MINIMIZE,METRONOME,0,815,32,4,0,20,23,14,5,851,No Team Selected, ,Normal,Normal,1148,Clefable79,Clefable,,00:02:47.71,00:03:05.13,00:11:42.47,11,0,0,3,5,13,DOUBLESLAP,SING,MINIMIZE,METRONOME,3,15,20,10,0,0,0,0,39,45,24,24,27,27,21,289,303,455,190,190,323,15,15,15,15,0,0,0,0,-4,0,0,27,24,27,27,6,1936,26756,15039,347,1936,0,0,0,815,815,0,0,32,4,4,0,0,0,240,205,19,19,16,4,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1048,0,0,0,0,1,19,0,0,0,0,0,79,0,No Team Selected
4-25,10:16:15,NINTEN,Clefable,Youngster Ben,1,Route 3,2,3:33.03,3:33,0h3m33s,0,0,0,12,0:13,13.859,DOUBLESLAP,SING,MINIMIZE,METRONOME,0,931,33,5,0,26,29,19,5,951,No Team Selected, ,Normal,Normal,1426,Clefable79,Clefable,,00:03:19.17,00:03:33.03,00:13:33.32,12,0,0,3,33,3,DOUBLESLAP,SING,MINIMIZE,METRONOME,4,15,20,10,0,0,0,0,34,48,26,26,29,29,23,354,419,534,255,255,450,15,15,15,15,0,-3,0,0,0,0,0,29,10,29,29,23,1936,29591,18849,347,1936,0,0,0,931,931,0,0,33,5,5,0,0,0,305,264,33,33,21,5,18,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1326,0,0,0,0,1,19,0,0,0,0,0,79,0,No Team Selected
4-25,10:16:30,NINTEN,Clefable,Lass,2,Route 3,2,3:48.07,3:48,0h3m48s,0,0,0,12,0:14,8.901,DOUBLESLAP,SING,MINIMIZE,METRONOME,0,939,33,6,0,29,32,21,5,1116,No Team Selected, ,Normal,Normal,1674,Clefable79,Clefable,,00:03:39.16,00:03:48.07,00:14:33.09,12,0,0,3,48,7,DOUBLESLAP,SING,MINIMIZE,METRONOME,1,15,20,10,0,0,0,0,42,48,26,26,29,29,23,430,532,609,320,320,572,15,15,15,15,0,-1,0,0,0,0,0,32,17,29,29,23,1936,30070,21468,826,1936,0,0,0,939,939,0,0,33,6,6,0,0,0,365,321,39,39,24,5,20,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1574,0,0,0,0,1,19,0,0,0,0,0,79,0,No Team Selected
4-25,10:16:59,NINTEN,Clefable,Bug Catcher,6,Route 3,2,4:17.17,4:17,0h4m17s,0,0,0,13,0:16,13.277,DOUBLESLAP,SING,MINIMIZE,METRONOME,0,1077,39,7,0,34,37,25,5,1266,No Team Selected, ,Normal,Normal,1967,Clefable79,Clefable,,00:04:03.89,00:04:17.17,00:16:28.40,13,0,0,4,17,17,DOUBLESLAP,SING,MINIMIZE,METRONOME,5,15,20,10,0,0,0,0,49,52,27,28,31,31,25,525,582,699,365,365,647,15,15,15,15,0,0,0,0,-1,0,0,30,28,31,31,16,1936,33368,25101,826,1936,0,0,0,1077,1077,0,0,39,7,7,0,0,0,432,386,42,42,29,5,22,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1867,0,0,0,0,1,19,0,0,0,0,0,79,0,No Team Selected
4-25,10:18:08,NINTEN,Clefable,Rocket,1,Mt Moon - 3,2,5:25.65,5:25,0h5m25s,0,1,1,14,0:21,10.856,MEGA PUNCH,SING,DOUBLESLAP,METRONOME,0,1458,56,8,1,43,44,28,7,1376,No Team Selected, ,Normal,Normal,2274,Clefable79,Clefable,,00:05:14.79,00:05:25.65,00:21:00.30,14,0,0,5,25,65,MEGA PUNCH,SING,DOUBLESLAP,METRONOME,16,12,5,10,0,0,0,0,36,55,29,30,33,33,26,595,683,769,430,430,774,15,15,15,15,0,0,0,0,0,0,0,32,30,33,33,26,1936,41528,31742,2335,1936,0,0,0,1458,1458,0,0,56,9,8,1,0,0,560,454,58,58,35,5,25,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,15,2174,0,0,0,0,4,19,0,3,1,1,1,79,1,No Team Selected
4-25,10:18:30,NINTEN,Clefable,Fossil Nerd,2,Mt Moon - 3,3,5:47.68,5:47,0h5m47s,0,1,1,15,0:22,16.49,MEGA PUNCH,SING,DOUBLESLAP,METRONOME,0,1471,56,9,1,51,52,34,7,1766,No Team Selected, ,Normal,Normal,3061,Clefable79,Clefable,,00:05:31.19,00:05:47.68,00:22:28.03,15,0,0,5,47,68,MEGA PUNCH,SING,DOUBLESLAP,METRONOME,8,12,5,10,0,0,0,0,50,58,31,32,35,35,28,755,858,964,585,585,934,15,15,15,15,0,-2,0,0,0,0,0,34,16,35,35,28,1936,41978,36087,2793,1936,0,0,0,1471,1471,0,0,56,10,9,1,0,0,716,563,66,66,41,9,29,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,18,2961,0,0,0,0,4,19,0,3,1,1,1,79,1,No Team Selected
4-25,10:19:00,NINTEN,Clefable,Pecking Lass,1,Cerulean City - Gym,1,6:17.43,6:17,0h6m17s,0,1,1,16,0:24,8.424,MEGA PUNCH,SING,DOUBLESLAP,METRONOME,0,1633,63,10,1,54,55,37,8,2066,No Team Selected, ,Normal,Normal,3512,Clefable79,Clefable,,00:06:09.01,00:06:17.43,00:24:25.57,16,0,0,6,17,43,MEGA PUNCH,SING,DOUBLESLAP,METRONOME,17,15,10,10,0,0,0,0,62,62,33,34,37,37,30,800,925,1024,635,635,997,15,15,15,15,0,-1,0,0,0,0,0,37,22,37,37,30,1936,46577,38562,2793,1936,0,0,0,1633,1633,0,0,63,11,10,1,0,0,789,612,66,66,44,10,32,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,19,3412,0,0,0,0,4,19,0,3,1,1,1,79,1,No Team Selected
