date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
2-13,13:46:47,NINTEN,Electabuzz,Rival1-Lab,2,Pallet Town - Oak's Lab,1,38.42,38,0h0m38s,0,0,0,5,0:02,9.788,QUICK ATTACK,LEER,,,0,62,6,1,0,5,5,4,0,3000,No Team Selected, ,Electric,Electric,192,Electabuzz7,Electabuzz,Rival (Lab),00:00:28.64,00:00:38.42,00:02:00.06,5,0,0,0,38,42,QUICK ATTACK,LEER,,,25,30,0,0,0,0,0,0,20,23,14,12,15,15,17,45,49,49,65,65,45,15,15,15,15,-2,0,0,0,0,0,0,7,12,15,15,17,1970,4638,2543,0,1970,0,0,0,62,62,0,0,6,1,1,0,0,0,25,20,3,3,5,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,67,0,0,0,0,0,0,0,0,0,0,0,7,0,No Team Selected
2-13,13:47:53,NINTEN,Electabuzz,Bug Catcher,1,Viridian Forest,2,1:44.60,1:44,0h1m44s,0,0,0,6,0:06,17.422,QUICK ATTACK,LEER,,,0,482,17,2,0,13,13,10,0,3175,No Team Selected, ,Electric,Electric,325,Electabuzz7,Electabuzz,,00:01:27.19,00:01:44.60,00:06:22.52,6,0,0,1,44,60,QUICK ATTACK,LEER,,,24,28,0,0,0,0,0,0,15,25,16,13,17,17,19,130,114,114,105,105,140,15,15,15,15,0,0,0,0,-2,0,0,16,13,17,17,9,1970,15798,7149,0,1970,0,0,0,482,482,0,0,17,2,2,0,0,0,76,63,13,13,13,1,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,133,0,0,0,0,0,0,0,0,0,0,0,7,0,No Team Selected
2-13,13:48:15,NINTEN,Electabuzz,Bug Catcher,3,Viridian Forest,1,2:06.48,2:06,0h2m6s,0,0,0,7,0:07,11.463,QUICK ATTACK,LEER,,,0,581,22,3,0,18,18,14,1,3235,No Team Selected, ,Electric,Electric,424,Electabuzz7,Electabuzz,,00:01:55.02,00:02:06.48,00:07:49.51,7,0,0,2,6,48,QUICK ATTACK,LEER,,,20,27,0,0,0,0,0,0,9,28,18,15,19,19,22,170,149,144,125,125,190,15,15,15,15,0,0,0,0,-1,0,0,18,15,19,19,14,1970,17843,10323,0,1970,0,0,0,581,581,0,0,22,3,3,0,0,0,105,90,22,22,18,1,13,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,299,0,0,0,0,1,0,0,0,0,0,0,7,0,No Team Selected
2-13,13:53:51,NINTEN,Electabuzz,Brock,1,Pewter City - Gym,2,7:42.41,7:42,0h7m42s,0,9,9,14,0:30,51.067,QUICK ATTACK,LEER,,,0,1294,46,13,3,145,145,117,4,0,No Team Selected, ,Electric,Electric,2756,Electabuzz7,Electabuzz,Brock,00:06:51.35,00:07:42.41,00:30:03.56,14,0,0,7,42,41,QUICK ATTACK,LEER,,,17,9,0,0,0,0,0,0,9,47,33,26,33,33,39,445,915,744,685,685,1319,15,15,15,15,0,-4,0,0,0,0,0,33,8,33,33,39,1970,37631,70580,0,1970,0,0,0,1294,1294,0,0,46,16,13,3,0,0,570,423,424,394,131,25,99,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,2631,0,0,0,0,1,16,0,0,0,0,9,7,9,No Team Selected
2-13,13:54:24,NINTEN,Electabuzz,Bug Catcher,4,Route 3,3,8:15.08,8:15,0h8m15s,0,9,9,14,0:32,12.778,QUICK ATTACK,LEER,,,0,1405,53,14,3,151,151,120,5,1386,No Team Selected, ,Electric,Electric,3091,Electabuzz7,Electabuzz,,00:08:02.30,00:08:15.08,00:32:13.36,14,0,0,8,15,8,QUICK ATTACK,LEER,,,24,30,0,0,0,0,0,0,45,47,33,26,33,33,39,575,1010,844,745,745,1459,15,15,15,15,0,0,0,0,-1,0,0,41,26,33,33,25,1970,41181,74810,0,1970,0,0,0,1405,1405,0,0,53,17,14,3,0,0,673,512,426,396,137,26,101,0,0,0,0,0,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,21,2966,0,0,0,0,1,16,0,0,0,0,9,7,9,No Team Selected
2-13,13:54:36,NINTEN,Electabuzz,Youngster Ben,1,Route 3,2,8:27.93,8:27,0h8m27s,0,9,9,14,0:33,9.344,QUICK ATTACK,LEER,,,0,1409,53,15,3,155,155,122,5,1486,No Team Selected, ,Electric,Electric,3369,Electabuzz7,Electabuzz,,00:08:18.58,00:08:27.93,00:33:04.35,14,0,0,8,27,93,QUICK ATTACK,LEER,,,20,30,0,0,0,0,0,0,39,47,33,26,33,33,39,640,1126,923,810,810,1586,15,15,15,15,0,-1,0,0,0,0,0,41,17,33,33,39,1970,41502,77548,0,1970,0,0,0,1409,1409,0,0,53,18,15,3,0,0,734,571,432,402,141,26,103,0,0,0,0,0,10,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,23,3244,0,0,0,0,1,16,0,0,0,0,9,7,9,No Team Selected
2-13,13:54:59,NINTEN,Electabuzz,Bug Catcher,5,Route 3,4,8:50.57,8:50,0h8m50s,0,9,9,15,0:34,19.804,QUICK ATTACK,LEER,,,0,1413,53,16,3,165,165,128,5,1651,No Team Selected, ,Electric,Electric,3844,Electabuzz7,Electabuzz,,00:08:30.77,00:08:50.57,00:34:34.33,15,0,0,8,50,57,QUICK ATTACK,LEER,,,10,30,0,0,0,0,0,0,39,49,35,27,36,36,42,820,1236,1093,900,900,1746,15,15,15,15,0,0,0,0,-1,0,0,39,27,36,36,27,1970,41683,82765,0,1970,0,0,0,1413,1413,0,0,53,19,16,3,0,0,881,683,434,404,151,26,105,0,0,0,0,0,10,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,27,3719,0,0,0,0,1,16,0,0,0,0,9,7,9,No Team Selected
2-13,13:55:15,NINTEN,Electabuzz,Bug Catcher,6,Route 3,2,9:06.56,9:06,0h9m6s,0,9,9,16,0:35,11.255,QUICK ATTACK,LEER,,,0,1421,54,17,3,170,170,131,5,1741,No Team Selected, ,Electric,Electric,4137,Electabuzz7,Electabuzz,,00:08:55.30,00:09:06.56,00:35:38.04,16,0,0,9,6,56,QUICK ATTACK,LEER,,,5,30,0,0,0,0,0,0,42,52,37,29,38,38,45,915,1286,1183,945,945,1821,15,15,15,15,0,0,0,0,-1,0,0,41,29,38,38,29,1970,42271,85988,0,1970,0,0,0,1421,1421,0,0,54,20,17,3,0,0,950,748,434,404,156,26,106,0,0,0,0,0,10,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,29,4012,0,0,0,0,1,16,0,0,0,0,9,7,9,No Team Selected
2-13,13:56:35,NINTEN,Electabuzz,Rocket,1,Mt Moon - 3,2,10:26.15,10:26,0h10m26s,0,9,9,16,0:40,8.837,MEGA PUNCH,LEER,QUICK ATTACK,,0,1850,74,18,5,177,174,136,7,1851,No Team Selected, ,Electric,Electric,4444,Electabuzz7,Electabuzz,,00:10:17.32,00:10:26.15,00:40:53.48,16,0,0,10,26,15,MEGA PUNCH,LEER,QUICK ATTACK,,18,30,28,0,0,0,0,0,49,52,37,29,38,38,45,985,1387,1253,1010,1010,1948,15,15,15,15,0,0,0,0,0,0,0,41,29,38,38,45,1970,52338,94131,734,1970,0,0,0,1850,1850,0,0,74,23,18,5,0,0,1065,833,439,409,160,27,110,0,0,0,0,0,11,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,31,4319,0,0,0,0,4,16,0,5,2,1,9,7,9,No Team Selected
2-13,13:56:49,NINTEN,Electabuzz,Fossil Nerd,2,Mt Moon - 3,3,10:40.82,10:40,0h10m40s,0,9,9,17,0:41,11.437,MEGA PUNCH,LEER,QUICK ATTACK,,0,1861,74,19,5,181,178,137,7,2241,No Team Selected, ,Electric,Electric,5231,Electabuzz7,Electabuzz,,00:10:29.38,00:10:40.82,00:41:52.05,17,0,0,10,40,82,MEGA PUNCH,LEER,QUICK ATTACK,,15,30,27,0,0,0,0,0,52,55,39,31,40,40,47,1145,1562,1448,1165,1165,2108,15,15,15,15,0,0,0,0,0,0,0,43,31,40,40,47,1970,52708,97258,734,1970,0,0,0,1861,1861,0,0,74,24,19,5,0,0,1202,942,439,409,164,28,110,0,0,0,0,0,14,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,34,5106,0,0,0,0,4,16,0,5,2,1,9,7,9,No Team Selected
