date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
2-06,11:14:04,NINTEN,Gastly,Rival1-Lab,1,Pallet Town - Oak's Lab,1,36.22,36,0h0m36s,0,0,0,6,0:01,8.574,NIGHT SHADE,CONFUSE RAY,LICK,,0,57,2,1,0,4,4,3,0,3000,No Team Selected, ,Ghost,Poison,205,Gastly4,Gastly,Rival (Lab),00:00:27.64,00:00:36.22,00:01:50.04,6,0,0,0,36,22,NIGHT SHADE,CONFUSE RAY,LICK,,11,10,30,0,0,0,0,0,21,21,11,10,18,18,16,44,48,65,50,50,43,15,15,15,15,0,-1,0,0,0,0,0,11,6,18,18,16,2047,4324,2255,0,2047,0,0,0,57,57,0,0,2,1,1,0,0,0,20,20,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70,0,0,0,0,0,0,0,0,0,0,0,4,0,No Team Selected
2-06,11:15:09,NINTEN,Gastly,Bug Catcher,3,Viridian Forest,1,1:41.44,1:41,0h1m41s,0,0,0,7,0:06,9.531,NIGHT SHADE,CONFUSE RAY,LICK,,0,582,14,2,0,9,9,7,0,3175,No Team Selected, ,Ghost,Poison,304,Gastly4,Gastly,,00:01:31.91,00:01:41.44,00:06:08.59,7,0,0,1,41,44,NIGHT SHADE,CONFUSE RAY,LICK,,10,10,30,0,0,0,0,0,20,23,12,11,21,21,18,84,83,95,70,70,93,15,15,15,15,0,0,0,0,0,0,0,12,11,21,21,18,2047,17137,4977,0,2047,0,0,0,582,582,0,0,14,2,2,0,0,0,50,47,3,3,9,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,169,0,0,0,0,0,0,0,0,0,0,0,4,0,No Team Selected
2-06,11:15:39,NINTEN,Gastly,Brock,1,Pewter City - Gym,2,2:10.95,2:10,0h2m10s,0,0,0,11,0:08,17.384,NIGHT SHADE,CONFUSE RAY,LICK,,0,688,16,3,0,19,19,13,0,3265,No Team Selected, ,Ghost,Poison,848,Gastly4,Gastly,Brock,00:01:53.56,00:02:10.95,00:08:06.05,11,0,0,2,10,95,NIGHT SHADE,CONFUSE RAY,LICK,,1,9,30,0,0,0,0,0,28,31,16,15,30,30,26,159,208,355,130,130,183,15,15,15,15,0,0,0,0,0,0,0,16,15,30,30,26,2047,19522,9619,0,2047,0,0,0,688,688,0,0,16,3,3,0,0,0,129,116,3,3,19,1,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,4,713,0,0,0,0,0,0,0,0,0,0,0,4,0,No Team Selected
2-06,11:16:22,NINTEN,Gastly,Bug Catcher,4,Route 3,3,2:54.46,2:54,0h2m54s,0,0,0,12,0:10,17.172,NIGHT SHADE,CONFUSE RAY,LICK,,0,809,24,4,0,28,28,21,3,1451,No Team Selected, ,Ghost,Poison,1183,Gastly4,Gastly,,00:02:37.28,00:02:54.46,00:10:58.43,12,0,0,2,54,46,NIGHT SHADE,CONFUSE RAY,LICK,,7,10,29,0,0,0,0,0,32,33,17,16,32,32,28,289,303,455,190,190,323,15,15,15,15,0,0,0,0,-4,0,0,21,16,32,32,9,2047,24735,14763,0,2047,0,0,0,809,809,0,0,24,4,4,0,0,0,227,205,4,4,28,1,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,7,1048,0,0,0,0,0,14,0,0,0,0,0,4,0,No Team Selected
2-06,11:16:38,NINTEN,Gastly,Youngster Ben,1,Route 3,2,3:10.19,3:10,0h3m10s,0,0,0,13,0:12,12.391,NIGHT SHADE,CONFUSE RAY,LICK,,0,813,24,5,0,36,34,25,3,1551,No Team Selected, ,Ghost,Poison,1461,Gastly4,Gastly,,00:02:57.80,00:03:10.19,00:12:01.13,13,0,0,3,10,19,NIGHT SHADE,CONFUSE RAY,LICK,,1,10,29,0,0,0,0,0,33,35,18,17,35,35,30,354,419,534,255,255,450,15,15,15,15,0,-1,0,0,0,0,0,20,11,35,35,30,2047,25033,18215,0,2047,0,0,0,813,813,0,0,24,5,5,0,0,0,302,264,5,5,34,1,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,9,1326,0,0,0,0,0,14,0,0,0,0,0,4,0,No Team Selected
2-06,11:17:12,NINTEN,Gastly,Bug Catcher,5,Route 3,4,3:44.31,3:44,0h3m44s,0,0,0,14,0:14,19.796,NIGHT SHADE,CONFUSE RAY,LICK,,0,935,24,6,0,47,45,32,3,1716,No Team Selected, ,Ghost,Poison,1936,Gastly4,Gastly,,00:03:24.51,00:03:44.31,00:14:16.43,14,0,0,3,44,31,NIGHT SHADE,CONFUSE RAY,LICK,,7,10,27,0,0,0,0,0,36,37,19,18,37,37,32,534,529,704,345,345,610,15,15,15,15,0,0,0,0,-1,0,0,23,18,37,37,21,2047,27942,23436,0,2047,0,0,0,935,935,0,0,24,6,6,0,0,0,426,376,6,6,45,2,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,13,1801,0,0,0,0,0,14,0,0,0,0,0,4,0,No Team Selected
2-06,11:17:27,NINTEN,Gastly,Bug Catcher,6,Route 3,2,3:59.49,3:59,0h3m59s,0,0,0,15,0:15,10.986,NIGHT SHADE,CONFUSE RAY,LICK,,0,943,25,7,0,53,51,36,3,1806,No Team Selected, ,Ghost,Poison,2229,Gastly4,Gastly,,00:03:48.52,00:03:59.49,00:15:17.02,15,0,0,3,59,49,NIGHT SHADE,CONFUSE RAY,LICK,,2,10,26,0,0,0,0,0,38,39,20,19,40,40,34,629,579,794,390,390,685,15,15,15,15,0,0,0,0,0,0,0,22,19,40,40,34,2047,28420,26577,0,2047,0,0,0,943,943,0,0,25,7,7,0,0,0,506,441,6,6,51,3,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,15,2094,0,0,0,0,0,14,0,0,0,0,0,4,0,No Team Selected
2-06,11:18:31,NINTEN,Gastly,Rocket,1,Mt Moon - 3,2,5:03.60,5:03,0h5m3s,0,0,0,16,0:19,11.843,NIGHT SHADE,CONFUSE RAY,LICK,,0,1306,31,8,2,61,59,42,5,1916,No Team Selected, ,Ghost,Poison,2536,Gastly4,Gastly,,00:04:51.76,00:05:03.60,00:19:31.25,16,0,0,5,3,60,NIGHT SHADE,CONFUSE RAY,LICK,,9,10,29,0,0,0,0,0,35,41,21,20,42,42,36,699,680,864,455,455,812,15,15,15,15,0,0,0,0,0,0,0,23,20,42,42,36,2047,36589,33671,0,2047,0,0,0,1306,1306,0,0,31,10,8,2,0,0,619,540,12,12,59,4,28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,17,2401,0,0,0,0,2,14,0,2,2,0,0,4,0,No Team Selected
2-06,11:18:52,NINTEN,Gastly,Fossil Nerd,2,Mt Moon - 3,3,5:24.30,5:24,0h5m24s,0,0,0,17,0:20,17.547,NIGHT SHADE,CONFUSE RAY,LICK,,0,1317,31,9,2,70,68,48,5,2306,No Team Selected, ,Ghost,Poison,3323,Gastly4,Gastly,,00:05:06.75,00:05:24.30,00:20:53.42,17,0,0,5,24,30,NIGHT SHADE,CONFUSE RAY,LICK,,0,10,29,0,0,0,0,0,37,43,23,21,45,45,38,859,855,1059,610,610,972,15,15,15,15,0,-4,0,0,0,0,0,25,6,45,45,38,2047,36943,38254,0,2047,0,0,0,1317,1317,0,0,31,11,9,2,0,0,763,649,12,12,68,4,34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,20,3188,0,0,0,0,2,14,0,2,2,0,0,4,0,No Team Selected
2-06,11:19:57,NINTEN,Gastly,Rival2-Nugget Bridge,7,Cerulean City,4,6:29.14,6:29,0h6m29s,0,0,0,18,0:25,36.326,NIGHT SHADE,CONFUSE RAY,LICK,,1,1509,36,10,2,98,96,72,6,2606,No Team Selected, ,Ghost,Poison,4415,Gastly4,Gastly,Rival (Nugget Bridge),00:05:52.81,00:06:29.14,00:25:11.02,18,0,0,6,29,14,NIGHT SHADE,CONFUSE RAY,LICK,,0,10,17,0,0,0,0,0,13,45,24,22,47,47,40,1021,1039,1229,840,840,1248,15,15,15,15,0,-6,0,0,0,-2,0,51,5,47,47,40,2047,42748,47405,484,2047,1,0,0,1509,1509,0,0,36,12,10,2,0,0,947,816,44,44,81,26,50,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,24,4280,0,0,0,0,3,14,0,2,2,0,0,4,0,No Team Selected
