date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
3-07,09:53:47,NINTEN,Gyarados,Rival1-Lab,2,Pallet Town - Oak's Lab,1,32.04,32,0h0m32s,0,0,0,5,0:01,4.375,DRAGON RAGE,BITE,LEER,HYDRO PUMP,0,61,4,1,0,1,1,0,0,3000,No Team Selected, ,Water,Flying,223,Gyarados2,Gyarados,Rival (Lab),00:00:27.68,00:00:32.04,00:01:35.25,5,0,0,0,32,4,DRAGON RAGE,BITE,LEER,HYDRO PUMP,9,25,30,5,0,0,0,0,26,26,19,14,16,16,14,45,49,49,65,65,45,15,15,15,15,0,0,0,0,0,0,0,19,14,16,16,14,1932,4448,1252,0,1932,0,0,0,61,61,0,0,4,1,1,0,0,0,40,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,67,0,0,0,0,0,0,0,0,0,0,0,2,0,No Team Selected
3-07,09:54:51,NINTEN,Gyarados,Bug Catcher,3,Viridian Forest,1,1:35.44,1:35,0h1m35s,0,0,0,6,0:05,5.259,DRAGON RAGE,BITE,LEER,HYDRO PUMP,0,592,24,2,0,2,2,1,1,3175,No Team Selected, ,Water,Flying,322,Gyarados2,Gyarados,,00:01:30.18,00:01:35.44,00:05:47.02,6,0,0,1,35,44,DRAGON RAGE,BITE,LEER,HYDRO PUMP,9,25,30,5,0,0,0,0,29,29,21,16,18,18,16,85,84,79,85,85,95,15,15,15,15,0,0,0,0,-1,0,0,21,16,18,18,10,1932,17857,2940,0,1932,0,0,0,592,592,0,0,24,2,2,0,0,0,80,47,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,166,0,0,0,0,1,0,0,0,0,0,0,2,0,No Team Selected
3-07,09:55:11,NINTEN,Gyarados,Brock,1,Pewter City - Gym,2,1:55.74,1:55,0h1m55s,0,0,0,8,0:07,8.294,DRAGON RAGE,BITE,LEER,HYDRO PUMP,0,696,25,3,0,4,4,2,1,3265,No Team Selected, ,Water,Flying,866,Gyarados2,Gyarados,Brock,00:01:47.46,00:01:55.74,00:07:07.32,8,0,0,1,55,74,DRAGON RAGE,BITE,LEER,HYDRO PUMP,7,25,30,5,0,0,0,0,35,35,27,20,23,23,20,160,209,339,145,145,185,15,15,15,15,0,-2,0,0,0,0,0,27,10,23,23,20,1932,20220,5407,0,1932,0,0,0,696,696,0,0,25,3,3,0,0,0,160,116,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,710,0,0,0,0,1,0,0,0,0,0,0,2,0,No Team Selected
3-07,09:55:33,NINTEN,Gyarados,Bug Catcher,4,Route 3,3,2:18.01,2:18,0h2m18s,0,0,0,9,0:08,8.788,DRAGON RAGE,BITE,LEER,HYDRO PUMP,0,769,29,4,0,7,7,2,2,4651,No Team Selected, ,Water,Flying,1201,Gyarados2,Gyarados,,00:02:09.23,00:02:18.01,00:08:35.58,9,0,0,2,18,1,DRAGON RAGE,BITE,LEER,HYDRO PUMP,4,25,30,5,0,0,0,0,39,39,30,22,25,25,22,290,304,439,205,205,325,15,15,15,15,0,0,0,0,0,0,0,33,22,25,25,22,1932,22391,8542,0,1932,0,0,0,769,769,0,0,29,4,4,0,0,0,280,205,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1045,0,0,0,0,1,0,0,0,0,0,0,2,0,No Team Selected
3-07,09:55:43,NINTEN,Gyarados,Youngster Ben,1,Route 3,2,2:27.80,2:27,0h2m27s,0,0,0,10,0:09,6.514,DRAGON RAGE,BITE,LEER,HYDRO PUMP,0,773,29,5,0,9,9,2,2,4751,No Team Selected, ,Water,Flying,1479,Gyarados2,Gyarados,,00:02:21.28,00:02:27.80,00:09:14.45,10,0,0,2,27,80,DRAGON RAGE,BITE,LEER,HYDRO PUMP,2,25,30,5,0,0,0,0,42,42,33,24,28,28,24,355,420,518,270,270,452,15,15,15,15,0,0,0,0,0,0,0,37,24,28,28,24,1932,22666,10594,0,1932,0,0,0,773,773,0,0,29,5,5,0,0,0,360,264,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1323,0,0,0,0,1,0,0,0,0,0,0,2,0,No Team Selected
3-07,09:55:55,NINTEN,Gyarados,Lass,2,Route 3,2,2:40.08,2:40,0h2m40s,0,0,0,11,0:10,8.534,DRAGON RAGE,BITE,LEER,HYDRO PUMP,0,779,30,6,0,12,12,3,2,4916,No Team Selected, ,Water,Flying,1727,Gyarados2,Gyarados,,00:02:31.55,00:02:40.08,00:10:03.29,11,0,0,2,40,8,DRAGON RAGE,BITE,LEER,HYDRO PUMP,2,25,30,2,0,0,0,0,37,45,36,26,30,30,26,431,533,593,335,335,574,15,15,15,15,0,0,0,0,0,0,0,40,26,30,30,26,1932,23072,13112,0,1932,0,0,0,779,779,0,0,30,6,6,0,0,0,451,321,8,8,11,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1571,0,0,0,0,1,0,0,0,0,0,0,2,0,No Team Selected
3-07,09:56:16,NINTEN,Gyarados,Bug Catcher,6,Route 3,2,3:00.56,3:00,0h3m0s,0,0,0,11,0:11,5.912,DRAGON RAGE,BITE,LEER,HYDRO PUMP,0,877,38,7,0,14,14,3,3,3466,No Team Selected, ,Water,Flying,2020,Gyarados2,Gyarados,,00:02:54.65,00:03:00.56,00:11:24.42,11,0,0,3,0,56,DRAGON RAGE,BITE,LEER,HYDRO PUMP,0,25,30,2,0,0,0,0,37,45,36,26,30,30,26,526,583,683,380,380,649,15,15,15,15,0,0,0,0,0,0,0,40,26,30,30,26,1932,26068,14989,0,1932,0,0,0,877,877,0,0,38,7,7,0,0,0,531,386,8,8,13,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1864,0,0,0,0,1,8,0,0,0,0,0,2,0,No Team Selected
3-07,09:57:19,NINTEN,Gyarados,Rocket,1,Mt Moon - 3,2,4:03.35,4:03,0h4m3s,0,0,0,12,0:15,6.517,DRAGON RAGE,BITE,LEER,HYDRO PUMP,0,1264,47,8,2,18,16,5,5,3576,No Team Selected, ,Water,Flying,2327,Gyarados2,Gyarados,,00:03:56.83,00:04:03.35,00:15:33.50,12,0,0,4,3,35,DRAGON RAGE,BITE,LEER,HYDRO PUMP,8,25,30,5,0,0,0,0,43,49,39,28,33,33,28,596,684,753,445,445,776,15,15,15,15,0,0,0,0,0,0,0,43,28,33,33,28,1932,34710,21295,0,1932,0,0,0,1264,1264,0,0,47,10,8,2,0,0,611,453,14,14,15,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2171,0,0,0,0,3,8,0,4,2,0,0,2,0,No Team Selected
3-07,09:57:34,NINTEN,Gyarados,Fossil Nerd,2,Mt Moon - 3,3,4:19.20,4:19,0h4m19s,0,0,0,13,0:16,12.262,DRAGON RAGE,BITE,LEER,HYDRO PUMP,0,1281,47,9,2,22,20,7,5,3966,No Team Selected, ,Water,Flying,3114,Gyarados2,Gyarados,,00:04:06.93,00:04:19.20,00:16:36.50,13,0,0,4,19,20,DRAGON RAGE,BITE,LEER,HYDRO PUMP,6,24,30,4,0,0,0,0,38,52,42,30,35,35,30,756,859,948,600,600,936,15,15,15,15,0,0,0,0,0,0,0,47,30,35,35,30,1932,35169,24616,0,1932,0,0,0,1281,1281,0,0,47,11,9,2,0,0,746,562,22,22,19,1,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2958,0,0,0,0,3,8,0,4,2,0,0,2,0,No Team Selected
3-07,09:58:44,NINTEN,Gyarados,Pecking Lass,1,Cerulean City - Gym,1,5:11.02,5:11,0h5m11s,0,1,1,14,0:20,6.56,DRAGON RAGE,BITE,LEER,HYDRO PUMP,0,1478,60,11,2,31,23,16,6,2133,No Team Selected, ,Water,Flying,3565,Gyarados2,Gyarados,,00:05:04.47,00:05:11.02,00:20:02.18,14,0,0,5,11,2,DRAGON RAGE,BITE,LEER,HYDRO PUMP,8,25,30,5,0,0,0,0,55,55,45,32,38,38,33,801,926,1008,650,650,999,15,15,15,15,0,-2,0,0,0,0,0,50,16,38,38,33,1932,40980,31133,0,1932,0,0,0,1478,1478,0,0,60,13,11,2,0,0,829,614,186,118,22,1,16,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,3,19,3409,0,0,0,0,3,8,0,4,2,0,1,2,1,No Team Selected
3-07,09:58:58,NINTEN,Gyarados,Misty,1,Cerulean City - Gym,2,5:25.35,5:25,0h5m25s,0,1,1,15,0:20,10.427,DRAGON RAGE,BITE,LEER,HYDRO PUMP,0,1479,61,12,2,35,27,18,6,2513,No Team Selected, ,Water,Flying,4904,Gyarados2,Gyarados,Misty,00:05:14.92,00:05:25.35,00:20:59.12,15,0,0,5,25,35,DRAGON RAGE,BITE,LEER,HYDRO PUMP,4,25,30,5,0,0,0,0,45,59,48,34,40,40,35,891,1046,1148,820,820,1199,15,15,15,15,0,0,0,0,0,0,0,54,34,40,40,35,1932,41437,34090,0,1932,0,0,0,1479,1479,0,0,61,14,12,2,0,0,989,714,200,132,26,1,18,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,3,21,4748,0,0,0,0,3,8,0,4,2,0,1,2,1,No Team Selected
