ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Jynx1,Jynx,Rival (Lab),00:00:27.77,00:00:37.88,00:01:58.14,5,0,0,0,37,88,POUND,LOVELY KISS,,,11,10,16,16,16,0,0,0,0,0,0,0,11,10,16,16,16,1953,4452,2617,0,1953,0,0,0,63,63,0,0,2,1,1,0,0,0,22,19,17,17,5,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,No Team Selected
Jynx1,Jynx,Rival (Lab),00:00:28.03,00:00:40.57,00:02:07.52,5,0,0,0,40,57,POUND,LOVELY KISS,,,11,10,16,16,16,-3,0,0,0,0,0,0,4,10,16,16,16,2017,4446,3202,0,2017,0,0,0,63,63,0,0,5,1,1,0,0,0,19,19,8,8,7,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69,0,0,0,0,0,0,0,0,0,0,0,1,0,No Team Selected
Jynx1,Jynx,Brock,00:19:01.29,00:19:43.16,01:17:33.19,18,0,0,19,43,16,LICK,LOVELY KISS,POUND,,32,26,47,47,48,0,-2,0,0,0,0,0,32,13,47,47,48,2017,72189,206067,918,2017,1,0,0,3032,3032,0,0,114,137,14,123,0,0,3886,2531,510,464,269,37,115,0,0,0,0,0,43,0,8,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,138,6265,0,0,0,0,1,14,0,0,0,1,10,1,10,No Team Selected
Jynx1,Jynx,Misty,00:23:17.42,00:23:36.65,01:33:00.15,22,0,0,23,36,65,MEGA PUNCH,LOVELY KISS,POUND,WATER GUN,38,31,57,57,58,0,0,0,0,0,0,0,42,31,57,57,58,2017,91191,240095,3504,2017,2,0,0,3752,3752,0,0,144,147,22,125,0,0,4843,3201,541,495,317,45,126,0,0,0,0,0,50,0,8,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,10,157,10530,0,0,0,0,5,14,0,3,2,3,10,1,10,No Team Selected
Jynx1,Jynx,Rival (Nugget Bridge),00:24:04.16,00:24:19.65,01:35:50.34,22,0,0,24,19,65,BUBBLEBEAM,LOVELY KISS,WATER GUN,MEGA PUNCH,38,31,57,57,58,0,0,0,0,0,0,0,42,31,57,57,58,2017,95298,244419,5292,2017,3,0,0,3854,3854,0,0,147,148,23,125,0,0,5084,3366,566,520,322,45,128,0,0,0,0,0,51,0,9,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,10,161,11617,0,0,0,0,6,14,0,3,2,4,10,1,10,No Team Selected
Jynx1,Jynx,Oddish Lass,00:26:13.00,00:26:23.85,01:44:03.30,25,0,0,26,23,85,BUBBLEBEAM,LOVELY KISS,WATER GUN,MEGA PUNCH,43,35,64,64,66,0,0,0,0,0,0,0,48,35,64,64,66,2017,101422,267411,5752,2017,3,0,0,3962,3962,0,0,162,158,33,125,0,0,6344,4182,588,542,345,46,133,0,0,0,0,0,56,0,9,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,10,182,15717,0,0,0,0,7,14,0,3,2,4,10,1,10,No Team Selected
Jynx1,Jynx,Rocket,00:26:52.27,00:27:05.23,01:46:47.32,25,0,0,27,5,23,BUBBLEBEAM,LOVELY KISS,WATER GUN,MEGA PUNCH,43,35,64,64,66,0,0,0,0,0,0,0,48,35,64,64,66,2017,107136,270987,6304,2017,3,0,0,4044,4044,0,0,173,159,34,125,0,0,6504,4285,610,564,349,48,137,0,0,0,0,0,56,0,10,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,10,184,16406,0,0,0,0,8,14,0,3,2,4,10,1,10,No Team Selected
Jynx1,Jynx,Rival (SS Anne),00:28:31.76,00:28:47.58,01:53:33.21,27,0,0,28,47,58,BUBBLEBEAM,LOVELY KISS,WATER GUN,BODY SLAM,46,37,69,69,71,0,0,0,0,0,-1,0,51,37,69,69,71,2017,116668,281888,10220,2017,3,0,0,4361,4361,0,0,188,163,38,125,0,0,7226,4750,646,600,363,49,142,0,0,0,0,0,58,0,11,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,10,194,19853,0,0,0,0,10,20,0,3,2,5,10,1,10,No Team Selected
Jynx1,Jynx,Lt. Surge,00:29:29.43,00:29:42.94,01:57:12.51,27,0,0,29,42,94,BUBBLEBEAM,LOVELY KISS,WATER GUN,BODY SLAM,46,37,69,69,71,0,-2,0,0,0,0,0,57,18,69,69,71,2017,123322,285673,12951,2017,4,0,0,4540,4540,0,0,199,164,39,125,0,0,7460,4910,680,634,369,49,145,0,0,0,0,0,58,0,11,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,10,197,21258,0,0,0,0,10,20,0,3,2,7,10,1,10,No Team Selected
Jynx1,Jynx,RTG1 - Wrapping Lass,00:30:21.22,00:30:36.98,02:00:46.52,28,0,0,30,36,98,BUBBLEBEAM,LOVELY KISS,WATER GUN,BODY SLAM,48,39,72,72,74,0,0,0,0,0,0,0,54,43,72,72,74,2017,129763,290015,15009,2017,5,0,0,4681,4631,50,0,212,165,40,125,0,0,7725,5101,683,637,376,49,146,0,0,0,0,0,58,0,11,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,10,201,22506,0,0,0,0,10,20,0,3,2,7,10,1,10,No Team Selected
