date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
6-13,12:38:15,NINTEN,Koffing,Rival1-Lab,1,Pallet Town - Oak's Lab,1,36.70,36,0h0m36s,0,0,0,5,0:01,9.787,TACKLE,SMOG,,,0,57,2,1,0,5,5,5,0,3000,No Team Selected, ,Poison,Poison,195,Koffing 2,Koffing,Rival (Lab),00:00:26.91,00:00:36.70,00:01:54.10,5,0,0,0,36,70,TACKLE,SMOG,,,30,20,0,0,0,0,0,0,17,20,13,16,12,12,10,44,48,65,50,50,43,15,15,15,15,0,-1,0,0,0,0,0,13,10,12,12,10,1916,4280,2545,0,1916,0,0,0,57,57,0,0,2,1,1,0,0,0,21,20,3,3,5,3,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,No Team Selected
6-13,12:39:33,NINTEN,Koffing,Bug Catcher,1,Viridian Forest,2,1:54.84,1:54,0h1m54s,0,0,0,7,0:07,18.909,TACKLE,SMOG,,,0,495,29,2,1,18,18,17,1,3175,No Team Selected, ,Poison,Poison,351,Koffing 2,Koffing,,00:01:35.93,00:01:54.84,00:07:04.22,7,0,0,1,54,84,TACKLE,SMOG,,,26,16,0,0,0,0,0,0,13,24,16,20,15,15,12,169,158,170,125,125,194,15,15,15,15,0,0,0,0,-4,0,0,16,20,15,15,3,1916,16203,9234,0,1916,0,0,0,495,495,0,0,29,3,2,1,0,0,84,78,14,14,15,8,12,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,226,0,0,0,0,1,0,0,0,0,0,0,2,0,No Team Selected
6-13,12:40:09,NINTEN,Koffing,Bug Catcher,3,Viridian Forest,1,2:30.50,2:30,0h2m30s,0,0,0,7,0:09,12.046,TACKLE,SMOG,,,0,592,30,3,2,32,32,30,0,3235,No Team Selected, ,Poison,Poison,500,Koffing 2,Koffing,,00:02:18.46,00:02:30.50,00:09:26.08,7,0,0,2,30,50,TACKLE,SMOG,,,12,16,0,0,0,0,0,0,21,24,16,20,15,15,12,254,218,250,170,170,279,15,15,15,15,0,0,0,0,-2,0,0,16,20,15,15,6,1916,18012,15546,385,1916,0,0,0,592,592,0,0,30,5,3,2,0,0,135,126,17,17,29,9,17,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,375,0,0,0,0,1,0,0,0,0,0,0,2,0,No Team Selected
6-13,12:49:04,NINTEN,Koffing,Jr Trainer M,1,Pewter City - Gym,2,11:25.77,11:25,0h11m25s,0,16,16,15,0:44,32.535,TACKLE,SMOG,,,0,1492,67,20,3,258,254,256,3,0,No Team Selected, ,Poison,Poison,3978,Koffing 2,Koffing,,00:10:53.23,00:11:25.77,00:44:52.49,15,0,0,11,25,77,TACKLE,SMOG,,,35,3,0,0,0,0,0,0,8,42,30,38,28,28,21,514,1263,790,985,985,1984,15,15,15,15,0,0,0,0,0,-5,0,30,38,28,28,21,1916,41196,119963,385,1916,0,0,0,1492,1492,0,0,67,23,20,3,0,0,865,797,655,621,159,116,228,0,0,0,0,0,9,0,28,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,25,3853,0,0,0,0,1,13,0,0,0,0,16,2,16,No Team Selected
6-13,12:50:03,NINTEN,Koffing,Rival1a-Route 22,4,Route 22,2,12:24.88,12:24,0h12m24s,0,16,16,16,0:48,14.814,TACKLE,SMOG,,,0,1841,104,21,5,269,265,263,3,220,No Team Selected, ,Poison,Poison,4267,Koffing 2,Koffing,Rival (Optional),00:12:10.06,00:12:24.88,00:48:47.11,16,0,0,12,24,88,TACKLE,SMOG,,,24,20,0,0,0,0,0,0,33,44,32,41,30,30,22,683,1416,975,1115,1115,2168,15,15,15,15,0,0,0,0,0,-1,0,32,41,30,30,22,1916,49034,126187,385,1916,0,0,0,1841,1841,0,0,104,26,21,5,0,0,996,885,666,632,168,118,234,0,0,0,0,0,9,0,28,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,29,4142,0,0,0,0,1,13,0,0,0,0,16,2,16,No Team Selected
6-13,12:54:11,NINTEN,Koffing,Bug Catcher,2,Viridian Forest,3,16:32.50,16:32,0h16m32s,0,17,17,17,1:05,12.783,TACKLE,SMOG,,,0,2835,121,23,34,331,327,290,3,250,No Team Selected, ,Poison,Poison,5765,Koffing 2,Koffing,,00:16:19.71,00:16:32.50,01:05:09.28,17,0,0,16,32,50,TACKLE,SMOG,,,23,20,0,0,0,0,0,0,46,47,34,44,32,32,24,2103,2511,2260,1920,1920,3748,15,15,15,15,0,0,0,0,-1,0,0,34,44,32,32,15,1916,68488,165670,385,1916,0,0,0,2835,2835,0,0,121,57,23,34,0,0,2024,1542,712,678,221,128,239,0,0,0,0,0,12,0,28,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,63,5640,0,0,0,0,1,13,0,0,0,0,17,2,17,No Team Selected
6-13,12:59:33,NINTEN,Koffing,Brock,1,Pewter City - Gym,2,21:09.30,21:09,0h21m9s,0,17,17,19,1:23,63.867,TACKLE,SMOG,,,1,3867,132,24,61,417,413,335,3,320,No Team Selected, ,Poison,Poison,7422,Koffing 2,Koffing,Brock,00:20:05.43,00:21:09.30,01:23:27.59,19,0,0,21,9,30,TACKLE,SMOG,,,12,1,0,0,0,0,0,0,8,52,38,49,35,35,27,3343,3461,3670,2690,2690,5048,15,15,15,15,0,-6,0,0,0,0,0,38,12,35,35,27,1916,88101,211450,903,1916,1,0,0,3867,3867,0,0,132,85,24,61,0,0,2838,2107,766,732,291,147,254,0,0,0,0,0,16,0,32,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,92,7297,0,0,0,0,1,13,0,0,0,0,17,2,17,No Team Selected
6-13,13:00:07,NINTEN,Koffing,Bug Catcher,4,Route 3,3,21:43.23,21:43,0h21m43s,0,17,17,19,1:25,12.469,TACKLE,SMOG,,,1,3998,133,25,61,423,419,338,4,1706,No Team Selected, ,Poison,Poison,7757,Koffing 2,Koffing,,00:21:30.76,00:21:43.23,01:25:42.39,19,0,0,21,43,23,TACKLE,SMOG,,,33,16,0,0,0,0,0,0,49,52,38,49,35,35,27,3473,3556,3770,2750,2750,5188,15,15,15,15,0,0,0,0,0,0,0,42,49,35,35,27,1916,91967,215477,1090,1916,1,0,0,3998,3998,0,0,133,86,25,61,0,0,2970,2196,769,735,295,150,256,0,0,0,0,0,17,0,32,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,95,7632,0,0,0,0,1,13,0,0,0,0,17,2,17,No Team Selected
6-13,13:00:20,NINTEN,Koffing,Youngster Ben,1,Route 3,2,21:56.45,21:56,0h21m56s,0,17,17,20,1:26,10.24,TACKLE,SMOG,,,1,4002,134,26,61,428,423,340,4,1806,No Team Selected, ,Poison,Poison,8035,Koffing 2,Koffing,,00:21:46.21,00:21:56.45,01:26:35.10,20,0,0,21,56,45,TACKLE,SMOG,,,29,16,0,0,0,0,0,0,47,55,40,52,37,37,28,3538,3672,3849,2815,2815,5315,15,15,15,15,0,0,0,0,0,0,0,45,52,37,37,28,1916,92168,218427,1090,1916,1,0,0,4002,4002,0,0,134,87,26,61,0,0,3037,2255,774,740,299,150,258,0,0,0,0,0,17,0,32,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,97,7910,0,0,0,0,1,13,0,0,0,0,17,2,17,No Team Selected
6-13,13:00:37,NINTEN,Koffing,Bug Catcher,5,Route 3,4,22:13.32,22:13,0h22m13s,0,17,17,20,1:27,13.778,TACKLE,SMOG,,,1,4008,134,27,61,435,430,343,4,1971,No Team Selected, ,Poison,Poison,8510,Koffing 2,Koffing,,00:21:59.54,00:22:13.32,01:27:42.11,20,0,0,22,13,32,TACKLE,SMOG,,,26,12,0,0,0,0,0,0,47,55,40,52,37,37,28,3718,3782,4019,2905,2905,5475,15,15,15,15,0,0,0,0,0,0,0,45,52,37,37,28,1916,92404,222212,1090,1916,1,0,0,4008,4008,0,0,134,88,27,61,0,0,3202,2367,774,740,303,153,258,0,0,0,0,0,19,0,32,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,101,8385,0,0,0,0,1,13,0,0,0,0,17,2,17,No Team Selected
