ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Machamp13,Machamp,Rival (Lab),00:00:27.49,00:00:33.17,00:01:39.07,6,0,0,0,33,17,KARATE CHOP,LOW KICK,LEER,,22,16,14,14,13,0,0,0,0,0,0,0,22,16,14,14,13,1980,4356,1566,0,1980,0,0,0,63,63,0,0,12,1,1,0,0,0,22,19,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69,0,0,0,0,0,0,0,0,0,0,0,13,0,No Team Selected
Machamp13,Machamp,Brock,00:01:49.64,00:02:06.01,00:07:47.35,11,0,0,2,6,1,KARATE CHOP,LOW KICK,LEER,,37,26,22,22,20,0,0,0,0,0,0,0,37,26,22,22,20,1980,19627,8403,0,1980,0,0,0,680,680,0,0,36,3,3,0,0,0,153,115,16,16,14,1,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,712,0,0,0,0,1,0,0,0,0,0,0,13,0,No Team Selected
Machamp13,Machamp,Rival (Nugget Bridge),00:04:54.28,00:05:19.40,00:20:35.07,18,0,0,5,19,40,KARATE CHOP,LOW KICK,LEER,,58,40,35,35,31,-1,0,0,0,0,-2,0,42,40,35,35,31,1980,39358,34724,0,1980,0,0,0,1382,1382,0,0,89,12,10,2,0,0,1177,770,61,61,40,19,20,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4127,0,0,0,0,4,12,0,1,1,0,0,13,0,No Team Selected
Machamp13,Machamp,Oddish Lass,00:07:10.23,00:07:19.98,00:28:33.44,23,0,0,7,19,98,KARATE CHOP,LOW KICK,LEER,,74,51,44,44,39,0,0,0,0,0,0,0,83,51,44,44,39,1980,45102,57697,0,1980,0,0,0,1486,1486,0,0,98,22,20,2,0,0,2583,1664,69,69,64,20,22,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,8828,0,0,0,0,5,12,0,1,1,0,0,13,0,No Team Selected
Machamp13,Machamp,Misty,00:07:54.05,00:08:04.97,00:31:32.06,24,0,0,8,4,97,KARATE CHOP,LOW KICK,LEER,,77,53,46,46,41,0,0,0,0,0,0,0,86,53,46,46,41,1980,50589,62515,397,1980,0,0,0,1554,1554,0,0,113,24,22,2,0,0,2812,1813,90,90,70,20,25,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,10618,0,0,0,0,5,12,0,1,1,0,0,13,0,No Team Selected
Machamp13,Machamp,Rocket,00:08:21.05,00:08:28.84,00:33:06.30,24,0,0,8,28,84,KARATE CHOP,LOW KICK,LEER,,77,53,46,46,41,0,0,0,0,0,0,0,86,53,46,46,41,1980,53790,64978,397,1980,0,0,0,1641,1641,0,0,118,25,23,2,0,0,2984,1916,90,90,73,21,25,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,11307,0,0,0,0,5,12,0,1,1,0,0,13,0,No Team Selected
Machamp13,Machamp,Rival (SS Anne),00:10:09.59,00:10:22.77,00:40:37.52,27,0,0,10,22,77,BODY SLAM,LOW KICK,KARATE CHOP,DIG,87,60,51,51,46,0,0,0,0,0,0,0,97,60,51,51,46,1980,65493,78718,2036,1980,0,0,0,2057,2057,0,0,139,31,29,2,0,0,4115,2561,95,95,87,22,26,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,16451,0,0,0,0,9,15,0,1,1,2,0,13,0,No Team Selected
Machamp13,Machamp,Lt. Surge,00:10:56.46,00:11:09.12,00:43:41.38,28,0,0,11,9,12,BODY SLAM,LOW KICK,KARATE CHOP,DIG,90,62,53,53,48,0,-2,0,0,0,0,0,101,31,53,53,48,1980,71973,82273,3027,1980,0,0,0,2234,2234,0,0,145,32,30,2,0,0,4548,2721,114,114,90,24,29,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,17856,0,0,0,0,9,15,0,1,1,3,0,13,0,No Team Selected
Machamp13,Machamp,RTG1 - Wrapping Lass,00:11:48.59,00:11:58.22,00:46:55.46,28,0,0,11,58,22,BODY SLAM,LOW KICK,KARATE CHOP,DIG,90,62,53,53,48,0,0,0,0,0,0,0,101,69,53,53,48,1980,78228,85149,5544,1980,0,0,0,2377,2327,50,0,157,33,31,2,0,0,4961,2911,114,114,94,24,29,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,19104,0,0,0,0,9,15,0,1,1,3,0,13,0,No Team Selected
Machamp13,Machamp,RTG4 - Status Jr Trainer,00:12:41.04,00:12:47.57,00:50:11.37,30,0,0,12,47,57,BODY SLAM,LOW KICK,KARATE CHOP,DIG,96,66,57,57,51,0,0,0,0,0,0,0,108,74,57,57,51,1980,81280,93598,5794,1980,0,0,0,2577,2327,250,0,169,37,35,2,0,0,5725,3399,155,155,105,24,31,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,21984,0,0,0,0,9,15,0,1,1,3,0,13,0,No Team Selected
