player_name,pokemon,trainer_name,real_time_hmmss,resets,blackouts,level,game_time,battle_duration,move1,move2,move3,move4
NINTEN,Machamp,Rival1-Lab,33,0,0,6,0:01,6.11,KARATE CHOP,LOW KICK,LEER,
NINTEN,Machamp,Brock,2:10,0,0,11,0:08,17.199,KARATE CHOP,LOW KICK,LEER,
NINTEN,Machamp,Rival2-Nugget Bridge,5:13,0,0,18,0:20,19.503,KARATE CHOP,LOW KICK,LEER,
NINTEN,Machamp,Misty,8:07,0,0,24,0:31,9.914,KARATE CHOP,LOW KICK,LEER,
NINTEN,Machamp,Cerulean Rocket,8:25,0,0,24,0:32,6.41,KARATE CHOP,LOW KICK,LEER,
NINTEN,Machamp,Rival3-SS Anne,10:22,0,0,27,0:40,11.675,BODY SLAM,LOW KICK,KARATE CHOP,DIG
NINTEN,Machamp,Surge,11:16,0,0,28,0:44,11.454,BODY SLAM,LOW KICK,KARATE CHOP,DIG
NINTEN,Machamp,Rival4-Pkmn Tower,16:25,0,0,32,1:04,16.661,BODY SLAM,LOW KICK,ROCK SLIDE,DIG
NINTEN,Machamp,Koga,20:55,0,0,38,1:22,15.958,EARTHQUAKE,LOW KICK,ROCK SLIDE,BODY SLAM
NINTEN,Machamp,Erika,22:49,0,0,40,1:29,13.669,EARTHQUAKE,LOW KICK,ROCK SLIDE,BODY SLAM
