date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
3-27,13:34:41,NINTEN,Machamp,Rival1-Lab,3,Pallet Town - Oak's Lab,1,34.36,34,0h0m34s,0,0,0,6,0:01,6.653,KARATE CHOP,LOW KICK,LEER,,0,63,3,1,0,2,2,2,0,3000,No Team Selected, ,Fighting,Fighting,204,Machamp21,Machamp,Rival (Lab),00:00:27.71,00:00:34.36,00:01:43.55,6,0,0,0,34,36,KARATE CHOP,LOW KICK,LEER,,23,20,30,0,0,0,0,0,28,28,22,16,14,14,13,39,52,43,50,50,65,15,15,15,15,-1,0,0,0,0,0,0,14,16,14,14,13,1971,4414,1796,0,1971,0,0,0,63,63,0,0,3,1,1,0,0,0,22,19,0,0,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69,0,0,0,0,0,0,0,0,0,0,0,21,0,No Team Selected
3-27,13:35:45,NINTEN,Machamp,Bug Catcher,3,Viridian Forest,1,1:38.33,1:38,0h1m38s,0,0,0,7,0:05,8.465,KARATE CHOP,LOW KICK,LEER,,0,574,22,2,0,5,5,5,1,3175,No Team Selected, ,Fighting,Fighting,303,Machamp21,Machamp,,00:01:29.87,00:01:38.33,00:05:57.53,7,0,0,1,38,33,KARATE CHOP,LOW KICK,LEER,,22,20,30,0,0,0,0,0,28,31,25,18,16,16,14,79,87,73,70,70,115,15,15,15,15,0,0,0,0,-2,0,0,25,18,16,16,7,1971,17195,4253,0,1971,0,0,0,574,574,0,0,22,2,2,0,0,0,55,46,3,3,5,1,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,168,0,0,0,0,1,0,0,0,0,0,0,21,0,No Team Selected
3-27,13:36:14,NINTEN,Machamp,Brock,1,Pewter City - Gym,2,2:06.82,2:06,0h2m6s,0,0,0,11,0:07,16.375,KARATE CHOP,LOW KICK,LEER,,0,680,23,3,0,14,14,10,1,3265,No Team Selected, ,Fighting,Fighting,847,Machamp21,Machamp,Brock,00:01:50.44,00:02:06.82,00:07:50.56,11,0,0,2,6,82,KARATE CHOP,LOW KICK,LEER,,22,14,27,0,0,0,0,0,41,44,37,26,22,22,20,154,212,333,130,130,205,15,15,15,15,0,0,0,0,0,0,0,37,26,22,22,20,1971,19593,8638,0,1971,0,0,0,680,680,0,0,23,3,3,0,0,0,142,115,3,3,14,2,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,712,0,0,0,0,1,0,0,0,0,0,0,21,0,No Team Selected
3-27,13:36:48,NINTEN,Machamp,Bug Catcher,4,Route 3,3,2:40.95,2:40,0h2m40s,0,0,0,12,0:10,11.789,KARATE CHOP,LOW KICK,LEER,,0,763,30,4,0,19,19,12,5,251,No Team Selected, ,Fighting,Fighting,1182,Machamp21,Machamp,,00:02:29.16,00:02:40.95,00:10:06.25,12,0,0,2,40,95,KARATE CHOP,LOW KICK,LEER,,17,14,27,0,0,0,0,0,40,47,40,28,24,24,22,284,307,433,190,190,345,15,15,15,15,0,0,0,0,0,0,0,45,28,24,24,22,1971,23912,12448,0,1971,0,0,0,763,763,0,0,30,4,4,0,0,0,256,204,7,7,18,3,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1047,0,0,0,0,1,12,0,0,0,0,0,21,0,No Team Selected
3-27,13:36:58,NINTEN,Machamp,Youngster Ben,1,Route 3,2,2:51.11,2:51,0h2m51s,0,0,0,13,0:10,7.293,KARATE CHOP,LOW KICK,LEER,,0,767,31,5,0,21,21,12,5,351,No Team Selected, ,Fighting,Fighting,1460,Machamp21,Machamp,,00:02:43.82,00:02:51.11,00:10:46.42,13,0,0,2,51,11,KARATE CHOP,LOW KICK,LEER,,16,13,27,0,0,0,0,0,43,50,43,30,26,26,23,349,423,512,255,255,472,15,15,15,15,0,0,0,0,0,0,0,48,30,26,26,23,1971,24107,14670,0,1971,0,0,0,767,767,0,0,31,5,5,0,0,0,339,263,7,7,20,3,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1325,0,0,0,0,1,12,0,0,0,0,0,21,0,No Team Selected
3-27,13:37:09,NINTEN,Machamp,Lass,2,Route 3,2,3:02.27,3:02,0h3m2s,0,0,0,14,0:11,7.174,KARATE CHOP,LOW KICK,LEER,,0,775,32,6,0,23,23,12,5,516,No Team Selected, ,Fighting,Fighting,1708,Machamp21,Machamp,,00:02:55.10,00:03:02.27,00:11:30.59,14,0,0,3,2,27,KARATE CHOP,LOW KICK,LEER,,15,12,27,0,0,0,0,0,47,54,46,32,27,27,25,425,536,587,320,320,594,15,15,15,15,0,0,0,0,0,0,0,51,32,27,27,25,1971,24578,16856,0,1971,0,0,0,775,775,0,0,32,6,6,0,0,0,443,320,7,7,22,3,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1573,0,0,0,0,1,12,0,0,0,0,0,21,0,No Team Selected
3-27,13:37:24,NINTEN,Machamp,Bug Catcher,6,Route 3,2,3:16.63,3:16,0h3m16s,0,0,0,14,0:12,7.595,KARATE CHOP,LOW KICK,LEER,,0,833,35,7,0,26,26,13,5,666,No Team Selected, ,Fighting,Fighting,2001,Machamp21,Machamp,,00:03:09.03,00:03:16.63,00:12:27.59,14,0,0,3,16,63,KARATE CHOP,LOW KICK,LEER,,12,12,27,0,0,0,0,0,47,54,46,32,27,27,25,520,586,677,365,365,669,15,15,15,15,0,0,0,0,0,0,0,51,32,27,27,25,1971,25732,19122,0,1971,0,0,0,833,833,0,0,35,7,7,0,0,0,530,385,7,7,25,3,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1866,0,0,0,0,1,12,0,0,0,0,0,21,0,No Team Selected
3-27,13:38:12,NINTEN,Machamp,Rocket,1,Mt Moon - 3,2,4:05.09,4:05,0h4m5s,0,0,0,15,0:15,7.992,KARATE CHOP,LOW KICK,LEER,,0,1168,44,8,1,30,29,15,6,776,No Team Selected, ,Fighting,Fighting,2308,Machamp21,Machamp,,00:03:57.10,00:04:05.09,00:15:40.29,15,0,0,4,5,9,KARATE CHOP,LOW KICK,LEER,,11,10,27,0,0,0,0,0,36,57,49,34,29,29,27,590,687,747,430,430,796,15,15,15,15,0,0,0,0,0,0,0,55,34,29,29,27,1971,32406,23998,0,1971,0,0,0,1168,1168,0,0,44,9,8,1,0,0,653,468,21,21,28,3,8,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2173,0,0,0,0,3,12,0,2,1,0,0,21,0,No Team Selected
3-27,13:38:29,NINTEN,Machamp,Fossil Nerd,2,Mt Moon - 3,3,4:21.69,4:21,0h4m21s,0,0,0,16,0:16,13.106,KARATE CHOP,LOW KICK,LEER,,0,1181,46,9,1,35,34,18,6,1166,No Team Selected, ,Fighting,Fighting,3095,Machamp21,Machamp,,00:04:08.58,00:04:21.69,00:16:46.26,16,0,0,4,21,69,KARATE CHOP,LOW KICK,LEER,,7,9,27,0,0,0,0,0,30,60,52,36,31,31,28,750,862,942,585,585,956,15,15,15,15,0,0,0,0,0,0,0,58,36,31,31,28,1971,32847,27514,0,1971,0,0,0,1181,1181,0,0,46,10,9,1,0,0,802,577,30,30,33,3,11,0,0,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2960,0,0,0,0,3,12,0,2,1,0,0,21,0,No Team Selected
3-27,13:39:18,NINTEN,Machamp,Rival2-Nugget Bridge,9,Cerulean City,4,5:10.93,5:10,0h5m10s,0,0,0,18,0:20,21.896,KARATE CHOP,LOW KICK,LEER,,0,1381,52,10,1,45,44,26,7,1466,No Team Selected, ,Fighting,Fighting,4182,Machamp21,Machamp,Rival (Nugget Bridge),00:04:49.03,00:05:10.93,00:20:01.38,18,0,0,5,10,93,KARATE CHOP,LOW KICK,LEER,,21,14,30,0,0,0,0,0,29,67,58,40,35,35,31,907,1050,1090,815,815,1254,15,15,15,15,0,-1,0,0,0,-1,0,73,26,35,35,31,1971,38845,33228,0,1971,0,0,0,1381,1381,0,0,52,11,10,1,0,0,1079,742,68,68,39,9,17,0,0,0,0,0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4047,0,0,0,0,4,12,0,2,1,0,0,21,0,No Team Selected
