ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Magmar9,Magmar,Rival (Lab),00:00:26.93,00:00:38.35,00:02:00.12,5,0,0,0,38,35,EMBER,,,,16,12,15,15,15,0,-2,0,0,0,0,0,16,6,15,15,15,1947,4256,2931,0,1947,0,0,0,57,57,0,0,3,1,1,0,0,0,21,20,5,5,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70,0,0,0,0,0,0,0,0,0,0,0,9,0,No Team Selected
Magmar9,Magmar,Brock,00:02:44.25,00:03:03.61,00:11:36.42,11,0,0,3,3,61,EMBER,,,,29,21,27,27,29,0,-4,0,0,0,0,0,29,6,27,27,29,1947,23084,17961,732,1947,0,0,0,724,724,0,0,31,6,6,0,0,0,347,286,46,46,31,4,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1517,0,0,0,0,4,0,0,0,0,0,0,9,0,No Team Selected
Magmar9,Magmar,Rival (Nugget Bridge),00:06:31.36,00:06:48.02,00:26:26.53,19,0,0,6,48,2,EMBER,MEGA PUNCH,,,48,34,44,44,47,0,0,0,0,0,0,0,54,34,44,44,47,1947,44567,46269,4352,1947,1,0,0,1439,1439,0,0,60,15,13,2,0,0,1427,955,108,108,61,10,26,0,0,0,0,0,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,5084,0,0,0,0,8,19,0,7,2,1,0,9,0,No Team Selected
Magmar9,Magmar,Oddish Lass,00:09:19.09,00:09:29.69,00:37:08.31,22,0,0,9,29,69,EMBER,MEGA PUNCH,SEISMIC TOSS,,56,39,51,51,55,0,0,0,0,0,0,0,63,39,51,51,55,1947,53340,74655,5691,1947,1,0,0,1623,1623,0,0,84,26,24,2,0,0,2902,1919,158,158,96,13,35,0,0,0,0,0,17,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,10142,0,0,0,0,10,19,0,7,2,2,0,9,0,No Team Selected
Magmar9,Magmar,Misty,00:10:16.94,00:10:28.37,00:41:01.16,23,0,0,10,28,37,EMBER,MEGA PUNCH,SEISMIC TOSS,,58,41,53,53,57,0,0,0,0,0,0,0,65,41,53,53,57,1947,60255,80122,7274,1947,2,0,0,1733,1733,0,0,96,28,26,2,0,0,3110,2068,193,193,103,15,37,0,0,0,0,0,18,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,11932,0,0,0,0,11,19,0,7,2,2,0,9,0,No Team Selected
Magmar9,Magmar,Rocket,00:10:44.53,00:10:53.06,00:42:38.55,24,0,0,10,53,6,EMBER,MEGA PUNCH,SEISMIC TOSS,,61,42,55,55,60,0,0,0,0,0,0,0,68,42,55,55,60,1947,63446,82790,7274,1947,2,0,0,1820,1820,0,0,101,29,27,2,0,0,3236,2171,206,206,106,15,38,0,0,0,0,0,18,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,12621,0,0,0,0,11,19,0,7,2,2,0,9,0,No Team Selected
Magmar9,Magmar,Rival (SS Anne),00:12:41.49,00:12:57.19,00:50:50.38,26,0,0,12,57,19,BODY SLAM,MEGA PUNCH,SEISMIC TOSS,EMBER,66,46,60,60,65,0,0,0,0,0,-1,0,83,46,60,60,65,1947,76602,98170,8241,1947,2,0,0,2281,2281,0,0,129,35,33,2,0,0,4349,2816,251,251,124,17,46,0,0,0,0,0,23,0,3,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,75,17770,0,0,0,0,17,22,0,7,2,3,0,9,0,No Team Selected
Magmar9,Magmar,Lt. Surge,00:13:40.38,00:13:54.47,00:54:37.41,27,0,0,13,54,47,BODY SLAM,MEGA PUNCH,SEISMIC TOSS,EMBER,68,47,62,62,67,-1,0,0,0,0,0,0,49,47,62,62,67,1947,83027,102073,11536,1947,2,0,0,2458,2458,0,0,136,36,34,2,0,0,4569,2976,276,276,129,17,49,0,0,0,0,0,23,0,3,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,78,19175,0,0,0,0,17,22,0,7,2,5,0,9,0,No Team Selected
Magmar9,Magmar,RTG1 - Wrapping Lass,00:14:31.49,00:14:42.64,00:57:48.24,28,0,0,14,42,64,BODY SLAM,MEGA PUNCH,SEISMIC TOSS,EMBER,71,49,65,65,70,0,0,0,0,0,0,0,79,55,65,65,70,1947,89430,105332,13317,1947,2,0,0,2600,2548,52,0,151,37,35,2,0,0,4789,3166,276,276,133,17,49,0,0,0,0,0,23,0,3,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,82,20423,0,0,0,0,17,22,0,7,2,5,0,9,0,No Team Selected
Magmar9,Magmar,RTG4 - Status Jr Trainer,00:15:36.92,00:15:42.83,01:01:47.12,29,0,0,15,42,83,BODY SLAM,MEGA PUNCH,SEISMIC TOSS,EMBER,73,51,67,67,72,0,0,0,0,0,0,0,82,57,67,67,72,1947,92851,114716,14840,1947,3,0,0,2797,2548,249,0,176,42,39,3,1,0,5568,3654,324,324,144,17,52,0,0,0,0,0,26,0,3,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,90,23303,0,0,0,0,17,22,0,7,2,5,0,9,0,No Team Selected
Magmar9,Magmar,RTG6 - Finisher,00:16:26.63,00:16:35.03,01:05:14.22,30,0,0,16,35,3,BODY SLAM,MEGA PUNCH,SEISMIC TOSS,EMBER,76,53,69,69,74,0,0,0,0,0,0,0,85,59,69,69,74,1947,97062,120457,17318,1947,4,0,0,2968,2548,420,0,199,44,41,3,1,0,5976,3934,392,392,152,17,54,0,0,0,0,0,27,0,3,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,96,25543,0,0,0,0,17,22,0,7,2,5,0,9,0,No Team Selected
Magmar9,Magmar,Rival (Pokemon Tower),00:19:44.28,00:20:01.27,01:18:51.05,31,0,0,20,1,27,PSYCHIC,BODY SLAM,SEISMIC TOSS,EMBER,78,56,74,74,77,0,0,0,0,0,0,0,87,63,74,74,77,1947,131414,128600,23826,1947,4,0,0,3806,3234,572,0,262,47,44,3,1,0,6716,4467,411,411,162,17,55,0,0,0,0,0,29,0,3,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,105,29962,0,0,0,0,23,40,7,7,2,7,0,9,0,No Team Selected
Magmar9,Magmar,Erika,00:22:30.26,00:22:47.97,01:29:52.35,35,0,0,22,47,97,PSYCHIC,BODY SLAM,SEISMIC TOSS,EMBER,89,63,84,84,87,0,0,0,0,0,0,0,100,70,84,84,87,1947,145834,151282,26414,1947,5,0,0,4111,3539,572,0,299,57,53,4,1,0,8976,5736,434,434,186,19,59,0,0,0,0,0,33,0,3,0,0,0,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,125,41850,0,0,0,0,26,40,7,7,2,7,0,9,0,No Team Selected
Magmar9,Magmar,Koga,00:25:39.94,00:25:54.71,01:42:13.31,40,0,0,25,54,71,PSYCHIC,BODY SLAM,SEISMIC TOSS,EMBER,102,73,96,96,100,0,0,0,0,0,0,0,114,82,96,96,100,1947,157425,178745,31816,1947,6,0,0,4527,3730,797,0,327,66,61,5,2,0,12584,7992,512,512,220,19,65,0,0,0,0,0,41,0,4,0,0,0,0,2,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,152,65425,0,0,0,0,28,40,7,7,2,7,0,9,0,No Team Selected
Magmar9,Magmar,Rival (Silph Co.),00:28:08.37,00:28:28.99,01:52:24.42,45,0,0,28,28,99,PSYCHIC,BODY SLAM,SEISMIC TOSS,FIRE PUNCH,117,81,108,108,113,0,-1,0,0,0,0,0,147,59,108,108,142,1947,178445,187021,39191,1947,7,0,0,5280,4172,1108,0,388,69,64,5,2,0,13645,8689,568,568,231,19,68,0,0,0,0,0,41,0,5,0,0,0,0,2,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,159,73530,0,0,0,0,37,40,7,7,2,8,0,9,0,No Team Selected
Magmar9,Magmar,Giovanni (Silph),00:29:06.55,00:29:22.32,01:55:56.34,47,0,0,29,22,32,PSYCHIC,BODY SLAM,SEISMIC TOSS,FIRE PUNCH,122,85,112,112,119,0,0,0,0,0,0,0,137,95,112,112,133,1947,181552,194139,41678,1947,8,0,0,5311,4203,1108,0,392,71,66,5,2,0,14925,9403,592,592,240,19,70,0,0,0,0,0,44,0,6,0,0,0,0,2,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,166,80692,0,0,0,0,37,40,7,7,2,8,0,9,0,No Team Selected
Magmar9,Magmar,Sabrina,00:29:51.44,00:30:04.14,01:58:41.45,47,0,0,30,4,14,PSYCHIC,BODY SLAM,SEISMIC TOSS,FIRE PUNCH,122,85,112,112,119,0,0,0,0,0,0,0,137,95,112,112,133,1947,187154,197667,42459,1947,9,0,0,5437,4329,1108,0,405,72,67,5,2,0,15693,9783,592,592,244,19,70,0,0,0,0,0,48,0,6,0,0,0,0,2,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,170,85785,0,0,0,0,37,40,7,7,2,8,0,9,0,No Team Selected
Magmar9,Magmar,Blaine,00:32:26.67,00:32:50.37,02:09:41.33,49,0,0,32,50,37,PSYCHIC,BODY SLAM,SEISMIC TOSS,FIRE PUNCH,127,90,119,119,124,0,0,0,0,0,0,0,142,101,119,119,139,1947,208214,207766,50888,1947,10,0,0,6006,4797,1108,0,454,74,69,5,2,0,16852,10723,676,676,257,20,73,0,0,0,0,0,50,0,6,0,0,0,0,5,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,178,95505,0,0,0,0,43,40,7,7,2,10,0,9,0,No Team Selected
Magmar9,Magmar,Giovanni,00:33:50.63,00:34:08.32,02:14:50.37,53,0,0,34,8,32,PSYCHIC,BODY SLAM,SEISMIC TOSS,FIRE PUNCH,138,97,128,128,134,0,0,0,0,0,0,0,155,109,144,144,150,1947,214986,216570,53856,1947,11,0,0,6163,4954,1108,0,470,77,72,5,2,0,19104,11856,676,676,268,20,73,0,0,0,0,0,54,0,6,0,0,0,0,5,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,187,108408,0,0,0,0,43,40,7,7,2,10,0,9,0,No Team Selected
Magmar9,Magmar,Rival (Final),00:34:34.16,00:35:00.50,02:18:17.46,54,0,0,35,0,50,PSYCHIC,BODY SLAM,SEISMIC TOSS,FIRE PUNCH,141,100,131,131,137,0,0,0,0,0,0,0,158,112,147,147,154,1947,219900,223581,54360,1947,12,0,0,6303,5094,1108,0,487,78,73,5,2,0,20337,12702,746,746,278,20,74,0,0,0,0,0,56,0,6,0,0,0,0,6,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,193,117680,0,0,0,0,43,40,7,7,2,10,0,9,0,No Team Selected
Magmar9,Magmar,Lorelei,00:38:18.89,00:38:44.18,02:31:21.01,56,1,0,38,44,18,PSYCHIC,BODY SLAM,MIMIC,FLAMETHROWER,146,104,136,136,142,0,0,6,6,0,0,0,164,117,612,612,159,2104,247071,235268,62345,2104,13,1,0,7017,5302,1578,0,677,81,75,6,3,0,22744,14059,831,831,289,21,77,0,0,0,0,0,59,0,6,0,0,0,0,6,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,201,133338,0,0,0,0,46,44,7,7,2,12,0,9,1,No Team Selected
Magmar9,Magmar,Bruno,00:38:56.43,00:39:12.17,02:33:12.13,57,1,0,39,12,17,PSYCHIC,BODY SLAM,MIMIC,FLAMETHROWER,149,105,138,138,145,0,0,0,0,0,0,0,167,118,155,155,163,2104,247965,239514,63877,2104,14,1,0,7028,5313,1578,0,678,82,76,6,3,0,23814,14718,831,831,295,21,77,0,0,0,0,0,59,0,6,0,0,0,0,6,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,206,141545,0,0,0,0,46,44,7,7,2,12,0,9,1,No Team Selected
Magmar9,Magmar,Agatha,00:39:24.33,00:39:49.53,02:35:40.40,58,1,0,39,49,53,PSYCHIC,BODY SLAM,MIMIC,FLAMETHROWER,152,107,141,141,147,0,0,0,0,0,0,0,171,120,158,158,165,2104,248887,245997,65379,2104,15,1,0,7039,5324,1578,0,679,83,77,6,3,0,25099,15488,920,920,306,23,80,0,0,0,0,0,60,0,6,0,1,0,0,6,0,5,0,0,2,0,1,0,0,0,1,1,0,0,0,0,3,0,0,0,0,211,151631,0,0,0,0,46,44,7,7,2,12,0,9,1,No Team Selected
Magmar9,Magmar,Lance,00:40:54.66,00:42:19.32,02:43:43.47,61,3,0,42,19,32,PSYCHIC,REST,MIMIC,MEGA KICK,159,113,148,148,155,0,0,0,0,6,0,0,178,127,166,166,697,2659,251042,266652,71409,2659,17,2,0,7093,5378,1578,0,682,84,78,6,3,0,26691,16634,1792,1792,321,26,98,0,0,0,0,0,62,0,7,0,1,0,0,6,0,5,0,0,2,0,1,0,0,0,1,1,0,0,0,0,3,0,0,0,0,216,163237,0,0,0,0,46,44,7,7,2,14,0,9,3,No Team Selected
