date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
2-14,14:57:57,NINTEN,Magmar,Rival1-Lab,1,Pallet Town - Oak's Lab,1,38.35,38,0h0m38s,0,0,0,5,0:02,11.417,EMBER,,,,0,57,3,1,0,7,7,6,0,3000,No Team Selected, ,Fire,Fire,195,Magmar9,Magmar,Rival (Lab),00:00:26.93,00:00:38.35,00:02:00.12,5,0,0,0,38,35,EMBER,,,,18,0,0,0,0,0,0,0,18,23,16,12,15,15,15,44,48,65,50,50,43,15,15,15,15,0,-2,0,0,0,0,0,16,6,15,15,15,1947,4256,2931,0,1947,0,0,0,57,57,0,0,3,1,1,0,0,0,21,20,5,5,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70,0,0,0,0,0,0,0,0,0,0,0,9,0,No Team Selected
2-14,14:58:56,NINTEN,Magmar,Bug Catcher,1,Viridian Forest,2,1:37.15,1:37,0h1m37s,0,0,0,6,0:05,6.559,EMBER,,,,0,481,19,2,0,9,9,6,1,3175,No Team Selected, ,Fire,Fire,328,Magmar9,Magmar,,00:01:30.59,00:01:37.15,00:05:53.33,6,0,0,1,37,15,EMBER,,,,23,0,0,0,0,0,0,0,25,25,18,13,17,17,18,129,113,130,90,90,138,15,15,15,15,0,0,0,0,0,0,0,18,13,17,17,18,1947,16250,4938,0,1947,0,0,0,481,481,0,0,19,2,2,0,0,0,67,63,5,5,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,203,0,0,0,0,1,0,0,0,0,0,0,9,0,No Team Selected
2-14,14:59:10,NINTEN,Magmar,Bug Catcher,2,Viridian Forest,3,1:51.47,1:51,0h1m51s,0,0,0,8,0:06,10.419,EMBER,,,,0,495,19,3,0,13,13,7,1,3235,No Team Selected, ,Fire,Fire,590,Magmar9,Magmar,,00:01:41.05,00:01:51.47,00:06:50.29,8,0,0,1,51,47,EMBER,,,,19,0,0,0,0,0,0,0,31,31,22,16,21,21,22,254,208,240,155,155,273,15,15,15,15,0,0,0,0,0,0,0,22,16,21,21,22,1947,16739,7865,0,1947,0,0,0,495,495,0,0,19,3,3,0,0,0,177,133,5,5,13,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,465,0,0,0,0,1,0,0,0,0,0,0,9,0,No Team Selected
2-14,14:59:25,NINTEN,Magmar,Bug Catcher,3,Viridian Forest,1,2:06.12,2:06,0h2m6s,0,0,0,8,0:07,3.707,EMBER,,,,0,600,22,4,0,14,14,7,2,3305,No Team Selected, ,Fire,Fire,689,Magmar9,Magmar,,00:02:02.42,00:02:06.12,00:07:48.41,8,0,0,2,6,12,EMBER,,,,18,0,0,0,0,0,0,0,31,31,22,16,21,21,22,294,243,270,175,175,323,15,15,15,15,0,0,0,0,0,0,0,22,16,21,21,22,1947,18921,9175,0,1947,0,0,0,600,600,0,0,22,4,4,0,0,0,204,160,5,5,14,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,564,0,0,0,0,3,0,0,0,0,0,0,9,0,No Team Selected
2-14,14:59:55,NINTEN,Magmar,Jr Trainer M,1,Pewter City - Gym,2,2:36.22,2:36,0h2m36s,0,0,0,10,0:09,12.645,EMBER,,,,0,720,31,5,0,20,20,12,2,3395,No Team Selected, ,Fire,Fire,1098,Magmar9,Magmar,,00:02:23.58,00:02:36.22,00:09:47.59,10,0,0,2,36,22,EMBER,,,,19,0,0,0,0,0,0,0,7,36,27,19,25,25,27,354,373,380,250,250,458,15,15,15,15,0,0,0,0,0,0,0,27,19,25,25,27,1947,22583,12671,0,1947,0,0,0,720,720,0,0,31,5,5,0,0,0,276,217,34,34,20,4,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,973,0,0,0,0,4,0,0,0,0,0,0,9,0,No Team Selected
2-14,15:00:23,NINTEN,Magmar,Brock,1,Pewter City - Gym,2,3:03.61,3:03,0h3m3s,0,0,0,11,0:11,19.364,EMBER,,,,0,724,31,6,0,31,31,19,2,3615,No Team Selected, ,Fire,Fire,1642,Magmar9,Magmar,Brock,00:02:44.25,00:03:03.61,00:11:36.42,11,0,0,3,3,61,EMBER,,,,8,0,0,0,0,0,0,0,27,39,29,21,27,27,29,429,498,640,310,310,548,15,15,15,15,0,-4,0,0,0,0,0,29,6,27,27,29,1947,23084,17961,732,1947,0,0,0,724,724,0,0,31,6,6,0,0,0,347,286,46,46,31,4,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1517,0,0,0,0,4,0,0,0,0,0,0,9,0,No Team Selected
2-14,15:01:02,NINTEN,Magmar,Bug Catcher,4,Route 3,3,3:42.96,3:42,0h3m42s,0,0,0,12,0:14,8.847,EMBER,,,,0,843,37,7,0,34,34,19,5,1101,No Team Selected, ,Fire,Fire,1977,Magmar9,Magmar,,00:03:34.11,00:03:42.96,00:14:12.45,12,0,0,3,42,96,EMBER,,,,22,0,0,0,0,0,0,0,41,41,32,23,29,29,31,559,593,740,370,370,688,15,15,15,15,0,0,0,0,0,0,0,36,23,29,29,31,1947,29285,21123,732,1947,0,0,0,843,843,0,0,37,7,7,0,0,0,493,375,46,46,34,4,12,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1852,0,0,0,0,4,19,0,0,0,0,0,9,0,No Team Selected
2-14,15:01:15,NINTEN,Magmar,Youngster Ben,1,Route 3,2,3:56.33,3:56,0h3m56s,0,0,0,13,0:15,9.789,EMBER,,,,0,847,37,8,0,39,39,22,5,1201,No Team Selected, ,Fire,Fire,2255,Magmar9,Magmar,,00:03:46.54,00:03:56.33,00:15:05.49,13,0,0,3,56,33,EMBER,,,,17,0,0,0,0,0,0,0,38,44,34,24,31,31,33,624,709,819,435,435,815,15,15,15,15,0,-2,0,0,0,0,0,38,12,31,31,33,1947,29626,23966,732,1947,0,0,0,847,847,0,0,37,8,8,0,0,0,570,434,52,52,39,4,15,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2130,0,0,0,0,4,19,0,0,0,0,0,9,0,No Team Selected
2-14,15:01:29,NINTEN,Magmar,Bug Catcher,5,Route 3,4,4:09.59,4:09,0h4m9s,0,0,0,13,0:15,10.418,EMBER,,,,0,851,38,9,0,43,43,22,5,1366,No Team Selected, ,Fire,Fire,2730,Magmar9,Magmar,,00:03:59.17,00:04:09.59,00:15:58.29,13,0,0,4,9,59,EMBER,,,,13,0,0,0,0,0,0,0,38,44,34,24,31,31,33,804,819,989,525,525,975,15,15,15,15,0,0,0,0,0,0,0,38,24,31,31,33,1947,29802,26950,732,1947,0,0,0,851,851,0,0,38,9,9,0,0,0,845,546,52,52,43,4,15,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2605,0,0,0,0,4,19,0,0,0,0,0,9,0,No Team Selected
2-14,15:01:40,NINTEN,Magmar,Bug Catcher,6,Route 3,2,4:20.78,4:20,0h4m20s,0,0,0,14,0:16,6.601,EMBER,,,,0,859,39,10,0,45,45,22,5,1456,No Team Selected, ,Fire,Fire,3023,Magmar9,Magmar,,00:04:14.17,00:04:20.78,00:16:42.51,14,0,0,4,20,78,EMBER,,,,11,0,0,0,0,0,0,0,41,47,36,26,33,33,36,899,869,1079,570,570,1050,15,15,15,15,0,0,0,0,0,0,0,40,26,33,33,36,1947,30362,29052,732,1947,0,0,0,859,859,0,0,39,10,10,0,0,0,935,611,52,52,45,4,15,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2898,0,0,0,0,4,19,0,0,0,0,0,9,0,No Team Selected
