ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Magneton2,Magneton,Rival (Lab),00:00:33.53,00:00:37.71,00:01:51.10,5,0,0,0,37,71,SonicBoom,TACKLE,THUNDERSHOCK,,12,16,18,18,13,0,0,0,0,0,0,0,12,16,18,18,13,2347,4656,1203,786,2347,0,0,0,61,61,0,0,7,1,1,0,0,0,20,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,No Team Selected
Magneton2,Magneton,Brock,00:01:55.07,00:02:06.42,00:07:43.14,9,0,0,2,6,42,SonicBoom,TACKLE,THUNDERSHOCK,,18,25,29,29,20,0,0,0,0,0,0,0,18,25,29,29,20,2347,20292,6691,786,2347,0,0,0,686,686,0,0,35,3,3,0,0,0,140,116,17,17,7,2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,710,0,0,0,0,1,0,0,0,0,0,0,2,0,No Team Selected
Magneton2,Magneton,Rival (Nugget Bridge),00:05:00.53,00:05:21.85,00:20:38.45,16,0,0,5,21,85,THUNDERSHOCK,TACKLE,SonicBoom,,30,41,49,49,33,0,0,0,0,0,0,0,33,41,49,49,33,2347,40441,31372,2487,2347,0,0,0,1351,1351,0,0,71,10,10,0,0,0,1062,791,93,93,46,6,21,0,0,0,0,0,6,0,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,24,4269,0,0,0,0,4,22,0,0,0,0,0,2,0,No Team Selected
Magneton2,Magneton,Oddish Lass,00:08:12.48,00:08:24.28,00:32:42.07,20,0,0,8,24,28,THUNDERSHOCK,TACKLE,SonicBoom,,37,51,61,61,41,0,0,0,0,0,0,0,41,51,61,61,41,2347,49495,64809,3398,2347,0,0,0,1635,1635,0,0,89,28,20,8,5,0,2194,1609,124,124,80,7,33,0,0,0,0,0,10,0,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,45,8369,0,0,0,0,5,22,0,4,1,0,1,2,1,No Team Selected
Magneton2,Magneton,Misty,00:08:59.14,00:09:08.40,00:35:37.00,21,0,0,9,8,40,THUNDERSHOCK,TACKLE,SonicBoom,,39,53,63,63,43,0,0,0,0,0,0,0,43,53,63,63,43,2347,55459,68890,3846,2347,0,0,0,1705,1705,0,0,99,30,22,8,5,0,2361,1758,151,151,84,7,34,0,0,0,0,0,10,0,3,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,48,10159,0,0,0,0,6,22,0,4,1,0,1,2,1,No Team Selected
Magneton2,Magneton,Rocket,00:09:24.86,00:09:33.80,00:37:17.32,22,0,0,9,33,80,THUNDERSHOCK,TACKLE,SonicBoom,,40,56,66,66,45,0,0,0,0,0,0,0,45,56,66,66,45,2347,58740,71641,3846,2347,0,0,0,1794,1794,0,0,107,31,23,8,5,0,2484,1861,157,157,88,8,35,0,0,0,0,0,11,0,3,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,50,10848,0,0,0,0,6,22,0,4,1,0,1,2,1,No Team Selected
Magneton2,Magneton,Rival (SS Anne),00:11:29.25,00:11:49.99,00:46:17.20,25,0,0,11,49,99,THUNDERSHOCK,TACKLE,SonicBoom,REST,46,63,75,75,51,-1,0,0,0,0,0,0,33,63,75,75,51,2347,71510,89620,5485,2347,0,0,0,2250,2250,0,0,142,37,28,9,5,0,3482,2474,214,214,111,14,45,0,0,0,0,0,13,0,6,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,63,15718,0,0,0,0,11,29,0,5,2,1,1,2,1,No Team Selected
Magneton2,Magneton,Lt. Surge,00:13:02.57,00:13:21.33,00:52:19.42,25,0,0,13,21,33,THUNDERSHOCK,TACKLE,SonicBoom,REST,46,63,75,75,51,-3,-4,0,0,0,0,0,20,20,75,75,51,2347,79397,99833,9127,2347,1,0,0,2485,2485,0,0,164,39,29,10,5,0,3702,2654,252,252,122,15,58,0,0,0,0,0,13,0,7,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,66,17123,0,0,0,0,11,29,0,11,3,3,1,2,1,No Team Selected
Magneton2,Magneton,RTG1 - Wrapping Lass,00:14:16.14,00:14:32.80,00:57:02.37,26,0,0,14,32,80,THUNDERBOLT,BIDE,SonicBoom,REST,47,65,78,78,53,0,0,0,0,0,0,0,52,73,78,78,53,2347,86247,104391,14694,2347,2,0,0,2643,2589,54,0,181,40,30,10,5,0,3983,2844,258,258,129,15,59,0,0,0,0,0,14,0,7,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,70,18371,0,0,0,0,11,29,0,11,3,5,1,2,1,No Team Selected
Magneton2,Magneton,RTG4 - Status Jr Trainer,00:15:33.02,00:15:42.75,01:01:40.13,27,0,0,15,42,75,THUNDERBOLT,BIDE,SonicBoom,REST,49,68,81,81,55,0,0,0,0,0,0,0,55,76,81,81,55,2347,89657,114206,18125,2347,4,0,0,2850,2589,261,0,202,45,34,11,6,0,4962,3334,284,284,141,15,64,0,0,0,0,0,14,0,7,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,78,21251,0,0,0,0,11,29,0,11,3,5,1,2,1,No Team Selected
