date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
1-12,15:03:17,NINTEN,Mankey,Rival1-Lab,3,Pallet Town - Oak's Lab,1,36.33,36,0h0m36s,0,0,0,5,0:01,7.844,SCRATCH,LEER,,,0,65,5,1,0,4,4,3,0,3000,No Team Selected, ,Fighting,Fighting,194,Mankey5,Mankey,Rival (Lab),00:00:28.48,00:00:36.33,00:01:51.30,5,0,0,0,36,33,SCRATCH,LEER,,,31,30,0,0,0,0,0,0,12,20,14,10,10,10,13,39,52,43,50,50,65,15,15,15,15,0,0,0,0,0,0,0,14,10,10,10,13,1988,4586,2079,0,1988,0,0,0,65,65,0,0,5,1,1,0,0,0,22,19,8,8,4,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,No Team Selected
1-12,15:04:57,NINTEN,Mankey,Bug Catcher,1,Viridian Forest,2,2:16.20,2:16,0h2m16s,0,0,0,7,0:08,15.452,SCRATCH,LEER,,,0,524,28,2,4,23,23,18,2,3175,No Team Selected, ,Fighting,Fighting,420,Mankey5,Mankey,,00:02:00.75,00:02:16.20,00:08:27.33,7,0,0,2,16,20,SCRATCH,LEER,,,28,30,0,0,0,0,0,0,11,24,18,12,12,12,17,274,308,263,220,220,400,15,15,15,15,0,0,0,0,-2,0,0,18,12,12,12,8,1988,17813,12615,0,1988,0,0,0,524,524,0,0,28,6,2,4,0,0,154,124,35,35,21,5,15,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,295,0,0,0,0,2,0,0,0,0,0,0,5,0,No Team Selected
1-12,15:05:29,NINTEN,Mankey,Bug Catcher,2,Viridian Forest,3,2:47.63,2:47,0h2m47s,0,0,0,8,0:10,24.603,SCRATCH,LEER,,,0,542,33,3,4,36,36,31,1,3235,No Team Selected, ,Fighting,Fighting,682,Mankey5,Mankey,,00:02:23.03,00:02:47.63,00:10:32.29,8,0,0,2,47,63,SCRATCH,LEER,,,15,30,0,0,0,0,0,0,18,27,20,13,13,13,19,399,403,373,285,285,535,15,15,15,15,0,0,0,0,-2,0,0,20,13,13,13,9,1988,18411,18922,591,1988,0,0,0,542,542,0,0,33,7,3,4,0,0,237,194,44,44,34,7,20,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,557,0,0,0,0,2,0,0,0,0,0,0,5,0,No Team Selected
1-12,15:06:03,NINTEN,Mankey,Bug Catcher,3,Viridian Forest,1,3:22.04,3:22,0h3m22s,0,0,0,9,0:12,9.999,SCRATCH,LEER,,,0,651,35,4,6,44,44,37,1,3305,No Team Selected,Poisoned,Fighting,Fighting,853,Mankey5,Mankey,,00:03:12.05,00:03:22.04,00:12:49.07,9,0,0,3,22,4,SCRATCH,LEER,,,7,30,0,0,0,0,0,0,17,29,22,14,14,14,20,529,493,488,350,350,665,15,15,15,15,0,0,0,0,-1,0,0,22,14,14,14,13,1988,20764,24327,1031,1988,0,0,0,651,651,0,0,35,10,4,6,0,0,311,256,56,56,42,7,24,0,0,0,0,0,13,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,728,0,0,0,0,4,0,0,0,0,0,0,5,0,No Team Selected
1-12,15:11:58,NINTEN,Mankey,Jr Trainer M,1,Pewter City - Gym,2,9:17.24,9:17,0h9m17s,0,13,13,15,0:36,24.695,SCRATCH,LEER,KARATE CHOP,,0,1404,49,18,8,159,158,146,4,0,No Team Selected, ,Fighting,Fighting,3542,Mankey5,Mankey,,00:08:52.55,00:09:17.24,00:36:19.18,15,0,0,9,17,24,SCRATCH,LEER,KARATE CHOP,,26,25,25,0,0,0,0,0,12,42,34,21,21,21,32,709,1283,898,965,965,1940,15,15,15,15,0,0,0,0,0,-6,0,34,21,21,21,32,1988,41046,88342,1345,1988,0,0,0,1404,1404,0,0,49,26,18,8,2,0,940,659,593,546,139,34,123,0,0,0,0,0,17,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,27,3417,0,0,0,0,4,17,0,0,0,0,13,5,13,No Team Selected
1-12,15:12:54,NINTEN,Mankey,Brock,1,Pewter City - Gym,2,10:12.66,10:12,0h10m12s,0,13,13,15,0:39,37.534,KARATE CHOP,LEER,SCRATCH,,1,1518,50,19,8,180,179,159,4,220,No Team Selected, ,Fighting,Fighting,4086,Mankey5,Mankey,Brock,00:09:35.12,00:10:12.66,00:39:59.26,15,0,0,10,12,66,KARATE CHOP,LEER,SCRATCH,,13,24,32,0,0,0,0,0,11,42,34,21,21,21,32,784,1408,1158,1025,1025,2030,15,15,15,15,0,0,0,0,0,0,0,34,21,21,21,32,1988,44206,97890,1845,1988,1,0,0,1518,1518,0,0,50,27,19,8,2,0,1021,728,624,577,160,38,128,0,0,0,0,0,30,0,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,29,3961,0,0,0,0,4,17,0,0,0,1,13,5,13,No Team Selected
1-12,15:13:27,NINTEN,Mankey,Bug Catcher,4,Route 3,3,10:45.73,10:45,0h10m45s,0,13,13,16,0:42,9.354,KARATE CHOP,LEER,SCRATCH,,1,1639,62,20,8,183,182,159,5,106,No Team Selected, ,Fighting,Fighting,4421,Mankey5,Mankey,,00:10:36.37,00:10:45.73,00:42:10.29,16,0,0,10,45,73,KARATE CHOP,LEER,SCRATCH,,22,30,35,0,0,0,0,0,44,44,36,22,22,22,33,914,1503,1258,1085,1085,2170,15,15,15,15,0,0,0,0,0,0,0,40,22,22,22,33,1988,48790,101169,1845,1988,1,0,0,1639,1639,0,0,62,28,20,8,2,0,1130,817,624,577,163,38,128,0,0,0,0,0,33,0,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,32,4296,0,0,0,0,4,22,0,0,0,1,13,5,13,No Team Selected
1-12,15:13:40,NINTEN,Mankey,Youngster Ben,1,Route 3,2,10:59.15,10:59,0h10m59s,0,13,13,16,0:43,10.21,KARATE CHOP,LEER,SCRATCH,,1,1643,62,21,8,188,185,161,5,206,No Team Selected, ,Fighting,Fighting,4699,Mankey5,Mankey,,00:10:48.94,00:10:59.15,00:43:03.47,16,0,0,10,59,15,KARATE CHOP,LEER,SCRATCH,,19,30,35,0,0,0,0,0,30,44,36,22,22,22,33,979,1619,1337,1150,1150,2297,15,15,15,15,0,0,0,0,0,0,0,40,22,22,22,33,1988,49054,104103,1845,1988,1,0,0,1643,1643,0,0,62,29,21,8,2,0,1226,876,638,591,166,38,130,0,0,0,0,0,36,0,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,34,4574,0,0,0,0,4,22,0,0,0,1,13,5,13,No Team Selected
1-12,15:13:56,NINTEN,Mankey,Bug Catcher,5,Route 3,4,11:14.94,11:14,0h11m14s,0,13,13,17,0:44,12.939,KARATE CHOP,LEER,SCRATCH,,1,1647,62,22,8,193,190,162,5,371,No Team Selected, ,Fighting,Fighting,5174,Mankey5,Mankey,,00:11:02.01,00:11:14.94,00:44:06.31,17,0,0,11,14,94,KARATE CHOP,LEER,SCRATCH,,14,30,35,0,0,0,0,0,33,47,39,23,23,23,35,1159,1729,1507,1240,1240,2457,15,15,15,15,0,0,0,0,-1,0,0,48,23,23,23,23,1988,49230,107691,1845,1988,1,0,0,1647,1647,0,0,62,30,22,8,2,0,1379,988,638,591,170,39,131,0,0,0,0,0,40,0,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,38,5049,0,0,0,0,4,22,0,0,0,1,13,5,13,No Team Selected
1-12,15:14:07,NINTEN,Mankey,Lass,2,Route 3,2,11:25.79,11:25,0h11m25s,0,13,13,17,0:44,6.096,KARATE CHOP,LEER,SCRATCH,,1,1654,63,23,8,195,192,162,5,461,No Team Selected, ,Fighting,Fighting,5422,Mankey5,Mankey,,00:11:19.69,00:11:25.79,00:44:49.33,17,0,0,11,25,79,KARATE CHOP,LEER,SCRATCH,,12,30,35,0,0,0,0,0,33,47,39,23,23,23,35,1235,1842,1582,1305,1305,2579,15,15,15,15,0,0,0,0,0,0,0,43,23,23,23,35,1988,49835,109668,1845,1988,1,0,0,1654,1654,0,0,63,31,23,8,2,0,1461,1045,638,591,172,39,131,0,0,0,0,0,42,0,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,40,5297,0,0,0,0,4,22,0,0,0,1,13,5,13,No Team Selected
