player_name,pokemon,trainer_name,real_time_hmmss,resets,blackouts,level,game_time,battle_duration,move1,move2,move3,move4
NINTEN,Meowth,Rival1-Lab,35,0,0,5,0:01,8.037,SCRATCH,GROWL,,
NINTEN,Meowth,Brock,8:54,0,11,15,0:34,44.98,SCRATCH,GROWL,BITE,
NINTEN,Meowth,Rival2-Nugget Bridge,12:06,0,11,19,0:47,15.534,BITE,GROWL,PAY DAY,WATER GUN
NINTEN,Meowth,Misty,15:43,0,11,23,1:01,11.662,BITE,GROWL,PAY DAY,WATER GUN
NINTEN,Meowth,Cerulean Rocket,16:38,1,11,24,1:04,11.714,BITE,BUBBLEBEAM,PAY DAY,WATER GUN
NINTEN,Meowth,Rival3-SS Anne,18:37,1,11,26,1:12,14.632,BODY SLAM,BUBBLEBEAM,PAY DAY,BITE
NINTEN,Meowth,Surge,19:48,2,11,27,1:15,12.729,BODY SLAM,BUBBLEBEAM,PAY DAY,BITE
NINTEN,Meowth,Rival4-Pkmn Tower,27:08,2,11,31,1:44,20.033,BODY SLAM,BUBBLEBEAM,THUNDERBOLT,BITE
NINTEN,Meowth,Erika,36:58,3,11,40,2:22,12.845,BODY SLAM,BUBBLEBEAM,THUNDERBOLT,BITE
NINTEN,Meowth,Koga,40:05,6,11,45,2:29,21.072,SLASH,BUBBLEBEAM,THUNDERBOLT,BODY SLAM
NINTEN,Meowth,Rival5-Silph,41:14,6,11,46,2:34,22.07,SLASH,BUBBLEBEAM,THUNDERBOLT,BODY SLAM
NINTEN,Meowth,Sabrina,43:10,6,11,49,2:41,14.379,SLASH,BUBBLEBEAM,THUNDERBOLT,BODY SLAM
NINTEN,Meowth,Blaine,45:33,6,11,50,2:51,17.665,SLASH,BUBBLEBEAM,THUNDERBOLT,BODY SLAM
NINTEN,Meowth,Giovanni,48:04,6,11,52,3:01,19.776,SLASH,BUBBLEBEAM,THUNDERBOLT,BODY SLAM
NINTEN,Meowth,Rival6-Route 22,49:47,7,11,56,3:06,29.266,SLASH,BUBBLEBEAM,THUNDERBOLT,MIMIC
NINTEN,Meowth,Lorelei,53:21,7,11,58,3:20,37.051,SLASH,BUBBLEBEAM,THUNDERBOLT,MIMIC
NINTEN,Meowth,Bruno,55:01,10,11,59,3:23,20.961,SLASH,BUBBLEBEAM,THUNDERBOLT,MIMIC
NINTEN,Meowth,Agatha,59:28,15,11,64,3:27,45.152,SLASH,BUBBLEBEAM,THUNDERBOLT,MIMIC
NINTEN,Meowth,Lance,1:02:41,24,11,65,3:30,25.433,SLASH,BUBBLEBEAM,THUNDER,MIMIC
NINTEN,Meowth,Champion,1:03:32,24,11,66,3:34,34.286,SLASH,BUBBLEBEAM,THUNDER,MIMIC
