date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
2-17,12:34:07,NINTEN,Mr. Mime,Rival1-Lab,3,Pallet Town - Oak's Lab,1,35.66,35,0h0m35s,0,0,0,5,0:01,4.653,CONFUSION,BARRIER,,,0,64,12,1,0,2,2,1,0,3000,No Team Selected, ,Psychic,Psychic,194,Mr. Mime1,Mr. Mime,Rival (Lab),00:00:31.00,00:00:35.66,00:01:49.18,5,0,0,0,35,66,CONFUSION,BARRIER,,,23,30,0,0,0,0,0,0,20,20,11,13,16,16,15,39,52,43,50,50,65,15,15,15,15,0,0,0,0,0,0,0,11,13,16,16,15,1958,5216,1317,0,1958,0,0,0,64,64,0,0,12,1,1,0,0,0,24,19,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69,0,0,0,0,0,0,0,0,0,0,0,1,0,No Team Selected
2-17,12:35:12,NINTEN,Mr. Mime,Bug Catcher,3,Viridian Forest,1,1:40.19,1:40,0h1m40s,0,0,0,6,0:06,6.608,CONFUSION,BARRIER,,,0,593,55,2,0,4,4,3,1,3175,No Team Selected, ,Psychic,Psychic,293,Mr. Mime1,Mr. Mime,,00:01:33.58,00:01:40.19,00:06:05.29,6,0,0,1,40,19,CONFUSION,BARRIER,,,23,30,0,0,0,0,0,0,19,22,12,14,18,18,17,79,87,73,70,70,115,15,15,15,15,0,0,0,0,-1,0,0,12,14,18,18,11,1958,18571,3333,0,1958,0,0,0,593,593,0,0,55,2,2,0,0,0,64,46,3,3,4,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,168,0,0,0,0,1,0,0,0,0,0,0,1,0,No Team Selected
2-17,12:35:49,NINTEN,Mr. Mime,Brock,1,Pewter City - Gym,2,2:17.58,2:17,0h2m17s,0,0,0,9,0:08,17.418,CONFUSION,BARRIER,,,1,721,57,3,0,14,14,8,1,3265,No Team Selected, ,Psychic,Psychic,837,Mr. Mime1,Mr. Mime,Brock,00:02:00.16,00:02:17.58,00:08:33.46,9,0,0,2,17,58,CONFUSION,BARRIER,,,18,27,0,0,0,0,0,0,29,29,16,19,25,25,24,154,212,333,130,130,205,15,15,15,15,0,6,0,0,0,0,0,16,76,25,25,24,1958,22173,7975,653,1958,1,0,0,721,721,0,0,57,3,3,0,0,0,142,115,3,3,11,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,712,0,0,0,0,1,0,0,0,0,0,0,1,0,No Team Selected
2-17,12:36:31,NINTEN,Mr. Mime,Bug Catcher,4,Route 3,3,2:54.03,2:54,0h2m54s,0,0,0,10,0:10,16.846,CONFUSION,BARRIER,,,1,804,64,4,0,19,19,10,5,851,No Team Selected, ,Psychic,Psychic,1172,Mr. Mime1,Mr. Mime,,00:02:42.02,00:02:54.03,00:10:58.27,10,0,0,2,54,3,CONFUSION,BARRIER,,,13,27,0,0,0,0,0,0,28,31,17,21,28,28,26,284,307,433,190,190,345,15,15,15,15,0,0,0,0,0,0,0,19,21,28,28,26,1958,26975,11854,653,1958,1,0,0,804,804,0,0,64,4,4,0,0,0,268,204,6,6,16,3,3,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1047,0,0,0,0,1,18,0,0,0,0,0,1,0,No Team Selected
2-17,12:36:42,NINTEN,Mr. Mime,Youngster Ben,1,Route 3,2,3:05.44,3:05,0h3m5s,0,0,0,11,0:11,7.938,CONFUSION,BARRIER,,,1,808,64,5,0,22,22,11,5,951,No Team Selected, ,Psychic,Psychic,1450,Mr. Mime1,Mr. Mime,,00:02:57.50,00:03:05.44,00:11:43.43,11,0,0,3,5,44,CONFUSION,BARRIER,,,10,27,0,0,0,0,0,0,22,33,18,23,30,30,28,349,423,512,255,255,472,15,15,15,15,0,0,0,0,0,0,0,20,23,30,30,28,1958,27307,14238,653,1958,1,0,0,808,808,0,0,64,5,5,0,0,0,346,263,14,14,19,3,4,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1325,0,0,0,0,1,18,0,0,0,0,0,1,0,No Team Selected
2-17,12:36:52,NINTEN,Mr. Mime,Lass,2,Route 3,2,3:15.82,3:15,0h3m15s,0,0,0,11,0:12,6.625,CONFUSION,BARRIER,,,1,814,64,6,0,25,25,12,5,1116,No Team Selected, ,Psychic,Psychic,1698,Mr. Mime1,Mr. Mime,,00:03:09.19,00:03:15.82,00:12:24.52,11,0,0,3,15,82,CONFUSION,BARRIER,,,7,27,0,0,0,0,0,0,22,33,18,23,30,30,28,425,536,587,320,320,594,15,15,15,15,0,0,0,0,0,0,0,20,23,30,30,28,1958,27703,16311,653,1958,1,0,0,814,814,0,0,64,6,6,0,0,0,432,320,14,14,22,4,4,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,1573,0,0,0,0,1,18,0,0,0,0,0,1,0,No Team Selected
2-17,12:37:08,NINTEN,Mr. Mime,Bug Catcher,6,Route 3,2,3:31.57,3:31,0h3m31s,0,0,0,12,0:13,7.664,CONFUSION,BARRIER,,,1,882,68,7,0,28,28,13,5,1266,No Team Selected, ,Psychic,Psychic,1991,Mr. Mime1,Mr. Mime,,00:03:23.90,00:03:31.57,00:13:27.26,12,0,0,3,31,57,CONFUSION,BARRIER,,,4,27,0,0,0,0,0,0,24,35,20,24,33,33,30,520,586,677,365,365,669,15,15,15,15,0,0,0,0,0,0,0,22,24,33,33,30,1958,29159,18609,653,1958,1,0,0,882,882,0,0,68,7,7,0,0,0,526,385,14,14,25,4,4,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,1866,0,0,0,0,1,18,0,0,0,0,0,1,0,No Team Selected
2-17,12:38:26,NINTEN,Mr. Mime,Rocket,1,Mt Moon - 3,2,4:49.05,4:49,0h4m49s,0,0,0,13,0:18,9.661,CONFUSION,BARRIER,MEGA PUNCH,,1,1331,89,8,2,35,33,18,7,1376,No Team Selected, ,Psychic,Psychic,2298,Mr. Mime1,Mr. Mime,,00:04:39.39,00:04:49.05,00:18:34.46,13,0,0,4,49,5,CONFUSION,BARRIER,MEGA PUNCH,,20,30,20,0,0,0,0,0,21,38,21,26,35,35,33,590,687,747,430,430,796,15,15,15,15,0,0,0,0,0,0,0,23,26,35,35,33,1958,39363,26127,1372,1958,1,0,0,1331,1331,0,0,89,10,8,2,0,0,673,474,34,34,30,5,8,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,2173,0,0,0,0,4,18,0,4,2,1,0,1,0,No Team Selected
2-17,12:38:39,NINTEN,Mr. Mime,Fossil Nerd,2,Mt Moon - 3,3,5:02.62,5:02,0h5m2s,0,0,0,14,0:19,10.397,CONFUSION,BARRIER,MEGA PUNCH,,1,1342,89,9,2,39,37,19,7,1766,No Team Selected, ,Psychic,Psychic,3085,Mr. Mime1,Mr. Mime,,00:04:52.22,00:05:02.62,00:19:28.41,14,0,0,5,2,62,CONFUSION,BARRIER,MEGA PUNCH,,16,30,20,0,0,0,0,0,18,40,22,28,37,37,35,750,862,942,585,585,956,15,15,15,15,0,0,0,0,0,0,0,24,28,37,37,35,1958,39712,29012,1372,1958,1,0,0,1342,1342,0,0,89,11,9,2,0,0,811,583,39,39,34,5,9,0,0,0,0,0,5,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,2960,0,0,0,0,4,18,0,4,2,1,0,1,0,No Team Selected
2-17,12:39:32,NINTEN,Mr. Mime,Rival2-Nugget Bridge,9,Cerulean City,4,5:55.39,5:55,0h5m55s,0,0,0,16,0:22,24.103,CONFUSION,BARRIER,MEGA PUNCH,,2,1536,97,10,2,51,49,28,8,2066,No Team Selected, ,Psychic,Psychic,4172,Mr. Mime1,Mr. Mime,Rival (Nugget Bridge),00:05:31.29,00:05:55.39,00:22:57.56,16,0,0,5,55,39,CONFUSION,BARRIER,MEGA PUNCH,,17,27,19,0,0,0,0,0,12,44,25,31,42,42,40,907,1050,1090,815,815,1254,15,15,15,15,0,4,0,0,0,0,0,28,93,42,42,40,1958,45567,35222,1862,1958,2,0,0,1536,1536,0,0,97,12,10,2,0,0,1062,748,71,71,43,8,15,0,0,0,0,0,7,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,4047,0,0,0,0,5,18,0,4,2,1,0,1,0,No Team Selected
