player_name,pokemon,trainer_name,real_time_hmmss,resets,blackouts,level,game_time,battle_duration,move1,move2,move3,move4
NINTEN,Paras,Rival1-Lab,40,0,0,5,0:02,13.386,SCRATCH,,,
NINTEN,Paras,Brock,27:08,1,24,20,1:45,27.767,SCRATCH,STUN SPORE,LEECH LIFE,
NINTEN,Paras,Rival2-Nugget Bridge,32:09,1,24,24,2:05,21.484,SCRATCH,STUN SPORE,LEECH LIFE,
NINTEN,Paras,Misty,35:49,1,24,27,2:20,18.509,SCRATCH,STUN SPORE,LEECH LIFE,SPORE
NINTEN,Paras,Cerulean Rocket,36:17,1,24,27,2:21,9.826,SCRATCH,STUN SPORE,LEECH LIFE,SPORE
NINTEN,Paras,Rival3-SS Anne,38:29,1,24,29,2:30,16.533,BODY SLAM,DIG,LEECH LIFE,SPORE
NINTEN,Paras,Surge,39:32,1,24,29,2:34,13.567,BODY SLAM,DIG,LEECH LIFE,SPORE
NINTEN,Paras,Erika,46:43,1,24,34,3:03,30.369,BODY SLAM,DIG,LEECH LIFE,SPORE
NINTEN,Paras,Rival4-Pkmn Tower,47:32,1,24,35,3:06,25.138,BODY SLAM,DIG,LEECH LIFE,SPORE
NINTEN,Paras,Koga,57:30,1,24,44,3:46,23.445,BODY SLAM,DIG,SWORDS DANCE,SPORE
NINTEN,Paras,Rival5-Silph,1:00:11,2,24,48,3:54,22.321,BODY SLAM,DIG,SWORDS DANCE,SPORE
NINTEN,Paras,Sabrina,1:01:51,2,24,49,4:01,18.471,BODY SLAM,DIG,SWORDS DANCE,SPORE
NINTEN,Paras,Blaine,1:04:44,2,24,51,4:12,21.574,BODY SLAM,DIG,SWORDS DANCE,SPORE
NINTEN,Paras,Giovanni,1:06:25,2,24,52,4:19,31.694,BODY SLAM,DIG,SWORDS DANCE,SPORE
