date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
2-28,17:20:06,NINTEN,Paras,Rival1-Lab,3,Pallet Town - Oak's Lab,1,42.17,42,0h0m42s,0,0,0,5,0:02,14.356,SCRATCH,,,,0,63,7,1,0,8,8,8,0,3000,No Team Selected, ,Bug,Grass,194,Paras10,Paras,Rival (Lab),00:00:27.82,00:00:42.17,00:02:15.16,5,0,0,0,42,17,SCRATCH,,,,27,0,0,0,0,0,0,0,3,20,13,12,12,12,9,39,52,43,50,50,65,15,15,15,15,-2,0,0,0,0,0,0,6,12,12,12,9,1957,4457,3634,0,1957,0,0,0,63,63,0,0,7,1,1,0,0,0,19,19,17,17,8,1,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69,0,0,0,0,0,0,0,0,0,0,0,10,0,No Team Selected
2-28,17:25:15,NINTEN,Paras,Bug Catcher,1,Viridian Forest,2,5:51.16,5:51,0h5m51s,0,0,0,10,0:22,14.35,SCRATCH,,,,1,984,59,2,32,81,81,52,1,3175,No Team Selected,Poisoned,Bug,Grass,1101,Paras10,Paras,,00:05:36.81,00:05:51.16,00:22:38.42,10,0,0,5,51,16,SCRATCH,,,,30,0,0,0,0,0,0,0,8,30,23,19,19,19,14,1264,1711,1318,1070,1070,2176,15,15,15,15,0,0,0,0,-2,0,0,23,19,19,19,7,1957,29436,50930,1131,1957,1,0,0,984,984,0,0,59,34,2,32,0,0,705,553,147,147,81,3,49,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,976,0,0,0,0,1,0,0,0,0,0,0,10,0,No Team Selected
2-28,17:26:06,NINTEN,Paras,Bug Catcher,2,Viridian Forest,3,6:42.29,6:42,0h6m42s,0,0,0,11,0:26,17.07,SCRATCH,,,,2,1223,78,3,33,89,89,58,1,3235,No Team Selected, ,Bug,Grass,1363,Paras10,Paras,,00:06:25.22,00:06:42.29,00:26:01.27,11,0,0,6,42,29,SCRATCH,,,,27,0,0,0,0,0,0,0,18,32,24,21,21,21,15,1389,1806,1428,1135,1135,2311,15,15,15,15,0,0,0,0,-1,0,0,24,21,21,21,9,1957,35291,56143,2228,1957,2,0,0,1223,1223,0,0,78,36,3,33,1,0,776,623,161,161,89,4,51,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1238,0,0,0,0,2,0,0,0,0,0,0,10,0,No Team Selected
2-28,17:26:37,NINTEN,Paras,Bug Catcher,3,Viridian Forest,1,7:13.25,7:13,0h7m13s,0,0,0,11,0:28,7.68,SCRATCH,,,,3,1332,88,4,35,92,92,61,2,3305,No Team Selected, ,Bug,Grass,1462,Paras10,Paras,,00:07:05.57,00:07:13.25,00:28:04.23,11,0,0,7,13,25,SCRATCH,,,,24,0,0,0,0,0,0,0,21,32,24,21,21,21,15,1429,1841,1458,1155,1155,2361,15,15,15,15,0,0,0,0,-1,0,0,24,21,21,21,9,1957,38113,59789,3136,1957,3,0,0,1332,1332,0,0,88,39,4,35,3,0,808,650,172,172,92,5,53,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1337,0,0,0,0,5,0,0,0,0,0,0,10,0,No Team Selected
2-28,17:44:42,NINTEN,Paras,Jr Trainer M,1,Pewter City - Gym,2,25:18.25,25:18,0h25m18s,0,28,28,19,1:39,12.477,SCRATCH,STUN SPORE,,,6,3132,130,33,55,611,611,446,2,0,No Team Selected, ,Bug,Grass,7728,Paras10,Paras,,00:25:05.77,00:25:18.25,01:39:54.09,19,0,0,25,18,25,SCRATCH,STUN SPORE,,,29,30,0,0,0,0,0,0,39,50,40,34,34,34,23,2499,4468,3013,3090,3090,6376,15,15,15,15,0,0,0,0,0,-2,0,40,34,34,34,23,1957,80383,274660,4581,1957,6,0,0,3132,3132,0,0,130,88,33,55,3,0,2711,1999,1452,1382,255,33,422,0,0,0,0,0,7,0,46,0,0,0,0,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,344,89,0,0,0,0,28,89,7603,0,0,0,0,5,11,0,0,0,1,28,10,28,No Team Selected
2-28,17:46:08,NINTEN,Paras,Brock,1,Pewter City - Gym,2,26:44.72,26:44,0h26m44s,0,28,28,20,1:45,20.82,SCRATCH,STUN SPORE,LEECH LIFE,,6,3372,130,34,65,633,633,454,2,220,No Team Selected, ,Bug,Grass,8558,Paras10,Paras,Brock,00:26:23.90,00:26:44.72,01:45:36.33,20,0,0,26,44,72,SCRATCH,STUN SPORE,LEECH LIFE,,17,30,5,0,0,0,0,0,46,52,42,35,35,35,25,2894,5131,3633,3420,3420,7154,15,15,15,15,0,0,0,0,0,0,0,42,35,35,35,25,1957,85132,290015,5021,1957,6,0,0,3372,3372,0,0,130,99,34,65,3,0,3197,2227,1478,1408,277,33,425,0,0,0,0,0,9,0,47,0,0,0,0,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,344,89,0,0,0,0,28,101,8433,0,0,0,0,5,11,0,0,0,2,28,10,28,No Team Selected
2-28,17:46:49,NINTEN,Paras,Bug Catcher,4,Route 3,3,27:25.55,27:25,0h27m25s,0,28,28,20,1:48,11.761,SCRATCH,STUN SPORE,LEECH LIFE,,6,3492,137,35,65,638,638,456,4,106,No Team Selected, ,Bug,Grass,8893,Paras10,Paras,,00:27:13.79,00:27:25.55,01:48:18.28,20,0,0,27,25,55,SCRATCH,STUN SPORE,LEECH LIFE,,31,30,14,0,0,0,0,0,49,52,42,35,35,35,25,3024,5226,3733,3480,3480,7294,15,15,15,15,0,0,0,0,0,0,0,47,35,35,35,25,1957,90988,293874,5021,1957,6,0,0,3492,3492,0,0,137,100,35,65,3,0,3364,2316,1481,1411,282,34,426,0,0,0,0,0,10,0,48,0,0,0,0,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,344,89,0,0,0,0,28,104,8768,0,0,0,0,5,25,1,0,0,2,28,10,28,No Team Selected
2-28,17:47:01,NINTEN,Paras,Youngster Ben,1,Route 3,2,27:37.28,27:37,0h27m37s,0,28,28,20,1:49,8.179,SCRATCH,STUN SPORE,LEECH LIFE,,6,3496,137,36,65,641,641,457,4,206,No Team Selected, ,Bug,Grass,9171,Paras10,Paras,,00:27:29.10,00:27:37.28,01:49:05.01,20,0,0,27,37,28,SCRATCH,STUN SPORE,LEECH LIFE,,29,30,13,0,0,0,0,0,52,52,42,35,35,35,25,3089,5342,3812,3545,3545,7421,15,15,15,15,0,0,0,0,0,0,0,47,35,35,35,25,1957,91320,296335,5021,1957,6,0,0,3496,3496,0,0,137,101,36,65,3,0,3447,2375,1486,1416,285,34,427,0,0,0,0,0,10,0,48,0,0,0,0,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,344,89,0,0,0,0,28,106,9046,0,0,0,0,5,25,1,0,0,2,28,10,28,No Team Selected
2-28,17:47:17,NINTEN,Paras,Bug Catcher,5,Route 3,4,27:53.76,27:53,0h27m53s,0,28,28,21,1:50,13.683,SCRATCH,STUN SPORE,LEECH LIFE,,6,3500,138,37,65,646,646,458,4,371,No Team Selected, ,Bug,Grass,9646,Paras10,Paras,,00:27:40.07,00:27:53.76,01:50:10.29,21,0,0,27,53,76,SCRATCH,STUN SPORE,LEECH LIFE,,26,30,11,0,0,0,0,0,54,54,44,37,37,37,26,3269,5452,3982,3635,3635,7581,15,15,15,15,0,0,0,0,0,0,0,49,37,37,37,26,1957,91498,300086,5021,1957,6,0,0,3500,3500,0,0,138,102,37,65,3,0,3611,2487,1486,1416,290,34,427,0,0,0,0,0,10,0,48,0,0,0,0,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,344,89,0,0,0,0,28,110,9521,0,0,0,0,5,25,1,0,0,2,28,10,28,No Team Selected
2-28,17:47:35,NINTEN,Paras,Bug Catcher,6,Route 3,2,28:11.21,28:11,0h28m11s,0,28,28,21,1:51,8.884,SCRATCH,STUN SPORE,LEECH LIFE,,6,3556,141,38,65,650,650,460,4,461,No Team Selected, ,Bug,Grass,9939,Paras10,Paras,,00:28:02.33,00:28:11.21,01:51:19.50,21,0,0,28,11,21,SCRATCH,STUN SPORE,LEECH LIFE,,22,30,11,0,0,0,0,0,54,54,44,37,37,37,26,3364,5502,4072,3680,3680,7656,15,15,15,15,0,0,0,0,0,0,0,49,37,37,37,26,1957,92992,302752,5021,1957,6,0,0,3556,3556,0,0,141,103,38,65,3,0,3703,2552,1486,1416,294,35,427,0,0,0,0,0,10,0,48,0,0,0,0,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,344,89,0,0,0,0,28,112,9814,0,0,0,0,5,25,1,0,0,2,28,10,28,No Team Selected
2-28,17:48:33,NINTEN,Paras,Super Nerd,1,Mt Moon - 1,2,29:09.95,29:09,0h29m9s,0,28,28,21,1:55,9.768,SCRATCH,STUN SPORE,LEECH LIFE,,6,3707,145,39,67,664,658,471,4,571,No Team Selected, ,Bug,Grass,10388,Paras10,Paras,,00:29:00.18,00:29:09.95,01:55:12.57,21,0,0,29,9,95,SCRATCH,STUN SPORE,LEECH LIFE,,31,27,15,0,0,0,0,0,33,54,44,37,37,37,26,3429,5567,4192,3830,3830,7801,15,15,15,15,0,0,0,0,0,0,0,49,37,37,37,26,1957,96765,312966,5021,1957,6,0,0,3707,3707,0,0,145,106,39,67,3,0,3789,2611,1517,1447,300,36,437,0,0,0,0,0,11,0,51,0,0,0,0,42,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,352,91,0,0,0,0,28,114,10263,0,0,0,0,5,25,1,8,2,2,28,10,28,No Team Selected
