ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Pidgey7,Pidgey,Rival (Lab),00:00:26.73,00:00:35.14,00:01:47.39,6,0,0,0,35,14,GUST,SAND-ATTACK,,,12,11,11,11,13,0,-1,0,0,0,0,0,12,7,11,11,13,1937,4217,2217,0,1937,0,0,0,57,57,0,0,4,1,1,0,0,0,20,20,3,3,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70,0,0,0,0,0,0,0,0,0,0,0,7,0,No Team Selected
Pidgey7,Pidgey,Rival (Optional),00:03:26.03,00:03:37.95,00:13:53.06,11,0,0,3,37,95,GUST,SAND-ATTACK,,,18,17,16,16,21,0,0,0,0,0,0,0,18,17,16,16,21,1937,24565,25396,0,1937,0,0,0,678,678,0,0,63,11,5,6,0,0,312,276,129,121,37,16,33,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,743,0,0,0,0,0,18,0,0,0,0,3,7,3,No Team Selected
Pidgey7,Pidgey,Brock,00:07:36.78,00:08:48.49,00:34:25.27,16,0,0,8,48,49,QUICK ATTACK,SAND-ATTACK,GUST,,25,24,22,22,29,0,-4,0,0,0,0,0,25,7,22,22,29,1937,49027,73821,1054,1937,1,0,0,1751,1751,0,0,83,35,10,25,0,0,1120,852,175,167,119,30,47,0,0,0,0,0,10,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,40,2783,0,0,0,0,3,18,0,1,1,1,3,7,3,No Team Selected
Pidgey7,Pidgey,Rival (Nugget Bridge),00:16:48.11,00:17:10.19,01:07:36.11,24,0,0,17,10,19,QUICK ATTACK,SAND-ATTACK,GUST,WHIRLWIND,37,35,32,32,42,0,0,0,0,-1,-2,0,57,35,32,32,27,1937,85833,153642,3871,1937,2,0,0,2812,2812,0,0,152,59,33,26,0,0,3458,2488,483,474,214,48,106,0,0,0,0,0,22,0,11,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,6,88,11502,0,0,0,0,10,23,1,5,2,2,4,7,4,No Team Selected
Pidgey7,Pidgey,Oddish Lass,00:20:31.35,00:20:43.43,01:21:42.32,27,0,0,20,43,43,QUICK ATTACK,SAND-ATTACK,GUST,WHIRLWIND,41,39,36,36,48,0,0,0,0,0,0,0,46,39,36,36,48,1937,94944,193382,5802,1937,2,0,0,2988,2988,0,0,185,72,46,26,0,0,5057,3517,587,578,271,52,127,0,0,0,0,0,28,0,16,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,6,114,16796,0,0,0,0,11,23,1,5,2,2,4,7,4,No Team Selected
Pidgey7,Pidgey,Misty,00:21:14.73,00:21:35.14,01:25:07.50,28,0,0,21,35,14,QUICK ATTACK,SAND-ATTACK,GUST,WING ATTACK,43,40,37,37,50,0,0,0,0,0,0,0,48,40,37,37,50,1937,100874,198735,6836,1937,3,0,0,3062,3062,0,0,195,73,47,26,0,0,5176,3617,645,636,279,52,131,0,0,0,0,0,28,0,17,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,6,116,18135,0,0,0,0,12,23,1,5,2,3,4,7,4,No Team Selected
Pidgey7,Pidgey,Rocket,00:21:56.19,00:22:05.48,01:27:08.01,28,0,0,22,5,48,QUICK ATTACK,SAND-ATTACK,GUST,WING ATTACK,43,40,37,37,50,0,0,0,0,0,0,0,48,40,37,37,50,1937,104336,201880,7440,1937,3,0,0,3159,3159,0,0,201,74,48,26,0,0,5299,3720,662,653,283,52,133,0,0,0,0,0,28,0,18,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,6,118,18824,0,0,0,0,12,23,1,5,2,3,4,7,4,No Team Selected
Pidgey7,Pidgey,Rival (SS Anne),00:29:09.59,00:29:26.26,01:56:15.39,34,0,0,29,26,26,QUICK ATTACK,SAND-ATTACK,GUST,WING ATTACK,53,49,45,45,61,0,-1,0,0,0,0,0,66,32,45,45,61,1937,132544,267369,18601,1937,7,0,0,3790,3790,0,0,255,97,71,26,0,0,8404,5897,847,838,362,57,167,0,0,0,0,0,36,0,21,0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,9,6,1,0,0,0,0,0,0,0,6,166,34979,0,0,0,0,19,54,5,5,2,4,4,7,4,No Team Selected
Pidgey7,Pidgey,Lt. Surge,00:30:46.57,00:31:01.11,02:00:10.25,35,2,0,31,1,11,QUICK ATTACK,SAND-ATTACK,GUST,WING ATTACK,55,51,47,47,63,0,0,0,0,0,0,0,61,51,47,47,63,2084,139252,271384,21821,2084,8,1,0,3969,3969,0,0,289,98,72,26,0,0,8623,6057,912,903,368,57,169,0,0,0,0,0,36,0,21,0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,9,6,1,0,0,0,0,0,0,0,6,169,36384,0,0,0,0,19,54,5,5,2,5,4,7,6,No Team Selected
Pidgey7,Pidgey,RTG1 - Wrapping Lass,00:31:42.52,00:31:54.41,02:03:41.27,35,2,0,31,54,41,QUICK ATTACK,SAND-ATTACK,GUST,WING ATTACK,55,51,47,47,63,0,0,0,0,0,0,0,61,57,47,47,63,2084,145430,275123,24566,2084,8,1,0,4111,4059,52,0,297,99,73,26,0,0,8963,6247,912,903,372,57,169,0,0,0,0,0,36,0,21,0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,9,6,1,0,0,0,0,0,0,0,6,173,37632,0,0,0,0,19,54,5,5,2,5,4,7,6,No Team Selected
