ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Poliwag4,Poliwag,Brock,00:02:45.97,00:02:57.53,00:11:13.33,11,0,0,2,57,53,BUBBLE,,,,19,17,17,17,28,0,0,0,0,0,0,0,19,17,17,17,28,1905,22892,16680,816,1905,0,0,0,733,733,0,0,54,4,4,0,0,0,187,154,62,60,34,3,27,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,776,0,0,0,0,3,0,0,0,0,0,1,4,1,No Team Selected
Poliwag4,Poliwag,Misty,00:08:05.12,00:08:41.21,00:33:57.58,21,0,0,8,41,21,WATER GUN,BUBBLE,BIDE,HYPNOSIS,34,30,29,29,50,0,0,0,0,0,0,0,38,30,29,29,50,1905,46297,68382,7574,1905,2,0,0,1563,1563,0,0,86,15,13,2,0,0,1079,919,237,235,130,13,68,0,0,0,0,0,17,0,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,27,5638,0,0,0,0,7,8,0,3,2,3,1,4,1,No Team Selected
Poliwag4,Poliwag,Rival (Nugget Bridge),00:09:05.93,00:09:28.37,00:37:05.15,22,0,0,9,28,37,BUBBLEBEAM,BUBBLE,WATER GUN,HYPNOSIS,35,31,30,30,53,0,0,0,0,0,0,0,39,31,30,30,53,1905,49585,74492,9413,1905,3,0,0,1637,1637,0,0,90,16,14,2,0,0,1273,1087,273,271,142,14,71,0,0,0,0,0,19,0,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,31,6722,0,0,0,0,7,8,0,3,2,4,1,4,1,No Team Selected
Poliwag4,Poliwag,Oddish Lass,00:12:04.76,00:12:23.19,00:48:39.00,25,0,0,12,23,19,BUBBLEBEAM,DOUBLESLAP,WATER GUN,HYPNOSIS,40,35,35,35,60,0,0,0,0,0,0,0,45,35,35,35,60,1905,59668,103740,11707,1905,4,0,0,1850,1850,0,0,121,26,24,2,0,0,2568,1930,376,374,177,19,89,0,0,0,0,0,24,0,8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,52,10822,0,0,0,0,8,14,0,3,2,5,1,4,1,No Team Selected
Poliwag4,Poliwag,Rocket,00:12:53.40,00:13:03.76,00:51:19.47,25,0,0,13,3,76,BUBBLEBEAM,DOUBLESLAP,WATER GUN,HYPNOSIS,40,35,35,35,60,0,0,0,0,0,0,0,45,35,35,35,60,1905,65659,106697,12406,1905,5,0,0,1930,1930,0,0,133,27,25,2,0,0,2717,2033,385,383,183,20,90,0,0,0,0,0,24,0,8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,54,11511,0,0,0,0,9,14,0,3,2,5,1,4,1,No Team Selected
Poliwag4,Poliwag,Rival (SS Anne),00:15:01.33,00:15:15.20,00:58:27.46,28,1,0,15,15,20,BUBBLEBEAM,BODY SLAM,WATER GUN,HYPNOSIS,45,39,39,39,68,0,0,0,0,0,0,0,50,39,39,39,68,2061,75811,119072,15407,2061,6,1,0,2259,2259,0,0,163,32,30,2,0,0,3463,2593,435,433,197,20,93,0,0,0,0,0,29,0,9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,66,15838,0,0,0,0,12,17,0,3,2,6,1,4,2,No Team Selected
Poliwag4,Poliwag,Lt. Surge,00:16:21.41,00:16:34.86,01:02:22.20,28,2,0,16,34,86,BUBBLEBEAM,BODY SLAM,WATER GUN,HYPNOSIS,45,39,39,39,68,0,0,0,0,0,0,0,50,39,39,39,68,2209,82346,123163,18712,2209,7,2,0,2436,2436,0,0,179,33,31,2,0,0,3672,2753,439,437,203,20,94,0,0,0,0,0,30,0,9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,69,17243,0,0,0,0,12,17,0,3,2,8,1,4,3,No Team Selected
Poliwag4,Poliwag,RTG1 - Wrapping Lass,00:17:14.83,00:17:28.76,01:05:55.30,29,2,0,17,28,76,BUBBLEBEAM,BODY SLAM,WATER GUN,HYPNOSIS,47,41,40,40,70,0,0,0,0,0,0,0,52,46,40,40,70,2209,89220,127055,20736,2209,8,2,0,2610,2558,52,0,190,34,32,2,0,0,3967,2949,452,450,209,20,95,0,0,0,0,0,31,0,9,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,1,73,18491,0,0,0,0,12,17,0,3,2,8,1,4,3,No Team Selected
Poliwag4,Poliwag,RTG4 - Status Jr Trainer,00:18:32.02,00:18:41.34,01:10:43.44,30,2,0,18,41,34,BUBBLEBEAM,BODY SLAM,WATER GUN,HYPNOSIS,48,42,42,42,72,0,0,0,0,0,0,0,54,47,42,42,72,2209,92943,137577,23785,2209,11,2,0,2813,2558,255,0,209,38,36,2,0,0,4668,3437,479,477,225,23,97,0,0,0,0,0,33,0,9,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,3,0,0,0,1,81,21371,0,0,0,0,12,17,0,3,2,8,1,4,3,No Team Selected
Poliwag4,Poliwag,RTG6 - Finisher,00:19:15.14,00:19:26.96,01:13:44.51,31,2,0,19,26,96,BUBBLEBEAM,BODY SLAM,WATER GUN,HYPNOSIS,50,44,43,43,75,0,0,0,0,0,0,0,56,49,43,43,18,2209,97095,143692,24385,2209,11,2,0,2984,2558,426,0,236,40,38,2,0,0,5468,3751,491,489,232,23,99,0,0,0,0,0,33,0,9,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,4,1,2,0,0,0,3,0,0,0,1,87,23611,0,0,0,0,12,17,0,3,2,8,1,4,3,No Team Selected
