ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Rattata2,Rattata,Rival (Lab),00:00:27.26,00:00:35.48,00:01:48.07,5,0,0,0,35,48,TACKLE,TAIL WHIP,,,12,10,9,9,13,0,-2,0,0,0,0,0,12,5,9,9,13,1985,4295,2167,0,1985,0,0,0,57,57,0,0,2,1,1,0,0,0,22,20,6,6,4,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70,0,0,0,0,0,0,0,0,0,0,0,2,0,No Team Selected
Rattata2,Rattata,Brock,00:06:58.72,00:07:32.45,00:29:23.25,15,0,0,7,32,45,QUICK ATTACK,TAIL WHIP,TACKLE,HYPER FANG,27,21,18,18,32,0,-2,0,0,0,0,0,27,10,18,18,32,1985,36772,67430,1578,1985,1,0,0,1202,1202,0,0,44,20,15,5,1,0,794,616,395,365,117,8,78,0,0,0,0,0,12,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,24,3333,0,0,0,0,3,17,0,0,0,2,9,2,9,No Team Selected
Rattata2,Rattata,Rival (Nugget Bridge),00:11:49.83,00:12:03.64,00:47:19.28,20,0,0,12,3,64,HYPER FANG,WATER GUN,TACKLE,QUICK ATTACK,35,27,23,23,42,0,0,0,0,0,0,0,39,27,23,23,42,1985,61655,104338,4350,1985,2,0,0,2020,2020,0,0,91,34,27,7,1,0,2343,1649,446,416,152,13,90,0,0,0,0,0,18,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,56,9077,0,0,0,0,7,25,1,5,2,3,9,2,9,No Team Selected
Rattata2,Rattata,Oddish Lass,00:14:54.62,00:15:02.06,00:59:07.20,24,0,0,15,2,6,HYPER FANG,WATER GUN,TACKLE,QUICK ATTACK,42,32,27,27,50,0,0,0,0,0,0,0,47,32,27,27,50,1985,68794,138077,5944,1985,2,0,0,2126,2126,0,0,103,48,41,7,1,0,4235,2805,485,455,188,14,97,0,0,0,0,0,25,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,86,15362,0,0,0,0,8,25,1,5,2,3,9,2,9,No Team Selected
Rattata2,Rattata,Rocket,00:15:49.14,00:15:54.87,01:02:36.32,25,0,0,15,54,87,HYPER FANG,WATER GUN,TACKLE,QUICK ATTACK,44,34,28,28,52,0,0,0,0,0,0,0,49,34,28,28,52,1985,75859,143019,6489,1985,2,0,0,2259,2259,0,0,108,50,43,7,1,0,4434,2984,490,460,194,14,98,0,0,0,0,0,25,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,90,16665,0,0,0,0,9,25,1,5,2,3,9,2,9,No Team Selected
Rattata2,Rattata,Misty,00:16:23.87,00:16:35.14,01:05:16.23,26,0,0,16,35,14,HYPER FANG,WATER GUN,DIG,QUICK ATTACK,46,35,29,29,54,0,0,0,0,0,0,0,51,35,29,29,54,1985,77664,147934,9360,1985,3,0,0,2295,2295,0,0,117,52,45,7,1,0,4603,3133,535,505,198,16,100,0,0,0,0,0,26,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,93,18455,0,0,0,0,9,25,1,5,2,4,9,2,9,No Team Selected
Rattata2,Rattata,Rival (SS Anne),00:18:28.77,00:18:43.78,01:13:46.05,28,0,0,18,43,78,BODY SLAM,BUBBLEBEAM,DIG,HYPER FANG,49,38,31,31,59,0,0,0,0,0,0,0,55,38,31,31,59,1985,91890,161173,12477,1985,3,0,0,2711,2711,0,0,146,57,50,7,1,0,5599,3692,570,540,212,19,104,0,0,0,0,0,27,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,105,22791,0,0,0,0,12,38,6,5,2,6,9,2,9,No Team Selected
Rattata2,Rattata,Lt. Surge,00:19:32.47,00:19:44.78,01:17:47.57,28,0,0,19,44,78,BODY SLAM,BUBBLEBEAM,DIG,HYPER FANG,49,38,31,31,59,0,0,0,0,0,0,0,55,38,31,31,59,1985,98728,164964,16360,1985,4,0,0,2892,2892,0,0,156,58,51,7,1,0,6014,3852,576,546,215,22,105,0,0,0,0,0,28,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,108,24196,0,0,0,0,12,38,6,5,2,7,9,2,9,No Team Selected
Rattata2,Rattata,RTG1 - Wrapping Lass,00:20:36.03,00:20:46.27,01:21:51.35,29,0,0,20,46,27,BODY SLAM,BUBBLEBEAM,DIG,THUNDERBOLT,51,39,32,32,61,0,0,0,0,0,0,0,57,43,32,32,61,1985,105288,168004,21378,1985,4,0,0,3037,2996,41,0,170,59,52,7,1,0,6317,4042,576,546,219,22,105,0,0,0,0,0,28,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,112,25444,0,0,0,0,12,38,6,5,2,8,9,2,9,No Team Selected
Rattata2,Rattata,RTG4 - Status Jr Trainer,00:21:38.33,00:21:44.09,01:25:41.00,30,0,0,21,44,9,BODY SLAM,BUBBLEBEAM,DIG,THUNDERBOLT,53,40,34,34,63,0,0,0,0,0,0,0,59,45,34,34,63,1985,108972,177200,22263,1985,4,0,0,3240,2996,244,0,198,63,56,7,1,0,7138,4530,606,576,229,22,107,0,0,0,0,0,32,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,120,28324,0,0,0,0,12,38,6,5,2,8,9,2,9,No Team Selected
