ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Rattata1,Rattata,Rival (Lab),00:00:26.57,00:00:34.49,00:01:44.05,5,0,0,0,34,49,TACKLE,TAIL WHIP,,,12,10,9,9,13,0,0,0,0,0,0,0,12,10,9,9,13,1996,4124,2096,0,1996,0,0,0,57,57,0,0,4,1,1,0,0,0,20,20,3,3,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70,0,0,0,0,0,0,0,0,0,0,0,1,0,No Team Selected
Rattata1,Rattata,Brock,00:07:30.03,00:07:58.44,00:31:06.45,15,0,0,7,58,44,QUICK ATTACK,TAIL WHIP,TACKLE,HYPER FANG,27,21,18,18,32,0,-2,0,0,0,0,0,27,10,18,18,32,1996,37900,72610,1470,1996,1,0,0,1205,1205,0,0,78,21,14,7,0,0,731,612,382,346,117,35,93,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,26,3270,0,0,0,0,2,18,0,0,0,2,8,1,8,No Team Selected
Rattata1,Rattata,Rival (Nugget Bridge),00:12:56.06,00:13:12.40,00:51:52.12,21,0,0,13,12,40,HYPER FANG,TAIL WHIP,WATER GUN,QUICK ATTACK,37,28,24,24,44,0,0,0,0,0,0,0,41,28,24,24,44,1996,61628,119605,5474,1996,2,0,0,1957,1957,0,0,117,42,27,15,3,0,2665,1769,463,427,164,43,107,0,0,0,0,0,18,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,62,9458,0,0,0,0,6,23,0,3,2,3,8,1,8,No Team Selected
Rattata1,Rattata,Oddish Lass,00:16:20.14,00:16:29.74,01:04:55.06,24,0,0,16,29,74,HYPER FANG,TAIL WHIP,WATER GUN,QUICK ATTACK,42,32,27,27,50,0,0,0,0,0,0,0,47,32,27,27,50,1996,73727,151893,8061,1996,2,0,0,2165,2165,0,0,151,55,40,15,3,0,4300,2834,536,500,198,46,117,0,0,0,0,0,23,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,89,15269,0,0,0,0,7,34,1,3,2,3,8,1,8,No Team Selected
Rattata1,Rattata,Rocket,00:17:38.64,00:17:44.66,01:09:52.16,25,0,0,17,44,66,HYPER FANG,TAIL WHIP,WATER GUN,QUICK ATTACK,44,34,28,28,52,0,0,0,0,0,0,0,49,34,28,28,52,1996,85495,156802,9214,1996,2,0,0,2496,2496,0,0,180,57,42,15,3,0,4535,3013,536,500,203,46,118,0,0,0,0,0,23,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,93,16423,0,0,0,0,8,34,1,3,2,3,8,1,8,No Team Selected
Rattata1,Rattata,Misty,00:18:30.49,00:18:41.90,01:13:39.35,26,0,0,18,41,90,HYPER FANG,DIG,WATER GUN,QUICK ATTACK,46,35,29,29,54,0,0,0,0,0,0,0,51,35,29,29,54,1996,87585,165588,11977,1996,3,0,0,2532,2532,0,0,184,60,45,15,3,0,4859,3238,560,524,212,49,121,0,0,0,0,0,25,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,98,18827,0,0,0,0,8,34,1,3,2,4,8,1,8,No Team Selected
Rattata1,Rattata,Rival (SS Anne),00:21:09.59,00:21:23.09,01:24:17.58,28,0,0,21,23,9,BODY SLAM,DIG,WATER GUN,HYPER FANG,50,38,31,31,59,0,0,0,0,0,0,0,56,38,31,31,59,1996,104367,183626,15460,1996,4,0,0,3045,3045,0,0,211,67,51,16,3,0,5923,3891,592,556,229,51,126,0,0,0,0,0,26,0,11,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,112,23976,0,0,0,0,14,44,1,4,3,5,8,1,8,No Team Selected
Rattata1,Rattata,Lt. Surge,00:22:11.02,00:22:23.07,01:28:15.48,29,0,0,22,23,7,BODY SLAM,DIG,WATER GUN,HYPER FANG,51,39,33,33,61,0,0,0,0,0,0,0,57,39,33,33,61,1996,111058,187067,19598,1996,5,0,0,3226,3226,0,0,223,68,52,16,3,0,6254,4051,592,556,232,54,126,0,0,0,0,0,26,0,11,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,115,25381,0,0,0,0,14,44,1,4,3,6,8,1,8,No Team Selected
Rattata1,Rattata,RTG1 - Wrapping Lass,00:23:04.07,00:23:13.89,01:31:36.57,29,0,0,23,13,89,BODY SLAM,DIG,WATER GUN,HYPER FANG,51,39,33,33,61,0,0,0,0,0,0,0,57,43,33,33,61,1996,117450,190325,22017,1996,5,0,0,3372,3318,54,0,237,69,53,16,3,0,6561,4241,592,556,236,54,126,0,0,0,0,0,26,0,11,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,119,26629,0,0,0,0,14,44,1,4,3,6,8,1,8,No Team Selected
Rattata1,Rattata,RTG4 - Status Jr Trainer,00:24:17.90,00:24:23.63,01:36:13.44,30,0,0,24,23,63,BODY SLAM,DIG,WATER GUN,THUNDERBOLT,53,40,34,34,63,0,0,0,0,0,0,0,59,45,34,34,63,1996,121185,199159,26055,1996,5,0,0,3570,3318,252,0,255,73,57,16,3,0,7335,4729,592,556,246,54,128,0,0,0,0,0,29,0,11,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,127,29509,0,0,0,0,14,44,1,4,3,7,8,1,8,No Team Selected
