date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
1-10,11:40:54,NINTEN,Rattata,Rival1-Lab,1,Pallet Town - Oak's Lab,1,34.49,34,0h0m34s,0,0,0,5,0:01,7.917,TACKLE,TAIL WHIP,,,0,57,4,1,0,4,4,3,0,3000,No Team Selected, ,Normal,Normal,195,Rattata1,Rattata,Rival (Lab),00:00:26.57,00:00:34.49,00:01:44.05,5,0,0,0,34,49,TACKLE,TAIL WHIP,,,31,30,0,0,0,0,0,0,16,19,12,10,9,9,13,44,48,65,50,50,43,15,15,15,15,0,0,0,0,0,0,0,12,10,9,9,13,1996,4124,2096,0,1996,0,0,0,57,57,0,0,4,1,1,0,0,0,20,20,3,3,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70,0,0,0,0,0,0,0,0,0,0,0,1,0,No Team Selected
1-10,11:43:07,NINTEN,Rattata,Bug Catcher,1,Viridian Forest,2,2:47.29,2:47,0h2m47s,0,0,0,7,0:10,11.562,QUICK ATTACK,TAIL WHIP,TACKLE,,0,576,69,2,6,26,26,17,3,75,No Team Selected, ,Normal,Normal,511,Rattata1,Rattata,,00:02:35.73,00:02:47.29,00:10:30.45,7,0,0,2,47,29,QUICK ATTACK,TAIL WHIP,TACKLE,,25,30,28,0,0,0,0,0,20,23,15,12,10,10,17,334,407,360,250,250,517,15,15,15,15,0,0,0,0,-2,0,0,15,12,10,10,8,1996,22489,14932,399,1996,0,0,0,576,576,0,0,69,8,2,6,0,0,184,160,20,20,24,4,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,386,0,0,0,0,0,18,0,0,0,1,0,1,0,No Team Selected
1-10,11:43:32,NINTEN,Rattata,Bug Catcher,2,Viridian Forest,3,3:12.68,3:12,0h3m12s,0,0,0,9,0:12,20.861,QUICK ATTACK,TAIL WHIP,TACKLE,,0,598,69,3,6,36,36,24,3,135,No Team Selected, ,Normal,Normal,773,Rattata1,Rattata,,00:02:51.82,00:03:12.68,00:12:11.46,9,0,0,3,12,68,QUICK ATTACK,TAIL WHIP,TACKLE,,15,30,28,0,0,0,0,0,12,27,18,14,12,12,21,459,502,470,315,315,652,15,15,15,15,0,0,0,0,0,0,0,18,14,12,12,21,1996,23116,20366,399,1996,0,0,0,598,598,0,0,69,9,3,6,0,0,278,230,32,32,34,4,17,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,648,0,0,0,0,0,18,0,0,0,1,0,1,0,No Team Selected
1-10,11:43:51,NINTEN,Rattata,Bug Catcher,3,Viridian Forest,1,3:32.16,3:32,0h3m32s,0,0,0,9,0:13,8.208,QUICK ATTACK,TAIL WHIP,TACKLE,,0,701,72,4,6,39,39,26,4,205,No Team Selected, ,Normal,Normal,872,Rattata1,Rattata,,00:03:23.95,00:03:32.16,00:13:29.11,9,0,0,3,32,16,QUICK ATTACK,TAIL WHIP,TACKLE,,13,29,28,0,0,0,0,0,9,27,18,14,12,12,21,499,537,500,335,335,702,15,15,15,15,0,0,0,0,-1,0,0,18,14,12,12,13,1996,25363,22764,399,1996,0,0,0,701,701,0,0,72,10,4,6,0,0,310,257,35,35,37,4,19,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,747,0,0,0,0,2,18,0,0,0,1,0,1,0,No Team Selected
1-10,11:47:40,NINTEN,Rattata,Jr Trainer M,1,Pewter City - Gym,2,7:20.67,7:20,0h7m20s,0,8,8,14,0:28,17.899,QUICK ATTACK,TAIL WHIP,TACKLE,HYPER FANG,0,1201,77,13,7,125,125,101,4,1,No Team Selected, ,Normal,Normal,2851,Rattata1,Rattata,,00:07:02.77,00:07:20.67,00:28:36.34,14,0,0,7,20,67,QUICK ATTACK,TAIL WHIP,TACKLE,HYPER FANG,21,30,35,15,0,0,0,0,17,37,26,19,17,17,30,684,1132,860,795,795,1632,15,15,15,15,0,0,0,0,0,-4,0,26,19,17,17,30,1996,37316,65254,399,1996,0,0,0,1201,1201,0,0,77,20,13,7,0,0,659,543,347,311,103,30,87,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,24,2726,0,0,0,0,2,18,0,0,0,1,8,1,8,No Team Selected
1-10,11:48:18,NINTEN,Rattata,Brock,1,Pewter City - Gym,2,7:58.44,7:58,0h7m58s,0,8,8,15,0:31,28.406,QUICK ATTACK,TAIL WHIP,TACKLE,HYPER FANG,1,1205,78,14,7,141,141,113,3,221,No Team Selected, ,Normal,Normal,3395,Rattata1,Rattata,Brock,00:07:30.03,00:07:58.44,00:31:06.45,15,0,0,7,58,44,QUICK ATTACK,TAIL WHIP,TACKLE,HYPER FANG,21,21,35,8,0,0,0,0,4,39,27,21,18,18,32,759,1257,1120,855,855,1722,15,15,15,15,0,-2,0,0,0,0,0,27,10,18,18,32,1996,37900,72610,1470,1996,1,0,0,1205,1205,0,0,78,21,14,7,0,0,731,612,382,346,117,35,93,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,26,3270,0,0,0,0,2,18,0,0,0,2,8,1,8,No Team Selected
1-10,11:48:56,NINTEN,Rattata,Bug Catcher,4,Route 3,3,8:36.27,8:36,0h8m36s,0,8,8,15,0:33,9.991,HYPER FANG,TAIL WHIP,TACKLE,QUICK ATTACK,1,1325,86,15,7,145,145,114,5,107,No Team Selected, ,Normal,Normal,3730,Rattata1,Rattata,,00:08:26.28,00:08:36.27,00:33:36.46,15,0,0,8,36,27,HYPER FANG,TAIL WHIP,TACKLE,QUICK ATTACK,11,30,35,30,0,0,0,0,39,39,27,21,18,18,32,889,1352,1220,915,915,1862,15,15,15,15,0,0,0,0,-1,0,0,33,21,18,18,21,1996,43358,76153,1470,1996,1,0,0,1325,1325,0,0,86,22,15,7,0,0,867,701,382,346,120,36,94,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,29,3605,0,0,0,0,2,23,0,0,0,2,8,1,8,No Team Selected
1-10,11:49:04,NINTEN,Rattata,Youngster Ben,1,Route 3,2,8:45.20,8:45,0h8m45s,0,8,8,15,0:34,5.856,HYPER FANG,TAIL WHIP,TACKLE,QUICK ATTACK,1,1329,86,16,7,147,147,114,5,207,No Team Selected, ,Normal,Normal,4008,Rattata1,Rattata,,00:08:39.34,00:08:45.20,00:34:12.07,15,0,0,8,45,20,HYPER FANG,TAIL WHIP,TACKLE,QUICK ATTACK,9,30,35,30,0,0,0,0,39,39,27,21,18,18,32,954,1468,1299,980,980,1989,15,15,15,15,0,0,0,0,0,0,0,30,21,18,18,32,1996,43581,78051,1470,1996,1,0,0,1329,1329,0,0,86,23,16,7,0,0,981,760,382,346,122,36,94,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,31,3883,0,0,0,0,2,23,0,0,0,2,8,1,8,No Team Selected
1-10,11:49:20,NINTEN,Rattata,Bug Catcher,5,Route 3,4,9:00.45,9:00,0h9m0s,0,8,8,16,0:35,12.116,HYPER FANG,TAIL WHIP,TACKLE,QUICK ATTACK,1,1335,86,17,7,152,152,115,5,372,No Team Selected, ,Normal,Normal,4483,Rattata1,Rattata,,00:08:48.34,00:09:00.45,00:35:12.43,16,0,0,9,0,45,HYPER FANG,TAIL WHIP,TACKLE,QUICK ATTACK,4,30,35,30,0,0,0,0,41,41,29,22,19,19,34,1134,1578,1469,1070,1070,2149,15,15,15,15,0,0,0,0,0,0,0,32,22,19,19,34,1996,43839,81429,1470,1996,1,0,0,1335,1335,0,0,86,24,17,7,0,0,1201,872,382,346,126,37,94,0,0,0,0,0,12,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,35,4358,0,0,0,0,2,23,0,0,0,2,8,1,8,No Team Selected
1-10,11:49:30,NINTEN,Rattata,Lass,2,Route 3,2,9:10.55,9:10,0h9m10s,0,8,8,16,0:35,5.682,HYPER FANG,TAIL WHIP,TACKLE,QUICK ATTACK,1,1342,87,18,7,154,154,115,5,462,No Team Selected, ,Normal,Normal,4731,Rattata1,Rattata,,00:09:04.87,00:09:10.55,00:35:52.46,16,0,0,9,10,55,HYPER FANG,TAIL WHIP,TACKLE,QUICK ATTACK,2,30,35,30,0,0,0,0,41,41,29,22,19,19,34,1210,1691,1544,1135,1135,2271,15,15,15,15,0,0,0,0,0,0,0,32,22,19,19,34,1996,44356,83315,1470,1996,1,0,0,1342,1342,0,0,87,25,18,7,0,0,1335,929,382,346,128,37,94,0,0,0,0,0,14,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,37,4606,0,0,0,0,2,23,0,0,0,2,8,1,8,No Team Selected
