ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Seaking2,Seaking,Rival (Lab),00:00:28.13,00:00:33.76,00:01:40.59,5,0,0,0,33,76,PECK,TAIL WHIP,SUPERSONIC,,15,13,14,14,13,0,0,0,0,0,0,0,15,13,14,14,13,2005,4483,1551,0,2005,0,0,0,61,61,0,0,3,1,1,0,0,0,20,20,4,4,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,67,0,0,0,0,0,0,0,0,0,0,0,2,0,No Team Selected
Seaking2,Seaking,Brock,00:05:29.99,00:06:21.71,00:24:42.55,13,0,0,6,21,71,PECK,TAIL WHIP,SUPERSONIC,,33,26,30,30,27,0,0,0,0,0,0,0,33,26,30,30,27,2005,30035,57999,916,2005,0,0,0,998,998,0,0,46,12,12,0,0,0,557,422,325,305,97,18,78,0,0,0,0,0,7,0,9,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,7,0,0,0,0,6,16,2464,0,0,0,0,1,16,0,0,0,0,6,2,6,No Team Selected
Seaking2,Seaking,Misty,00:10:13.68,00:10:31.23,00:41:12.56,21,0,0,10,31,23,PECK,BIDE,SUPERSONIC,WATER GUN,52,40,46,46,42,0,0,0,0,0,0,0,58,40,46,46,42,2005,51783,92221,4347,2005,1,0,0,1812,1812,0,0,92,23,21,2,1,0,1728,1177,425,405,137,27,96,0,0,0,0,0,16,0,11,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,20,8,0,0,0,0,6,38,7326,0,0,0,0,5,16,0,2,1,2,6,2,6,No Team Selected
Seaking2,Seaking,Rival (Nugget Bridge),00:10:54.41,00:11:09.66,00:43:45.28,21,0,0,11,9,66,BUBBLEBEAM,PECK,SUPERSONIC,WATER GUN,52,40,46,46,42,0,0,0,0,0,0,0,58,40,46,46,42,2005,54860,96510,6133,2005,2,0,0,1886,1886,0,0,95,24,22,2,1,0,1966,1345,437,417,142,27,98,0,0,0,0,0,18,0,11,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,20,8,0,0,0,0,6,42,8410,0,0,0,0,5,16,0,2,1,3,6,2,6,No Team Selected
Seaking2,Seaking,Oddish Lass,00:13:00.45,00:13:10.65,00:51:45.42,24,0,0,13,10,65,BUBBLEBEAM,PECK,HORN ATTACK,WATER GUN,59,46,53,53,48,0,0,0,0,0,0,0,66,46,53,53,48,2005,60537,119647,6133,2005,2,0,0,1990,1990,0,0,104,34,32,2,1,0,3837,2239,448,428,165,27,100,0,0,0,0,0,21,0,11,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,20,8,0,0,0,0,6,65,13111,0,0,0,0,6,16,0,2,1,4,6,2,6,No Team Selected
Seaking2,Seaking,Rocket,00:13:38.87,00:13:49.75,00:54:20.39,25,0,0,13,49,75,BUBBLEBEAM,PECK,HORN ATTACK,WATER GUN,62,48,55,55,50,0,0,0,0,0,0,0,69,48,55,55,50,2005,66371,122716,6527,2005,2,0,0,2076,2076,0,0,113,35,33,2,1,0,4030,2342,468,448,169,27,102,0,0,0,0,0,22,0,12,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,20,8,0,0,0,0,6,67,13800,0,0,0,0,7,16,0,2,1,4,6,2,6,No Team Selected
Seaking2,Seaking,Rival (SS Anne),00:15:02.24,00:15:17.62,01:00:09.02,27,0,0,15,17,62,BUBBLEBEAM,PECK,HORN ATTACK,WATER GUN,67,52,60,60,54,0,0,0,0,0,0,0,75,52,60,60,54,2005,76110,133881,6527,2005,2,0,0,2394,2394,0,0,141,39,37,2,1,0,4759,2849,497,477,182,27,105,0,0,0,0,0,24,0,12,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,20,8,0,0,0,0,6,78,17857,0,0,0,0,9,24,0,2,1,4,6,2,6,No Team Selected
Seaking2,Seaking,Lt. Surge,00:16:29.71,00:16:42.97,01:04:37.29,28,1,0,16,42,97,BUBBLEBEAM,PECK,HORN ATTACK,WATER GUN,69,54,62,62,55,0,0,0,0,0,0,0,77,54,62,62,55,2155,82602,137608,12269,2155,3,1,0,2571,2571,0,0,153,40,38,2,1,0,4993,3009,572,552,187,27,107,0,0,0,0,0,24,0,12,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,20,8,0,0,0,0,6,81,19262,0,0,0,0,9,24,0,2,1,6,6,2,7,No Team Selected
Seaking2,Seaking,RTG1 - Wrapping Lass,00:17:20.66,00:17:32.76,01:07:54.26,29,1,0,17,32,76,BUBBLEBEAM,PECK,HORN ATTACK,WATER GUN,71,56,64,64,58,0,0,0,0,0,0,0,79,63,64,64,58,2155,88831,141068,14397,2155,4,1,0,2713,2661,52,0,160,41,39,2,1,0,5271,3199,572,552,191,27,107,0,0,0,0,0,25,0,12,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,20,8,0,0,0,0,6,85,20510,0,0,0,0,9,24,0,2,1,6,6,2,7,No Team Selected
Seaking2,Seaking,RTG4 - Status Jr Trainer,00:18:25.48,00:18:36.38,01:12:06.59,30,1,0,18,36,38,BUBBLEBEAM,PECK,HORN ATTACK,WATER GUN,74,58,66,66,59,0,0,0,0,0,0,0,83,65,66,66,59,2155,92033,151511,15905,2155,5,1,0,2910,2661,249,0,183,45,43,2,1,0,5911,3687,598,578,204,28,111,0,0,0,0,0,25,0,12,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,20,8,0,0,0,0,6,93,23390,0,0,0,0,9,24,0,2,1,6,6,2,7,No Team Selected
