ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Walking Wake 1,Walking Wake,Rival (Lab),00:00:39.08,00:00:49.08,00:02:36.34,5,0,0,0,49,8,WATER GUN,LEER,ROAR,BITE,14,15,19,19,17,0,0,0,0,0,0,0,14,15,19,19,17,11636,5725,3641,0,2270,0,0,0,72,72,0,0,8,2,1,1,0,0,29,21,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Jolteon
Walking Wake 1,Walking Wake,Brock,00:02:21.78,00:02:30.77,00:09:18.27,8,0,0,2,30,77,WATER GUN,LEER,ROAR,BITE,20,22,27,27,25,0,0,0,0,0,0,0,20,22,27,27,25,35749,23227,10252,0,2270,0,0,0,708,708,0,0,39,5,3,2,0,0,147,112,10,10,9,2,4,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,669,0,0,0,0,0,0,0,0,0,0,0,1,0,Flareon
Walking Wake 1,Walking Wake,Rival (Nugget Bridge),00:05:58.61,00:06:17.21,00:24:12.48,16,0,0,6,17,21,WATER GUN,BIDE,ROAR,BITE,37,40,50,50,46,-1,-3,0,0,0,0,0,27,16,50,50,46,89410,42735,41408,2997,2270,1,0,0,1416,1416,0,0,69,13,11,2,0,0,1358,913,64,64,52,6,17,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,5207,0,0,0,0,2,6,0,0,0,1,0,1,0,Flareon
Walking Wake 1,Walking Wake,Misty,00:06:46.92,00:07:19.21,00:28:18.24,17,0,0,7,19,21,WATER GUN,BIDE,ROAR,BITE,39,42,53,53,48,0,0,0,0,0,0,0,43,42,53,53,48,104146,46411,51930,3535,2270,2,0,0,1479,1479,0,0,75,15,13,2,0,0,1517,1062,129,129,66,9,27,0,0,0,0,0,13,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31,6997,0,0,0,0,2,6,0,0,0,1,0,1,0,Flareon
Walking Wake 1,Walking Wake,Oddish Lass,00:09:19.33,00:09:30.61,00:36:56.29,20,0,0,9,30,61,BUBBLEBEAM,BIDE,WATER GUN,BITE,46,50,63,63,57,0,0,0,0,0,0,0,51,50,63,63,57,135231,54868,73300,4793,2270,2,0,0,1669,1669,0,0,108,25,23,2,0,0,2990,1833,143,143,88,9,30,0,0,0,0,0,16,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,51,10932,0,0,0,0,2,6,0,0,0,2,0,1,0,Flareon
Walking Wake 1,Walking Wake,Rocket,00:10:03.50,00:10:11.85,00:39:39.25,21,0,0,10,11,85,BUBBLEBEAM,BIDE,WATER GUN,BITE,48,52,66,66,59,0,0,0,0,0,0,0,54,52,66,66,59,145007,62175,75769,4793,2270,2,0,0,1861,1861,0,0,112,26,24,2,0,0,3159,1936,147,147,91,9,31,0,0,0,0,0,17,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,53,11621,0,0,0,0,3,6,0,0,0,2,0,1,0,Flareon
Walking Wake 1,Walking Wake,Rival (SS Anne),00:11:43.12,00:11:56.33,00:46:31.14,23,0,0,11,56,33,BODY SLAM,BUBBLEBEAM,DIG,BITE,53,57,72,72,65,0,0,0,0,0,-1,0,59,57,72,72,65,169716,71962,87841,7643,2270,2,0,0,2190,2190,0,0,139,31,29,2,0,0,4260,2481,152,152,105,9,33,0,0,0,0,0,19,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,65,15112,0,0,0,0,6,9,0,0,0,4,0,1,0,Flareon
Walking Wake 1,Walking Wake,Lt. Surge,00:12:33.99,00:12:42.05,00:49:32.02,23,0,0,12,42,5,BODY SLAM,BUBBLEBEAM,DIG,BITE,53,57,72,72,65,0,0,0,0,0,0,0,59,57,72,72,65,180564,78611,90320,9363,2270,3,0,0,2366,2366,0,0,145,32,30,2,0,0,4389,2557,173,173,107,12,34,0,0,0,0,0,19,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,66,15844,0,0,0,0,6,9,0,0,0,5,0,1,0,Flareon
Walking Wake 1,Walking Wake,RTG1 - Wrapping Lass,00:13:32.67,00:13:45.02,00:53:39.58,23,0,0,13,45,2,BODY SLAM,BUBBLEBEAM,DIG,BITE,53,57,72,72,65,0,0,0,0,0,0,0,59,64,72,72,65,195440,87109,93826,12235,2270,4,0,0,2563,2505,58,0,163,33,31,2,0,0,4609,2747,173,173,111,12,34,0,0,0,0,0,20,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,70,17092,0,0,0,0,6,9,0,0,0,5,0,1,0,Flareon
Walking Wake 1,Walking Wake,RTG4 - Status Jr Trainer,00:14:35.12,00:14:48.89,00:57:52.03,25,0,0,14,48,89,BODY SLAM,BUBBLEBEAM,DIG,BITE,58,62,78,78,71,0,0,0,0,0,0,0,65,69,78,78,71,210565,90283,105019,12993,2270,4,0,0,2759,2505,254,0,180,37,35,2,0,0,5555,3237,199,199,125,14,40,0,0,0,0,0,25,0,4,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,78,19972,0,0,0,0,6,9,0,0,0,5,0,1,0,Flareon
