ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Zubat1,Zubat,Rival (Lab),00:00:29.04,00:00:43.27,00:02:19.45,5,0,0,0,43,27,LEECH LIFE,,,,11,10,10,10,12,0,-1,0,0,0,0,0,11,6,10,10,12,1950,4754,3606,0,1950,0,0,0,57,57,0,0,3,1,1,0,0,0,20,20,16,16,8,2,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70,0,0,0,0,0,0,0,0,0,0,0,1,0,No Team Selected
Zubat1,Zubat,Brock,00:19:36.04,00:20:19.74,01:05:23.46,15,5,0,20,19,74,LEECH LIFE,SUPERSONIC,BITE,,24,21,22,22,28,0,0,0,0,0,0,0,24,21,22,22,28,2256,71429,156707,6969,2256,5,2,0,2677,2677,0,0,137,52,15,37,2,0,1348,1147,772,750,232,85,181,0,0,0,0,0,29,0,9,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,25,0,0,0,0,9,53,3811,0,0,0,0,3,11,0,0,0,2,9,1,14,No Team Selected
Zubat1,Zubat,Rival (Nugget Bridge),00:27:17.99,00:27:45.11,01:31:42.21,21,7,0,27,45,11,BITE,SUPERSONIC,LEECH LIFE,CONFUSE RAY,33,29,30,30,37,0,0,0,0,0,0,0,37,29,30,30,37,2406,108640,210830,10205,2406,12,3,0,3902,3902,0,0,208,71,28,43,2,0,2957,2347,939,917,316,93,215,0,0,0,0,0,35,0,11,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,53,28,0,0,0,0,9,90,10247,0,0,0,0,6,23,1,1,1,3,9,1,16,No Team Selected
Zubat1,Zubat,Oddish Lass,00:30:47.31,00:31:01.83,01:44:43.28,24,7,0,31,1,83,BITE,SUPERSONIC,LEECH LIFE,CONFUSE RAY,38,33,35,35,43,0,0,0,0,0,-1,0,47,33,35,35,43,2406,119585,246052,10905,2406,12,3,0,4188,4188,0,0,239,81,38,43,2,0,4151,3165,1090,1068,368,96,245,0,0,0,0,0,44,0,14,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,53,28,0,0,0,0,9,111,14347,0,0,0,0,7,23,1,1,1,3,9,1,16,No Team Selected
Zubat1,Zubat,Rocket,00:34:35.76,00:34:48.91,01:48:02.57,24,14,0,34,48,91,BITE,SUPERSONIC,LEECH LIFE,CONFUSE RAY,38,33,35,35,43,0,0,0,0,0,0,0,42,33,35,35,43,2555,126708,249670,11989,2555,13,4,0,4331,4331,0,0,261,82,39,43,2,0,4275,3268,1114,1092,374,97,248,0,0,0,0,0,44,0,15,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,53,28,0,0,0,0,9,113,15036,0,0,0,0,8,23,1,1,1,3,9,1,23,No Team Selected
Zubat1,Zubat,Rival (SS Anne),00:37:14.19,00:37:41.85,01:59:28.33,27,14,0,37,41,85,BITE,SUPERSONIC,LEECH LIFE,CONFUSE RAY,42,36,39,39,48,0,-1,0,0,0,0,0,52,23,39,39,48,2555,141244,271246,17013,2555,16,4,0,4769,4769,0,0,311,88,45,43,2,0,5079,3913,1234,1212,405,100,265,0,0,0,0,0,48,0,15,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,55,30,0,0,0,0,9,127,20185,0,0,0,0,14,33,1,1,1,3,9,1,23,No Team Selected
Zubat1,Zubat,Misty,00:39:26.85,00:39:43.78,02:04:21.18,27,16,0,39,43,78,BITE,SUPERSONIC,LEECH LIFE,CONFUSE RAY,42,36,39,39,48,0,0,0,0,-1,0,0,52,36,39,39,31,2705,150468,276222,20233,2705,17,5,0,4972,4972,0,0,324,89,46,43,2,0,5201,4013,1301,1279,413,100,269,0,0,0,0,0,48,0,16,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,58,32,0,0,0,0,9,129,21524,0,0,0,0,14,33,1,1,1,5,9,1,25,No Team Selected
Zubat1,Zubat,RTG1 - Wrapping Lass,00:40:03.58,00:40:30.29,02:07:25.54,28,16,0,40,30,29,BITE,WING ATTACK,LEECH LIFE,CONFUSE RAY,44,38,40,40,50,0,0,0,0,0,0,0,49,38,40,40,50,2705,154055,283209,20735,2705,17,5,0,5078,5078,0,0,330,90,47,43,2,0,5503,4204,1302,1280,419,100,270,0,0,0,0,0,49,0,16,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,58,32,0,0,0,0,9,133,22772,0,0,0,0,14,33,1,1,1,6,9,1,25,No Team Selected
Zubat1,Zubat,RTG4 - Status Jr Trainer,00:43:35.26,00:43:45.56,02:15:28.44,29,19,0,43,45,56,BITE,WING ATTACK,LEECH LIFE,CONFUSE RAY,45,39,42,42,51,0,0,0,0,0,0,0,50,39,42,42,51,2853,161668,299948,25210,2853,19,6,0,5318,5318,0,0,345,96,51,45,4,0,6168,4692,1401,1379,442,102,277,0,0,0,0,0,51,0,16,0,2,28,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,63,35,0,0,0,0,9,141,25652,0,0,0,0,14,33,1,1,1,6,9,1,28,No Team Selected
Zubat1,Zubat,RTG6 - Finisher,00:47:02.48,00:47:23.62,02:22:56.31,30,23,0,47,23,62,BITE,WING ATTACK,LEECH LIFE,REST,47,41,43,43,53,0,0,0,0,0,0,0,52,41,43,43,53,3001,168069,314929,30552,3001,21,7,0,5492,5492,0,0,371,100,53,47,6,0,6447,4880,1686,1664,453,103,294,0,0,0,0,0,52,0,17,0,2,28,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,63,35,0,0,0,0,9,147,27892,0,0,0,0,14,33,1,1,1,7,9,1,32,No Team Selected
