date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
5-15,08:23:56,NINTEN,Pikachu,Nobody,3,Viridian Forest,2,21:22:17.07,21:22:17,21h22m17s,0,0,0,12,0:20,0,THUNDERSHOCK,TAIL WHIP,GROWL,QUICK ATTACK,0,0,0,0,0,0,0,0,4,455,Flareon, ,Electric,Electric,1984,Pikachu95,Pikachu,,21:22:17.07,21:22:17.07,00:20:00.33,12,0,21,22,17,7,THUNDERSHOCK,TAIL WHIP,GROWL,QUICK ATTACK,0,30,40,29,0,0,0,0,29,40,22,21,26,26,31,1096,962,1092,745,745,1173,15,15,15,15,0,0,0,0,0,0,0,22,21,26,26,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,Flareon
5-15,08:24:49,NINTEN,Pikachu,Bug Catcher,2,Viridian Forest,3,21:23:09.65,21:23:09,21h23m9s,0,0,0,10,0:14,0.485,THUNDERSHOCK,GROWL,QUICK ATTACK,THUNDER WAVE,0,0,0,0,0,0,0,0,4,325,Flareon, ,Electric,Electric,1074,Pikachu95,Pikachu,,21:23:09.16,21:23:09.65,00:14:30.24,10,0,21,23,9,65,THUNDERSHOCK,GROWL,QUICK ATTACK,THUNDER WAVE,13,40,30,20,0,0,0,0,24,35,19,18,22,22,26,666,627,632,505,505,783,15,15,15,15,0,0,0,0,-1,0,0,19,18,22,22,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,Flareon
5-15,08:24:51,NINTEN,Pikachu,Bug Catcher,2,Viridian Forest,3,21:23:12.20,21:23:12,21h23m12s,0,0,0,10,0:14,0.015,THUNDERSHOCK,GROWL,QUICK ATTACK,THUNDER WAVE,0,0,0,0,0,0,0,0,4,325,Flareon, ,Electric,Electric,1074,Pikachu95,Pikachu,,21:23:12.19,21:23:12.20,00:14:30.21,10,0,21,23,12,20,THUNDERSHOCK,GROWL,QUICK ATTACK,THUNDER WAVE,13,40,30,20,0,0,0,0,24,35,19,18,22,22,26,666,627,632,505,505,783,15,15,15,15,0,0,0,0,-1,0,0,19,18,22,22,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,Flareon
5-15,08:25:07,NINTEN,Pikachu,Bug Catcher,2,Viridian Forest,3,21:23:27.78,21:23:27,21h23m27s,0,0,0,10,0:14,15.595,THUNDERSHOCK,GROWL,QUICK ATTACK,THUNDER WAVE,0,0,0,0,0,0,0,0,4,325,Flareon, ,Electric,Electric,1074,Pikachu95,Pikachu,,21:23:12.19,21:23:27.78,00:14:30.21,10,0,21,23,27,78,THUNDERSHOCK,GROWL,QUICK ATTACK,THUNDER WAVE,13,40,30,20,0,0,0,0,24,35,19,18,22,22,26,666,627,632,505,505,783,15,15,15,15,0,0,0,0,-1,0,0,19,18,22,22,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,Flareon
5-15,08:26:56,NINTEN,Pikachu,Bug Catcher,15,Viridian Forest,2,21:25:17.39,21:25:17,21h25m17s,0,0,0,11,0:16,3106509.454,THUNDERSHOCK,GROWL,QUICK ATTACK,TAIL WHIP,0,0,0,0,0,0,0,0,4,395,Flareon, ,Electric,Electric,1362,Pikachu95,Pikachu,,00:00:00.00,21:25:17.39,00:16:57.36,11,0,21,25,17,39,THUNDERSHOCK,GROWL,QUICK ATTACK,TAIL WHIP,6,40,30,30,0,0,0,0,27,38,21,20,24,24,28,891,767,837,615,615,988,15,15,15,15,0,0,0,0,-1,0,0,21,20,24,24,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,Flareon
5-15,08:27:44,NINTEN,Pikachu,Bug Catcher,3,Viridian Forest,2,21:26:05.27,21:26:05,21h26m5s,0,0,0,12,0:19,0.016,THUNDERSHOCK,TAIL WHIP,GROWL,QUICK ATTACK,0,0,0,0,0,0,0,0,4,455,Flareon, ,Electric,Electric,1984,Pikachu95,Pikachu,,21:26:05.25,21:26:05.27,00:19:44.45,12,0,21,26,5,27,THUNDERSHOCK,TAIL WHIP,GROWL,QUICK ATTACK,0,30,40,29,0,0,0,0,29,40,22,21,26,26,31,1096,962,1092,745,745,1173,15,15,15,15,0,0,0,0,0,0,0,22,21,26,26,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,Flareon
5-15,08:28:04,NINTEN,Pikachu,Bug Catcher,1,Viridian Forest,3,21:26:24.54,21:26:24,21h26m24s,0,0,0,9,0:13,4.209,THUNDERSHOCK,GROWL,QUICK ATTACK,THUNDER WAVE,0,0,0,0,0,0,0,0,4,265,Flareon, ,Electric,Electric,793,Pikachu95,Pikachu,,21:26:20.32,21:26:24.54,00:13:13.31,9,0,21,26,24,54,THUNDERSHOCK,GROWL,QUICK ATTACK,THUNDER WAVE,19,40,30,20,0,0,0,0,25,32,18,17,20,20,24,526,552,492,435,435,673,15,15,15,15,0,0,0,0,-3,0,0,18,17,20,20,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,Flareon
5-15,08:30:04,NINTEN,Pikachu,Bug Catcher,2,Viridian Forest,3,21:28:24.54,21:28:24,21h28m24s,0,0,0,10,0:14,3106696.604,THUNDERSHOCK,GROWL,QUICK ATTACK,THUNDER WAVE,0,0,0,0,0,0,0,0,4,325,Flareon, ,Electric,Electric,1074,Pikachu95,Pikachu,,00:00:00.00,21:28:24.54,00:14:30.21,10,0,21,28,24,54,THUNDERSHOCK,GROWL,QUICK ATTACK,THUNDER WAVE,13,40,30,20,0,0,0,0,24,35,19,18,22,22,26,666,627,632,505,505,783,15,15,15,15,0,0,0,0,-1,0,0,19,18,22,22,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,Flareon
5-15,08:31:31,NINTEN,Pikachu,Bug Catcher,15,Viridian Forest,2,21:29:52.17,21:29:52,21h29m52s,0,0,0,11,0:16,16.323,THUNDERSHOCK,GROWL,QUICK ATTACK,TAIL WHIP,0,0,0,0,0,0,0,0,4,395,Flareon, ,Electric,Electric,1362,Pikachu95,Pikachu,,21:29:35.85,21:29:52.17,00:16:57.33,11,0,21,29,52,17,THUNDERSHOCK,GROWL,QUICK ATTACK,TAIL WHIP,6,40,30,30,0,0,0,0,27,38,21,20,24,24,28,891,767,837,615,615,988,15,15,15,15,0,0,0,0,-1,0,0,21,20,24,24,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,Flareon
5-15,08:32:14,NINTEN,Pikachu,Bug Catcher,3,Viridian Forest,2,21:30:34.88,21:30:34,21h30m34s,0,0,0,12,0:19,20.568,THUNDERSHOCK,TAIL WHIP,GROWL,QUICK ATTACK,0,0,0,0,0,0,0,0,4,455,Flareon, ,Electric,Electric,1984,Pikachu95,Pikachu,,21:30:14.31,21:30:34.88,00:19:44.45,12,0,21,30,34,88,THUNDERSHOCK,TAIL WHIP,GROWL,QUICK ATTACK,0,30,40,29,0,0,0,0,29,40,22,21,26,26,31,1096,962,1092,745,745,1173,15,15,15,15,0,0,0,0,0,0,0,22,21,26,26,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,Flareon
