date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
9-23,14:35:49,NINTEN,Aerodactyl,Rival1-Lab,1,Pallet Town - Oak's Lab,1,41.20,41,0h0m41s,0,0,0,5,0:02,6.847,WING ATTACK,AGILITY,,,0,71,2,1,1,3,3,2,0,3000,Jolteon, ,Rock,Flying,253,Aerodactyl 3,Aerodactyl,Rival (Lab),00:00:34.36,00:00:41.20,00:02:09.40,5,0,0,0,41,20,WING ATTACK,AGILITY,,,32,30,0,0,0,0,0,0,24,24,17,13,12,12,19,55,55,50,65,65,55,15,15,15,15,0,-1,0,0,0,0,0,17,8,12,12,19,9747,4847,2905,0,1995,0,0,0,71,71,0,0,2,2,1,1,0,0,23,21,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,5,0,Jolteon
9-23,14:36:59,NINTEN,Aerodactyl,Bug Catcher,1,Viridian Forest,2,1:50.79,1:50,0h1m50s,0,0,0,6,0:06,10.619,WING ATTACK,AGILITY,,,0,486,14,2,2,7,7,4,0,3175,Flareon, ,Rock,Flying,411,Aerodactyl 3,Aerodactyl,,00:01:40.18,00:01:50.80,00:06:44.24,6,0,0,1,50,80,WING ATTACK,AGILITY,,,31,30,0,0,0,0,0,0,27,27,19,14,14,14,22,145,115,120,105,105,145,15,15,15,15,0,0,0,0,-1,0,0,19,14,14,14,14,26231,17418,6818,0,1995,0,0,0,486,486,0,0,14,4,2,2,0,0,96,69,0,0,7,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,255,0,0,0,0,0,0,0,0,0,0,0,5,0,Flareon
9-23,14:37:14,NINTEN,Aerodactyl,Bug Catcher,2,Viridian Forest,3,2:05.91,2:05,0h2m5s,0,0,0,8,0:07,11.133,WING ATTACK,AGILITY,,,0,500,14,3,2,10,10,4,0,3245,Flareon, ,Rock,Flying,660,Aerodactyl 3,Aerodactyl,,00:01:54.78,00:02:05.91,00:07:44.04,8,0,0,2,5,91,WING ATTACK,AGILITY,,,28,30,0,0,0,0,0,0,33,33,24,18,17,17,28,290,185,265,175,175,250,15,15,15,15,0,0,0,0,0,0,0,24,18,17,17,28,29811,17913,9903,0,1995,0,0,0,500,500,0,0,14,5,3,2,0,0,177,135,0,0,10,2,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,504,0,0,0,0,0,0,0,0,0,0,0,5,0,Flareon
9-23,14:37:30,NINTEN,Aerodactyl,Bug Catcher,15,Viridian Forest,2,2:22.07,2:22,0h2m22s,0,0,0,8,0:08,10.384,WING ATTACK,AGILITY,,,0,533,34,4,2,14,14,6,1,3305,Flareon, ,Rock,Flying,873,Aerodactyl 3,Aerodactyl,,00:02:11.69,00:02:22.07,00:08:47.57,8,0,0,2,22,7,WING ATTACK,AGILITY,,,24,30,0,0,0,0,0,0,31,33,24,18,17,17,28,385,235,355,220,220,325,15,15,15,15,0,0,0,0,0,0,0,24,18,17,17,28,33644,18829,12820,0,1995,0,0,0,533,533,0,0,34,6,4,2,0,0,265,188,2,2,14,2,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,717,0,0,0,0,1,0,0,0,0,0,0,5,0,Flareon
9-23,14:37:42,NINTEN,Aerodactyl,Bug Catcher,3,Viridian Forest,1,2:34.54,2:34,0h2m34s,0,0,0,9,0:09,6.618,WING ATTACK,AGILITY,,,0,581,34,5,2,16,16,7,1,3385,Flareon, ,Rock,Flying,985,Aerodactyl 3,Aerodactyl,,00:02:27.92,00:02:34.54,00:09:37.14,9,0,0,2,34,54,WING ATTACK,AGILITY,,,22,30,0,0,0,0,0,0,34,36,26,19,18,18,31,430,265,390,240,240,370,15,15,15,15,0,0,0,0,-1,0,0,26,19,18,18,20,36601,19787,14819,0,1995,0,0,0,581,581,0,0,34,7,5,2,0,0,309,218,2,2,16,2,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,829,0,0,0,0,1,0,0,0,0,0,0,5,0,Flareon
9-23,14:38:12,NINTEN,Aerodactyl,Jr Trainer M,1,Pewter City - Gym,2,3:04.27,3:04,0h3m4s,0,0,0,10,0:11,13.969,WING ATTACK,AGILITY,,,0,695,34,6,2,22,22,11,1,3485,Flareon, ,Rock,Flying,1319,Aerodactyl 3,Aerodactyl,,00:02:50.30,00:03:04.27,00:11:34.30,10,0,0,3,4,27,WING ATTACK,AGILITY,,,29,30,0,0,0,0,0,0,32,39,29,21,20,20,34,490,395,500,315,315,505,15,15,15,15,0,0,0,0,0,0,0,29,21,20,20,34,43637,22972,18670,0,1995,0,0,0,695,695,0,0,34,8,6,2,0,0,383,269,9,9,22,2,9,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1163,0,0,0,0,1,0,0,0,0,0,0,5,0,Flareon
9-23,14:39:19,NINTEN,Aerodactyl,Brock,1,Pewter City - Gym,2,4:11.21,4:11,0h4m11s,0,0,0,11,0:16,60.656,WING ATTACK,AGILITY,,,0,701,35,7,2,65,54,31,0,3665,Flareon, ,Rock,Flying,1779,Aerodactyl 3,Aerodactyl,Brock,00:03:10.56,00:04:11.22,00:16:00.17,11,0,0,4,11,22,WING ATTACK,AGILITY,,,6,21,0,0,0,0,0,0,8,42,31,23,22,22,37,565,520,760,375,375,595,15,15,15,15,0,0,0,0,6,0,0,31,23,22,22,148,59584,23570,33724,295,1995,0,0,0,701,701,0,0,35,9,7,2,0,0,447,330,43,43,45,7,23,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1623,0,0,0,0,1,0,0,0,0,0,0,5,0,Flareon
9-23,14:39:58,NINTEN,Aerodactyl,Bug Catcher,4,Route 3,3,4:49.66,4:49,0h4m49s,0,0,0,11,0:18,9.223,WING ATTACK,AGILITY,,,0,820,46,8,2,68,57,31,4,153,Flareon, ,Rock,Flying,2114,Aerodactyl 3,Aerodactyl,,00:04:40.44,00:04:49.66,00:18:32.12,11,0,0,4,49,66,WING ATTACK,AGILITY,,,32,30,0,0,0,0,0,0,42,42,31,23,22,22,37,695,615,860,435,435,735,15,15,15,15,0,0,0,0,0,0,0,34,23,22,22,37,68700,29503,36907,295,1995,0,0,0,820,820,0,0,46,10,8,2,0,0,543,419,43,43,48,7,23,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1958,0,0,0,0,1,20,0,0,0,0,0,5,0,Flareon
9-23,14:40:12,NINTEN,Aerodactyl,Youngster Ben,1,Route 3,2,5:04.37,5:04,0h5m4s,0,0,0,12,0:19,11.648,WING ATTACK,AGILITY,,,0,824,46,9,2,72,61,34,4,253,Flareon, ,Rock,Flying,2392,Aerodactyl 3,Aerodactyl,,00:04:52.72,00:05:04.37,00:19:30.14,12,0,0,5,4,37,WING ATTACK,AGILITY,,,28,30,0,0,0,0,0,0,38,45,34,25,23,23,40,760,731,939,500,500,862,15,15,15,15,0,-1,0,0,0,0,0,38,16,23,23,40,72181,29716,40175,295,1995,0,0,0,824,824,0,0,46,11,9,2,0,0,618,478,50,50,52,7,26,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2236,0,0,0,0,1,20,0,0,0,0,0,5,0,Flareon
9-23,14:40:28,NINTEN,Aerodactyl,Bug Catcher,5,Route 3,4,5:20.31,5:20,0h5m20s,0,0,0,13,0:20,12.73,WING ATTACK,AGILITY,,,0,830,46,10,2,76,65,34,4,418,Flareon, ,Rock,Flying,2867,Aerodactyl 3,Aerodactyl,,00:05:07.58,00:05:20.31,00:20:33.05,13,0,0,5,20,31,WING ATTACK,AGILITY,,,24,30,0,0,0,0,0,0,41,48,37,26,25,25,43,940,841,1109,590,590,1022,15,15,15,15,0,0,0,0,0,0,0,41,26,25,25,43,75952,29967,43695,295,1995,0,0,0,830,830,0,0,46,12,10,2,0,0,796,590,50,50,56,7,26,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2711,0,0,0,0,1,20,0,0,0,0,0,5,0,Flareon
