date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
8-20,17:49:20,NINTEN,Arcanine,Rival1-Lab,1,Pallet Town - Oak's Lab,1,40.35,40,0h0m40s,0,0,0,5,0:02,5.628,ROAR,EMBER,LEER,TAKE DOWN,0,71,1,1,1,2,2,1,0,3000,Jolteon, ,Fire,Fire,253,Arcanine1,Arcanine,Rival (Lab),00:00:34.73,00:00:40.35,00:02:04.57,5,0,0,0,40,35,ROAR,EMBER,LEER,TAKE DOWN,20,25,30,18,0,0,0,0,20,25,17,14,14,14,16,55,55,50,65,65,55,15,15,15,15,0,0,0,0,0,0,0,17,14,14,14,16,9544,4896,2573,0,2075,0,0,0,71,71,0,0,1,2,1,1,0,0,26,21,5,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,1,0,Jolteon
8-20,17:50:37,NINTEN,Arcanine,Rival1-Lab,1,Pallet Town - Oak's Lab,1,43.25,43,0h0m43s,0,0,0,5,0:02,8.287,EMBER,ROAR,LEER,TAKE DOWN,0,72,2,1,1,3,3,2,0,3000,Jolteon, ,Fire,Fire,253,Arcanine1,Arcanine,Rival (Lab),00:00:34.96,00:00:43.25,00:02:16.42,5,0,0,0,43,25,EMBER,ROAR,LEER,TAKE DOWN,25,20,30,17,0,0,0,0,15,25,17,14,14,14,16,55,55,50,65,65,55,15,15,15,15,0,0,0,0,0,0,0,17,14,14,14,16,10237,4962,3212,0,2063,0,0,0,72,72,0,0,2,2,1,1,0,0,31,21,10,10,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,1,0,Jolteon
8-20,17:51:55,NINTEN,Arcanine,Bug Catcher,1,Viridian Forest,2,2:01.18,2:01,0h2m1s,0,0,0,6,0:07,9.075,EMBER,ROAR,LEER,TAKE DOWN,0,521,32,2,2,6,6,3,4,75,Flareon, ,Fire,Fire,411,Arcanine1,Arcanine,,00:01:52.11,00:02:01.18,00:07:24.27,6,0,0,2,1,18,EMBER,ROAR,LEER,TAKE DOWN,22,20,30,20,0,0,0,0,26,28,20,16,16,16,18,145,115,120,105,105,145,15,15,15,15,0,0,0,0,0,0,0,20,16,16,16,18,28702,19917,6722,0,2063,0,0,0,521,521,0,0,32,4,2,2,0,0,98,69,12,12,5,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,255,0,0,0,0,0,13,0,0,0,0,0,1,0,Flareon
8-20,17:52:09,NINTEN,Arcanine,Bug Catcher,2,Viridian Forest,3,2:15.26,2:15,0h2m15s,0,0,0,8,0:08,10.022,EMBER,ROAR,LEER,TAKE DOWN,0,539,36,3,2,9,9,3,4,145,Flareon, ,Fire,Fire,660,Arcanine1,Arcanine,,00:02:05.24,00:02:15.26,00:08:19.57,8,0,0,2,15,26,EMBER,ROAR,LEER,TAKE DOWN,19,20,30,20,0,0,0,0,33,35,25,20,20,20,22,290,185,265,175,175,250,15,15,15,15,0,0,0,0,0,0,0,25,20,20,20,22,32032,20448,9521,0,2063,0,0,0,539,539,0,0,36,5,3,2,0,0,182,135,12,12,8,2,2,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,504,0,0,0,0,0,13,0,0,0,0,0,1,0,Flareon
8-20,17:52:30,NINTEN,Arcanine,Bug Catcher,15,Viridian Forest,2,2:36.23,2:36,0h2m36s,0,0,0,8,0:09,6.561,EMBER,ROAR,LEER,TAKE DOWN,0,576,43,4,3,12,12,4,3,205,Flareon, ,Fire,Fire,873,Arcanine1,Arcanine,,00:02:29.67,00:02:36.23,00:09:42.40,8,0,0,2,36,23,EMBER,ROAR,LEER,TAKE DOWN,16,20,30,20,0,0,0,0,31,35,25,20,20,20,22,385,235,355,220,220,325,15,15,15,15,0,0,0,0,0,0,0,25,20,20,20,22,36995,21474,13458,0,2063,0,0,0,576,576,0,0,43,7,4,3,0,0,260,203,14,14,11,2,3,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,717,0,0,0,0,1,13,0,1,1,0,0,1,0,Flareon
8-20,17:52:42,NINTEN,Arcanine,Bug Catcher,3,Viridian Forest,1,2:48.99,2:48,0h2m48s,0,0,0,9,0:10,6.816,EMBER,ROAR,LEER,TAKE DOWN,0,626,45,5,3,14,14,6,3,285,Flareon, ,Fire,Fire,985,Arcanine1,Arcanine,,00:02:42.17,00:02:48.99,00:10:33.09,9,0,0,2,48,99,EMBER,ROAR,LEER,TAKE DOWN,14,20,30,20,0,0,0,0,34,38,27,22,22,22,25,430,265,390,240,240,370,15,15,15,15,0,0,0,0,-2,0,0,27,22,22,22,12,40024,22474,15487,0,2063,0,0,0,626,626,0,0,45,8,5,3,0,0,312,233,14,14,13,2,5,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,829,0,0,0,0,1,13,0,1,1,0,0,1,0,Flareon
8-20,17:53:13,NINTEN,Arcanine,Jr Trainer M,1,Pewter City - Gym,2,3:19.56,3:19,0h3m19s,0,0,0,10,0:12,14.087,EMBER,ROAR,LEER,TAKE DOWN,0,742,47,6,3,21,21,11,3,385,Flareon, ,Fire,Fire,1319,Arcanine1,Arcanine,,00:03:05.47,00:03:19.56,00:12:33.43,10,0,0,3,19,56,EMBER,ROAR,LEER,TAKE DOWN,21,20,30,17,0,0,0,0,22,41,30,24,24,24,27,490,395,500,315,315,505,15,15,15,15,0,0,0,0,0,0,0,30,24,24,24,27,47258,25845,19350,0,2063,0,0,0,742,742,0,0,47,9,6,3,0,0,396,284,33,33,19,3,10,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1163,0,0,0,0,1,13,0,1,1,0,0,1,0,Flareon
8-20,17:53:41,NINTEN,Arcanine,Brock,1,Pewter City - Gym,2,3:47.23,3:47,0h3m47s,0,0,0,11,0:14,21.095,EMBER,ROAR,LEER,TAKE DOWN,0,750,49,7,3,32,32,15,3,565,Flareon, ,Fire,Fire,1779,Arcanine1,Arcanine,Brock,00:03:26.14,00:03:47.23,00:14:23.14,11,0,0,3,47,23,EMBER,ROAR,LEER,TAKE DOWN,13,20,27,17,0,0,0,0,42,44,33,26,26,26,29,565,520,760,375,375,595,15,15,15,15,0,-2,0,0,0,0,0,33,13,26,26,29,53829,26471,24935,360,2063,0,0,0,750,750,0,0,49,10,7,3,0,0,459,345,35,35,30,5,12,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1623,0,0,0,0,1,13,0,1,1,0,0,1,0,Flareon
8-20,17:54:03,NINTEN,Arcanine,Bug Catcher,4,Route 3,3,4:09.49,4:09,0h4m9s,0,0,0,11,0:15,8.525,EMBER,ROAR,LEER,TAKE DOWN,0,827,50,8,3,35,35,15,4,1753,Flareon, ,Fire,Fire,2114,Arcanine1,Arcanine,,00:04:00.97,00:04:09.49,00:15:51.11,11,0,0,4,9,49,EMBER,ROAR,LEER,TAKE DOWN,10,20,27,17,0,0,0,0,42,44,33,26,26,26,29,695,615,860,435,435,735,15,15,15,15,0,0,0,0,0,0,0,37,26,26,26,29,59106,28724,27959,360,2063,0,0,0,827,827,0,0,50,11,8,3,0,0,621,434,35,35,33,5,12,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1958,0,0,0,0,1,13,0,1,1,0,0,1,0,Flareon
8-20,17:54:17,NINTEN,Arcanine,Youngster Ben,1,Route 3,2,4:23.68,4:23,0h4m23s,0,0,0,12,0:16,10.91,EMBER,ROAR,LEER,TAKE DOWN,0,831,50,9,3,40,40,18,4,1853,Flareon, ,Fire,Fire,2392,Arcanine1,Arcanine,,00:04:12.77,00:04:23.68,00:16:47.12,12,0,0,4,23,68,EMBER,ROAR,LEER,TAKE DOWN,10,20,27,12,0,0,0,0,31,47,35,28,28,28,32,760,731,939,500,500,862,15,15,15,15,0,0,0,0,0,0,0,39,28,28,28,32,62467,29003,31041,360,2063,0,0,0,831,831,0,0,50,12,9,3,0,0,737,493,49,49,37,9,12,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2236,0,0,0,0,1,13,0,1,1,0,0,1,0,Flareon
