ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Arcanine24,Arcanine,Rival (Lab),00:00:34.43,00:00:40.97,00:02:09.08,5,0,0,0,40,97,EMBER,ROAR,LEER,TAKE DOWN,17,14,14,14,16,0,-1,0,0,0,0,0,17,9,14,14,16,9690,4930,2790,0,1970,0,0,0,73,73,0,0,3,2,1,1,0,0,26,21,5,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,24,0,Jolteon
Arcanine24,Arcanine,Brock,00:03:19.13,00:03:41.79,00:14:03.05,11,0,0,3,41,79,EMBER,ROAR,LEER,TAKE DOWN,33,26,26,26,29,0,-4,0,0,0,0,0,33,8,26,26,29,52527,25926,24297,334,1970,0,0,0,739,739,0,0,44,10,7,3,0,0,456,345,54,54,28,0,17,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1623,0,0,0,0,1,12,0,1,1,0,1,24,1,Flareon
Arcanine24,Arcanine,Rival (Nugget Bridge),00:07:04.46,00:07:23.54,00:28:38.07,17,0,0,7,23,54,EMBER,ROAR,LEER,TAKE DOWN,49,39,38,38,44,-1,0,0,0,0,0,0,36,39,38,38,44,105029,46608,54729,1722,1970,0,0,0,1424,1424,0,0,76,19,16,3,0,0,1718,1216,150,150,70,5,33,0,0,0,0,0,12,0,3,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,6322,0,0,0,0,3,22,0,1,1,0,1,24,1,Flareon
Arcanine24,Arcanine,Oddish Lass,00:09:41.69,00:09:52.60,00:38:24.23,20,0,0,9,52,60,EMBER,ROAR,LEER,TAKE DOWN,57,45,45,45,51,0,0,0,0,0,0,0,64,45,45,45,51,140205,53401,79468,5366,1970,0,0,0,1544,1544,0,0,82,29,26,3,0,0,2940,2032,333,333,96,9,40,0,0,0,0,0,18,0,5,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,10422,0,0,0,0,4,22,0,1,1,0,1,24,1,Flareon
Arcanine24,Arcanine,Rocket,00:10:19.58,00:10:29.09,00:40:48.11,20,0,0,10,29,9,EMBER,ROAR,LEER,TAKE DOWN,57,45,45,45,51,0,0,0,0,0,0,0,64,45,45,45,51,148833,58670,82202,5991,1970,0,0,0,1683,1683,0,0,85,30,27,3,0,0,3057,2135,360,360,100,9,42,0,0,0,0,0,18,0,6,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,11111,0,0,0,0,4,22,0,1,1,0,1,24,1,Flareon
Arcanine24,Arcanine,Misty,00:11:20.74,00:11:31.57,00:44:54.21,23,0,0,11,31,57,EMBER,DIG,LEER,TAKE DOWN,65,51,51,51,58,0,0,0,0,0,0,0,73,51,51,51,58,163603,63082,88091,10460,1970,1,0,0,1797,1797,0,0,96,32,29,3,0,0,3251,2284,407,407,106,13,44,0,0,0,0,0,19,0,6,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,12901,0,0,0,0,4,22,0,1,1,1,1,24,1,Flareon
Arcanine24,Arcanine,Rival (SS Anne),00:13:47.84,00:13:59.49,00:54:37.34,25,0,0,13,59,49,EMBER,DIG,BODY SLAM,TAKE DOWN,71,56,55,55,63,0,0,0,0,0,0,0,79,56,55,55,63,198596,78063,104907,13656,1970,1,0,0,2297,2297,0,0,154,38,35,3,0,0,4589,2915,465,465,121,26,49,0,0,0,0,0,23,0,6,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,17205,0,0,0,0,8,25,0,1,1,2,1,24,1,Flareon
Arcanine24,Arcanine,Lt. Surge,00:14:37.04,00:14:42.67,00:57:28.14,25,0,0,14,42,67,EMBER,DIG,BODY SLAM,TAKE DOWN,71,56,55,55,63,0,0,0,0,0,0,0,79,56,55,55,63,208836,85105,106758,15003,1970,1,0,0,2488,2488,0,0,180,39,36,3,0,0,4681,2991,465,465,122,28,49,0,0,0,0,0,23,0,6,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,17937,0,0,0,0,8,25,0,1,1,3,1,24,1,Flareon
Arcanine24,Arcanine,RTG1 - Wrapping Lass,00:15:26.39,00:15:38.44,01:01:07.48,26,0,0,15,38,44,BODY SLAM,DIG,EMBER,TAKE DOWN,74,58,58,58,66,0,0,0,0,0,0,0,83,65,58,58,66,222010,93049,110206,16785,1970,1,0,0,2679,2625,54,0,193,40,37,3,0,0,4951,3181,465,465,126,28,49,0,0,0,0,0,23,0,6,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,19185,0,0,0,0,8,25,0,1,1,3,1,24,1,Flareon
Arcanine24,Arcanine,RTG4 - Status Jr Trainer,00:16:37.45,00:16:45.67,01:05:33.04,27,0,0,16,45,67,BODY SLAM,DIG,TAKE DOWN,EMBER,77,60,60,60,68,0,0,0,0,0,0,0,86,67,60,60,68,237926,96294,121139,18523,1970,1,0,0,2875,2625,250,0,215,44,41,3,0,0,5707,3669,509,509,137,34,52,0,0,0,0,0,25,0,6,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,22065,0,0,0,0,8,25,0,1,1,3,1,24,1,Flareon
Arcanine24,Arcanine,RTG6 - Finisher,00:17:33.63,00:17:42.27,01:09:16.54,28,0,0,17,42,27,BODY SLAM,DIG,TAKE DOWN,EMBER,79,62,62,62,71,0,0,0,0,0,0,0,88,69,62,62,71,251356,101158,128257,19971,1970,1,0,0,3049,2625,424,0,243,46,43,3,0,0,6132,3977,538,538,146,35,55,0,0,0,0,0,25,0,6,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,24305,0,0,0,0,8,25,0,1,1,3,1,24,1,Flareon
Arcanine24,Arcanine,Erika,00:19:44.81,00:20:04.35,01:18:37.44,30,0,0,20,4,35,BODY SLAM,DIG,TAKE DOWN,EMBER,85,67,67,67,76,0,0,0,0,0,0,0,95,75,67,67,76,285006,119668,141474,21894,1970,1,0,0,3596,3026,570,0,298,50,47,3,0,0,7180,4708,596,596,166,36,62,0,0,0,0,0,28,0,7,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,31006,0,0,0,0,14,25,0,1,1,3,1,24,1,Flareon
Arcanine24,Arcanine,Rival (Pokemon Tower),00:21:29.85,00:21:58.65,01:26:08.18,31,0,0,21,58,65,BODY SLAM,DIG,TAKE DOWN,EMBER,88,69,72,72,79,-1,0,0,0,0,0,0,65,77,72,72,79,312040,134683,148817,26570,1970,1,0,0,3908,3338,570,0,322,51,48,3,0,0,7682,4994,596,596,176,41,63,0,0,0,0,0,31,0,7,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,33656,0,0,0,0,14,41,6,1,1,4,1,24,1,Flareon
Arcanine24,Arcanine,Koga,00:30:27.23,00:30:47.27,02:00:54.16,40,0,0,30,47,27,BODY SLAM,DIG,TAKE DOWN,EMBER,117,90,94,94,104,0,0,0,0,0,0,0,131,101,94,94,104,437198,178973,214254,42001,1970,3,0,0,5344,4228,1116,0,457,72,66,6,2,0,14465,8907,804,804,243,79,77,0,0,0,0,0,42,0,7,0,0,2,4,0,5,0,0,0,0,3,0,1,0,0,5,4,0,0,0,0,5,1,0,0,0,165,74195,0,0,0,0,29,41,6,1,1,5,1,24,1,Flareon
Arcanine24,Arcanine,Blaine,00:33:01.15,00:33:30.80,02:11:40.15,42,0,0,33,30,80,BODY SLAM,DIG,TAKE DOWN,EMBER,123,95,100,100,111,0,0,0,0,0,0,0,138,106,100,100,124,475957,199209,226633,48145,1970,4,0,0,5950,4733,1116,101,547,75,68,7,3,0,15677,9772,949,949,257,90,81,0,0,0,0,0,45,0,8,0,0,2,5,0,5,0,0,0,0,3,0,1,0,0,5,4,0,0,0,0,7,1,0,0,0,172,84271,0,0,0,0,35,41,6,1,1,6,1,24,1,Flareon
Arcanine24,Arcanine,Rival (Silph Co.),00:34:25.65,00:34:44.58,02:16:30.37,43,0,0,34,44,58,FIRE BLAST,DIG,EMBER,BODY SLAM,125,97,102,102,113,0,0,0,0,0,-1,0,140,109,114,114,127,493379,204762,235139,51508,1970,5,0,0,6070,4853,1116,101,551,77,70,7,3,0,16659,10479,958,958,265,93,83,0,0,0,0,0,46,0,8,0,0,2,5,0,5,0,0,0,0,3,0,1,0,0,5,4,0,0,0,0,7,1,0,0,0,180,93560,0,0,0,0,35,41,6,1,1,7,1,24,1,Flareon
Arcanine24,Arcanine,Giovanni (Silph),00:35:10.71,00:35:28.33,02:19:23.23,44,0,0,35,28,33,FIRE BLAST,DIG,EMBER,BODY SLAM,129,100,105,105,116,0,0,0,0,0,0,0,145,112,118,118,130,503745,207284,242983,51508,1970,5,0,0,6093,4876,1116,101,553,79,72,7,3,0,17887,11155,958,958,273,98,83,0,0,0,0,0,47,0,8,0,0,2,5,0,5,0,0,0,0,3,0,1,0,0,5,4,0,0,0,0,7,1,0,0,0,187,100959,0,0,0,0,35,41,6,1,1,7,1,24,1,Flareon
Arcanine24,Arcanine,Sabrina,00:35:52.80,00:36:07.12,02:21:55.55,45,0,0,36,7,12,FIRE BLAST,DIG,EMBER,BODY SLAM,131,102,107,107,119,0,0,0,0,0,0,0,147,114,120,120,133,512897,211862,246835,52230,1970,6,0,0,6205,4988,1116,101,556,80,73,7,3,0,18339,11479,1025,1025,277,99,85,0,0,0,0,0,48,0,8,0,0,2,5,0,5,0,0,0,0,3,0,1,0,0,5,4,0,0,0,0,7,1,0,0,0,190,105284,0,0,0,0,35,41,6,1,1,7,1,24,1,Flareon
Arcanine24,Arcanine,Giovanni,00:38:15.23,00:38:55.92,02:33:02.57,47,0,0,38,55,92,FIRE BLAST,DIG,MIMIC,BODY SLAM,138,106,112,112,124,0,0,0,0,0,0,6,155,119,126,126,139,552919,227361,264723,58865,1970,8,0,0,6707,5462,1116,129,594,84,77,7,3,0,20742,12922,1043,1043,292,120,86,0,0,0,0,0,51,0,8,0,0,2,5,0,5,0,0,0,0,3,0,1,0,0,5,4,0,0,0,0,7,1,0,0,0,201,122453,0,0,0,0,36,41,6,1,1,8,1,24,1,Flareon
Arcanine24,Arcanine,Rival (Final),00:39:21.42,00:39:46.98,02:36:24.58,48,0,0,39,46,98,FIRE BLAST,DIG,MIMIC,BODY SLAM,140,109,114,114,127,0,0,0,0,0,0,0,157,122,128,128,142,565040,232199,271470,59401,1970,9,0,0,6845,5600,1116,129,601,85,78,7,3,0,22003,13639,1127,1127,299,121,87,0,0,0,0,0,54,0,8,0,0,2,5,0,5,0,0,0,0,3,0,1,0,0,5,4,0,0,0,0,7,1,0,0,0,207,132417,0,0,0,0,36,41,6,1,1,8,1,24,1,Flareon
Arcanine24,Arcanine,Lorelei,00:43:40.84,00:44:17.22,02:54:13.27,58,0,0,44,17,22,FIRE BLAST,DIG,MIMIC,BODY SLAM,169,132,138,138,153,0,0,6,6,0,0,0,268,209,621,621,244,629149,260972,298194,68013,1970,10,0,0,7571,5905,1501,165,772,91,84,7,3,0,27150,16634,1280,1280,329,125,91,0,0,0,0,0,62,0,9,0,0,2,6,0,5,0,0,0,0,3,0,1,0,0,5,4,0,0,0,0,8,1,0,0,0,228,166996,0,0,0,0,38,45,6,1,1,8,1,24,1,Flareon
Arcanine24,Arcanine,Bruno,00:44:34.16,00:44:53.15,02:56:35.14,59,0,0,44,53,15,FIRE BLAST,DIG,MIMIC,BODY SLAM,173,134,141,141,156,0,0,0,0,0,0,0,194,150,158,158,175,637656,261913,303178,70595,1970,11,0,0,7582,5916,1501,165,773,92,85,7,3,0,28300,17293,1373,1373,336,125,92,0,0,0,0,0,64,0,10,0,0,2,6,0,5,0,0,0,0,3,0,1,0,0,5,4,0,0,0,0,8,1,0,0,0,233,175203,0,0,0,0,38,45,6,1,1,8,1,24,1,Flareon
Arcanine24,Arcanine,Agatha,00:45:03.58,00:45:35.56,02:59:22.54,60,0,0,45,35,56,FIRE BLAST,DIG,MIMIC,BODY SLAM,176,137,143,143,159,0,0,0,0,0,0,0,198,154,160,160,178,647716,262829,311273,71644,1970,12,0,0,7593,5927,1501,165,774,93,86,7,3,0,29907,17982,1477,1477,344,132,95,0,0,0,0,0,65,0,11,0,0,2,6,0,5,0,0,0,0,3,0,2,0,0,5,4,0,0,0,0,8,1,0,0,0,238,185289,0,0,0,0,38,45,6,1,1,8,1,24,1,Flareon
Arcanine24,Arcanine,Lance,00:50:11.65,00:50:34.87,03:02:17.50,61,15,0,50,34,87,FIRE BLAST,REST,MIMIC,BODY SLAM,179,139,145,145,161,0,0,0,0,-1,0,0,201,156,163,163,119,658216,264613,317213,74261,2129,13,1,0,7643,5977,1501,165,779,94,87,7,3,0,30988,18824,1625,1625,352,133,98,0,0,0,0,0,67,0,11,0,0,2,6,0,5,0,0,0,0,3,0,2,0,0,5,4,0,0,0,0,8,1,0,0,0,243,196895,0,0,0,0,38,45,6,1,1,9,1,24,16,Flareon
Arcanine24,Arcanine,Champion,00:52:37.32,00:53:29.21,03:06:49.25,63,18,0,53,29,21,FIRE BLAST,REST,MIMIC,BODY SLAM,185,144,150,150,166,0,0,0,0,0,0,0,208,162,168,168,186,674516,266285,330140,75806,2285,14,2,0,7651,5985,1501,165,779,95,88,7,3,0,32211,19791,1907,1907,360,133,103,0,0,0,0,0,68,0,11,0,0,2,6,0,6,0,0,0,0,3,0,2,0,0,5,4,0,0,0,0,8,1,0,0,0,249,211746,0,0,0,0,38,45,6,1,1,9,1,24,19,Flareon
Arcanine24,Arcanine,Champion,00:52:37.32,00:53:29.21,03:08:17.46,63,18,0,53,29,21,FIRE BLAST,REST,MIMIC,BODY SLAM,185,144,150,150,166,0,0,0,0,0,0,0,208,162,168,168,186,679817,271105,330621,75806,2285,14,2,0,7660,5994,1501,165,780,95,88,7,3,0,32211,19791,1907,1907,360,133,103,0,0,0,0,0,68,0,11,0,0,2,6,0,6,0,0,0,0,3,0,2,0,0,5,4,0,0,0,0,8,1,0,0,0,249,211746,0,0,0,0,38,45,6,1,1,9,1,24,19,Flareon
