ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Arcanine3,Arcanine,Rival (Lab),00:00:34.71,00:00:40.89,00:02:07.24,5,0,0,0,40,89,EMBER,ROAR,LEER,TAKE DOWN,17,14,14,14,16,0,0,0,0,0,0,0,17,14,14,14,16,9673,4909,2707,0,2057,0,0,0,71,71,0,0,4,2,1,1,0,0,23,21,5,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,3,0,Jolteon
Arcanine3,Arcanine,Brock,00:03:22.31,00:03:47.37,00:14:23.57,11,0,0,3,47,37,EMBER,ROAR,LEER,TAKE DOWN,33,26,26,26,29,0,-2,0,0,0,0,0,33,13,26,26,29,53866,26197,25274,338,2057,0,0,0,737,737,0,0,51,10,7,3,0,0,484,344,38,38,31,5,11,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1623,0,0,0,0,1,13,0,1,1,0,0,3,0,Flareon
Arcanine3,Arcanine,Rival (Nugget Bridge),00:07:07.14,00:07:22.02,00:28:30.23,17,0,0,7,22,2,EMBER,ROAR,LEER,TAKE DOWN,49,39,38,38,44,0,0,0,0,0,0,0,55,39,38,38,44,104652,46877,54175,1543,2057,0,0,0,1412,1412,0,0,94,19,16,3,0,0,1710,1215,148,148,71,10,23,0,0,0,0,0,11,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,6322,0,0,0,0,3,20,0,1,1,0,0,3,0,Flareon
Arcanine3,Arcanine,Oddish Lass,00:09:34.75,00:09:46.29,00:37:58.10,20,0,0,9,46,29,EMBER,ROAR,LEER,TAKE DOWN,57,45,45,45,51,0,0,0,0,0,0,0,64,45,45,45,51,138719,53761,79121,3780,2057,0,0,0,1532,1532,0,0,112,29,26,3,0,0,2874,2032,297,297,101,10,31,0,0,0,0,0,17,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,10422,0,0,0,0,4,20,0,1,1,0,0,3,0,Flareon
Arcanine3,Arcanine,Rocket,00:10:13.46,00:10:22.02,00:40:19.12,20,0,0,10,22,2,EMBER,ROAR,LEER,TAKE DOWN,57,45,45,45,51,0,0,0,0,0,0,0,64,45,45,45,51,147181,59326,81626,4172,2057,0,0,0,1671,1671,0,0,121,30,27,3,0,0,2987,2135,318,318,104,10,32,0,0,0,0,0,18,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,11111,0,0,0,0,5,20,0,1,1,0,0,3,0,Flareon
Arcanine3,Arcanine,Misty,00:11:17.26,00:11:27.72,00:44:38.40,23,0,0,11,27,72,EMBER,DIG,LEER,TAKE DOWN,65,51,51,51,58,0,0,0,0,0,0,0,73,51,51,51,58,162749,65529,87864,7299,2057,1,0,0,1835,1835,0,0,144,32,29,3,0,0,3221,2284,388,388,109,15,36,0,0,0,0,0,19,0,3,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,65,12901,0,0,0,0,5,20,0,1,1,1,0,3,0,Flareon
Arcanine3,Arcanine,Rival (SS Anne),00:13:13.40,00:13:30.56,00:52:42.54,25,0,0,13,30,56,BODY SLAM,DIG,TAKE DOWN,EMBER,71,56,55,55,63,0,-1,0,0,0,-1,0,99,36,55,55,63,191803,78389,101863,9494,2057,1,0,0,2254,2254,0,0,166,37,34,3,0,0,4471,2829,438,438,122,20,40,0,0,0,0,0,25,0,3,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,77,16392,0,0,0,0,8,25,0,1,1,2,0,3,0,Flareon
Arcanine3,Arcanine,Lt. Surge,00:14:27.11,00:14:32.80,00:56:48.13,25,0,0,14,32,80,BODY SLAM,DIG,TAKE DOWN,EMBER,71,56,55,55,63,0,0,0,0,0,0,0,79,56,55,55,63,206522,87763,105933,10769,2057,1,0,0,2534,2534,0,0,184,39,36,3,0,0,5024,2991,438,438,125,23,40,0,0,0,0,0,28,0,3,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,80,17937,0,0,0,0,11,25,0,1,1,3,0,3,0,Flareon
Arcanine3,Arcanine,RTG1 - Wrapping Lass,00:15:19.51,00:15:30.36,01:00:34.53,26,0,0,15,30,36,BODY SLAM,DIG,TAKE DOWN,EMBER,74,58,58,58,66,0,0,0,0,0,0,0,83,65,58,58,66,220122,96033,109094,12938,2057,1,0,0,2720,2671,49,0,211,40,37,3,0,0,5289,3181,438,438,129,23,40,0,0,0,0,0,28,0,3,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,84,19185,0,0,0,0,11,25,0,1,1,3,0,3,0,Flareon
Arcanine3,Arcanine,RTG4 - Status Jr Trainer,00:16:25.70,00:16:31.86,01:04:37.37,27,0,0,16,31,86,BODY SLAM,DIG,TAKE DOWN,EMBER,77,60,60,60,68,0,0,0,0,0,0,0,86,67,60,60,68,234686,99354,119395,13880,2057,1,0,0,2915,2671,244,0,230,44,41,3,0,0,6021,3669,477,477,141,26,44,0,0,0,0,0,31,0,4,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,0,0,0,0,92,22065,0,0,0,0,11,25,0,1,1,3,0,3,0,Flareon
