date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
12-11,15:55:01,NINTEN,Articuno,Rival1-Lab,1,Pallet Town - Oak's Lab,1,39.56,39,0h0m39s,0,0,0,5,0:02,5.674,ICE BEAM,PECK,,,0,71,2,1,1,2,2,1,0,3000,Jolteon, ,Ice,Flying,253,Articuno7,Articuno,Rival (Lab),00:00:33.87,00:00:39.56,00:02:02.54,5,0,0,0,39,56,ICE BEAM,PECK,,,8,35,0,0,0,0,0,0,22,25,15,16,19,19,15,55,55,50,65,65,55,15,15,15,15,0,0,0,0,0,0,0,15,16,19,19,15,9355,4748,2598,0,2009,0,0,0,71,71,0,0,2,2,1,1,0,0,38,21,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,7,0,Jolteon
12-11,15:56:15,NINTEN,Articuno,Bug Catcher,3,Viridian Forest,1,1:54.37,1:54,0h1m54s,0,0,0,6,0:06,7.282,ICE BEAM,PECK,,,0,589,17,2,2,4,4,3,1,3175,Flareon, ,Ice,Flying,365,Articuno7,Articuno,,00:01:47.09,00:01:54.37,00:06:58.38,6,0,0,1,54,37,ICE BEAM,PECK,,,9,34,0,0,0,0,0,0,24,28,17,18,21,21,17,100,85,85,85,85,100,15,15,15,15,0,0,0,0,-1,0,0,17,18,21,21,11,27099,19405,5685,0,2009,0,0,0,589,589,0,0,17,4,2,2,0,0,71,51,7,7,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,209,0,0,0,0,1,0,0,0,0,0,0,7,0,Flareon
12-11,15:56:36,NINTEN,Articuno,Brock,1,Pewter City - Gym,2,2:14.97,2:14,0h2m14s,0,0,0,8,0:08,8.482,ICE BEAM,PECK,,,0,693,18,3,2,6,6,4,1,3275,Flareon, ,Ice,Flying,825,Articuno7,Articuno,Brock,00:02:06.49,00:02:14.97,00:08:19.50,8,0,0,2,14,97,ICE BEAM,PECK,,,7,34,0,0,0,0,0,0,31,35,21,23,27,27,21,175,210,345,145,145,190,15,15,15,15,0,0,0,0,0,0,0,21,23,27,27,21,31971,21777,8185,0,2009,0,0,0,693,693,0,0,18,5,3,2,0,0,155,112,7,7,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,669,0,0,0,0,1,0,0,0,0,0,0,7,0,Flareon
12-11,15:57:00,NINTEN,Articuno,Bug Catcher,4,Route 3,3,2:39.02,2:39,0h2m39s,0,0,0,9,0:09,11.096,ICE BEAM,PECK,,,0,764,19,4,2,10,10,5,2,4463,Flareon, ,Ice,Flying,1160,Articuno7,Articuno,,00:02:27.92,00:02:39.02,00:09:54.52,9,0,0,2,39,2,ICE BEAM,PECK,,,5,32,0,0,0,0,0,0,34,38,23,26,30,30,23,305,305,445,205,205,330,15,15,15,15,0,0,0,0,-1,0,0,28,26,30,30,15,37673,23853,11811,0,2009,0,0,0,764,764,0,0,19,6,4,2,0,0,277,201,7,7,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1004,0,0,0,0,1,0,0,0,0,0,0,7,0,Flareon
12-11,15:57:11,NINTEN,Articuno,Youngster,1,Route 3,2,2:49.72,2:49,0h2m49s,0,0,0,10,0:10,7.389,ICE BEAM,PECK,,,0,768,19,5,2,12,12,6,2,4563,Flareon, ,Ice,Flying,1438,Articuno7,Articuno,,00:02:42.34,00:02:49.72,00:10:37.01,10,0,0,2,49,72,ICE BEAM,PECK,,,3,32,0,0,0,0,0,0,31,41,25,28,33,33,25,370,421,524,270,270,457,15,15,15,15,0,0,0,0,0,0,0,28,28,33,33,25,40202,24137,14056,0,2009,0,0,0,768,768,0,0,19,7,5,2,0,0,344,260,13,13,12,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1282,0,0,0,0,1,0,0,0,0,0,0,7,0,Flareon
12-11,15:57:26,NINTEN,Articuno,Bug Catcher,5,Route 3,4,3:05.39,3:05,0h3m5s,0,0,0,11,0:11,12.812,ICE BEAM,PECK,,,0,772,20,6,2,16,16,6,2,4728,Flareon, ,Ice,Flying,1913,Articuno7,Articuno,,00:02:52.59,00:03:05.39,00:11:38.46,11,0,0,3,5,39,ICE BEAM,PECK,,,1,30,0,0,0,0,0,0,34,44,27,30,36,36,27,550,531,694,360,360,617,15,15,15,15,0,0,0,0,0,0,0,30,30,36,36,27,43907,24311,17587,0,2009,0,0,0,772,772,0,0,20,8,6,2,0,0,521,372,13,13,16,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1757,0,0,0,0,1,0,0,0,0,0,0,7,0,Flareon
12-11,15:57:40,NINTEN,Articuno,Bug Catcher,6,Route 3,2,3:18.96,3:18,0h3m18s,0,0,0,12,0:12,9.235,ICE BEAM,PECK,,,0,780,21,7,2,19,19,7,2,4818,Flareon, ,Ice,Flying,2206,Articuno7,Articuno,,00:03:09.72,00:03:18.96,00:12:32.18,12,0,0,3,18,96,ICE BEAM,PECK,,,0,28,0,0,0,0,0,0,35,47,29,33,39,39,29,645,581,784,405,405,692,15,15,15,15,0,0,0,0,0,0,0,32,33,39,39,29,47119,24809,20301,0,2009,0,0,0,780,780,0,0,21,9,7,2,0,0,641,437,15,15,19,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2050,0,0,0,0,1,0,0,0,0,0,0,7,0,Flareon
12-11,15:58:30,NINTEN,Articuno,Super Nerd,2,Mt Moon - 3,3,4:08.64,4:08,0h4m8s,0,0,0,13,0:15,12.954,ICE BEAM,PECK,,,0,1148,31,8,2,24,24,10,3,4928,Flareon, ,Ice,Flying,2993,Articuno7,Articuno,,00:03:55.69,00:04:08.64,00:15:49.00,13,0,0,4,8,64,ICE BEAM,PECK,,,6,34,0,0,0,0,0,0,47,51,31,35,42,42,31,805,756,979,560,560,852,15,15,15,15,0,-2,0,0,0,0,0,34,17,42,42,31,58921,33133,23779,0,2009,0,0,0,1148,1148,0,0,31,10,8,2,0,0,812,546,19,19,24,1,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2837,0,0,0,0,2,0,0,0,0,0,0,7,0,Flareon
12-11,15:58:48,NINTEN,Articuno,Rocket,42,Mt Moon - 3,3,4:26.59,4:26,0h4m26s,0,0,0,14,0:16,10.467,ICE BEAM,PECK,,,0,1164,32,9,2,28,28,12,4,5228,Flareon, ,Ice,Flying,3728,Articuno7,Articuno,,00:04:16.12,00:04:26.59,00:16:59.51,14,0,0,4,26,59,ICE BEAM,PECK,,,2,34,0,0,0,0,0,0,46,54,33,38,45,45,34,920,926,1153,700,700,1032,15,15,15,15,0,0,0,0,0,0,0,37,38,45,45,34,63172,34503,26660,0,2009,0,0,0,1164,1164,0,0,32,11,9,2,0,0,974,656,23,23,28,2,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3572,0,0,0,0,2,0,0,0,0,0,0,7,0,Flareon
12-11,15:59:26,NINTEN,Articuno,Rival2-Nugget Bridge,3,Cerulean City,4,5:04.52,5:04,0h5m4s,0,0,0,15,0:19,13.733,ICE BEAM,PECK,,,0,1342,37,10,2,33,33,14,4,5648,Flareon, ,Ice,Flying,4766,Articuno7,Articuno,Rival (Nugget Bridge),00:04:50.79,00:05:04.52,00:19:29.17,15,0,0,5,4,52,ICE BEAM,PECK,,,6,34,0,0,0,0,0,0,51,57,36,40,48,48,36,1095,1172,1353,851,851,1269,15,15,15,15,0,0,0,0,0,-1,0,45,40,48,48,36,72138,39765,30364,0,2009,0,0,0,1342,1342,0,0,37,12,10,2,0,0,1304,827,29,29,33,2,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,4610,0,0,0,0,3,0,0,0,0,0,0,7,0,Flareon
