date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
7-21,13:18:21,NINTEN,Beedrill,Rival1-Lab,1,Pallet Town - Oak's Lab,1,47.95,47,0h0m47s,0,0,0,6,0:02,14.22,FURY ATTACK,,,,0,71,6,1,1,7,7,6,0,3000,Jolteon, ,Bug,Poison,222,Beedrill 1,Beedrill,Rival (Lab),00:00:33.73,00:00:47.95,00:02:36.45,6,0,0,0,47,95,FURY ATTACK,,,,13,0,0,0,0,0,0,0,9,25,16,11,12,12,15,55,55,50,65,65,55,15,15,15,15,0,-2,0,0,0,0,0,16,5,12,12,15,11359,4754,4623,0,1982,0,0,0,71,71,0,0,6,2,1,1,0,0,22,21,16,16,6,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,1,0,Jolteon
7-21,13:20:04,NINTEN,Beedrill,Bug Catcher,3,Viridian Forest,1,2:31.37,2:31,0h2m31s,0,0,0,7,0:09,16.798,FURY ATTACK,,,,0,601,25,2,5,20,20,16,1,3175,Flareon, ,Bug,Poison,396,Beedrill 1,Beedrill,,00:02:14.57,00:02:31.37,00:09:25.18,7,0,0,2,31,37,FURY ATTACK,,,,7,0,0,0,0,0,0,0,7,28,18,12,13,13,17,210,231,200,180,180,284,15,15,15,15,0,0,0,0,-4,0,0,18,12,13,13,5,35872,19458,14432,0,1982,0,0,0,601,601,0,0,25,7,2,5,0,0,103,93,37,37,18,4,14,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,271,0,0,0,0,1,0,0,0,0,0,0,1,0,Flareon
7-21,13:22:04,NINTEN,Beedrill,Jr Trainer M,1,Pewter City - Gym,2,4:30.84,4:30,0h4m30s,0,3,3,10,0:17,15.927,FURY ATTACK,,,,0,877,42,6,6,47,47,41,2,21,Flareon, ,Bug,Poison,1239,Beedrill 1,Beedrill,,00:04:14.91,00:04:30.84,00:17:17.14,10,0,0,4,30,84,FURY ATTACK,,,,15,0,0,0,0,0,0,0,11,36,24,16,17,17,23,350,546,440,415,415,734,15,15,15,15,0,0,0,0,0,0,0,24,16,17,17,23,64188,28316,33890,0,1982,0,0,0,877,877,0,0,42,12,6,6,0,0,290,273,166,159,41,8,36,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,1114,0,0,0,0,1,11,0,0,0,0,3,1,3,Flareon
7-21,13:23:12,NINTEN,Beedrill,Bug Catcher,15,Viridian Forest,2,5:39.09,5:39,0h5m39s,0,3,3,11,0:21,13.887,FURY ATTACK,,,,0,1040,58,7,12,63,63,49,2,201,Flareon, ,Bug,Poison,1713,Beedrill 1,Beedrill,,00:05:25.21,00:05:39.09,00:21:46.04,11,0,0,5,39,9,FURY ATTACK,,,,4,0,0,0,0,0,0,0,29,39,26,17,18,18,25,721,840,792,655,655,1087,15,15,15,15,0,0,0,0,0,0,0,26,17,18,18,25,80318,32455,45881,0,1982,0,0,0,1040,1040,0,0,58,19,7,12,0,0,490,448,176,169,57,10,40,0,0,0,0,0,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,1588,0,0,0,0,1,11,0,0,0,0,3,1,3,Flareon
7-21,13:24:59,NINTEN,Beedrill,Bug Catcher,1,Viridian Forest,2,7:26.00,7:26,0h7m26s,0,3,3,13,0:28,10.993,FURY ATTACK,,,,0,1344,70,8,24,86,86,58,2,281,Flareon, ,Bug,Poison,2293,Beedrill 1,Beedrill,,00:07:15.00,00:07:26.00,00:28:46.47,13,0,0,7,26,0,FURY ATTACK,,,,7,0,0,0,0,0,0,0,42,44,30,20,21,21,29,1336,1305,1297,980,980,1750,15,15,15,15,0,0,0,0,-1,0,0,30,20,21,21,19,105561,39167,63986,426,1982,0,0,0,1344,1344,0,0,70,32,8,24,0,0,847,720,223,216,78,14,47,0,0,0,0,0,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33,2168,0,0,0,0,1,11,0,0,0,0,3,1,3,Flareon
7-21,13:25:20,NINTEN,Beedrill,Bug Catcher,2,Viridian Forest,3,7:47.33,7:47,0h7m47s,0,3,3,13,0:30,17.937,FURY ATTACK,,,,0,1358,71,9,24,94,94,63,2,351,Flareon, ,Bug,Poison,2542,Beedrill 1,Beedrill,,00:07:29.39,00:07:47.33,00:30:11.04,13,0,0,7,47,33,FURY ATTACK,,,,0,0,0,0,0,0,0,0,37,44,30,20,21,21,29,1481,1375,1442,1050,1050,1855,15,15,15,15,0,0,0,0,0,0,0,30,20,21,21,29,110618,39523,68687,426,1982,0,0,0,1358,1358,0,0,71,33,9,24,0,0,916,786,228,221,84,16,48,0,0,0,0,0,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,36,2417,0,0,0,0,1,11,0,0,0,0,3,1,3,Flareon
7-21,13:26:14,NINTEN,Beedrill,Lass,19,Viridian Forest,2,8:41.12,8:41,0h8m41s,0,3,3,14,0:33,10.511,FURY ATTACK,,,,0,1432,97,10,30,105,105,66,2,411,Flareon, ,Bug,Poison,2911,Beedrill 1,Beedrill,,00:08:30.61,00:08:41.12,00:33:42.23,14,0,0,8,41,12,FURY ATTACK,,,,0,0,0,0,0,0,0,0,19,47,33,21,22,22,31,1847,1674,1749,1265,1265,2227,15,15,15,15,-1,0,0,0,0,0,0,21,21,22,22,31,123297,41326,78231,1758,1982,0,0,0,1432,1432,0,0,97,40,10,30,0,0,1144,945,309,302,95,16,51,0,0,0,0,0,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,44,2786,0,0,0,0,1,11,0,0,0,0,3,1,3,Flareon
7-21,13:35:21,NINTEN,Beedrill,Brock,1,Pewter City - Gym,2,17:48.13,17:48,0h17m48s,0,4,4,18,1:09,47.022,FURY ATTACK,FOCUS ENERGY,,,1,2879,149,11,107,222,218,98,2,250,Flareon, ,Bug,Poison,6313,Beedrill 1,Beedrill,Brock,00:17:01.11,00:17:48.13,01:09:33.35,18,0,0,17,48,13,FURY ATTACK,FOCUS ENERGY,,,4,30,0,0,0,0,0,0,10,60,42,27,29,29,40,5344,4196,5119,3235,3235,5655,15,15,15,15,0,-2,0,0,0,0,0,42,13,29,29,40,252369,74595,173492,2300,1982,1,0,0,2879,2879,0,0,149,118,11,107,1,0,3017,2443,427,420,193,38,73,0,0,0,0,0,32,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,121,6188,0,0,0,0,1,11,0,0,0,1,4,1,4,Flareon
7-21,13:35:52,NINTEN,Beedrill,Bug Catcher,4,Route 3,3,18:19.36,18:19,0h18m19s,0,4,4,18,1:11,11.571,FURY ATTACK,FOCUS ENERGY,,,1,2990,150,12,107,226,222,99,3,1438,Flareon, ,Bug,Poison,6648,Beedrill 1,Beedrill,,00:18:07.79,00:18:19.36,01:11:36.53,18,0,0,18,19,36,FURY ATTACK,FOCUS ENERGY,,,16,30,0,0,0,0,0,0,60,60,42,27,29,29,40,5474,4291,5219,3295,3295,5795,15,15,15,15,0,0,0,0,-1,0,0,52,27,29,29,26,259767,78242,177243,2300,1982,1,0,0,2990,2990,0,0,150,119,12,107,1,0,3111,2532,427,420,197,38,74,0,0,0,0,0,32,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,124,6523,0,0,0,0,1,11,0,0,0,1,4,1,4,Flareon
7-21,13:36:08,NINTEN,Beedrill,Youngster Ben,1,Route 3,2,18:35.48,18:35,0h18m35s,0,4,4,19,1:12,13.082,FURY ATTACK,FOCUS ENERGY,,,1,2994,151,13,107,232,226,101,3,1538,Flareon, ,Bug,Poison,6926,Beedrill 1,Beedrill,,00:18:22.39,00:18:35.48,01:12:40.32,19,0,0,18,35,48,FURY ATTACK,FOCUS ENERGY,,,12,30,0,0,0,0,0,0,53,62,44,29,30,30,42,5539,4407,5298,3360,3360,5922,15,15,15,15,0,0,0,0,0,0,0,49,29,30,30,42,263586,78442,180862,2300,1982,1,0,0,2994,2994,0,0,151,120,13,107,1,0,3181,2591,436,429,200,39,76,0,0,0,0,0,32,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,126,6801,0,0,0,0,1,11,0,0,0,1,4,1,4,Flareon
