ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Blastoise 2,Blastoise,Rival (Lab),00:00:33.59,00:00:41.81,00:02:12.47,6,0,0,0,41,81,TACKLE,TAIL WHIP,BUBBLE,WATER GUN,16,18,17,17,16,0,-1,0,0,0,0,0,16,11,17,17,16,9893,4730,3209,0,1954,0,0,0,71,71,0,0,3,2,1,1,0,0,26,21,6,6,3,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,2,0,Jolteon
Blastoise 2,Blastoise,Brock,00:02:07.21,00:02:16.20,00:08:25.35,11,0,0,2,16,20,WATER GUN,TAIL WHIP,BUBBLE,TACKLE,26,30,27,27,25,0,0,0,0,0,0,0,26,30,27,27,25,32261,21159,9148,0,1954,0,0,0,691,691,0,0,14,5,3,2,0,0,152,112,12,12,8,1,4,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,669,0,0,0,0,0,0,0,0,0,0,0,2,0,Flareon
Blastoise 2,Blastoise,Misty,00:05:44.00,00:06:02.10,00:23:18.01,19,0,0,6,2,10,BUBBLE,MEGA PUNCH,WATER GUN,TACKLE,43,50,44,44,42,0,0,0,0,0,0,0,48,50,44,44,42,85807,41767,39148,2938,1954,0,0,0,1406,1406,0,0,44,13,11,2,0,0,996,750,110,110,49,5,26,0,0,0,0,0,7,0,5,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,22,5135,0,0,0,0,2,15,1,0,0,1,0,2,0,Flareon
Blastoise 2,Blastoise,Rival (Nugget Bridge),00:06:25.22,00:06:38.54,00:25:41.20,20,0,0,6,38,54,BUBBLEBEAM,MEGA PUNCH,WATER GUN,TACKLE,45,52,46,46,44,0,0,0,0,0,0,0,50,52,46,46,44,94406,45054,42910,4488,1954,0,0,0,1498,1498,0,0,51,14,12,2,0,0,1405,921,115,115,55,6,27,0,0,0,0,0,9,0,5,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,26,6173,0,0,0,0,3,15,1,0,0,2,0,2,0,Flareon
Blastoise 2,Blastoise,Oddish Lass,00:08:31.72,00:08:45.16,00:34:00.23,24,0,0,8,45,16,BUBBLEBEAM,MEGA PUNCH,WATER GUN,BITE,54,63,55,55,52,0,0,0,0,0,0,0,60,63,55,55,52,124349,52194,65069,5132,1954,0,0,0,1620,1620,0,0,83,24,22,2,0,0,2628,1737,126,126,76,6,29,0,0,0,0,0,10,0,6,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,47,10273,0,0,0,0,4,15,1,0,0,2,0,2,0,Flareon
Blastoise 2,Blastoise,Rocket,00:09:11.33,00:09:19.03,00:36:14.15,24,0,0,9,19,3,BUBBLEBEAM,MEGA PUNCH,WATER GUN,BITE,54,63,55,55,52,0,0,0,0,0,0,0,60,63,55,55,52,132381,57925,67370,5132,1954,0,0,0,1761,1761,0,0,98,25,23,2,0,0,2749,1840,135,135,79,6,30,0,0,0,0,0,10,0,6,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,49,10962,0,0,0,0,5,15,1,0,0,3,0,2,0,Flareon
Blastoise 2,Blastoise,Rival (SS Anne),00:10:25.40,00:10:41.28,00:41:38.21,26,0,0,10,41,28,BITE,MEGA PUNCH,WATER GUN,BUBBLEBEAM,59,68,60,60,57,-1,0,0,0,0,0,0,42,68,60,60,57,151827,66388,78353,5132,1954,0,0,0,2073,2073,0,0,119,29,27,2,0,0,3511,2332,141,141,91,6,32,0,0,0,0,0,11,0,7,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,60,14183,0,0,0,0,7,18,1,0,0,3,0,2,0,Flareon
Blastoise 2,Blastoise,Lt. Surge,00:11:22.86,00:11:31.39,00:44:56.26,26,0,0,11,31,39,DIG,MEGA PUNCH,WATER GUN,BUBBLEBEAM,59,68,60,60,57,0,0,0,0,0,0,0,66,68,60,60,57,163712,72900,80932,7926,1954,1,0,0,2250,2250,0,0,128,30,28,2,0,0,3663,2408,195,195,93,8,34,0,0,0,0,0,11,0,7,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,61,14915,0,0,0,0,7,18,1,0,0,5,0,2,0,Flareon
Blastoise 2,Blastoise,RTG1 - Wrapping Lass,00:12:11.21,00:12:25.27,00:48:28.29,27,0,0,12,25,27,DIG,MEGA PUNCH,WATER GUN,BUBBLEBEAM,61,70,62,62,59,0,0,0,0,0,0,0,68,78,62,62,59,176435,80146,84853,9482,1954,1,0,0,2440,2388,52,0,139,31,29,2,0,0,3940,2598,195,195,97,10,34,0,0,0,0,0,12,0,7,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,65,16163,0,0,0,0,7,18,1,0,0,5,0,2,0,Flareon
Blastoise 2,Blastoise,RTG4 - Status Jr Trainer,00:13:13.65,00:13:23.96,00:52:20.02,28,0,0,13,23,96,DIG,MEGA PUNCH,WATER GUN,BUBBLEBEAM,64,73,64,64,61,0,0,0,0,0,0,0,72,82,64,64,61,190328,83135,94976,10263,1954,1,0,0,2636,2388,248,0,151,35,33,2,0,0,4778,3086,200,200,108,17,36,0,0,0,0,0,14,0,7,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,73,19043,0,0,0,0,7,18,1,0,0,5,0,2,0,Flareon
