date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
10-27,14:25:47,NINTEN,Blastoise,Rival1-Lab,1,Pallet Town - Oak's Lab,1,42.03,42,0h0m42s,0,0,0,6,0:02,8.256,WATER GUN,TAIL WHIP,BUBBLE,TACKLE,0,71,6,1,1,3,3,2,0,3000,Jolteon, ,Water,Water,232,Blastoise 4,Blastoise,Rival (Lab),00:00:33.78,00:00:42.03,00:02:13.35,6,0,0,0,42,3,WATER GUN,TAIL WHIP,BUBBLE,TACKLE,22,30,30,35,0,0,0,0,21,27,16,18,17,17,16,55,55,50,65,65,55,15,15,15,15,0,0,0,0,0,0,0,16,18,17,17,16,9946,4770,3217,0,1959,0,0,0,71,71,0,0,6,2,1,1,0,0,24,21,6,6,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,5,0,Jolteon
10-27,14:27:02,NINTEN,Blastoise,Bug Catcher,3,Viridian Forest,1,1:57.50,1:57,0h1m57s,0,0,0,8,0:07,10.094,WATER GUN,TAIL WHIP,BUBBLE,TACKLE,0,581,25,2,2,7,7,6,0,3175,Flareon, ,Water,Water,344,Blastoise 4,Blastoise,,00:01:47.41,00:01:57.51,00:07:11.52,8,0,0,1,57,51,WATER GUN,TAIL WHIP,BUBBLE,TACKLE,21,30,30,35,0,0,0,0,30,33,20,23,21,21,20,100,85,85,85,85,100,15,15,15,15,0,0,0,0,-3,0,0,20,23,21,21,8,27843,18904,6980,0,1959,0,0,0,581,581,0,0,25,4,2,2,0,0,57,51,9,9,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,209,0,0,0,0,0,0,0,0,0,0,0,5,0,Flareon
10-27,14:27:24,NINTEN,Blastoise,Brock,1,Pewter City - Gym,2,2:18.61,2:18,0h2m18s,0,0,0,11,0:08,8.983,WATER GUN,TAIL WHIP,BUBBLE,TACKLE,0,687,26,3,2,9,9,7,0,3275,Flareon, ,Water,Water,804,Blastoise 4,Blastoise,Brock,00:02:09.64,00:02:18.62,00:08:35.09,11,0,0,2,18,62,WATER GUN,TAIL WHIP,BUBBLE,TACKLE,19,30,30,35,0,0,0,0,36,42,26,30,27,27,25,175,210,345,145,145,190,15,15,15,15,0,0,0,0,0,0,0,26,30,27,27,25,32840,21293,9588,0,1959,0,0,0,687,687,0,0,26,5,3,2,0,0,151,112,12,12,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,669,0,0,0,0,0,0,0,0,0,0,0,5,0,Flareon
10-27,14:28:02,NINTEN,Blastoise,Bug Catcher,4,Route 3,3,2:56.70,2:56,0h2m56s,0,0,0,12,0:11,16.281,WATER GUN,TAIL WHIP,BUBBLE,TACKLE,0,768,33,4,2,15,15,11,3,63,Flareon,Poisoned,Water,Water,1139,Blastoise 4,Blastoise,,00:02:40.42,00:02:56.71,00:11:05.46,12,0,0,2,56,71,WATER GUN,TAIL WHIP,BUBBLE,TACKLE,13,30,30,35,0,0,0,0,33,45,29,33,29,29,27,305,305,445,205,205,330,15,15,15,15,0,0,0,0,-3,0,0,40,33,29,29,10,41877,25464,14454,0,1959,0,0,0,768,768,0,0,33,6,4,2,0,0,269,201,18,18,15,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1004,0,0,0,0,0,15,1,0,0,0,0,5,0,Flareon
10-27,14:28:19,NINTEN,Blastoise,Youngster Ben,1,Route 3,2,3:13.57,3:13,0h3m13s,0,0,0,13,0:12,12.039,WATER GUN,TAIL WHIP,BUBBLE,TACKLE,0,772,34,5,2,22,18,12,3,163,Flareon, ,Water,Water,1417,Blastoise 4,Blastoise,,00:03:01.53,00:03:13.57,00:12:12.10,13,0,0,3,13,57,WATER GUN,TAIL WHIP,BUBBLE,TACKLE,10,30,30,35,0,0,0,0,25,47,31,35,31,31,29,370,421,524,270,270,457,15,15,15,15,0,0,0,0,0,0,0,34,35,31,31,29,45861,25706,17802,394,1959,0,0,0,772,772,0,0,34,7,5,2,0,0,331,260,28,28,18,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1282,0,0,0,0,0,15,1,0,0,0,0,5,0,Flareon
10-27,14:28:32,NINTEN,Blastoise,Lass,2,Route 3,2,3:27.07,3:27,0h3m27s,0,0,0,14,0:13,9.509,WATER GUN,TAIL WHIP,BUBBLE,TACKLE,0,780,35,6,2,25,21,13,3,328,Flareon, ,Water,Water,1665,Blastoise 4,Blastoise,,00:03:17.56,00:03:27.07,00:13:05.23,14,0,0,3,27,7,WATER GUN,TAIL WHIP,BUBBLE,TACKLE,8,30,29,35,0,0,0,0,29,51,33,38,33,33,31,446,534,599,335,335,579,15,15,15,15,0,-1,0,0,0,0,0,37,25,33,33,31,49054,26164,20537,394,1959,0,0,0,780,780,0,0,35,8,6,2,0,0,406,317,28,28,21,0,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1530,0,0,0,0,0,15,1,0,0,0,0,5,0,Flareon
10-27,14:28:49,NINTEN,Blastoise,Bug Catcher,6,Route 3,2,3:43.70,3:43,0h3m43s,0,0,0,14,0:14,9.747,WATER GUN,TAIL WHIP,BUBBLE,TACKLE,0,838,36,7,2,29,25,15,3,478,Flareon, ,Water,Water,1958,Blastoise 4,Blastoise,,00:03:33.96,00:03:43.71,00:14:11.03,14,0,0,3,43,71,WATER GUN,TAIL WHIP,BUBBLE,TACKLE,4,30,29,35,0,0,0,0,29,51,33,38,33,33,31,541,584,689,380,380,654,15,15,15,15,0,0,0,0,-1,0,0,41,38,33,33,20,52994,27327,23314,394,1959,0,0,0,838,838,0,0,36,9,7,2,0,0,541,382,28,28,25,0,14,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1823,0,0,0,0,0,15,1,0,0,0,0,5,0,Flareon
10-27,14:29:47,NINTEN,Blastoise,Fossil Nerd,2,Mt Moon - 3,3,4:41.94,4:41,0h4m41s,0,0,0,16,0:18,16.841,WATER GUN,MEGA PUNCH,BUBBLE,TACKLE,0,1230,48,8,2,35,31,18,4,588,Flareon, ,Water,Water,2745,Blastoise 4,Blastoise,,00:04:25.10,00:04:41.95,00:18:01.12,16,0,0,4,41,95,WATER GUN,MEGA PUNCH,BUBBLE,TACKLE,3,16,28,35,0,0,0,0,29,57,37,42,37,37,35,701,759,884,535,535,814,15,15,15,15,0,0,0,0,0,0,0,41,42,37,37,35,66803,35405,27713,1726,1959,0,0,0,1230,1230,0,0,48,10,8,2,0,0,683,491,34,34,31,0,17,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2610,0,0,0,0,2,15,1,0,0,1,0,5,0,Flareon
10-27,14:30:10,NINTEN,Blastoise,Rocket,42,Mt Moon - 3,3,5:05.47,5:05,0h5m5s,0,0,0,17,0:19,15.907,WATER GUN,MEGA PUNCH,BUBBLE,TACKLE,0,1246,50,9,2,42,38,22,5,888,Flareon, ,Water,Water,3480,Blastoise 4,Blastoise,,00:04:49.56,00:05:05.47,00:19:34.12,17,0,0,5,5,47,WATER GUN,MEGA PUNCH,BUBBLE,TACKLE,0,12,28,35,0,0,0,0,18,60,39,45,40,40,37,816,929,1058,675,675,994,15,15,15,15,0,0,0,0,0,0,0,43,45,40,40,37,72383,36812,31886,1726,1959,0,0,0,1246,1246,0,0,50,11,9,2,0,0,839,601,48,48,38,1,20,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3345,0,0,0,0,2,15,1,0,0,1,0,5,0,Flareon
10-27,14:30:39,NINTEN,Blastoise,Pecking Lass,1,Cerulean City - Gym,1,5:33.69,5:33,0h5m33s,0,0,0,18,0:21,8.6,WATER GUN,MEGA PUNCH,BUBBLE,TACKLE,0,1394,54,10,2,45,41,24,5,1308,Flareon, ,Water,Water,3931,Blastoise 4,Blastoise,,00:05:25.10,00:05:33.70,00:21:25.36,18,0,0,5,33,70,WATER GUN,MEGA PUNCH,BUBBLE,TACKLE,25,17,30,35,0,0,0,0,58,63,41,47,42,42,39,861,996,1118,725,725,1057,15,15,15,15,0,0,0,0,0,0,0,46,47,42,42,39,79067,40963,34419,1726,1959,0,0,0,1394,1394,0,0,54,12,10,2,0,0,894,650,53,53,41,1,22,0,0,0,0,0,8,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20,3796,0,0,0,0,2,15,1,0,0,1,0,5,0,Flareon
