ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Blastoise 4,Blastoise,Rival (Lab),00:00:33.58,00:00:42.11,00:02:14.04,6,0,0,0,42,11,WATER GUN,TAIL WHIP,BUBBLE,TACKLE,16,18,17,17,16,0,-1,0,0,0,0,0,16,11,17,17,16,9964,4732,3284,0,1948,0,0,0,71,71,0,0,2,2,1,1,0,0,26,21,6,6,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,7,0,Jolteon
Blastoise 4,Blastoise,Brock,00:02:09.93,00:02:18.77,00:08:35.56,11,0,0,2,18,77,WATER GUN,TAIL WHIP,BUBBLE,TACKLE,26,30,27,27,25,0,0,0,0,0,0,0,26,30,27,27,25,32876,21298,9630,0,1948,0,0,0,694,694,0,0,37,5,3,2,0,0,156,112,17,17,9,0,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,669,0,0,0,0,0,0,0,0,0,0,0,7,0,Flareon
Blastoise 4,Blastoise,Misty,00:05:47.78,00:06:11.17,00:23:54.21,19,0,0,6,11,17,TACKLE,MEGA PUNCH,BUBBLE,WATER GUN,43,50,44,44,42,0,0,0,0,0,0,0,48,50,44,44,42,87981,41538,42306,2189,1948,0,0,0,1410,1410,0,0,71,13,11,2,0,0,974,750,97,97,57,8,26,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5135,0,0,0,0,2,15,1,0,0,1,0,7,0,Flareon
Blastoise 4,Blastoise,Rival (Nugget Bridge),00:06:36.56,00:06:55.00,00:26:47.17,20,0,0,6,55,0,BUBBLEBEAM,MEGA PUNCH,BUBBLE,WATER GUN,45,52,46,46,44,-1,-1,0,0,0,0,0,32,34,46,46,44,98357,45878,47295,3236,1948,0,0,0,1514,1514,0,0,79,14,12,2,0,0,1246,921,106,106,64,8,29,0,0,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,6173,0,0,0,0,3,15,1,0,0,2,0,7,0,Flareon
Blastoise 4,Blastoise,Oddish Lass,00:08:44.19,00:08:57.45,00:34:50.06,24,0,0,8,57,45,BUBBLEBEAM,MEGA PUNCH,BUBBLE,BITE,54,63,55,55,52,0,0,0,0,0,0,0,60,63,55,55,52,127326,52619,69523,3236,1948,0,0,0,1640,1640,0,0,102,24,22,2,0,0,2469,1737,106,106,86,8,30,0,0,0,0,0,11,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,10273,0,0,0,0,4,15,1,0,0,2,0,7,0,Flareon
Blastoise 4,Blastoise,Rocket,00:09:23.07,00:09:29.39,00:36:56.19,24,0,0,9,29,39,BUBBLEBEAM,MEGA PUNCH,BUBBLE,BITE,54,63,55,55,52,0,0,0,0,0,0,0,60,63,55,55,52,134899,58219,71496,3236,1948,0,0,0,1785,1785,0,0,113,25,23,2,0,0,2585,1840,106,106,88,8,30,0,0,0,0,0,12,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,10962,0,0,0,0,4,15,1,0,0,3,0,7,0,Flareon
Blastoise 4,Blastoise,Rival (SS Anne),00:10:49.36,00:11:02.05,00:43:01.24,26,0,0,11,2,5,BUBBLEBEAM,MEGA PUNCH,BUBBLE,DIG,59,68,60,60,57,0,0,0,0,0,0,0,66,68,60,60,57,156804,66949,82298,5609,1948,0,0,0,2099,2099,0,0,129,29,27,2,0,0,3400,2332,127,127,99,11,34,0,0,0,0,0,12,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,14183,0,0,0,0,6,18,1,0,0,4,0,7,0,Flareon
Blastoise 4,Blastoise,Lt. Surge,00:11:38.51,00:11:48.52,00:46:04.56,26,0,0,11,48,52,BUBBLEBEAM,MEGA PUNCH,BUBBLE,DIG,59,68,60,60,57,-1,0,0,0,0,0,0,42,68,60,60,57,167817,73496,85240,7133,1948,0,0,0,2276,2276,0,0,141,30,28,2,0,0,3493,2408,153,153,101,13,36,0,0,0,0,0,12,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,14915,0,0,0,0,6,18,1,0,0,5,0,7,0,Flareon
Blastoise 4,Blastoise,RTG1 - Wrapping Lass,00:12:32.88,00:12:48.79,00:50:02.18,27,0,0,12,48,79,BUBBLEBEAM,MEGA PUNCH,BUBBLE,DIG,61,70,62,62,59,0,0,0,0,0,0,0,68,78,62,62,59,182058,80590,89609,9911,1948,0,0,0,2467,2413,54,0,153,31,29,2,0,0,3775,2598,153,153,105,14,36,0,0,0,0,0,13,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,16163,0,0,0,0,6,18,1,0,0,5,0,7,0,Flareon
Blastoise 4,Blastoise,RTG4 - Status Jr Trainer,00:13:35.32,00:13:54.86,00:54:23.05,28,0,0,13,54,86,BUBBLEBEAM,MEGA PUNCH,BUBBLE,DIG,64,73,64,64,61,0,0,0,0,0,0,0,72,82,64,64,15,197705,83651,101885,10221,1948,0,0,0,2664,2413,251,0,173,35,33,2,0,0,4555,3111,232,232,117,19,45,0,0,0,0,0,16,0,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,73,19043,0,0,0,0,6,18,1,0,0,5,0,7,0,Flareon
Blastoise 4,Blastoise,RTG6 - Finisher,00:14:27.56,00:14:37.19,00:57:09.57,29,0,0,14,37,19,BUBBLEBEAM,MEGA PUNCH,BUBBLE,DIG,66,76,67,67,63,0,0,0,0,0,0,0,74,85,67,67,63,207717,87120,107195,11454,1948,0,0,0,2831,2413,418,0,195,37,35,2,0,0,5590,3419,232,232,123,19,45,0,0,0,0,0,16,0,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,79,21283,0,0,0,0,6,18,1,0,0,5,0,7,0,Flareon
Blastoise 4,Blastoise,Rival (Pokemon Tower),00:16:36.36,00:16:58.72,01:06:27.51,31,0,0,16,58,72,BUBBLEBEAM,WITHDRAW,ICE BEAM,DIG,71,81,71,71,70,0,0,0,0,0,0,0,79,91,71,71,70,241191,105189,117380,16674,1948,0,0,0,3377,2811,566,0,232,40,37,3,0,0,6478,3851,241,241,133,20,48,0,0,0,0,0,18,0,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,86,24725,0,0,0,0,8,37,6,1,1,8,0,7,0,Flareon
