date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
9-11,13:23:26,NINTEN,Charizard,Rival1-Lab,1,Pallet Town - Oak's Lab,1,43.31,43,0h0m43s,0,0,0,6,0:02,9.862,EMBER,GROWL,LEER,SCRATCH,0,71,2,1,1,3,3,2,0,3000,Jolteon, ,Fire,Flying,232,Charizard 1,Charizard,Rival (Lab),00:00:33.46,00:00:43.32,00:02:17.36,6,0,0,0,43,32,EMBER,GROWL,LEER,SCRATCH,22,40,30,35,0,0,0,0,21,27,17,16,17,17,18,55,55,50,65,65,55,15,15,15,15,0,-1,0,0,0,0,0,17,10,17,17,18,10256,4630,3598,0,2028,0,0,0,71,71,0,0,2,2,1,1,0,0,25,21,6,6,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,2,0,Jolteon
9-11,13:24:39,NINTEN,Charizard,Bug Catcher,3,Viridian Forest,1,1:55.95,1:55,0h1m55s,0,0,0,8,0:07,7.042,EMBER,GROWL,LEER,SCRATCH,0,575,16,2,2,5,5,4,1,3175,Flareon, ,Fire,Flying,344,Charizard 1,Charizard,,00:01:48.91,00:01:55.95,00:07:04.35,8,0,0,1,55,95,EMBER,GROWL,LEER,SCRATCH,23,40,30,35,0,0,0,0,33,33,21,20,21,21,23,100,85,85,85,85,100,15,15,15,15,0,0,0,0,-2,0,0,21,20,21,21,11,27475,18824,6623,0,2028,0,0,0,575,575,0,0,16,4,2,2,0,0,61,51,6,6,5,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,209,0,0,0,0,1,0,0,0,0,0,0,2,0,Flareon
9-11,13:25:28,NINTEN,Charizard,Brock,1,Pewter City - Gym,2,2:45.02,2:45,0h2m45s,0,0,0,11,0:10,36.772,EMBER,GROWL,LEER,SCRATCH,0,681,18,3,2,27,27,14,1,3275,Flareon, ,Fire,Flying,804,Charizard 1,Charizard,Brock,00:02:08.25,00:02:45.02,00:10:19.04,11,0,0,2,45,2,EMBER,GROWL,LEER,SCRATCH,10,33,28,35,0,0,0,0,16,41,27,25,27,27,30,175,210,345,145,145,190,15,15,15,15,0,0,0,0,0,0,0,27,25,27,27,30,39144,21249,15867,0,2028,0,0,0,681,681,0,0,18,5,3,2,0,0,125,112,31,31,26,5,9,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,669,0,0,0,0,1,0,0,0,0,0,0,2,0,Flareon
9-11,13:25:56,NINTEN,Charizard,Bug Catcher,4,Route 3,3,3:13.67,3:13,0h3m13s,0,0,0,12,0:12,9.515,EMBER,GROWL,LEER,SCRATCH,0,764,23,4,2,30,30,14,4,3563,Flareon, ,Fire,Flying,1139,Charizard 1,Charizard,,00:03:04.16,00:03:13.68,00:12:12.13,12,0,0,3,13,68,EMBER,GROWL,LEER,SCRATCH,7,33,28,35,0,0,0,0,19,44,29,27,29,29,33,305,305,445,205,205,330,15,15,15,15,0,0,0,0,0,0,0,32,27,29,29,33,45933,24779,19126,0,2028,0,0,0,764,764,0,0,23,6,4,2,0,0,270,201,31,31,29,5,9,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1004,0,0,0,0,1,6,0,0,0,0,0,2,0,Flareon
9-11,13:26:12,NINTEN,Charizard,Youngster Ben,1,Route 3,2,3:28.88,3:28,0h3m28s,0,0,0,13,0:13,11.91,EMBER,GROWL,LEER,SCRATCH,0,768,23,5,2,34,34,17,4,3663,Flareon, ,Fire,Flying,1417,Charizard 1,Charizard,,00:03:16.98,00:03:28.89,00:13:12.12,13,0,0,3,28,89,EMBER,GROWL,LEER,SCRATCH,5,33,28,33,0,0,0,0,14,47,31,29,31,31,35,370,421,524,270,270,457,15,15,15,15,0,-1,0,0,0,0,0,34,19,31,31,35,49532,25062,22442,0,2028,0,0,0,768,768,0,0,23,7,5,2,0,0,338,260,39,39,33,6,11,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1282,0,0,0,0,1,6,0,0,0,0,0,2,0,Flareon
9-11,13:26:26,NINTEN,Charizard,Bug Catcher,5,Route 3,4,3:43.74,3:43,0h3m43s,0,0,0,14,0:14,11.91,EMBER,GROWL,LEER,SCRATCH,0,772,23,6,2,38,38,17,4,3828,Flareon, ,Fire,Flying,1892,Charizard 1,Charizard,,00:03:31.84,00:03:43.75,00:14:10.41,14,0,0,3,43,75,EMBER,GROWL,LEER,SCRATCH,1,33,28,33,0,0,0,0,17,50,33,31,33,33,38,550,531,694,360,360,617,15,15,15,15,0,0,0,0,0,0,0,37,31,33,33,38,53041,25261,25752,0,2028,0,0,0,772,772,0,0,23,8,6,2,0,0,548,372,39,39,37,6,11,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1757,0,0,0,0,1,6,0,0,0,0,0,2,0,Flareon
9-11,13:26:41,NINTEN,Charizard,Bug Catcher,6,Route 3,2,3:58.66,3:58,0h3m58s,0,0,0,15,0:15,10.775,EMBER,GROWL,LEER,SCRATCH,0,780,24,7,2,42,42,19,4,3918,Flareon, ,Fire,Flying,2185,Charizard 1,Charizard,,00:03:47.88,00:03:58.66,00:15:09.34,15,0,0,3,58,66,EMBER,GROWL,LEER,SCRATCH,0,33,28,30,0,0,0,0,18,53,35,33,35,35,40,645,581,784,405,405,692,15,15,15,15,0,0,0,0,0,0,0,39,33,35,35,40,56574,25717,28829,0,2028,0,0,0,780,780,0,0,24,9,7,2,0,0,643,437,41,41,41,7,12,0,0,0,0,0,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2050,0,0,0,0,1,6,0,0,0,0,0,2,0,Flareon
9-11,13:27:40,NINTEN,Charizard,Fossil Nerd,2,Mt Moon - 3,3,4:57.50,4:57,0h4m57s,0,0,0,16,0:19,13.046,EMBER,MEGA PUNCH,LEER,SCRATCH,0,1180,33,8,2,48,48,22,5,4028,Flareon, ,Fire,Flying,2972,Charizard 1,Charizard,,00:04:44.46,00:04:57.50,00:19:02.10,16,0,0,4,57,50,EMBER,MEGA PUNCH,LEER,SCRATCH,19,20,30,35,0,0,0,0,56,56,37,35,37,37,42,805,756,979,560,560,852,15,15,15,15,0,-2,0,0,0,0,0,41,17,37,37,42,70530,34691,32328,1483,2028,0,0,0,1180,1180,0,0,33,10,8,2,0,0,790,546,41,41,47,9,13,0,0,0,0,0,8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2837,0,0,0,0,3,6,0,0,0,1,0,2,0,Flareon
9-11,13:28:03,NINTEN,Charizard,Rocket,42,Mt Moon - 3,3,5:20.68,5:20,0h5m20s,0,0,0,17,0:20,14.987,EMBER,MEGA PUNCH,LEER,SCRATCH,0,1196,36,9,2,55,55,26,6,4328,Flareon, ,Fire,Flying,3707,Charizard 1,Charizard,,00:05:05.70,00:05:20.69,00:20:33.52,17,0,0,5,20,69,EMBER,MEGA PUNCH,LEER,SCRATCH,12,20,30,35,0,0,0,0,44,59,39,37,40,40,45,920,926,1153,700,700,1032,15,15,15,15,0,0,0,0,0,0,0,43,37,40,40,45,76032,36235,36286,1483,2028,0,0,0,1196,1196,0,0,36,11,9,2,0,0,940,656,56,56,54,10,16,0,0,0,0,0,9,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3572,0,0,0,0,3,6,0,0,0,1,0,2,0,Flareon
9-11,13:28:58,NINTEN,Charizard,Rival2-Nugget Bridge,3,Cerulean City,4,6:15.17,6:15,0h6m15s,0,0,0,19,0:24,28.886,EMBER,MEGA PUNCH,LEER,SCRATCH,0,1380,49,10,2,70,70,37,6,4748,Flareon, ,Fire,Flying,4745,Charizard 1,Charizard,Rival (Nugget Bridge),00:05:46.28,00:06:15.17,00:24:09.10,19,0,0,6,15,17,EMBER,MEGA PUNCH,LEER,SCRATCH,14,18,30,33,0,0,0,0,55,65,44,42,44,44,50,1095,1172,1353,851,851,1269,15,15,15,15,-2,-1,0,0,0,-5,0,24,27,44,44,50,88950,41798,43641,1483,2028,0,0,0,1380,1380,0,0,49,12,10,2,0,0,1138,827,66,66,63,18,25,0,0,0,0,0,10,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,4610,0,0,0,0,4,6,0,0,0,1,0,2,0,Flareon
