ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Charizard 1,Charizard,Rival (Lab),00:00:33.46,00:00:43.32,00:02:17.36,6,0,0,0,43,32,EMBER,GROWL,LEER,SCRATCH,17,16,17,17,18,0,-1,0,0,0,0,0,17,10,17,17,18,10256,4630,3598,0,2028,0,0,0,71,71,0,0,2,2,1,1,0,0,25,21,6,6,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,2,0,Jolteon
Charizard 1,Charizard,Brock,00:02:08.25,00:02:45.02,00:10:19.04,11,0,0,2,45,2,EMBER,GROWL,LEER,SCRATCH,27,25,27,27,30,0,0,0,0,0,0,0,27,25,27,27,30,39144,21249,15867,0,2028,0,0,0,681,681,0,0,18,5,3,2,0,0,125,112,31,31,26,5,9,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,669,0,0,0,0,1,0,0,0,0,0,0,2,0,Flareon
Charizard 1,Charizard,Rival (Nugget Bridge),00:05:46.28,00:06:15.17,00:24:09.10,19,0,0,6,15,17,EMBER,MEGA PUNCH,LEER,SCRATCH,44,42,44,44,50,-2,-1,0,0,0,-5,0,24,27,44,44,50,88950,41798,43641,1483,2028,0,0,0,1380,1380,0,0,49,12,10,2,0,0,1138,827,66,66,63,18,25,0,0,0,0,0,10,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,4610,0,0,0,0,4,6,0,0,0,1,0,2,0,Flareon
Charizard 1,Charizard,Oddish Lass,00:08:49.64,00:08:58.87,00:34:55.06,23,0,0,8,58,87,EMBER,MEGA PUNCH,LEER,SCRATCH,53,50,53,53,60,0,0,0,0,0,0,0,59,50,53,53,60,127706,50694,72673,2311,2028,0,0,0,1566,1566,0,0,74,22,20,2,0,0,2268,1643,131,131,98,20,42,0,0,0,0,0,14,0,4,0,0,1,0,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,46,8710,0,0,0,0,5,6,0,0,0,1,0,2,0,Flareon
Charizard 1,Charizard,Rocket,00:09:25.44,00:09:35.27,00:37:19.00,23,0,0,9,35,27,EMBER,MEGA PUNCH,LEER,SCRATCH,53,50,53,53,60,0,0,0,0,0,0,0,59,50,53,53,60,136340,56074,75485,2753,2028,0,0,0,1708,1708,0,0,86,23,21,2,0,0,2425,1746,145,145,102,20,44,0,0,0,0,0,14,0,5,0,0,1,0,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,48,9399,0,0,0,0,5,6,0,0,0,1,0,2,0,Flareon
Charizard 1,Charizard,Misty,00:10:07.02,00:10:23.63,00:40:30.15,24,0,0,10,23,63,EMBER,MEGA PUNCH,DIG,SCRATCH,55,52,55,55,63,0,0,0,0,0,0,0,61,52,55,55,63,147815,59388,81550,4849,2028,1,0,0,1784,1784,0,0,92,25,23,2,0,0,2616,1895,216,216,107,23,46,0,0,0,0,0,16,0,5,0,0,1,0,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,51,11189,0,0,0,0,5,6,0,0,0,2,0,2,0,Flareon
Charizard 1,Charizard,Rival (SS Anne),00:12:24.77,00:12:40.69,00:49:30.30,27,0,0,12,40,69,BODY SLAM,EMBER,DIG,SCRATCH,62,59,62,62,71,0,0,0,0,0,-1,0,69,59,62,62,71,180230,74327,97847,6028,2028,1,0,0,2281,2281,0,0,133,31,29,2,0,0,3693,2526,226,226,123,28,49,0,0,0,0,0,17,0,5,0,0,1,0,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,65,15493,0,0,0,0,9,9,0,0,0,3,0,2,0,Flareon
Charizard 1,Charizard,Lt. Surge,00:13:22.68,00:13:28.26,00:52:38.40,27,0,0,13,28,26,BODY SLAM,EMBER,DIG,SCRATCH,62,59,62,62,71,0,0,0,0,0,0,0,69,59,62,62,71,191520,80972,99728,8792,2028,2,0,0,2462,2462,0,0,144,32,30,2,0,0,3837,2602,226,226,124,29,49,0,0,0,0,0,18,0,5,0,0,1,0,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,66,16225,0,0,0,0,9,9,0,0,0,4,0,2,0,Flareon
Charizard 1,Charizard,RTG1 - Wrapping Lass,00:14:16.29,00:14:28.90,00:56:37.21,28,0,0,14,28,90,BODY SLAM,EMBER,DIG,SCRATCH,64,61,64,64,73,0,0,0,0,0,0,0,72,68,64,64,73,205841,89932,103309,10572,2028,2,0,0,2670,2619,51,0,166,33,31,2,0,0,4149,2792,226,226,128,29,49,0,0,0,0,0,20,0,5,0,0,1,0,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,70,17473,0,0,0,0,9,14,0,0,0,4,0,2,0,Flareon
Charizard 1,Charizard,RTG4 - Status Jr Trainer,00:15:20.68,00:15:32.65,01:00:49.02,29,0,0,15,32,65,BODY SLAM,EMBER,DIG,SCRATCH,67,63,67,67,76,0,0,0,0,0,0,0,75,70,67,67,76,220942,93084,114436,11394,2028,2,0,0,2867,2619,248,0,184,37,35,2,0,0,4953,3281,248,248,140,30,54,0,0,0,0,0,24,0,5,0,0,1,0,0,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,78,20353,0,0,0,0,9,14,0,0,0,4,0,2,0,Flareon
