date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
11-19,14:21:58,NINTEN,Charmeleon,Rival1-Lab,1,Pallet Town - Oak's Lab,1,41.46,41,0h0m41s,0,0,0,6,0:02,7.466,EMBER,GROWL,SCRATCH,,0,71,2,1,1,3,3,2,0,3000,Jolteon, ,Fire,Fire,232,Charmeleon9,Charmeleon,Rival (Lab),00:00:33.99,00:00:41.46,00:02:10.21,6,0,0,0,41,46,EMBER,GROWL,SCRATCH,,22,40,35,0,0,0,0,0,24,24,14,13,14,14,16,55,55,50,65,65,55,15,15,15,15,0,-1,0,0,0,0,0,14,8,14,14,16,9806,4781,3012,0,2013,0,0,0,71,71,0,0,2,2,1,1,0,0,23,21,0,0,3,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,9,0,Jolteon
11-19,14:23:32,NINTEN,Charmeleon,Bug Catcher,3,Viridian Forest,1,2:15.96,2:15,0h2m15s,0,1,1,8,0:08,6.044,EMBER,GROWL,SCRATCH,,0,631,45,2,3,7,7,5,3,75,Flareon, ,Fire,Fire,344,Charmeleon9,Charmeleon,,00:02:09.91,00:02:15.96,00:08:23.48,8,0,0,2,15,96,EMBER,GROWL,SCRATCH,,21,40,35,0,0,0,0,0,25,29,17,16,17,17,20,100,85,85,85,85,100,15,15,15,15,0,0,0,0,0,0,0,17,16,17,17,20,32213,22285,7915,0,2013,0,0,0,631,631,0,0,45,5,2,3,0,0,76,66,4,4,7,1,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,209,0,0,0,0,1,13,0,1,1,0,1,9,1,Flareon
11-19,14:23:58,NINTEN,Charmeleon,Jr Trainer M,1,Pewter City - Gym,2,2:41.77,2:41,0h2m41s,0,1,1,10,0:10,13.1,EMBER,GROWL,SCRATCH,,0,729,48,3,3,13,13,10,3,175,Flareon, ,Fire,Fire,678,Charmeleon9,Charmeleon,,00:02:28.67,00:02:41.77,00:10:05.30,10,0,0,2,41,77,EMBER,GROWL,SCRATCH,,15,40,35,0,0,0,0,0,10,34,21,19,21,21,24,160,215,195,160,160,235,15,15,15,15,0,0,0,0,0,0,0,21,19,21,21,24,38315,24469,11535,298,2013,0,0,0,729,729,0,0,48,6,3,3,0,0,131,117,28,28,13,2,8,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,543,0,0,0,0,1,13,0,1,1,0,1,9,1,Flareon
11-19,14:24:24,NINTEN,Charmeleon,Brock,1,Pewter City - Gym,2,3:07.90,3:07,0h3m7s,0,1,1,12,0:11,19.08,EMBER,GROWL,SCRATCH,,0,733,49,4,3,22,22,17,3,355,Flareon, ,Fire,Fire,1138,Charmeleon9,Charmeleon,Brock,00:02:48.82,00:03:07.90,00:11:48.30,12,0,0,3,7,90,EMBER,GROWL,SCRATCH,,6,40,35,0,0,0,0,0,11,40,24,23,24,24,28,235,340,455,220,220,325,15,15,15,15,0,-6,0,0,0,0,0,24,5,24,24,28,44495,25006,16636,840,2013,0,0,0,733,733,0,0,49,7,4,3,0,0,194,178,57,57,22,2,15,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1003,0,0,0,0,1,13,0,1,1,0,1,9,1,Flareon
11-19,14:24:53,NINTEN,Charmeleon,Bug Catcher,4,Route 3,3,3:36.74,3:36,0h3m36s,0,1,1,13,0:13,9.053,EMBER,GROWL,SCRATCH,,0,844,50,5,3,25,25,17,4,1543,Flareon, ,Fire,Fire,1473,Charmeleon9,Charmeleon,,00:03:27.70,00:03:36.74,00:13:42.27,13,0,0,3,36,74,EMBER,GROWL,SCRATCH,,22,40,35,0,0,0,0,0,42,42,26,24,26,26,30,365,435,555,280,280,465,15,15,15,15,0,0,0,0,0,0,0,29,24,26,26,30,51332,28688,19791,840,2013,0,0,0,844,844,0,0,50,8,5,3,0,0,312,267,57,57,25,2,15,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1338,0,0,0,0,1,13,0,1,1,0,1,9,1,Flareon
11-19,14:25:07,NINTEN,Charmeleon,Youngster Ben,1,Route 3,2,3:50.91,3:50,0h3m50s,0,1,1,14,0:14,10.622,EMBER,GROWL,SCRATCH,,0,848,50,6,3,30,30,21,4,1643,Flareon, ,Fire,Fire,1751,Charmeleon9,Charmeleon,,00:03:40.29,00:03:50.91,00:14:38.20,14,0,0,3,50,91,EMBER,GROWL,SCRATCH,,17,40,35,0,0,0,0,0,30,45,27,26,27,27,32,430,551,634,345,345,592,15,15,15,15,0,0,0,0,0,0,0,30,26,27,27,32,54685,29029,22803,840,2013,0,0,0,848,848,0,0,50,9,6,3,0,0,394,326,72,72,30,4,17,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1616,0,0,0,0,1,13,0,1,1,0,1,9,1,Flareon
11-19,14:25:23,NINTEN,Charmeleon,Bug Catcher,5,Route 3,4,4:06.07,4:06,0h4m6s,0,1,1,15,0:15,12.32,EMBER,GROWL,SCRATCH,LEER,0,852,51,7,3,34,34,21,4,1808,Flareon, ,Fire,Fire,2226,Charmeleon9,Charmeleon,,00:03:53.75,00:04:06.07,00:15:38.02,15,0,0,4,6,7,EMBER,GROWL,SCRATCH,LEER,13,40,35,30,0,0,0,0,32,47,29,27,29,29,34,610,661,804,435,435,752,15,15,15,15,0,0,0,0,0,0,0,32,27,29,29,34,58267,29200,26214,840,2013,0,0,0,852,852,0,0,51,10,7,3,0,0,678,438,72,72,34,4,17,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2091,0,0,0,0,1,13,0,1,1,1,1,9,1,Flareon
11-19,14:25:33,NINTEN,Charmeleon,Bug Catcher,6,Route 3,2,4:16.90,4:16,0h4m16s,0,1,1,15,0:16,6.247,EMBER,GROWL,SCRATCH,LEER,0,860,52,8,3,36,36,21,4,1898,Flareon, ,Fire,Fire,2519,Charmeleon9,Charmeleon,,00:04:10.65,00:04:16.90,00:16:20.41,15,0,0,4,16,90,EMBER,GROWL,SCRATCH,LEER,11,40,35,30,0,0,0,0,32,47,29,27,29,29,34,705,711,894,480,480,827,15,15,15,15,0,0,0,0,0,0,0,32,27,29,29,34,60826,29752,28221,840,2013,0,0,0,860,860,0,0,52,11,8,3,0,0,768,503,72,72,36,4,17,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2384,0,0,0,0,1,13,0,1,1,1,1,9,1,Flareon
11-19,14:26:32,NINTEN,Charmeleon,Fossil Nerd,2,Mt Moon - 3,3,5:15.91,5:15,0h5m15s,0,1,1,17,0:20,16.105,EMBER,GROWL,SCRATCH,MEGA PUNCH,0,1258,65,9,3,42,42,24,5,2008,Flareon, ,Fire,Fire,3306,Charmeleon9,Charmeleon,,00:04:59.80,00:05:15.91,00:20:14.07,17,0,0,5,15,91,EMBER,GROWL,SCRATCH,MEGA PUNCH,9,40,35,16,0,0,0,0,32,53,33,31,33,33,38,865,886,1089,635,635,987,15,15,15,15,0,0,0,0,0,0,0,37,31,33,33,38,74832,37977,32448,2394,2013,0,0,0,1258,1258,0,0,65,12,9,3,0,0,909,612,78,78,42,4,20,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3171,0,0,0,0,3,13,0,1,1,2,1,9,1,Flareon
11-19,14:26:56,NINTEN,Charmeleon,Rocket,42,Mt Moon - 3,3,5:39.84,5:39,0h5m39s,0,1,1,18,0:21,16.358,EMBER,GROWL,SCRATCH,MEGA PUNCH,0,1274,67,10,3,49,49,28,6,2308,Flareon,Poisoned,Fire,Fire,4041,Charmeleon9,Charmeleon,,00:05:23.48,00:05:39.84,00:21:48.42,18,0,0,5,39,84,EMBER,GROWL,SCRATCH,MEGA PUNCH,5,40,35,13,0,0,0,0,4,55,34,32,35,35,40,980,1056,1263,775,775,1167,15,15,15,15,0,0,0,0,0,0,0,38,32,35,35,40,80507,39372,36728,2394,2013,0,0,0,1274,1274,0,0,67,13,10,3,0,0,1062,722,108,108,49,4,24,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3906,0,0,0,0,3,13,0,1,1,2,1,9,1,Flareon
