ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Cloyster6,Cloyster,Rival (Lab),00:00:34.16,00:00:42.60,00:02:14.13,5,0,0,0,42,60,AURORA BEAM,SUPERSONIC,WITHDRAW,CLAMP,16,24,15,15,13,0,-1,0,0,0,0,0,16,15,15,15,13,10083,4774,3251,0,2058,0,0,0,71,71,0,0,3,2,1,1,0,0,21,21,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,6,0,Jolteon
Cloyster6,Cloyster,Brock,00:02:39.08,00:02:53.73,00:10:52.10,9,0,0,2,53,73,AURORA BEAM,SUPERSONIC,WITHDRAW,CLAMP,25,40,23,23,20,0,0,0,0,0,0,0,25,40,23,23,20,41160,24052,15050,0,2058,0,0,0,726,726,0,0,44,7,4,3,0,0,202,174,22,22,10,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1003,0,0,0,0,1,13,0,1,1,0,0,6,0,Flareon
Cloyster6,Cloyster,Rival (Nugget Bridge),00:05:52.03,00:06:06.73,00:23:33.54,15,0,0,6,6,73,AURORA BEAM,SUPERSONIC,WITHDRAW,CLAMP,39,64,36,36,31,-1,-1,0,0,0,0,0,28,42,36,36,31,86864,41257,42023,1526,2058,0,0,0,1341,1341,0,0,62,14,11,3,0,0,1232,889,73,73,45,6,30,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4944,0,0,0,0,3,13,0,1,1,0,0,6,0,Flareon
Cloyster6,Cloyster,Misty,00:06:40.35,00:07:29.34,00:29:01.21,17,0,0,7,29,34,AURORA BEAM,SUPERSONIC,WITHDRAW,CLAMP,43,73,40,40,35,0,1,0,0,0,0,0,48,109,40,40,35,106511,44996,57459,1998,2058,0,0,0,1404,1404,0,0,68,16,13,3,0,0,1398,1038,114,114,65,12,45,0,0,0,0,0,5,0,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,30,6734,0,0,0,0,3,13,0,1,1,0,0,6,0,Flareon
Cloyster6,Cloyster,Oddish Lass,00:09:40.79,00:09:49.81,00:38:15.16,21,0,0,9,49,81,AURORA BEAM,BUBBLEBEAM,WITHDRAW,CLAMP,53,89,49,49,43,0,0,0,0,0,0,0,59,89,49,49,43,139746,53603,80678,3407,2058,0,0,0,1594,1594,0,0,89,26,23,3,0,0,3814,1932,124,124,91,12,48,0,0,0,0,0,8,0,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,53,11435,0,0,0,0,4,13,0,1,1,1,0,6,0,Flareon
Cloyster6,Cloyster,Rocket,00:10:22.63,00:10:31.72,00:41:00.52,21,0,0,10,31,72,AURORA BEAM,BUBBLEBEAM,WITHDRAW,CLAMP,53,89,49,49,43,0,0,0,0,0,0,0,59,89,49,49,43,149682,60898,83319,3407,2058,0,0,0,1786,1786,0,0,93,27,24,3,0,0,3926,2035,124,124,94,12,48,0,0,0,0,0,8,0,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,55,12124,0,0,0,0,5,13,0,1,1,1,0,6,0,Flareon
Cloyster6,Cloyster,Rival (SS Anne),00:11:42.86,00:11:57.35,00:46:38.24,23,0,0,11,57,35,AURORA BEAM,BUBBLEBEAM,WITHDRAW,CLAMP,59,98,53,53,47,0,-1,0,0,0,0,0,66,64,53,53,47,169934,69668,94801,3407,2058,0,0,0,2094,2094,0,0,113,31,28,3,0,0,4921,2527,156,156,108,13,54,0,0,0,0,0,9,0,5,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,66,15345,0,0,0,0,7,16,0,1,1,1,0,6,0,Flareon
Cloyster6,Cloyster,Lt. Surge,00:12:56.04,00:13:05.92,00:50:27.31,23,1,0,13,5,92,AURORA BEAM,BUBBLEBEAM,WITHDRAW,CLAMP,59,98,53,53,47,-2,0,0,0,0,0,0,32,98,53,53,47,183686,76697,97658,7113,2218,1,1,0,2277,2277,0,0,125,32,29,3,0,0,5005,2603,156,156,111,14,56,0,0,0,0,0,10,0,5,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,67,16077,0,0,0,0,7,16,0,1,1,3,0,6,1,Flareon
Cloyster6,Cloyster,RTG1 - Wrapping Lass,00:13:49.21,00:14:00.76,00:54:03.23,24,1,0,14,0,76,AURORA BEAM,BUBBLEBEAM,WITHDRAW,CLAMP,61,102,56,56,49,0,0,0,0,0,0,0,68,114,56,56,49,196638,84556,100974,8890,2218,1,1,0,2465,2415,50,0,137,33,30,3,0,0,5350,2793,156,156,115,14,56,0,0,0,0,0,12,0,5,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,71,17325,0,0,0,0,7,16,0,1,1,3,0,6,1,Flareon
Cloyster6,Cloyster,RTG4 - Status Jr Trainer,00:14:54.20,00:15:00.61,00:57:59.34,25,1,0,15,0,61,AURORA BEAM,BUBBLEBEAM,WITHDRAW,CLAMP,64,106,58,58,51,0,0,0,0,0,0,0,72,119,58,58,51,210809,87650,111674,9267,2218,1,1,0,2663,2415,248,0,157,37,34,3,0,0,6047,3281,172,172,127,15,58,0,0,0,0,0,14,0,5,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,79,20205,0,0,0,0,7,16,0,1,1,3,0,6,1,Flareon
