date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
2-23,12:04:37,NINTEN,Cloyster,Champion,2,Champions Room,6,11.54,11,0h0m11s,0,0,0,55,2:46,1.255,MIMIC,WITHDRAW,SURF,BLIZZARD,16,7194,667,68,8,458,372,182,15,62416,Flareon, ,Water,Ice,213684,Cloyster3,Cloyster,Champion,00:00:10.28,00:00:11.54,02:46:48.22,55,0,0,0,11,54,MIMIC,WITHDRAW,SURF,BLIZZARD,6,34,10,6,0,0,0,3,16,150,142,234,129,129,121,10172,14933,12143,11544,11544,26860,15,15,15,15,0,6,0,0,0,0,0,200,999,183,183,172,602526,251376,281996,66335,2819,16,5,0,7194,5599,1456,139,667,76,68,8,4,0,25165,15079,1272,1272,283,68,139,0,0,0,0,0,46,0,13,0,2,14,0,0,0,0,5,0,0,2,0,0,0,0,35,19,0,0,4,3,0,0,0,1,0,0,0,188,158744,0,0,0,0,35,37,9,1,1,12,0,3,0,Flareon
2-23,12:21:30,NINTEN,Cloyster,Rival1-Lab,1,Pallet Town - Oak's Lab,1,43.94,43,0h0m43s,0,0,0,5,0:02,10.031,AURORA BEAM,WITHDRAW,SUPERSONIC,CLAMP,0,71,2,1,1,3,3,2,0,3000,Jolteon, ,Water,Ice,253,Cloyster3,Cloyster,Rival (Lab),00:00:33.91,00:00:43.94,00:02:20.57,5,0,0,0,43,94,AURORA BEAM,WITHDRAW,SUPERSONIC,CLAMP,17,40,20,10,0,0,0,0,19,21,16,24,15,15,13,55,55,50,65,65,55,15,15,15,15,0,0,0,0,0,0,0,16,24,15,15,13,10403,4794,3635,0,1974,0,0,0,71,71,0,0,2,2,1,1,0,0,31,21,2,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,3,0,Jolteon
2-23,12:23:04,NINTEN,Cloyster,Bug Catcher,3,Viridian Forest,1,2:17.67,2:17,0h2m17s,0,0,0,6,0:08,7.765,AURORA BEAM,WITHDRAW,SUPERSONIC,CLAMP,0,623,32,2,3,7,7,5,3,75,Flareon, ,Water,Ice,365,Cloyster3,Cloyster,,00:02:09.91,00:02:17.67,00:08:31.21,6,0,0,2,17,67,AURORA BEAM,WITHDRAW,SUPERSONIC,CLAMP,17,40,20,9,0,0,0,0,20,23,18,28,17,17,15,100,85,85,85,85,100,15,15,15,15,0,0,0,0,-1,0,0,18,28,17,17,9,32627,21812,8841,0,1974,0,0,0,623,623,0,0,32,5,2,3,0,0,75,61,5,5,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,209,0,0,0,0,1,13,0,1,1,0,0,3,0,Flareon
2-23,12:23:25,NINTEN,Cloyster,Jr Trainer M,1,Pewter City - Gym,2,2:38.91,2:38,0h2m38s,0,0,0,8,0:09,10.651,AURORA BEAM,WITHDRAW,SUPERSONIC,CLAMP,0,717,32,3,3,11,10,7,3,175,Flareon, ,Water,Ice,699,Cloyster3,Cloyster,,00:02:28.26,00:02:38.91,00:09:55.06,8,0,0,2,38,91,AURORA BEAM,WITHDRAW,SUPERSONIC,CLAMP,15,40,20,8,0,0,0,0,19,28,22,36,21,21,18,160,215,195,160,160,235,15,15,15,15,0,0,0,0,0,0,0,22,36,21,21,18,37652,23838,11840,0,1974,0,0,0,717,717,0,0,32,6,3,3,0,0,153,112,11,11,10,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,543,0,0,0,0,1,13,0,1,1,0,0,3,0,Flareon
2-23,12:23:38,NINTEN,Cloyster,Brock,1,Pewter City - Gym,2,2:51.83,2:51,0h2m51s,0,0,0,9,0:10,8.462,AURORA BEAM,WITHDRAW,SUPERSONIC,CLAMP,0,721,33,4,3,14,13,8,3,355,Flareon, ,Water,Ice,1159,Cloyster3,Cloyster,Brock,00:02:43.38,00:02:51.83,00:10:46.07,9,0,0,2,51,83,AURORA BEAM,WITHDRAW,SUPERSONIC,CLAMP,14,40,20,6,0,0,0,0,22,31,25,40,23,23,20,235,340,455,220,220,325,15,15,15,15,0,0,0,0,0,0,0,25,40,23,23,20,40713,24328,14411,0,1974,0,0,0,721,721,0,0,33,7,4,3,0,0,222,173,11,11,12,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1003,0,0,0,0,1,13,0,1,1,0,0,3,0,Flareon
2-23,12:24:03,NINTEN,Cloyster,Bug Catcher,4,Route 3,3,3:16.53,3:16,0h3m16s,0,0,0,10,0:12,11.574,AURORA BEAM,WITHDRAW,SUPERSONIC,CLAMP,0,792,34,5,3,18,17,10,4,1543,Flareon, ,Water,Ice,1494,Cloyster3,Cloyster,,00:03:04.94,00:03:16.53,00:12:23.43,10,0,0,3,16,53,AURORA BEAM,WITHDRAW,SUPERSONIC,CLAMP,10,40,20,6,0,0,0,0,24,33,27,44,25,25,22,365,435,555,280,280,465,15,15,15,15,0,0,0,0,-2,0,0,37,44,25,25,11,46569,26453,18142,0,1974,0,0,0,792,792,0,0,34,8,5,3,0,0,376,262,11,11,16,3,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1338,0,0,0,0,1,13,0,1,1,0,0,3,0,Flareon
2-23,12:24:16,NINTEN,Cloyster,Youngster Ben,1,Route 3,2,3:29.34,3:29,0h3m29s,0,0,0,11,0:13,9.468,AURORA BEAM,WITHDRAW,SUPERSONIC,CLAMP,0,796,34,6,3,23,19,11,4,1643,Flareon, ,Water,Ice,1772,Cloyster3,Cloyster,,00:03:19.88,00:03:29.34,00:13:14.14,11,0,0,3,29,34,AURORA BEAM,WITHDRAW,SUPERSONIC,CLAMP,10,40,20,4,0,0,0,0,26,35,29,48,27,27,24,430,551,634,345,345,592,15,15,15,15,0,-1,0,0,0,0,0,32,31,27,27,24,49600,26745,20881,0,1974,0,0,0,796,796,0,0,34,9,6,3,0,0,451,321,11,11,18,3,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1616,0,0,0,0,1,13,0,1,1,0,0,3,0,Flareon
2-23,12:24:30,NINTEN,Cloyster,Bug Catcher,5,Route 3,4,3:43.39,3:43,0h3m43s,0,0,0,12,0:14,11.184,AURORA BEAM,WITHDRAW,SUPERSONIC,CLAMP,0,800,34,7,3,27,23,11,4,1808,Flareon, ,Water,Ice,2247,Cloyster3,Cloyster,,00:03:32.21,00:03:43.39,00:14:09.31,12,0,0,3,43,39,AURORA BEAM,WITHDRAW,SUPERSONIC,CLAMP,6,40,20,4,0,0,0,0,29,38,32,52,29,29,26,610,661,804,435,435,752,15,15,15,15,0,0,0,0,0,0,0,36,52,29,29,26,52917,26918,24025,0,1974,0,0,0,800,800,0,0,34,10,7,3,0,0,594,433,11,11,22,3,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2091,0,0,0,0,1,13,0,1,1,0,0,3,0,Flareon
2-23,12:24:43,NINTEN,Cloyster,Bug Catcher,6,Route 3,2,3:56.98,3:56,0h3m56s,0,0,0,12,0:15,8.956,AURORA BEAM,WITHDRAW,SUPERSONIC,CLAMP,0,808,35,8,3,31,27,13,4,1898,Flareon, ,Water,Ice,2540,Cloyster3,Cloyster,,00:03:48.03,00:03:56.98,00:15:03.12,12,0,0,3,56,98,AURORA BEAM,WITHDRAW,SUPERSONIC,CLAMP,2,40,20,4,0,0,0,0,29,38,32,52,29,29,26,705,711,894,480,480,827,15,15,15,15,0,0,0,0,-1,0,0,40,52,29,29,17,56138,27475,26689,0,1974,0,0,0,808,808,0,0,35,11,8,3,0,0,709,498,11,11,26,3,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2384,0,0,0,0,1,13,0,1,1,0,0,3,0,Flareon
2-23,12:25:35,NINTEN,Cloyster,Fossil Nerd,2,Mt Moon - 3,3,4:48.65,4:48,0h4m48s,0,0,0,13,0:18,15.93,AURORA BEAM,WITHDRAW,SUPERSONIC,CLAMP,0,1178,40,9,3,42,33,16,5,2008,Flareon, ,Water,Ice,3327,Cloyster3,Cloyster,,00:04:32.73,00:04:48.65,00:18:27.41,13,0,0,4,48,65,AURORA BEAM,WITHDRAW,SUPERSONIC,CLAMP,20,40,20,4,0,0,0,0,35,40,34,56,31,31,28,865,886,1089,635,635,987,15,15,15,15,0,-2,0,0,0,0,0,42,28,31,31,28,68407,35549,30884,0,1974,0,0,0,1178,1178,0,0,40,12,9,3,0,0,833,607,16,16,31,4,12,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3171,0,0,0,0,2,13,0,1,1,0,0,3,0,Flareon
