ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Dewgong4,Dewgong,Rival (Lab),00:00:33.79,00:00:40.26,00:02:06.03,6,0,0,0,40,26,AURORA BEAM,GROWL,HEADBUTT,,15,16,18,18,15,0,0,0,0,0,0,0,15,16,18,18,15,9521,4762,2773,0,1986,0,0,0,71,71,0,0,4,2,1,1,0,0,21,21,5,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,4,0,Jolteon
Dewgong4,Dewgong,Brock,00:02:42.36,00:02:50.96,00:10:42.17,10,0,0,2,50,96,AURORA BEAM,GROWL,HEADBUTT,,22,24,27,27,22,0,0,0,0,0,0,0,22,24,27,27,22,40495,24683,13826,0,1986,0,0,0,739,739,0,0,44,7,4,3,0,0,298,177,30,30,12,1,7,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1003,0,0,0,0,1,13,0,1,1,0,0,4,0,Flareon
Dewgong4,Dewgong,Rival (Nugget Bridge),00:05:45.89,00:06:04.72,00:23:26.36,17,0,0,6,4,72,AURORA BEAM,GROWL,HEADBUTT,,35,39,43,43,35,-1,0,0,0,0,-2,0,25,39,43,43,35,86354,42064,41646,658,1986,0,0,0,1360,1360,0,0,63,16,12,4,1,0,1606,978,92,92,45,4,26,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5541,0,0,0,0,3,13,0,1,1,0,0,4,0,Flareon
Dewgong4,Dewgong,Misty,00:06:42.66,00:07:04.16,00:27:21.26,19,0,0,7,4,16,AURORA BEAM,GROWL,HEADBUTT,BIDE,39,43,48,48,39,0,0,0,0,0,0,0,43,43,48,48,39,100444,46754,50028,1676,1986,0,0,0,1469,1469,0,0,71,18,14,4,1,0,1777,1127,159,159,52,7,36,0,0,0,0,0,14,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,33,7331,0,0,0,0,3,13,0,1,1,1,0,4,0,Flareon
Dewgong4,Dewgong,Oddish Lass,00:09:06.50,00:09:15.11,00:35:57.28,22,0,0,9,15,11,BUBBLEBEAM,GROWL,HEADBUTT,AURORA BEAM,45,49,55,55,45,0,0,0,0,0,0,0,50,49,55,55,45,131406,55699,70883,2838,1986,0,0,0,1663,1663,0,0,84,28,24,4,1,0,3468,1943,164,164,73,7,37,0,0,0,0,0,18,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,54,11431,0,0,0,0,4,13,0,1,1,2,0,4,0,Flareon
Dewgong4,Dewgong,Rocket,00:09:41.30,00:09:48.70,00:38:10.15,23,0,0,9,48,70,BUBBLEBEAM,GROWL,HEADBUTT,AURORA BEAM,47,51,58,58,47,0,0,0,0,0,0,0,52,51,58,58,47,139373,61422,73127,2838,1986,0,0,0,1803,1803,0,0,89,29,25,4,1,0,3578,2046,164,164,75,7,37,0,0,0,0,0,19,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,56,12120,0,0,0,0,5,13,0,1,1,2,0,4,0,Flareon
Dewgong4,Dewgong,Rival (SS Anne),00:11:10.01,00:11:24.65,00:44:28.23,25,0,0,11,24,65,GROWL,BUBBLEBEAM,HEADBUTT,AURORA BEAM,51,56,63,63,51,0,0,0,0,0,0,0,57,56,63,63,51,162061,71643,85594,2838,1986,0,0,0,2138,2138,0,0,134,34,30,4,1,0,4762,2591,183,183,88,7,41,0,0,0,0,0,20,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,68,15611,0,0,0,0,8,16,0,1,1,2,0,4,0,Flareon
Dewgong4,Dewgong,Lt. Surge,00:12:20.48,00:12:28.05,00:48:38.49,25,0,0,12,28,5,BODY SLAM,BUBBLEBEAM,HEADBUTT,AURORA BEAM,51,56,63,63,51,0,0,0,0,0,0,0,57,56,63,63,51,177087,78308,87917,8876,1986,1,0,0,2317,2317,0,0,140,35,31,4,1,0,4850,2667,203,203,91,8,42,0,0,0,0,0,20,0,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,69,16343,0,0,0,0,8,16,0,1,1,5,0,4,0,Flareon
Dewgong4,Dewgong,RTG1 - Wrapping Lass,00:13:11.97,00:13:23.49,00:52:17.01,26,0,0,13,23,49,BODY SLAM,BUBBLEBEAM,HEADBUTT,AURORA BEAM,53,58,65,65,53,0,0,0,0,0,0,0,59,65,65,65,53,190179,86461,91228,10504,1986,1,0,0,2507,2456,51,0,158,36,32,4,1,0,5194,2857,203,203,95,8,42,0,0,0,0,0,20,0,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,73,17591,0,0,0,0,8,16,0,1,1,5,0,4,0,Flareon
Dewgong4,Dewgong,RTG4 - Status Jr Trainer,00:14:12.75,00:14:19.46,00:55:57.45,27,0,0,14,19,46,BODY SLAM,BUBBLEBEAM,HEADBUTT,AURORA BEAM,55,60,68,68,55,0,0,0,0,0,0,0,61,67,68,68,55,203423,89632,100745,11060,1986,1,0,0,2713,2456,257,0,177,40,36,4,1,0,6098,3345,231,231,107,8,46,0,0,0,0,0,23,0,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,81,20471,0,0,0,0,8,16,0,1,1,5,0,4,0,Flareon
