date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
2-24,15:18:30,NINTEN,Dhelmise,Rival1-Lab,1,Pallet Town - Oak's Lab,1,42.10,42,0h0m42s,0,0,0,6,0:02,8.055,MEGA DRAIN,GROWTH,LICK,WRAP,0,71,2,1,1,3,3,3,0,3000,Jolteon, ,Ghost,Grass,222,Dhelmise6,Dhelmise,Rival (Lab),00:00:34.05,00:00:42.10,00:02:13.06,6,0,0,0,42,10,MEGA DRAIN,GROWTH,LICK,WRAP,7,40,30,20,0,0,0,0,26,26,22,18,17,17,11,55,55,50,65,65,55,15,15,15,15,0,-2,0,0,0,0,0,22,9,17,17,11,9960,4807,3151,0,2002,0,0,0,71,71,0,0,2,2,1,1,0,0,22,21,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,6,0,Jolteon
2-24,15:20:06,NINTEN,Dhelmise,Bug Catcher,3,Viridian Forest,1,2:17.62,2:17,0h2m17s,0,0,0,6,0:08,10.926,MEGA DRAIN,GROWTH,LICK,WRAP,0,615,44,2,3,15,9,5,3,75,Flareon, ,Ghost,Grass,334,Dhelmise6,Dhelmise,,00:02:06.68,00:02:17.62,00:08:30.37,6,0,0,2,17,62,MEGA DRAIN,GROWTH,LICK,WRAP,10,40,27,17,0,0,0,0,26,26,22,18,17,17,11,100,85,85,85,85,100,15,15,15,15,0,0,0,0,0,0,0,22,18,17,17,11,32611,21442,9167,0,2002,0,0,0,615,615,0,0,44,5,2,3,0,0,67,63,0,0,9,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,209,0,0,0,0,0,13,0,1,1,0,0,6,0,Flareon
2-24,15:20:27,NINTEN,Dhelmise,Brock,1,Pewter City - Gym,2,2:38.82,2:38,0h2m38s,0,0,0,9,0:09,8.942,MEGA DRAIN,GROWTH,LICK,WRAP,0,719,46,3,3,17,11,6,3,175,Flareon, ,Ghost,Grass,794,Dhelmise6,Dhelmise,Brock,00:02:29.87,00:02:38.82,00:09:54.14,9,0,0,2,38,82,MEGA DRAIN,GROWTH,LICK,WRAP,8,40,27,17,0,0,0,0,34,34,31,26,24,24,15,175,210,345,145,145,190,15,15,15,15,0,-2,0,0,0,0,0,31,13,24,24,15,37628,23846,11780,0,2002,0,0,0,719,719,0,0,46,6,3,3,0,0,142,124,0,0,11,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,669,0,0,0,0,0,13,0,1,1,0,0,6,0,Flareon
2-24,15:21:06,NINTEN,Dhelmise,Bug Catcher,4,Route 3,3,3:18.02,3:18,0h3m18s,0,0,0,10,0:12,25.849,MEGA DRAIN,GROWTH,LICK,WRAP,0,792,48,4,3,33,22,16,4,1363,Flareon,Poisoned,Ghost,Grass,1129,Dhelmise6,Dhelmise,,00:02:52.17,00:03:18.02,00:12:29.33,10,0,0,3,18,2,MEGA DRAIN,GROWTH,LICK,WRAP,8,36,24,13,0,0,0,0,29,37,34,28,26,26,16,305,305,445,205,205,330,15,15,15,15,0,0,4,4,-2,0,0,38,28,78,78,8,46947,26027,18918,0,2002,0,0,0,792,792,0,0,48,7,4,3,0,0,249,213,8,8,18,5,11,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1004,0,0,0,0,0,13,0,1,1,0,0,6,0,Flareon
2-24,15:21:28,NINTEN,Dhelmise,Youngster Ben,1,Route 3,2,3:39.65,3:39,0h3m39s,0,0,0,11,0:13,16.469,MEGA DRAIN,GROWTH,LICK,WRAP,0,796,48,5,3,42,26,21,4,1463,Flareon, ,Ghost,Grass,1407,Dhelmise6,Dhelmise,,00:03:23.18,00:03:39.65,00:13:54.57,11,0,0,3,39,65,MEGA DRAIN,GROWTH,LICK,WRAP,6,36,24,11,0,0,0,0,35,40,37,30,28,28,17,370,421,524,270,270,457,15,15,15,15,0,-2,0,0,0,0,0,41,15,28,28,17,52071,26348,23336,385,2002,0,0,0,796,796,0,0,48,8,5,3,0,0,312,272,13,13,22,5,16,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,1282,0,0,0,0,0,13,0,1,1,0,0,6,0,Flareon
2-24,15:21:52,NINTEN,Dhelmise,Bug Catcher,5,Route 3,4,4:04.52,4:04,0h4m4s,0,0,0,12,0:15,21.941,MEGA DRAIN,GROWTH,LICK,WRAP,0,800,49,6,3,56,38,27,4,1628,Flareon, ,Ghost,Grass,1882,Dhelmise6,Dhelmise,,00:03:42.57,00:04:04.52,00:15:33.12,12,0,0,4,4,52,MEGA DRAIN,GROWTH,LICK,WRAP,6,36,14,9,0,0,0,0,38,43,40,33,30,30,18,550,531,694,360,360,617,15,15,15,15,0,0,0,0,0,0,0,45,33,30,30,18,57966,26529,29050,385,2002,0,0,0,800,800,0,0,49,9,6,3,0,0,460,384,13,13,34,5,18,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,13,1757,0,0,0,0,0,13,0,1,1,0,0,6,0,Flareon
2-24,15:22:12,NINTEN,Dhelmise,Bug Catcher,6,Route 3,2,4:23.90,4:23,0h4m23s,0,0,0,12,0:16,14.035,MEGA DRAIN,GROWTH,LICK,WRAP,0,808,51,7,3,63,45,34,4,1718,Flareon, ,Ghost,Grass,2175,Dhelmise6,Dhelmise,,00:04:09.87,00:04:23.90,00:16:49.53,12,0,0,4,23,90,MEGA DRAIN,GROWTH,LICK,WRAP,6,36,7,9,0,0,0,0,38,43,40,33,30,30,18,645,581,784,405,405,692,15,15,15,15,0,0,0,0,-3,0,0,63,33,30,30,7,62567,27259,32921,385,2002,0,0,0,808,808,0,0,51,10,7,3,0,0,535,449,13,13,41,5,21,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,15,2050,0,0,0,0,0,13,0,1,1,0,0,6,0,Flareon
2-24,15:22:49,NINTEN,Dhelmise,Hiker,1,Mt Moon - 1,3,5:01.59,5:01,0h5m1s,0,0,0,14,0:19,11.117,MEGA DRAIN,GROWTH,LICK,WRAP,0,1051,59,8,3,66,48,35,5,1828,Flareon, ,Ghost,Grass,2772,Dhelmise6,Dhelmise,,00:04:50.47,00:05:01.59,00:19:18.47,14,0,0,5,1,59,MEGA DRAIN,GROWTH,LICK,WRAP,7,40,30,20,0,0,0,0,48,48,46,38,35,35,21,760,786,1144,495,495,802,15,15,15,15,0,0,0,0,0,0,0,51,38,35,35,21,71501,33145,35969,385,2002,0,0,0,1051,1051,0,0,59,11,8,3,0,0,798,535,13,13,44,5,22,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,18,2647,0,0,0,0,1,13,0,1,1,0,0,6,0,Flareon
2-24,15:23:24,NINTEN,Dhelmise,Fossil Nerd,2,Mt Moon - 3,3,5:36.07,5:36,0h5m36s,0,0,0,15,0:21,21.892,MEGA DRAIN,GROWTH,LICK,WRAP,0,1172,61,9,3,85,57,38,5,2178,Flareon, ,Ghost,Grass,3559,Dhelmise6,Dhelmise,,00:05:14.17,00:05:36.07,00:21:35.13,15,0,0,5,36,7,MEGA DRAIN,GROWTH,LICK,WRAP,7,40,26,15,0,0,0,0,48,51,49,40,37,37,22,920,961,1339,650,650,962,15,15,15,15,0,0,0,0,0,0,0,55,40,37,37,22,79687,35716,41584,385,2002,0,0,0,1172,1172,0,0,61,12,9,3,0,0,915,644,16,16,53,7,23,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,21,3434,0,0,0,0,1,13,0,1,1,0,0,6,0,Flareon
2-24,15:23:59,NINTEN,Dhelmise,Rocket,42,Mt Moon - 3,3,6:10.62,6:10,0h6m10s,0,0,0,16,0:23,26.879,MEGA DRAIN,GROWTH,LICK,WRAP,0,1190,63,10,3,97,67,46,6,2478,Flareon,Poisoned,Ghost,Grass,4294,Dhelmise6,Dhelmise,,00:05:43.74,00:06:10.62,00:23:52.10,16,0,0,6,10,62,MEGA DRAIN,GROWTH,LICK,WRAP,0,40,24,14,0,0,0,0,40,54,53,43,39,39,23,1035,1131,1513,790,790,1142,15,15,15,15,-1,-1,0,0,0,0,0,38,28,39,39,23,87904,37119,48398,385,2002,0,0,0,1190,1190,0,0,63,13,10,3,0,0,1036,754,43,43,63,7,31,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,24,4169,0,0,0,0,1,13,0,1,1,0,0,6,0,Flareon
