player_name,pokemon,trainer_name,real_time_hmmss,resets,blackouts,level,game_time,battle_duration,move1,move2,move3,move4
NINTEN,Dhelmise,Rival1-Lab,41,0,0,6,0:02,7.381,MEGA DRAIN,GROWTH,LICK,WRAP
NINTEN,Dhelmise,Brock,2:40,0,0,9,0:09,11.129,MEGA DRAIN,GROWTH,LICK,WRAP
NINTEN,Dhelmise,Misty,6:49,0,0,18,0:26,14.476,MEGA DRAIN,GROWTH,LICK,WRAP
NINTEN,Dhelmise,Rival2-Nugget Bridge,7:38,0,0,19,0:29,21.314,BUBBLEBEAM,GROWTH,WRAP,MEGA DRAIN
NINTEN,Dhelmise,Cerulean Rocket,11:20,0,0,23,0:44,17.81,BUBBLEBEAM,WRAP,GROWTH,MEGA DRAIN
NINTEN,Dhelmise,Rival3-SS Anne,13:02,0,0,25,0:50,11.567,BODY SLAM,BUBBLEBEAM,WRAP,MEGA DRAIN
NINTEN,Dhelmise,Surge,13:49,0,0,25,0:54,6.646,BODY SLAM,BUBBLEBEAM,WRAP,MEGA DRAIN
NINTEN,Dhelmise,Rival4-Pkmn Tower,19:13,0,0,30,1:15,16.151,BODY SLAM,BUBBLEBEAM,ROCK SLIDE,MEGA DRAIN
NINTEN,Dhelmise,Erika,23:02,0,0,39,1:30,11.396,SWORDS DANCE,ANCHOR SHOT,ROCK SLIDE,EARTHQUAKE
NINTEN,Dhelmise,Koga,25:37,0,0,41,1:40,16.379,SWORDS DANCE,ANCHOR SHOT,ROCK SLIDE,EARTHQUAKE
NINTEN,Dhelmise,Rival5-Silph,26:57,0,0,42,1:45,23.292,SWORDS DANCE,ANCHOR SHOT,ROCK SLIDE,EARTHQUAKE
NINTEN,Dhelmise,Blaine,29:47,1,0,44,1:55,15.938,SWORDS DANCE,ANCHOR SHOT,ROCK SLIDE,EARTHQUAKE
NINTEN,Dhelmise,Sabrina,30:35,1,0,45,1:58,22.916,SWORDS DANCE,ANCHOR SHOT,ROCK SLIDE,EARTHQUAKE
NINTEN,Dhelmise,Giovanni,31:58,1,0,47,2:04,24.983,SWORDS DANCE,ANCHOR SHOT,ROCK SLIDE,EARTHQUAKE
NINTEN,Dhelmise,Rival6-Route 22,32:52,1,0,49,2:07,27.437,SWORDS DANCE,ANCHOR SHOT,ROCK SLIDE,EARTHQUAKE
NINTEN,Dhelmise,Lorelei,36:15,3,0,54,2:18,28.623,SWORDS DANCE,ANCHOR SHOT,ROCK SLIDE,EARTHQUAKE
NINTEN,Dhelmise,Bruno,36:48,3,0,55,2:21,18.965,SWORDS DANCE,ANCHOR SHOT,ROCK SLIDE,EARTHQUAKE
