ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Dodrio 3,Dodrio,Rival (Lab),00:00:34.51,00:00:42.98,00:02:17.26,6,0,0,0,42,98,PECK,GROWL,FURY ATTACK,,20,15,14,14,18,0,-1,0,0,0,0,0,20,9,14,14,18,10172,4970,3248,0,1954,0,0,0,71,71,0,0,1,2,1,1,0,0,25,21,5,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,5,0,Jolteon
Dodrio 3,Dodrio,Brock,00:03:05.86,00:03:59.17,00:15:13.11,12,0,0,3,59,17,PECK,GROWL,FURY ATTACK,,35,26,23,23,33,0,0,0,0,0,0,0,35,26,23,23,33,56717,22386,31996,381,1954,0,0,0,677,677,0,0,47,9,7,2,0,0,468,330,61,61,40,5,21,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1623,0,0,0,0,1,0,0,0,0,0,0,5,0,Flareon
Dodrio 3,Dodrio,Rival (Nugget Bridge),00:07:07.04,00:07:28.36,00:28:59.27,17,0,0,7,28,36,PECK,GROWL,FURY ATTACK,,49,35,31,31,45,0,0,0,0,0,-1,0,55,35,31,31,45,106293,43534,59359,1446,1954,0,0,0,1370,1370,0,0,76,16,14,2,0,0,1425,1045,121,121,70,8,32,0,0,0,0,0,13,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,5564,0,0,0,0,3,11,0,0,0,0,0,5,0,Flareon
Dodrio 3,Dodrio,Oddish Lass,00:09:51.36,00:10:02.22,00:39:06.05,21,0,0,10,2,22,PECK,GROWL,FURY ATTACK,,60,43,38,38,56,0,0,0,0,0,0,0,67,43,38,38,56,142692,50266,87621,2851,1954,0,0,0,1490,1490,0,0,87,26,24,2,0,0,2684,1861,177,177,103,9,43,0,0,0,0,0,18,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,9664,0,0,0,0,4,11,0,0,0,0,0,5,0,Flareon
Dodrio 3,Dodrio,Misty,00:10:48.34,00:11:02.39,00:43:04.09,22,0,0,11,2,39,PECK,GROWL,FURY ATTACK,,62,45,40,40,58,0,0,0,0,0,0,0,69,45,40,40,58,156975,57807,93841,3373,1954,1,0,0,1670,1670,0,0,101,28,26,2,0,0,2869,2010,188,188,111,10,45,0,0,0,0,0,19,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,11454,0,0,0,0,5,11,0,0,0,0,0,5,0,Flareon
Dodrio 3,Dodrio,Rocket,00:11:19.59,00:11:28.15,00:44:45.38,23,0,0,11,28,15,PECK,GROWL,FURY ATTACK,,65,47,42,42,61,0,0,0,0,0,0,0,73,47,42,42,61,163064,61258,96479,3373,1954,1,0,0,1759,1759,0,0,110,29,27,2,0,0,2986,2113,188,188,113,10,45,0,0,0,0,0,19,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,12143,0,0,0,0,5,11,0,0,0,0,0,5,0,Flareon
Dodrio 3,Dodrio,Rival (SS Anne),00:13:06.64,00:13:17.60,00:51:56.44,25,0,0,13,17,60,BODY SLAM,GROWL,FURY ATTACK,PECK,71,51,45,45,66,0,0,0,0,0,0,0,79,51,45,45,66,188930,71408,110550,5018,1954,1,0,0,2089,2089,0,0,133,34,32,2,0,0,3828,2658,226,226,127,14,51,0,0,0,0,0,20,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,15634,0,0,0,0,8,17,0,0,0,1,0,5,0,Flareon
Dodrio 3,Dodrio,Lt. Surge,00:14:20.21,00:14:25.97,00:56:26.43,25,0,0,14,25,97,BODY SLAM,GROWL,FURY ATTACK,PECK,71,51,45,45,66,0,0,0,0,0,0,0,79,51,45,45,66,205129,80133,114300,8742,1954,2,0,0,2348,2348,0,0,149,36,34,2,0,0,4182,2820,226,226,131,15,51,0,0,0,0,0,21,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,17179,0,0,0,0,9,17,0,0,0,3,0,5,0,Flareon
Dodrio 3,Dodrio,RTG1 - Wrapping Lass,00:15:12.82,00:15:25.24,01:00:20.13,26,0,0,15,25,24,BODY SLAM,GROWL,FURY ATTACK,PECK,73,53,47,47,68,0,0,0,0,0,0,0,82,59,47,47,68,219139,87990,117835,11360,1954,2,0,0,2537,2485,52,0,168,37,35,2,0,0,4541,3010,226,226,135,15,51,0,0,0,0,0,21,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,18427,0,0,0,0,9,17,0,0,0,3,0,5,0,Flareon
Dodrio 3,Dodrio,RTG4 - Status Jr Trainer,00:16:12.72,00:16:19.72,01:03:55.01,27,0,0,16,19,72,BODY SLAM,GROWL,FURY ATTACK,PECK,76,55,49,49,71,0,0,0,0,0,0,0,85,61,49,49,71,232027,91280,127156,11637,1954,2,0,0,2744,2485,259,0,185,41,39,2,0,0,5257,3498,248,248,146,15,53,0,0,0,0,0,22,0,5,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,87,21307,0,0,0,0,9,17,0,0,0,3,0,5,0,Flareon
