player_name,pokemon,trainer_name,real_time_hmmss,resets,blackouts,level,game_time,battle_duration,move1,move2,move3,move4
NINTEN,Dragonair,Rival1-Lab,42,0,0,5,0:02,9.251,WRAP,LEER,THUNDER WAVE,
NINTEN,Dragonair,Brock,5:39,0,3,11,0:21,39.816,WRAP,LEER,THUNDER WAVE,
NINTEN,Dragonair,Misty,10:55,0,3,17,0:42,35.739,THUNDER WAVE,BIDE,WRAP,WATER GUN
NINTEN,Dragonair,Rival2-Nugget Bridge,11:41,0,3,18,0:45,17.853,BUBBLEBEAM,BIDE,WRAP,WATER GUN
NINTEN,Dragonair,Cerulean Rocket,15:16,0,3,21,0:59,11.395,BUBBLEBEAM,AGILITY,WRAP,WATER GUN
NINTEN,Dragonair,Rival3-SS Anne,17:12,0,3,23,1:07,12.799,BODY SLAM,AGILITY,WRAP,BUBBLEBEAM
NINTEN,Dragonair,Surge,18:09,0,3,23,1:11,10.078,BODY SLAM,AGILITY,WRAP,BUBBLEBEAM
NINTEN,Dragonair,Erika,25:48,0,3,28,1:41,37.581,THUNDERBOLT,AGILITY,WRAP,BODY SLAM
NINTEN,Dragonair,Rival4-Pkmn Tower,26:33,0,3,29,1:44,21.733,THUNDERBOLT,AGILITY,WRAP,BODY SLAM
NINTEN,Dragonair,Koga,32:37,1,3,40,2:07,38.691,THUNDERBOLT,AGILITY,WRAP,BODY SLAM
NINTEN,Dragonair,Rival5-Silph,38:55,1,3,47,2:32,17.905,ICE BEAM,AGILITY,THUNDERBOLT,BODY SLAM
NINTEN,Dragonair,Sabrina,40:41,1,3,48,2:39,13.348,ICE BEAM,AGILITY,THUNDERBOLT,BODY SLAM
NINTEN,Dragonair,Blaine,42:18,3,3,49,2:43,17.101,HORN DRILL,AGILITY,THUNDERBOLT,BODY SLAM
NINTEN,Dragonair,Giovanni,44:10,4,3,51,2:49,25.88,BLIZZARD,AGILITY,THUNDERBOLT,BODY SLAM
NINTEN,Dragonair,Rival6-Route 22,45:05,4,3,52,2:53,28.069,BLIZZARD,AGILITY,THUNDERBOLT,BODY SLAM
NINTEN,Dragonair,Lorelei,48:45,6,3,53,3:05,32.517,BLIZZARD,AGILITY,THUNDERBOLT,MIMIC
NINTEN,Dragonair,Bruno,49:28,6,3,54,3:08,20.446,BLIZZARD,AGILITY,THUNDERBOLT,MIMIC
NINTEN,Dragonair,Agatha,50:38,6,3,55,3:13,56.315,BLIZZARD,AGILITY,THUNDERBOLT,HYPER BEAM
NINTEN,Dragonair,Lance,51:39,7,3,56,3:15,22.995,BLIZZARD,AGILITY,THUNDERBOLT,HYPER BEAM
NINTEN,Dragonair,Champion,56:20,14,3,59,3:20,45.65,BLIZZARD,AGILITY,THUNDERBOLT,HYPER BEAM
