ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Dragonite 2,Dragonite,Rival (Lab),00:00:33.79,00:00:42.66,00:02:16.19,5,0,0,0,42,66,WRAP,LEER,THUNDER WAVE,AGILITY,19,16,16,16,14,0,0,0,0,0,0,0,19,16,16,16,14,10095,4776,3375,0,1944,0,0,0,71,71,0,0,2,2,1,1,0,0,24,21,3,3,4,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,6,0,Jolteon
Dragonite 2,Dragonite,Brock,00:02:35.20,00:03:25.73,00:13:01.46,9,0,0,3,25,73,WRAP,LEER,THUNDER WAVE,AGILITY,32,25,25,25,22,0,0,0,0,2,0,0,32,25,25,25,44,48822,23249,23629,0,1944,0,0,0,705,705,0,0,25,6,4,2,0,0,164,160,28,28,36,3,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,827,0,0,0,0,1,0,0,0,0,0,0,6,0,Flareon
Dragonite 2,Dragonite,Misty,00:07:42.67,00:08:15.62,00:32:08.40,16,0,0,8,15,62,WRAP,WATER GUN,THUNDER WAVE,AGILITY,53,41,42,42,36,0,0,0,0,2,0,0,59,41,42,42,72,117636,46660,66278,2754,1944,0,0,0,1512,1512,0,0,60,14,12,2,0,0,849,798,162,162,101,13,32,0,0,0,0,0,17,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24,5293,0,0,0,0,3,14,0,0,0,1,0,6,0,Flareon
Dragonite 2,Dragonite,Rival (Nugget Bridge),00:08:41.62,00:09:03.94,00:35:19.21,17,0,0,9,3,94,BUBBLEBEAM,WRAP,WATER GUN,AGILITY,57,43,45,45,39,0,-1,0,0,0,0,0,64,28,45,45,39,129077,50892,72184,4057,1944,0,0,0,1614,1614,0,0,64,15,13,2,0,0,1055,969,178,178,109,13,35,0,0,0,0,0,18,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28,6331,0,0,0,0,4,14,0,0,0,2,0,6,0,Flareon
Dragonite 2,Dragonite,Oddish Lass,00:11:36.15,00:11:48.57,00:46:08.22,20,0,0,11,48,57,BUBBLEBEAM,WRAP,WATER GUN,AGILITY,67,51,53,53,45,0,0,0,0,0,0,0,75,51,53,53,45,168018,57618,102928,5528,1944,0,0,0,1734,1734,0,0,79,25,23,2,0,0,2639,1865,247,247,147,13,49,0,0,0,0,0,26,0,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,51,11032,0,0,0,0,5,14,0,0,0,2,0,6,0,Flareon
Dragonite 2,Dragonite,Rocket,00:12:14.69,00:12:27.00,00:48:40.22,21,0,0,12,27,0,BUBBLEBEAM,WRAP,WATER GUN,AGILITY,70,53,55,55,47,0,0,0,0,0,0,0,78,53,55,55,47,177138,63327,106339,5528,1944,0,0,0,1877,1877,0,0,94,26,24,2,0,0,2797,1968,257,257,152,15,52,0,0,0,0,0,29,0,8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,53,11721,0,0,0,0,6,14,0,0,0,2,0,6,0,Flareon
Dragonite 2,Dragonite,Rival (SS Anne),00:14:09.76,00:14:22.71,00:56:16.30,23,0,0,14,22,71,BODY SLAM,BUBBLEBEAM,WATER GUN,AGILITY,76,58,60,60,51,0,0,0,0,0,0,0,85,58,60,60,51,204506,73517,121322,7723,1944,0,0,0,2209,2209,0,0,114,31,29,2,0,0,3657,2513,297,297,171,19,62,0,0,0,0,0,31,0,8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,65,15212,0,0,0,0,9,20,0,0,0,3,0,6,0,Flareon
Dragonite 2,Dragonite,Lt. Surge,00:15:07.37,00:15:13.47,00:59:36.58,23,0,0,15,13,47,BODY SLAM,BUBBLEBEAM,WATER GUN,AGILITY,76,58,60,60,51,0,0,0,0,0,0,0,85,58,60,60,51,216534,80432,123309,10849,1944,0,0,0,2390,2390,0,0,126,32,30,2,0,0,3733,2589,330,330,173,19,63,0,0,0,0,0,31,0,8,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,66,15944,0,0,0,0,9,20,0,0,0,5,0,6,0,Flareon
Dragonite 2,Dragonite,RTG1 - Wrapping Lass,00:16:01.53,00:16:12.41,01:03:28.59,24,0,0,16,12,41,BODY SLAM,BUBBLEBEAM,THUNDERBOLT,AGILITY,80,61,63,63,54,0,0,0,0,0,0,0,90,68,63,63,54,230455,88609,126470,13432,1944,0,0,0,2583,2532,51,0,148,33,31,2,0,0,4001,2779,330,330,177,19,63,0,0,0,0,0,31,0,8,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,70,17192,0,0,0,0,9,20,0,0,0,6,0,6,0,Flareon
Dragonite 2,Dragonite,RTG4 - Status Jr Trainer,00:16:57.39,00:17:03.44,01:06:50.08,25,0,0,17,3,44,BODY SLAM,BUBBLEBEAM,THUNDERBOLT,AGILITY,83,63,66,66,56,0,0,0,0,0,0,0,93,70,66,66,56,242524,91813,135089,13678,1944,0,0,0,2782,2532,250,0,165,37,35,2,0,0,4582,3267,330,330,186,19,63,0,0,0,0,0,31,0,8,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,78,20072,0,0,0,0,9,20,0,0,0,6,0,6,0,Flareon
