date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
11-25,13:23:05,NINTEN,Dragonite,Rival1-Lab,1,Pallet Town - Oak's Lab,1,42.66,42,0h0m42s,0,0,0,5,0:02,8.874,WRAP,LEER,THUNDER WAVE,AGILITY,0,71,2,1,1,7,4,1,0,3000,Jolteon, ,Dragon,Flying,253,Dragonite 2,Dragonite,Rival (Lab),00:00:33.79,00:00:42.66,00:02:16.19,5,0,0,0,42,66,WRAP,LEER,THUNDER WAVE,AGILITY,17,29,20,30,0,0,0,0,22,25,19,16,16,16,14,55,55,50,65,65,55,15,15,15,15,0,0,0,0,0,0,0,19,16,16,16,14,10095,4776,3375,0,1944,0,0,0,71,71,0,0,2,2,1,1,0,0,24,21,3,3,4,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,6,0,Jolteon
11-25,13:24:20,NINTEN,Dragonite,Bug Catcher,1,Viridian Forest,2,1:57.57,1:57,0h1m57s,0,0,0,6,0:07,14.863,WRAP,LEER,THUNDER WAVE,AGILITY,0,486,19,2,2,23,10,1,0,3175,Flareon, ,Dragon,Flying,411,Dragonite 2,Dragonite,,00:01:42.71,00:01:57.58,00:07:12.16,6,0,0,1,57,58,WRAP,LEER,THUNDER WAVE,AGILITY,14,30,20,30,0,0,0,0,28,28,23,18,18,18,16,145,115,120,105,105,145,15,15,15,15,0,0,0,0,0,0,0,23,18,18,18,16,27852,17599,8309,0,1944,0,0,0,486,486,0,0,19,4,2,2,0,0,73,69,3,3,10,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,255,0,0,0,0,0,0,0,0,0,0,0,6,0,Flareon
11-25,13:24:40,NINTEN,Dragonite,Bug Catcher,3,Viridian Forest,1,2:17.53,2:17,0h2m17s,0,0,0,7,0:08,9.819,WRAP,LEER,THUNDER WAVE,AGILITY,0,577,23,3,2,33,14,1,1,3245,Flareon, ,Dragon,Flying,523,Dragonite 2,Dragonite,,00:02:07.72,00:02:17.54,00:08:31.23,7,0,0,2,17,54,WRAP,LEER,THUNDER WAVE,AGILITY,10,30,20,30,0,0,0,0,32,32,26,20,21,21,18,190,145,155,125,125,190,15,15,15,15,0,0,0,0,0,0,0,26,20,21,21,18,32599,19573,11082,0,1944,0,0,0,577,577,0,0,23,5,3,2,0,0,103,99,3,3,14,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,367,0,0,0,0,1,0,0,0,0,0,0,6,0,Flareon
11-25,13:25:48,NINTEN,Dragonite,Brock,1,Pewter City - Gym,2,3:25.72,3:25,0h3m25s,0,0,0,9,0:13,50.525,WRAP,LEER,THUNDER WAVE,AGILITY,0,705,25,4,2,90,38,8,1,3345,Flareon, ,Dragon,Flying,983,Dragonite 2,Dragonite,Brock,00:02:35.20,00:03:25.73,00:13:01.46,9,0,0,3,25,73,WRAP,LEER,THUNDER WAVE,AGILITY,4,23,20,29,0,0,0,0,13,38,32,25,25,25,22,265,270,415,185,185,280,15,15,15,15,0,0,0,0,2,0,0,32,25,25,25,44,48822,23249,23629,0,1944,0,0,0,705,705,0,0,25,6,4,2,0,0,164,160,28,28,36,3,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,827,0,0,0,0,1,0,0,0,0,0,0,6,0,Flareon
11-25,13:26:34,NINTEN,Dragonite,Bug Catcher,4,Route 3,3,4:11.35,4:11,0h4m11s,0,0,0,10,0:16,18.06,WRAP,LEER,THUNDER WAVE,AGILITY,0,825,34,5,2,106,45,9,4,1233,Flareon, ,Dragon,Flying,1318,Dragonite 2,Dragonite,,00:03:53.30,00:04:11.36,00:16:02.11,10,0,0,4,11,36,WRAP,LEER,THUNDER WAVE,AGILITY,14,29,20,30,0,0,0,0,38,41,35,27,28,28,24,395,365,515,245,245,420,15,15,15,15,0,0,0,0,0,0,0,39,27,28,28,24,59647,28776,28927,0,1944,0,0,0,825,825,0,0,34,7,5,2,0,0,258,249,31,31,43,3,7,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1162,0,0,0,0,1,14,0,0,0,0,0,6,0,Flareon
11-25,13:26:56,NINTEN,Dragonite,Youngster Ben,1,Route 3,2,4:33.23,4:33,0h4m33s,0,0,0,10,0:17,18.77,WRAP,LEER,THUNDER WAVE,AGILITY,0,829,35,6,2,122,54,14,4,1333,Flareon, ,Dragon,Flying,1596,Dragonite 2,Dragonite,,00:04:14.47,00:04:33.24,00:17:28.45,10,0,0,4,33,24,WRAP,LEER,THUNDER WAVE,AGILITY,7,27,20,30,0,0,0,0,13,41,35,27,28,28,24,460,481,594,310,310,547,15,15,15,15,0,0,0,0,0,0,0,39,27,28,28,24,64841,28984,33913,0,1944,0,0,0,829,829,0,0,35,8,6,2,0,0,320,308,56,56,50,6,11,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1440,0,0,0,0,1,14,0,0,0,0,0,6,0,Flareon
11-25,13:27:17,NINTEN,Dragonite,Lass,2,Route 3,2,4:55.05,4:55,0h4m55s,0,0,0,11,0:18,15.958,WRAP,LEER,THUNDER WAVE,AGILITY,0,837,36,7,2,134,61,18,4,1498,Flareon, ,Dragon,Flying,1844,Dragonite 2,Dragonite,,00:04:39.10,00:04:55.06,00:18:54.50,11,0,0,4,55,6,WRAP,LEER,THUNDER WAVE,AGILITY,2,25,20,30,0,0,0,0,11,44,38,29,30,30,26,536,594,669,375,375,669,15,15,15,15,0,0,0,0,0,0,0,42,29,30,30,26,70006,29507,38198,357,1944,0,0,0,837,837,0,0,36,9,7,2,0,0,389,365,81,81,56,7,15,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1688,0,0,0,0,1,14,0,0,0,0,0,6,0,Flareon
11-25,13:27:46,NINTEN,Dragonite,Bug Catcher,6,Route 3,2,5:23.32,5:23,0h5m23s,0,0,0,11,0:20,11.122,WRAP,LEER,THUNDER WAVE,AGILITY,0,975,47,8,2,144,65,18,4,1648,Flareon, ,Dragon,Flying,2137,Dragonite 2,Dragonite,,00:05:12.20,00:05:23.32,00:20:46.33,11,0,0,5,23,32,WRAP,LEER,THUNDER WAVE,AGILITY,16,30,20,30,0,0,0,0,44,44,38,29,30,30,26,631,644,759,420,420,744,15,15,15,15,0,0,0,0,0,0,0,42,29,30,30,26,76709,33085,41323,357,1944,0,0,0,975,975,0,0,47,10,8,2,0,0,459,430,81,81,60,7,15,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1981,0,0,0,0,1,14,0,0,0,0,0,6,0,Flareon
11-25,13:28:50,NINTEN,Dragonite,Fossil Nerd,2,Mt Moon - 3,3,6:27.40,6:27,0h6m27s,0,0,0,13,0:25,25.743,WRAP,WATER GUN,THUNDER WAVE,AGILITY,0,1347,54,9,2,156,77,28,5,1758,Flareon, ,Dragon,Flying,2924,Dragonite 2,Dragonite,,00:06:01.66,00:06:27.41,00:25:00.33,13,0,0,6,27,41,WRAP,WATER GUN,THUNDER WAVE,AGILITY,16,13,20,30,0,0,0,0,15,51,44,34,35,35,30,791,819,954,575,575,904,15,15,15,15,0,-4,0,0,0,0,0,49,11,35,35,30,91949,40485,47853,1667,1944,0,0,0,1347,1347,0,0,54,11,9,2,0,0,580,539,117,117,72,9,24,0,0,0,0,0,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2768,0,0,0,0,3,14,0,0,0,1,0,6,0,Flareon
11-25,13:29:28,NINTEN,Dragonite,Rocket,42,Mt Moon - 3,3,7:05.36,7:05,0h7m5s,0,0,0,14,0:27,27.394,WRAP,WATER GUN,THUNDER WAVE,AGILITY,0,1363,55,10,2,179,88,34,6,2058,Flareon,Poisoned,Dragon,Flying,3659,Dragonite 2,Dragonite,,00:06:37.97,00:07:05.36,00:27:30.37,14,0,0,7,5,36,WRAP,WATER GUN,THUNDER WAVE,AGILITY,8,10,20,30,0,0,0,0,14,54,47,36,38,38,32,906,989,1128,715,715,1084,15,15,15,15,-1,0,0,0,0,0,0,34,36,38,38,32,100953,41985,54792,2232,1944,0,0,0,1363,1363,0,0,55,12,10,2,0,0,698,649,157,157,83,9,30,0,0,0,0,0,14,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3503,0,0,0,0,3,14,0,0,0,1,0,6,0,Flareon
11-25,13:30:01,NINTEN,Dragonite,Pecking Lass,1,Cerulean City - Gym,1,7:38.55,7:38,0h7m38s,0,0,0,14,0:29,11.304,WRAP,WATER GUN,THUNDER WAVE,AGILITY,0,1511,59,11,2,191,94,35,6,2478,Flareon, ,Dragon,Flying,4110,Dragonite 2,Dragonite,,00:07:27.26,00:07:38.56,00:29:41.37,14,0,0,7,38,56,WRAP,WATER GUN,THUNDER WAVE,AGILITY,14,25,20,30,0,0,0,0,54,54,47,36,38,38,32,951,1056,1188,765,765,1147,15,15,15,15,0,0,0,0,0,0,0,52,36,38,38,32,108813,46164,57951,2754,1944,0,0,0,1511,1511,0,0,59,13,11,2,0,0,748,698,157,157,88,10,31,0,0,0,0,0,15,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,3954,0,0,0,0,3,14,0,0,0,1,0,6,0,Flareon
11-25,13:30:38,NINTEN,Dragonite,Misty,1,Cerulean City - Gym,2,8:15.61,8:15,0h8m15s,0,0,0,16,0:32,32.949,WRAP,WATER GUN,THUNDER WAVE,AGILITY,0,1512,60,12,2,227,110,38,6,2858,Flareon, ,Dragon,Flying,5449,Dragonite 2,Dragonite,Misty,00:07:42.67,00:08:15.62,00:32:08.40,16,0,0,8,15,62,WRAP,WATER GUN,THUNDER WAVE,AGILITY,0,24,20,29,0,0,0,0,56,61,53,41,42,42,36,1041,1176,1328,935,935,1347,15,15,15,15,0,0,0,0,2,0,0,59,41,42,42,72,117636,46660,66278,2754,1944,0,0,0,1512,1512,0,0,60,14,12,2,0,0,849,798,162,162,101,13,32,0,0,0,0,0,17,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,5293,0,0,0,0,3,14,0,0,0,1,0,6,0,Flareon
11-25,13:31:26,NINTEN,Dragonite,Rival2-Nugget Bridge,3,Cerulean City,4,9:03.94,9:03,0h9m3s,0,0,0,17,0:35,22.326,BUBBLEBEAM,WRAP,WATER GUN,AGILITY,0,1614,64,13,2,239,118,41,6,4937,Flareon, ,Dragon,Flying,6487,Dragonite 2,Dragonite,Rival (Nugget Bridge),00:08:41.62,00:09:03.94,00:35:19.21,17,0,0,9,3,94,BUBBLEBEAM,WRAP,WATER GUN,AGILITY,17,17,23,30,0,0,0,0,48,64,57,43,45,45,39,1216,1422,1528,1086,1086,1584,15,15,15,15,0,-1,0,0,0,0,0,64,28,45,45,39,129077,50892,72184,4057,1944,0,0,0,1614,1614,0,0,64,15,13,2,0,0,1055,969,178,178,109,13,35,0,0,0,0,0,18,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,6331,0,0,0,0,4,14,0,0,0,2,0,6,0,Flareon
11-25,13:31:42,NINTEN,Dragonite,Bug Catcher,9,Route 24,2,9:19.77,9:19,0h9m19s,0,0,0,17,0:36,8.295,BUBBLEBEAM,WRAP,WATER GUN,AGILITY,0,1625,67,14,2,242,121,42,6,5532,Flareon, ,Dragon,Flying,6802,Dragonite 2,Dragonite,,00:09:11.48,00:09:19.77,00:36:21.52,17,0,0,9,19,77,BUBBLEBEAM,WRAP,WATER GUN,AGILITY,15,17,22,30,0,0,0,0,45,64,57,43,45,45,39,1301,1487,1593,1126,1126,1679,15,15,15,15,0,0,0,0,0,0,0,64,43,45,45,39,132828,52180,74647,4057,1944,0,0,0,1625,1625,0,0,67,16,14,2,0,0,1186,1044,181,181,112,13,36,0,0,0,0,0,19,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,6646,0,0,0,0,4,14,0,0,0,2,0,6,0,Flareon
