ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Dugtrio8,Dugtrio,Rival (Lab),00:00:34.83,00:00:42.49,00:02:13.09,6,0,0,0,42,49,SCRATCH,GROWL,DIG,,16,12,15,15,21,0,0,0,0,0,0,0,16,12,15,15,21,10058,4887,3074,0,2097,0,0,0,73,73,0,0,1,2,1,1,0,0,22,21,5,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,8,0,Jolteon
Dugtrio8,Dugtrio,Brock,00:02:43.32,00:02:56.79,00:11:03.45,9,0,0,2,56,79,SCRATCH,GROWL,DIG,,22,17,20,20,29,0,0,0,0,0,0,0,22,17,20,20,29,41894,24678,14352,767,2097,0,0,0,743,743,0,0,27,6,3,3,0,0,141,126,36,36,16,8,10,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,669,0,0,0,0,1,13,0,1,1,0,0,8,0,Flareon
Dugtrio8,Dugtrio,Rival (Nugget Bridge),00:07:09.29,00:07:29.69,00:29:01.56,18,0,0,7,29,69,SCRATCH,GROWL,DIG,,40,30,37,37,55,0,-1,0,0,0,0,0,45,19,37,37,55,106585,47269,55470,1749,2097,1,0,0,1507,1507,0,0,72,17,14,3,0,0,1709,1056,99,99,69,31,25,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,6494,0,0,0,0,3,13,0,1,1,0,0,8,0,Flareon
Dugtrio8,Dugtrio,Oddish Lass,00:10:06.93,00:10:25.73,00:40:36.33,22,0,0,10,25,73,SCRATCH,GROWL,DIG,,49,36,44,44,67,0,0,0,0,0,0,0,55,36,44,44,67,148262,56234,86957,2974,2097,1,0,0,1686,1686,0,0,91,27,24,3,0,0,3742,1963,187,187,105,40,40,0,0,0,0,0,20,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,11195,0,0,0,0,4,13,0,1,1,0,0,8,0,Flareon
Dugtrio8,Dugtrio,Rocket,00:10:56.57,00:11:04.47,00:43:09.09,22,0,0,11,4,47,SCRATCH,GROWL,DIG,,49,36,44,44,67,0,0,0,0,0,0,0,55,36,44,44,67,157418,62347,89320,3654,2097,1,0,0,1828,1828,0,0,105,28,25,3,0,0,3866,2066,187,187,107,42,40,0,0,0,0,0,20,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,11884,0,0,0,0,5,13,0,1,1,0,0,8,0,Flareon
Dugtrio8,Dugtrio,Misty,00:11:22.07,00:11:33.62,00:45:04.19,23,0,0,11,33,62,SCRATCH,GROWL,DIG,,51,38,46,46,70,0,0,0,0,0,0,0,57,38,46,46,70,164328,65444,92598,4189,2097,2,0,0,1900,1900,0,0,113,29,26,3,0,0,4031,2166,215,215,110,44,41,0,0,0,0,0,21,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,13223,0,0,0,0,5,13,0,1,1,0,0,8,0,Flareon
Dugtrio8,Dugtrio,Rival (SS Anne),00:14:04.08,00:14:17.75,00:55:51.39,26,0,0,14,17,75,BODY SLAM,SCRATCH,SAND-ATTACK,DIG,58,42,52,52,79,0,0,0,0,0,0,0,65,42,52,52,79,203168,81853,111720,7498,2097,4,0,0,2405,2405,0,0,147,35,32,3,0,0,5469,2797,272,272,127,60,52,0,0,0,0,0,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,17527,0,0,0,0,10,21,0,1,1,2,0,8,0,Flareon
Dugtrio8,Dugtrio,Lt. Surge,00:14:59.39,00:15:04.63,00:58:56.55,26,0,0,15,4,63,BODY SLAM,SCRATCH,SAND-ATTACK,DIG,58,42,52,52,79,0,0,0,0,0,0,0,65,42,52,52,79,214284,88465,113547,10175,2097,4,0,0,2586,2586,0,0,153,36,33,3,0,0,5584,2873,272,272,128,60,52,0,0,0,0,0,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,18259,0,0,0,0,10,21,0,1,1,4,0,8,0,Flareon
Dugtrio8,Dugtrio,RTG1 - Wrapping Lass,00:15:49.05,00:16:02.29,01:02:44.00,26,0,0,16,2,29,BODY SLAM,SCRATCH,SAND-ATTACK,DIG,58,42,52,52,79,0,0,0,0,0,0,0,65,47,52,52,79,227909,96567,117295,11950,2097,4,0,0,2779,2725,54,0,165,37,34,3,0,0,5891,3063,272,272,132,61,52,0,0,0,0,0,27,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,19507,0,0,0,0,10,21,0,1,1,4,0,8,0,Flareon
Dugtrio8,Dugtrio,RTG4 - Status Jr Trainer,00:16:57.13,00:17:06.25,01:06:56.35,28,0,0,17,6,25,BODY SLAM,SCRATCH,SAND-ATTACK,DIG,62,46,56,56,85,0,0,0,0,0,0,0,69,51,56,56,85,243064,99976,127722,13269,2097,4,0,0,2980,2725,255,0,188,41,38,3,0,0,6646,3551,286,286,143,66,54,0,0,0,0,0,30,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,22387,0,0,0,0,10,21,0,1,1,4,0,8,0,Flareon
